Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02467,$0.02474,$0.02371,$0.02405,"$283,008","$16,191,206"
"Dec 30, 2022",$0.02515,$0.02529,$0.02456,$0.02457,"$198,781","$16,506,843"
"Dec 29, 2022",$0.02521,$0.02537,$0.0247,$0.02522,"$121,345","$16,941,705"
"Dec 28, 2022",$0.02492,$0.02556,$0.02441,$0.02521,"$415,886","$16,938,082"
"Dec 27, 2022",$0.0249,$0.02501,$0.02398,$0.0248,"$701,132","$16,662,475"
"Dec 26, 2022",$0.02503,$0.02522,$0.02473,$0.02485,"$521,511","$16,696,380"
"Dec 25, 2022",$0.02492,$0.0254,$0.02469,$0.02504,"$454,531","$16,822,015"
"Dec 24, 2022",$0.02293,$0.02503,$0.02259,$0.02493,"$533,183","$16,750,056"
"Dec 23, 2022",$0.02337,$0.02348,$0.02266,$0.02292,"$558,284","$15,396,784"
"Dec 22, 2022",$0.02304,$0.02424,$0.02296,$0.02329,"$260,882","$15,645,181"
"Dec 21, 2022",$0.0226,$0.0231,$0.02231,$0.02293,"$119,765","$15,406,189"
"Dec 20, 2022",$0.02244,$0.02287,$0.02219,$0.0226,"$145,235","$15,183,358"
"Dec 19, 2022",$0.02206,$0.0227,$0.02189,$0.0224,"$167,910","$15,049,810"
"Dec 18, 2022",$0.02217,$0.0223,$0.02195,$0.02207,"$133,826","$14,825,260"
"Dec 17, 2022",$0.02205,$0.02231,$0.02184,$0.02217,"$144,598","$14,896,639"
"Dec 16, 2022",$0.02211,$0.02241,$0.02173,$0.02197,"$209,704","$14,761,084"
"Dec 15, 2022",$0.02254,$0.02263,$0.02192,$0.02206,"$132,720","$14,821,882"
"Dec 14, 2022",$0.02293,$0.02316,$0.02253,$0.02253,"$215,544","$15,136,175"
"Dec 13, 2022",$0.02236,$0.023,$0.02227,$0.02293,"$201,265","$15,402,368"
"Dec 12, 2022",$0.0219,$0.02267,$0.02164,$0.02237,"$587,435","$15,029,046"
"Dec 11, 2022",$0.02249,$0.023,$0.02182,$0.0219,"$1,070,007","$14,714,077"
"Dec 10, 2022",$0.02256,$0.02294,$0.02217,$0.02245,"$877,015","$15,082,292"
"Dec 09, 2022",$0.02229,$0.02289,$0.02217,$0.02255,"$961,710","$15,150,644"
"Dec 08, 2022",$0.02269,$0.02277,$0.02221,$0.02231,"$1,039,213","$14,990,227"
"Dec 07, 2022",$0.02264,$0.02294,$0.02198,$0.02268,"$929,703","$15,238,338"
