Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002491,$0.002503,$0.002475,$0.002482,"$578,176","$22,038,575"
"Dec 30, 2022",$0.002502,$0.002509,$0.002437,$0.002492,"$613,053","$22,129,955"
"Dec 29, 2022",$0.002515,$0.002529,$0.002479,$0.0025,"$517,672","$22,202,362"
"Dec 28, 2022",$0.002514,$0.00253,$0.002483,$0.002515,"$614,489","$22,337,530"
"Dec 27, 2022",$0.002548,$0.002558,$0.002492,$0.002513,"$970,497","$22,321,633"
"Dec 26, 2022",$0.002643,$0.002643,$0.00251,$0.002548,"$1,119,217","$22,624,208"
"Dec 25, 2022",$0.002599,$0.002652,$0.002435,$0.002625,"$1,309,942","$23,308,717"
"Dec 24, 2022",$0.002905,$0.002929,$0.00243,$0.002599,"$1,312,280","$23,077,779"
"Dec 23, 2022",$0.003055,$0.003064,$0.002896,$0.002903,"$1,072,016","$25,783,851"
"Dec 22, 2022",$0.003149,$0.003171,$0.002995,$0.003059,"$1,243,674","$27,168,275"
"Dec 21, 2022",$0.00315,$0.003191,$0.003091,$0.003149,"$1,052,057","$27,968,490"
"Dec 20, 2022",$0.003116,$0.003172,$0.003105,$0.003151,"$1,041,337","$27,986,343"
"Dec 19, 2022",$0.003161,$0.003185,$0.003079,$0.003114,"$1,162,538","$27,652,355"
"Dec 18, 2022",$0.0032,$0.003253,$0.003146,$0.003159,"$1,143,179","$28,050,936"
"Dec 17, 2022",$0.003198,$0.003233,$0.003151,$0.0032,"$1,147,501","$28,415,440"
"Dec 16, 2022",$0.003303,$0.003383,$0.003185,$0.0032,"$1,095,118","$28,418,843"
"Dec 15, 2022",$0.003399,$0.003399,$0.003267,$0.003302,"$1,411,155","$29,325,260"
"Dec 14, 2022",$0.003332,$0.00345,$0.003266,$0.0034,"$1,407,441","$30,192,716"
"Dec 13, 2022",$0.003231,$0.003359,$0.003179,$0.003333,"$1,029,740","$29,602,938"
"Dec 12, 2022",$0.00316,$0.003241,$0.003146,$0.003232,"$877,840","$28,703,634"
"Dec 11, 2022",$0.003195,$0.003209,$0.003153,$0.00316,"$758,769","$28,067,315"
"Dec 10, 2022",$0.003209,$0.003249,$0.00318,$0.003193,"$593,455","$28,359,729"
"Dec 09, 2022",$0.003227,$0.003264,$0.003189,$0.00321,"$673,116","$28,506,802"
"Dec 08, 2022",$0.003225,$0.003233,$0.003153,$0.003228,"$783,305","$28,666,948"
"Dec 07, 2022",$0.00318,$0.003249,$0.003127,$0.003224,"$836,441","$28,634,331"
"Dec 06, 2022",$0.003157,$0.003187,$0.003094,$0.00318,"$802,655","$28,239,980"
"Dec 05, 2022",$0.003256,$0.003278,$0.003117,$0.003157,"$836,677","$28,035,683"
"Dec 04, 2022",$0.0032,$0.003309,$0.003172,$0.003256,"$828,466","$28,912,138"
"Dec 03, 2022",$0.003275,$0.003276,$0.003166,$0.003201,"$800,182","$28,423,700"
"Dec 02, 2022",$0.003257,$0.00334,$0.003242,$0.003274,"$721,389","$29,075,427"
"Dec 01, 2022",$0.003451,$0.003467,$0.003255,$0.003258,"$663,599","$28,931,212"
"Nov 30, 2022",$0.003479,$0.00361,$0.003442,$0.003452,"$697,698","$30,657,170"
"Nov 29, 2022",$0.003405,$0.003538,$0.003388,$0.003481,"$429,515","$30,917,643"
"Nov 28, 2022",$0.003469,$0.003479,$0.003391,$0.003408,"$419,770","$30,261,980"
"Nov 27, 2022",$0.003519,$0.003558,$0.003465,$0.003468,"$303,411","$30,802,461"
"Nov 26, 2022",$0.003499,$0.003584,$0.003479,$0.003517,"$284,656","$31,234,640"
"Nov 25, 2022",$0.00356,$0.003586,$0.003467,$0.003501,"$335,666","$31,091,013"
"Nov 24, 2022",$0.003571,$0.003625,$0.003502,$0.003564,"$225,495","$31,652,927"
"Nov 23, 2022",$0.003441,$0.003598,$0.003434,$0.003572,"$213,533","$31,722,901"
"Nov 22, 2022",$0.00345,$0.003481,$0.003371,$0.003441,"$159,332","$30,554,356"
"Nov 21, 2022",$0.003543,$0.003565,$0.003417,$0.003452,"$243,451","$30,659,799"
"Nov 20, 2022",$0.003631,$0.003645,$0.003541,$0.003543,"$175,540","$31,460,777"
"Nov 19, 2022",$0.003497,$0.003633,$0.003458,$0.003622,"$169,116","$32,170,194"
"Nov 18, 2022",$0.003375,$0.003518,$0.003365,$0.003476,"$163,449","$30,871,606"
"Nov 17, 2022",$0.003495,$0.003533,$0.003365,$0.003376,"$158,966","$29,978,021"
"Nov 16, 2022",$0.003596,$0.003638,$0.003442,$0.003496,"$189,215","$31,043,647"
"Nov 15, 2022",$0.003569,$0.003697,$0.003527,$0.003603,"$241,236","$31,999,156"
"Nov 14, 2022",$0.003499,$0.003683,$0.003432,$0.003561,"$482,752","$31,624,490"
"Nov 13, 2022",$0.003673,$0.003705,$0.003484,$0.0035,"$510,929","$31,086,596"
