Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0002949,$0.0003104,$0.0002529,$0.0002934,"$165,285","$1,590,165"
"Dec 30, 2022",$0.0003239,$0.0004858,$0.0002449,$0.0002929,"$205,789","$1,587,375"
"Dec 29, 2022",$0.0003822,$0.0003822,$0.0002776,$0.0003259,"$123,704","$1,766,287"
"Dec 28, 2022",$0.0003198,$0.0006093,$0.0002673,$0.0003822,"$79,071","$2,071,181"
"Dec 27, 2022",$0.0004752,$0.0004826,$0.000301,$0.0003198,"$2,441,481","$1,732,994"
"Dec 26, 2022",$0.0004068,$0.0004944,$0.0003017,$0.000475,"$1,618,819","$2,574,530"
"Dec 25, 2022",$0.0003859,$0.0004112,$0.0003775,$0.0004069,"$1,527,743","$2,205,095"
"Dec 24, 2022",$0.000384,$0.0003911,$0.0003691,$0.0003859,"$1,099,170","$2,091,223"
"Dec 23, 2022",$0.0004157,$0.000425,$0.0003811,$0.000384,"$1,045,223","$2,080,925"
"Dec 22, 2022",$0.0004417,$0.0004459,$0.0004078,$0.0004157,"$1,168,942","$2,252,876"
"Dec 21, 2022",$0.0004594,$0.0004642,$0.0004161,$0.0004417,"$1,006,956","$2,393,624"
"Dec 20, 2022",$0.000419,$0.000473,$0.0004092,$0.0004594,"$1,344,810","$2,489,742"
"Dec 19, 2022",$0.0004422,$0.0004454,$0.0004031,$0.000419,"$352,921","$2,270,750"
"Dec 18, 2022",$0.00044,$0.0004607,$0.0004229,$0.0004433,"$361,716",$0
"Dec 17, 2022",$0.0004467,$0.0005227,$0.0004367,$0.0004399,"$409,869",$0
"Dec 16, 2022",$0.000482,$0.0004966,$0.0004439,$0.0004468,"$413,729",$0
"Dec 15, 2022",$0.0005825,$0.0005843,$0.0004425,$0.000482,"$510,671",$0
"Dec 14, 2022",$0.0005835,$0.0005913,$0.0005405,$0.000582,"$536,126",$0
"Dec 13, 2022",$0.0006503,$0.0006552,$0.0005525,$0.0005835,"$468,547",$0
"Dec 12, 2022",$0.000715,$0.0007173,$0.0006358,$0.0006503,"$406,315",$0
"Dec 11, 2022",$0.0008007,$0.0008036,$0.0006914,$0.0007145,"$120,106",$0
"Dec 10, 2022",$0.0008742,$0.0008818,$0.0007116,$0.0008008,"$231,052",$0
"Dec 09, 2022",$0.0008419,$0.0009087,$0.000771,$0.0008748,"$390,889",$0
"Dec 08, 2022",$0.0008249,$0.0008616,$0.0008011,$0.0008402,"$123,322",$0
"Dec 07, 2022",$0.0008299,$0.0008363,$0.0008052,$0.0008248,"$92,992",$0
"Dec 06, 2022",$0.0008632,$0.0008669,$0.0008266,$0.0008299,"$170,077",$0
"Dec 05, 2022",$0.0008973,$0.0009128,$0.0008285,$0.0008625,"$216,964",$0
"Dec 04, 2022",$0.0009117,$0.0009132,$0.0008699,$0.0008973,"$31,677",$0
"Dec 03, 2022",$0.000854,$0.0009246,$0.0008446,$0.0009116,"$57,018",$0
"Dec 02, 2022",$0.0008562,$0.000878,$0.0008219,$0.0008541,"$87,332",$0
"Dec 01, 2022",$0.0009169,$0.0009518,$0.0008264,$0.0008561,"$74,643",$0
"Nov 30, 2022",$0.0008903,$0.0009665,$0.0008509,$0.000917,"$63,094",$0
"Nov 29, 2022",$0.0009311,$0.0009519,$0.0008828,$0.0008901,"$90,684",$0
"Nov 28, 2022",$0.0009468,$0.0009766,$0.0008513,$0.0009312,"$86,948",$0
"Nov 27, 2022",$0.0009455,$0.001007,$0.0009095,$0.0009467,"$76,713",$0
"Nov 26, 2022",$0.001059,$0.001088,$0.0009453,$0.0009453,"$135,608",$0
"Nov 25, 2022",$0.0009308,$0.001117,$0.000906,$0.001059,"$189,701",$0
"Nov 24, 2022",$0.0009987,$0.001028,$0.0009199,$0.0009307,"$182,236",$0
"Nov 23, 2022",$0.0009307,$0.001055,$0.0009109,$0.0009987,"$145,392",$0
"Nov 22, 2022",$0.001111,$0.001125,$0.0009016,$0.0009306,"$142,382",$0
"Nov 21, 2022",$0.001069,$0.001189,$0.001036,$0.001111,"$122,927",$0
"Nov 20, 2022",$0.001016,$0.001254,$0.0009347,$0.001069,"$175,473",$0
"Nov 19, 2022",$0.0008665,$0.001028,$0.0008018,$0.001016,"$144,238",$0
"Nov 18, 2022",$0.000634,$0.00091,$0.0006097,$0.0008663,"$143,009",$0
"Nov 17, 2022",$0.000671,$0.0006765,$0.0006106,$0.000634,"$10,681",$0
"Nov 16, 2022",$0.000578,$0.0006958,$0.0005671,$0.000671,"$19,312",$0
"Nov 15, 2022",$0.0005125,$0.0006065,$0.0005096,$0.0005779,"$13,264",$0
"Nov 14, 2022",$0.0005205,$0.00054,$0.0004683,$0.0005125,"$12,236",$0
"Nov 13, 2022",$0.0005581,$0.0005593,$0.0004831,$0.0005205,"$5,591",$0
"Nov 12, 2022",$0.0005949,$0.0005963,$0.0004794,$0.0005581,"$17,560",$0
"Nov 11, 2022",$0.0006053,$0.0006367,$0.0005071,$0.0005948,"$42,395",$0
"Nov 10, 2022",$0.0004883,$0.0006566,$0.0004732,$0.0006053,"$37,048",$0
"Nov 09, 2022",$0.0006746,$0.0008079,$0.0004663,$0.0004883,"$25,782",$0
"Nov 08, 2022",$0.0008552,$0.0008711,$0.0006513,$0.0006743,"$45,376",$0
"Nov 07, 2022",$0.0008558,$0.0009715,$0.0008272,$0.0008552,"$62,980",$0
"Nov 06, 2022",$0.0008755,$0.0009298,$0.0008372,$0.0008561,"$47,434",$0
"Nov 05, 2022",$0.0009414,$0.0009776,$0.000858,$0.0008755,"$33,650",$0
"Nov 04, 2022",$0.0009323,$0.001002,$0.000878,$0.0009414,"$43,559",$0
"Nov 03, 2022",$0.0009802,$0.001047,$0.0008097,$0.0009323,"$33,097",$0
"Nov 02, 2022",$0.001086,$0.001111,$0.000948,$0.0009803,"$30,122",$0
"Nov 01, 2022",$0.00107,$0.001174,$0.0009881,$0.001087,"$61,565",$0
"Oct 31, 2022",$0.001148,$0.001174,$0.0009984,$0.00107,"$42,436",$0
"Oct 30, 2022",$0.001107,$0.001189,$0.001061,$0.001148,"$115,337",$0
"Oct 29, 2022",$0.001092,$0.001178,$0.001053,$0.001107,"$71,858",$0
"Oct 28, 2022",$0.001224,$0.001225,$0.001047,$0.001092,"$147,385",$0
"Oct 27, 2022",$0.001328,$0.001346,$0.001184,$0.001224,"$57,980",$0
"Oct 26, 2022",$0.001376,$0.001412,$0.001289,$0.001328,"$39,256",$0
"Oct 25, 2022",$0.00143,$0.001487,$0.001351,$0.001377,"$45,017",$0
"Oct 24, 2022",$0.001495,$0.00154,$0.001367,$0.00143,"$34,170",$0
"Oct 23, 2022",$0.001609,$0.00161,$0.001441,$0.001495,"$33,568",$0
"Oct 22, 2022",$0.001452,$0.001613,$0.001412,$0.001609,"$46,327",$0
"Oct 21, 2022",$0.001456,$0.001518,$0.001344,$0.001452,"$77,457",$0
"Oct 20, 2022",$0.00147,$0.001562,$0.001403,$0.001457,"$48,328",$0
"Oct 19, 2022",$0.00146,$0.001497,$0.001424,$0.00147,"$47,171",$0
"Oct 18, 2022",$0.001441,$0.001496,$0.001369,$0.001459,"$47,974",$0
"Oct 17, 2022",$0.001493,$0.001573,$0.001429,$0.001441,"$53,685",$0
"Oct 16, 2022",$0.001506,$0.001543,$0.001448,$0.00149,"$34,370",$0
"Oct 15, 2022",$0.001513,$0.001589,$0.001461,$0.001506,"$42,395",$0
"Oct 14, 2022",$0.001593,$0.001683,$0.001453,$0.001513,"$100,840",$0
"Oct 13, 2022",$0.001775,$0.001778,$0.001483,$0.001593,"$52,391",$0
"Oct 12, 2022",$0.00163,$0.001916,$0.001617,$0.001775,"$72,259",$0
"Oct 11, 2022",$0.001682,$0.001768,$0.001544,$0.00163,"$152,102",$0
"Oct 10, 2022",$0.002107,$0.002147,$0.001582,$0.001682,"$158,328",$0
"Oct 09, 2022",$0.00238,$0.00238,$0.002092,$0.002107,"$34,319",$0
"Oct 08, 2022",$0.002539,$0.002562,$0.00223,$0.002381,"$48,771",$0
"Oct 07, 2022",$0.002513,$0.002768,$0.002315,$0.002538,"$165,875",$0
"Oct 06, 2022",$0.002472,$0.002632,$0.002394,$0.002513,"$112,468",$0
"Oct 05, 2022",$0.002655,$0.002744,$0.002308,$0.002472,"$157,593",$0
"Oct 04, 2022",$0.003275,$0.003356,$0.002504,$0.002655,"$377,378",$0
"Oct 03, 2022",$0.004256,$0.004339,$0.003101,$0.00328,"$508,972",$0
"Oct 02, 2022",$0.004188,$0.004273,$0.003936,$0.004256,"$129,495",$0
"Oct 01, 2022",$0.004292,$0.00444,$0.003962,$0.004188,"$280,851",$0
"Sep 30, 2022",$0.004718,$0.004834,$0.003984,$0.004289,"$1,023,044",$0
"Sep 29, 2022",$0.004231,$0.004814,$0.003942,$0.004717,"$804,192",$0
"Sep 28, 2022",$0.003447,$0.00436,$0.003333,$0.004231,"$1,082,685",$0
"Sep 27, 2022",$0.003319,$0.00363,$0.003081,$0.003451,"$664,875",$0
"Sep 26, 2022",$0.002759,$0.003395,$0.00267,$0.003324,"$711,160",$0
"Sep 25, 2022",$0.002566,$0.002779,$0.002427,$0.002759,"$265,840",$0
"Sep 24, 2022",$0.002378,$0.002777,$0.00232,$0.002565,"$305,273",$0
"Sep 23, 2022",$0.002168,$0.002685,$0.002158,$0.002378,"$375,772",$0
