Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02746,$0.02808,$0.02732,$0.02744,"$1,131,537","$33,826,930"
"Dec 30, 2022",$0.0275,$0.02807,$0.02729,$0.02745,"$1,189,988","$33,838,397"
"Dec 29, 2022",$0.02604,$0.02815,$0.02548,$0.02751,"$556,263","$33,905,049"
"Dec 28, 2022",$0.02555,$0.02607,$0.02512,$0.02604,"$185,481","$32,095,180"
"Dec 27, 2022",$0.0257,$0.02601,$0.02494,$0.02555,"$244,403","$31,491,519"
"Dec 26, 2022",$0.02703,$0.02721,$0.02559,$0.0257,"$636,409","$31,683,350"
"Dec 25, 2022",$0.02701,$0.02749,$0.02689,$0.02703,"$1,338,049","$33,317,712"
"Dec 24, 2022",$0.02949,$0.02953,$0.02693,$0.02701,"$920,235","$33,286,170"
"Dec 23, 2022",$0.03016,$0.0302,$0.02922,$0.02949,"$532,467","$36,350,393"
"Dec 22, 2022",$0.03024,$0.03064,$0.02973,$0.03016,"$1,881,218","$37,180,797"
"Dec 21, 2022",$0.02724,$0.03112,$0.02687,$0.03024,"$2,317,616","$37,278,722"
"Dec 20, 2022",$0.01968,$0.0276,$0.01967,$0.02724,"$2,518,714","$33,572,046"
"Dec 19, 2022",$0.02011,$0.02019,$0.01964,$0.01968,"$2,057,755","$24,254,091"
"Dec 18, 2022",$0.02015,$0.02024,$0.01974,$0.02011,"$878,194","$24,784,547"
"Dec 17, 2022",$0.02009,$0.02027,$0.01994,$0.02016,"$64,477","$24,843,716"
"Dec 16, 2022",$0.02042,$0.02056,$0.02009,$0.02009,"$148,716","$24,759,737"
"Dec 15, 2022",$0.02063,$0.02073,$0.0201,$0.02042,"$295,066","$25,174,410"
"Dec 14, 2022",$0.02098,$0.02106,$0.02045,$0.02063,"$436,003","$25,427,806"
"Dec 13, 2022",$0.02219,$0.0223,$0.02083,$0.02098,"$1,181,080","$25,855,606"
"Dec 12, 2022",$0.02276,$0.02281,$0.02215,$0.02219,"$1,230,420","$27,355,391"
"Dec 11, 2022",$0.02324,$0.02343,$0.02266,$0.02276,"$1,198,193","$28,054,510"
"Dec 10, 2022",$0.02378,$0.02388,$0.0231,$0.02324,"$1,154,883","$28,649,647"
"Dec 09, 2022",$0.02477,$0.02484,$0.02375,$0.02378,"$1,182,683","$29,312,228"
"Dec 08, 2022",$0.02432,$0.02514,$0.0243,$0.02477,"$1,375,708","$30,531,985"
"Dec 07, 2022",$0.02425,$0.0246,$0.02423,$0.02432,"$1,582,088","$29,974,666"
"Dec 06, 2022",$0.02489,$0.02529,$0.02417,$0.02425,"$1,621,786","$29,887,126"
"Dec 05, 2022",$0.02529,$0.02571,$0.02467,$0.02489,"$1,753,690","$30,681,723"
"Dec 04, 2022",$0.02672,$0.02697,$0.02514,$0.02529,"$1,881,473","$31,177,390"
"Dec 03, 2022",$0.02784,$0.02816,$0.02667,$0.02672,"$2,102,411","$32,935,008"
"Dec 02, 2022",$0.02766,$0.0282,$0.02691,$0.02784,"$2,117,263","$34,316,709"
"Dec 01, 2022",$0.02977,$0.02977,$0.02762,$0.02766,"$2,226,623","$34,098,854"
"Nov 30, 2022",$0.02844,$0.03137,$0.02833,$0.02977,"$2,264,021","$36,692,065"
"Nov 29, 2022",$0.02809,$0.02934,$0.02785,$0.02844,"$1,823,379","$35,054,542"
"Nov 28, 2022",$0.02819,$0.02911,$0.02804,$0.02809,"$1,806,163","$34,629,378"
"Nov 27, 2022",$0.02762,$0.0284,$0.02754,$0.02819,"$1,770,267","$34,746,470"
"Nov 26, 2022",$0.02842,$0.02842,$0.02747,$0.02762,"$1,688,403","$34,044,763"
"Nov 25, 2022",$0.0287,$0.0288,$0.02826,$0.02842,"$1,981,807","$35,032,420"
"Nov 24, 2022",$0.02923,$0.02942,$0.02849,$0.0287,"$1,667,495","$35,380,630"
"Nov 23, 2022",$0.02945,$0.03072,$0.0292,$0.02923,"$1,845,840","$36,027,937"
"Nov 22, 2022",$0.02792,$0.03019,$0.02766,$0.02945,"$1,607,048","$36,301,998"
"Nov 21, 2022",$0.02643,$0.03046,$0.02582,$0.02791,"$1,482,125","$34,399,384"
"Nov 20, 2022",$0.02696,$0.02699,$0.0264,$0.02642,"$1,440,187","$32,567,178"
"Nov 19, 2022",$0.02809,$0.02827,$0.02667,$0.02696,"$1,472,154","$33,231,461"
"Nov 18, 2022",$0.02853,$0.02874,$0.028,$0.02809,"$1,441,698","$34,617,395"
"Nov 17, 2022",$0.0286,$0.02883,$0.0283,$0.02853,"$1,380,168","$35,170,856"
"Nov 16, 2022",$0.02837,$0.02884,$0.02823,$0.0286,"$1,570,197","$35,250,699"
"Nov 15, 2022",$0.02875,$0.02903,$0.02833,$0.02837,"$1,819,380","$34,964,811"
"Nov 14, 2022",$0.02845,$0.02901,$0.02775,$0.02875,"$1,909,441","$35,432,906"
"Nov 13, 2022",$0.03004,$0.03096,$0.02627,$0.02844,"$2,657,237","$35,057,184"
"Nov 12, 2022",$0.03017,$0.03025,$0.02955,$0.03005,"$2,743,270","$37,033,025"
"Nov 11, 2022",$0.03206,$0.03245,$0.03004,$0.03017,"$2,299,511","$37,183,662"
"Nov 10, 2022",$0.03126,$0.03245,$0.03054,$0.03206,"$2,093,840","$39,513,894"
"Nov 09, 2022",$0.0306,$0.03981,$0.03031,$0.03126,"$2,404,506","$38,535,982"
"Nov 08, 2022",$0.03608,$0.03632,$0.0306,$0.0306,"$2,283,256","$37,719,163"
"Nov 07, 2022",$0.03435,$0.04151,$0.03414,$0.03608,"$2,512,203","$44,472,669"
"Nov 06, 2022",$0.02963,$0.04305,$0.02953,$0.03434,"$2,154,862","$42,321,577"
"Nov 05, 2022",$0.02946,$0.02981,$0.02941,$0.02964,"$1,397,146","$36,527,875"
"Nov 04, 2022",$0.03064,$0.03069,$0.02929,$0.02946,"$1,484,791","$36,313,816"
"Nov 03, 2022",$0.03194,$0.03241,$0.03063,$0.03064,"$2,007,339","$37,766,380"
"Nov 02, 2022",$0.02709,$0.03262,$0.02695,$0.03194,"$2,040,066","$39,372,517"
"Nov 01, 2022",$0.02674,$0.02712,$0.02643,$0.02709,"$1,429,602","$33,396,491"
"Oct 31, 2022",$0.02746,$0.02748,$0.02668,$0.02674,"$1,425,841","$32,963,527"
"Oct 30, 2022",$0.02731,$0.02749,$0.02711,$0.02746,"$1,710,993","$33,843,487"
"Oct 29, 2022",$0.02768,$0.02772,$0.02721,$0.02731,"$1,760,280","$33,656,888"
"Oct 28, 2022",$0.02897,$0.02901,$0.02767,$0.02768,"$1,872,374","$34,120,191"
"Oct 27, 2022",$0.02916,$0.02921,$0.02884,$0.02897,"$1,899,377","$35,707,515"
"Oct 26, 2022",$0.02892,$0.02934,$0.02876,$0.02916,"$1,851,578","$35,946,793"
"Oct 25, 2022",$0.02965,$0.02967,$0.02879,$0.02892,"$1,911,975","$35,649,234"
"Oct 24, 2022",$0.02961,$0.02992,$0.02955,$0.02965,"$2,056,083","$36,549,615"
"Oct 23, 2022",$0.03054,$0.0307,$0.02961,$0.02961,"$2,254,963","$36,491,527"
"Oct 22, 2022",$0.03276,$0.03276,$0.0304,$0.03054,"$2,349,516","$37,647,450"
"Oct 21, 2022",$0.033,$0.0331,$0.03253,$0.03282,"$2,262,189","$40,448,149"
"Oct 20, 2022",$0.03276,$0.03314,$0.03241,$0.03301,"$2,280,169","$40,681,952"
"Oct 19, 2022",$0.03221,$0.0332,$0.032,$0.03276,"$2,287,827","$40,384,612"
"Oct 18, 2022",$0.02789,$0.03338,$0.02762,$0.03221,"$2,031,307","$39,699,727"
"Oct 17, 2022",$0.02845,$0.02854,$0.02767,$0.02789,"$1,535,344","$34,377,291"
"Oct 16, 2022",$0.02984,$0.02985,$0.02828,$0.02844,"$1,612,649","$35,059,955"
"Oct 15, 2022",$0.03002,$0.03014,$0.02921,$0.02984,"$1,603,033","$36,785,458"
"Oct 14, 2022",$0.03067,$0.03074,$0.02991,$0.03002,"$1,712,094","$37,002,210"
"Oct 13, 2022",$0.0325,$0.0325,$0.03055,$0.03067,"$1,782,088","$37,798,293"
"Oct 12, 2022",$0.03312,$0.03319,$0.03231,$0.03246,"$1,891,557","$40,014,996"
"Oct 11, 2022",$0.03333,$0.03344,$0.03298,$0.03312,"$1,959,636","$40,819,620"
"Oct 10, 2022",$0.03363,$0.03372,$0.0332,$0.03333,"$2,479,487","$41,086,976"
"Oct 09, 2022",$0.03365,$0.03373,$0.03346,$0.03363,"$2,622,318","$41,452,172"
"Oct 08, 2022",$0.03358,$0.03381,$0.0334,$0.03365,"$2,497,534","$41,478,891"
"Oct 07, 2022",$0.03371,$0.03397,$0.03349,$0.03357,"$2,353,516","$41,381,801"
"Oct 06, 2022",$0.03356,$0.03379,$0.03324,$0.03371,"$2,657,026","$41,554,442"
"Oct 05, 2022",$0.03333,$0.0336,$0.03321,$0.03356,"$2,204,899","$41,370,398"
"Oct 04, 2022",$0.03298,$0.03344,$0.03298,$0.03333,"$2,596,322","$41,079,574"
"Oct 03, 2022",$0.0322,$0.03339,$0.0321,$0.03298,"$1,891,544","$40,648,740"
"Oct 02, 2022",$0.03254,$0.03264,$0.0321,$0.0322,"$2,107,033","$39,688,156"
"Oct 01, 2022",$0.03291,$0.03301,$0.03246,$0.03254,"$1,726,899","$40,105,880"
"Sep 30, 2022",$0.03314,$0.03402,$0.03276,$0.03292,"$1,852,692","$40,580,386"
"Sep 29, 2022",$0.03267,$0.03315,$0.03239,$0.03314,"$1,962,734","$39,857,339"
"Sep 28, 2022",$0.02937,$0.03277,$0.02925,$0.03267,"$1,968,712","$38,630,779"
"Sep 27, 2022",$0.02953,$0.02982,$0.02921,$0.02937,"$2,305,496","$34,729,836"
"Sep 26, 2022",$0.03004,$0.03023,$0.02935,$0.02953,"$3,893,408","$34,917,302"
"Sep 25, 2022",$0.03113,$0.03115,$0.02986,$0.03003,"$2,174,786","$35,518,710"
"Sep 24, 2022",$0.03106,$0.03126,$0.03068,$0.03113,"$1,949,489","$36,811,535"
"Sep 23, 2022",$0.03095,$0.03134,$0.03081,$0.03106,"$2,023,491","$36,735,464"
"Sep 22, 2022",$0.0316,$0.0316,$0.03069,$0.03095,"$2,081,983","$36,604,820"
"Sep 21, 2022",$0.03097,$0.0322,$0.03035,$0.0316,"$2,024,800","$37,371,244"
"Sep 20, 2022",$0.03187,$0.03224,$0.03089,$0.03097,"$2,083,798","$36,623,203"
"Sep 19, 2022",$0.03258,$0.03258,$0.03172,$0.03187,"$2,034,754","$37,691,589"
