Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$24.52,$24.62,$22.92,$23.10,"$12,342,745","$195,641,749"
"Dec 30, 2022",$25.68,$25.68,$24.43,$24.51,"$9,532,573","$207,594,682"
"Dec 29, 2022",$24.72,$25.68,$24.58,$25.68,"$11,337,100","$217,526,278"
"Dec 28, 2022",$25.44,$25.66,$24.37,$24.72,"$10,392,936","$209,364,166"
"Dec 27, 2022",$25.66,$26.02,$24.94,$25.44,"$8,140,482","$215,459,929"
"Dec 26, 2022",$25.00,$25.67,$24.92,$25.66,"$8,216,906","$217,343,937"
"Dec 25, 2022",$25.00,$25.38,$24.55,$25.00,"$7,123,508","$211,785,392"
"Dec 24, 2022",$25.34,$25.37,$24.97,$25.00,"$3,735,182","$211,787,394"
"Dec 23, 2022",$24.88,$25.38,$24.80,$25.34,"$5,851,264","$214,658,108"
"Dec 22, 2022",$24.47,$24.95,$24.30,$24.88,"$6,404,796","$210,778,214"
"Dec 21, 2022",$24.81,$24.81,$24.16,$24.46,"$7,011,151","$207,160,367"
"Dec 20, 2022",$24.22,$25.09,$24.16,$24.82,"$10,253,091","$210,194,351"
"Dec 19, 2022",$25.46,$25.82,$24.22,$24.24,"$11,196,495","$205,287,021"
"Dec 18, 2022",$25.58,$25.77,$24.96,$25.44,"$6,471,008","$215,495,639"
"Dec 17, 2022",$24.64,$25.59,$24.05,$25.58,"$10,103,801","$216,685,812"
"Dec 16, 2022",$27.33,$27.67,$24.38,$24.63,"$12,345,295","$208,659,918"
"Dec 15, 2022",$27.55,$27.74,$26.96,$27.34,"$15,414,387","$231,594,255"
"Dec 14, 2022",$28.81,$29.06,$27.50,$27.55,"$11,353,365","$233,328,533"
"Dec 13, 2022",$28.85,$29.14,$27.83,$28.81,"$14,575,316","$243,996,654"
"Dec 12, 2022",$29.62,$29.62,$28.30,$28.85,"$16,071,331","$244,391,733"
"Dec 11, 2022",$29.73,$30.61,$29.56,$29.61,"$8,924,466","$250,820,405"
"Dec 10, 2022",$29.24,$29.94,$29.24,$29.73,"$6,619,059","$251,836,332"
"Dec 09, 2022",$29.85,$29.97,$28.98,$29.24,"$7,776,044","$247,631,953"
"Dec 08, 2022",$29.28,$30.36,$29.17,$29.85,"$14,363,992","$252,844,570"
"Dec 07, 2022",$30.63,$30.96,$29.09,$29.28,"$13,111,170","$247,979,386"
"Dec 06, 2022",$31.01,$31.78,$30.33,$30.63,"$20,238,671","$259,451,225"
"Dec 05, 2022",$29.46,$31.24,$29.44,$31.01,"$18,094,987","$262,672,206"
"Dec 04, 2022",$29.37,$29.63,$28.74,$29.47,"$9,344,909","$249,603,327"
"Dec 03, 2022",$30.78,$30.87,$29.22,$29.37,"$11,969,427","$248,763,261"
"Dec 02, 2022",$30.10,$31.02,$29.50,$30.77,"$12,997,555","$260,658,628"
"Dec 01, 2022",$29.87,$30.82,$29.35,$30.10,"$16,095,903","$254,916,623"
"Nov 30, 2022",$26.83,$31.01,$26.83,$29.87,"$26,732,515","$253,002,807"
"Nov 29, 2022",$25.62,$27.07,$25.47,$26.82,"$8,848,236","$227,187,125"
"Nov 28, 2022",$25.82,$26.03,$24.89,$25.62,"$10,739,656","$217,005,326"
"Nov 27, 2022",$26.63,$27.27,$25.80,$25.82,"$8,935,793","$218,727,672"
"Nov 26, 2022",$26.23,$26.99,$26.23,$26.64,"$8,754,395","$225,636,618"
"Nov 25, 2022",$26.47,$26.92,$25.87,$26.23,"$11,301,403","$222,167,043"
"Nov 24, 2022",$26.27,$26.65,$25.77,$26.48,"$9,016,593","$224,251,473"
"Nov 23, 2022",$25.58,$26.43,$25.26,$26.27,"$12,535,156","$222,514,796"
"Nov 22, 2022",$24.26,$25.57,$23.42,$25.57,"$14,624,544","$216,588,584"
"Nov 21, 2022",$23.52,$24.33,$22.71,$24.27,"$14,696,973","$205,531,189"
"Nov 20, 2022",$24.62,$24.99,$23.52,$23.53,"$12,239,608","$199,289,924"
"Nov 19, 2022",$23.94,$24.73,$23.63,$24.62,"$7,675,519","$208,505,426"
"Nov 18, 2022",$24.24,$24.86,$23.78,$23.94,"$7,676,038","$202,812,748"
"Nov 17, 2022",$24.74,$24.97,$24.10,$24.24,"$9,631,259","$205,315,079"
"Nov 16, 2022",$25.11,$25.50,$24.35,$24.74,"$10,517,278","$209,524,383"
"Nov 15, 2022",$24.25,$25.68,$23.99,$25.11,"$12,853,754","$212,705,558"
"Nov 14, 2022",$23.19,$24.51,$21.89,$24.25,"$22,736,952","$205,411,343"
"Nov 13, 2022",$24.10,$24.81,$22.96,$23.19,"$20,393,615","$196,439,903"
"Nov 12, 2022",$26.12,$26.21,$23.96,$24.09,"$19,462,766","$204,068,827"
"Nov 11, 2022",$28.23,$28.43,$25.24,$26.11,"$35,685,208","$221,158,883"
"Nov 10, 2022",$24.59,$28.95,$24.32,$28.23,"$43,281,038","$239,147,472"
"Nov 09, 2022",$30.04,$30.14,$23.95,$24.58,"$57,115,533","$208,183,820"
"Nov 08, 2022",$35.66,$36.12,$26.66,$30.03,"$72,502,119","$254,337,564"
"Nov 07, 2022",$36.18,$37.05,$34.73,$35.67,"$40,572,799","$302,117,565"
"Nov 06, 2022",$38.61,$38.87,$36.20,$36.20,"$47,406,943","$306,652,563"
"Nov 05, 2022",$36.29,$39.79,$36.26,$38.60,"$72,031,565","$326,973,044"
"Nov 04, 2022",$33.66,$36.33,$33.48,$36.29,"$40,462,812","$307,379,743"
"Nov 03, 2022",$32.46,$34.16,$32.45,$33.66,"$28,727,360","$285,111,362"
"Nov 02, 2022",$33.89,$34.15,$31.96,$32.46,"$35,998,255","$274,902,091"
"Nov 01, 2022",$34.95,$35.22,$33.83,$33.90,"$35,443,347","$287,119,489"
"Oct 31, 2022",$36.54,$37.11,$34.79,$34.95,"$40,036,050","$296,070,143"
"Oct 30, 2022",$35.88,$37.13,$35.68,$36.55,"$29,177,138","$309,578,915"
"Oct 29, 2022",$35.44,$36.62,$35.40,$35.88,"$28,095,089","$303,913,662"
"Oct 28, 2022",$34.98,$35.87,$34.41,$35.45,"$18,771,266","$300,229,689"
"Oct 27, 2022",$36.02,$37.17,$34.84,$34.98,"$29,324,883","$296,304,773"
"Oct 26, 2022",$35.00,$36.05,$34.89,$36.01,"$35,819,945","$305,023,101"
"Oct 25, 2022",$34.12,$36.36,$34.12,$35.01,"$35,498,417","$296,500,582"
"Oct 24, 2022",$34.73,$35.03,$33.45,$34.12,"$32,416,539","$288,980,776"
"Oct 23, 2022",$34.57,$34.87,$33.63,$34.72,"$17,967,127","$294,110,887"
"Oct 22, 2022",$35.05,$35.19,$34.44,$34.57,"$15,340,610","$292,852,294"
"Oct 21, 2022",$35.95,$36.05,$34.43,$35.05,"$28,447,017","$296,860,326"
"Oct 20, 2022",$37.06,$38.09,$35.66,$35.95,"$23,021,711","$304,485,912"
"Oct 19, 2022",$37.55,$38.21,$37.00,$37.07,"$19,305,048","$313,959,382"
"Oct 18, 2022",$38.06,$38.27,$36.91,$37.55,"$24,114,590","$318,054,270"
"Oct 17, 2022",$38.68,$39.53,$37.62,$38.06,"$27,998,391","$322,377,841"
"Oct 16, 2022",$38.83,$39.58,$38.52,$38.68,"$17,625,315","$327,590,196"
"Oct 15, 2022",$39.95,$40.27,$38.46,$38.83,"$16,494,507","$328,915,480"
"Oct 14, 2022",$40.74,$42.30,$39.32,$39.95,"$17,121,115","$338,355,330"
