Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01146,$0.01302,$0.01122,$0.01263,"$54,949","$3,413,595"
"Dec 30, 2022",$0.01149,$0.01156,$0.008798,$0.01146,"$36,823","$3,096,436"
"Dec 29, 2022",$0.01028,$0.01159,$0.008568,$0.01148,"$91,244","$3,103,886"
"Dec 28, 2022",$0.01066,$0.01081,$0.01026,$0.01028,"$17,311","$2,777,265"
"Dec 27, 2022",$0.01083,$0.01101,$0.01054,$0.01066,"$17,747","$2,880,252"
"Dec 26, 2022",$0.01119,$0.01163,$0.01073,$0.01083,"$26,242","$2,927,517"
"Dec 25, 2022",$0.01115,$0.01128,$0.009955,$0.0112,"$19,870","$3,027,966"
"Dec 24, 2022",$0.01094,$0.01158,$0.01061,$0.01115,"$27,094","$3,013,725"
"Dec 23, 2022",$0.0109,$0.01104,$0.01039,$0.01094,"$17,640","$2,956,797"
"Dec 22, 2022",$0.01082,$0.01106,$0.01048,$0.0109,"$15,762","$2,945,172"
"Dec 21, 2022",$0.01119,$0.01212,$0.0107,$0.01087,"$15,480","$2,936,658"
"Dec 20, 2022",$0.01116,$0.0122,$0.01061,$0.01119,"$16,081","$3,023,285"
"Dec 19, 2022",$0.01147,$0.01153,$0.01087,$0.01116,"$15,309","$3,015,430"
"Dec 18, 2022",$0.01132,$0.01168,$0.01113,$0.01148,"$16,528","$3,103,016"
"Dec 17, 2022",$0.01113,$0.01207,$0.01098,$0.01125,"$25,148","$3,040,355"
"Dec 16, 2022",$0.01155,$0.01167,$0.01085,$0.01113,"$23,610","$3,008,251"
"Dec 15, 2022",$0.01146,$0.01248,$0.01125,$0.01154,"$32,034","$3,119,216"
"Dec 14, 2022",$0.0119,$0.01221,$0.01112,$0.0115,"$31,271","$3,106,797"
"Dec 13, 2022",$0.01199,$0.01247,$0.01132,$0.01189,"$63,100","$3,214,579"
"Dec 12, 2022",$0.01119,$0.01749,$0.01053,$0.0119,"$387,315","$3,214,954"
"Dec 11, 2022",$0.01172,$0.01309,$0.0111,$0.0112,"$62,463","$3,027,264"
"Dec 10, 2022",$0.01161,$0.01222,$0.01115,$0.01172,"$14,244","$3,166,681"
"Dec 09, 2022",$0.012,$0.01266,$0.01157,$0.01161,"$13,323","$3,138,463"
"Dec 08, 2022",$0.01172,$0.01211,$0.01089,$0.01201,"$23,928","$3,246,770"
"Dec 07, 2022",$0.01187,$0.01194,$0.01089,$0.01172,"$20,859","$3,168,550"
"Dec 06, 2022",$0.01241,$0.01247,$0.01096,$0.01187,"$14,840","$3,207,201"
"Dec 05, 2022",$0.01276,$0.0128,$0.01198,$0.0124,"$16,282","$3,350,787"
"Dec 04, 2022",$0.01279,$0.01357,$0.01268,$0.01276,"$15,845","$3,449,067"
