Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.003373,$0.003373,$0.003214,$0.003262,"$749,782","$3,575,987"
"Dec 30, 2022",$0.003341,$0.003384,$0.003313,$0.003372,"$754,639","$3,697,131"
"Dec 29, 2022",$0.003278,$0.003383,$0.00327,$0.003341,"$749,956","$3,810,378"
"Dec 28, 2022",$0.002904,$0.003341,$0.002896,$0.003278,"$737,902","$3,279,778"
"Dec 27, 2022",$0.00283,$0.002936,$0.002825,$0.002902,"$792,373","$2,902,696"
"Dec 26, 2022",$0.002797,$0.00288,$0.002768,$0.00283,"$756,472","$2,831,406"
"Dec 25, 2022",$0.0028,$0.002812,$0.002789,$0.002797,"$769,203","$2,798,280"
"Dec 24, 2022",$0.002818,$0.002824,$0.002793,$0.002801,"$800,187","$2,801,619"
"Dec 23, 2022",$0.002758,$0.002836,$0.002709,$0.002819,"$839,430","$2,819,956"
"Dec 22, 2022",$0.00271,$0.002808,$0.002688,$0.002758,"$764,929","$2,758,747"
"Dec 21, 2022",$0.002674,$0.002753,$0.002668,$0.002708,"$736,902","$2,432,181"
"Dec 20, 2022",$0.002627,$0.002678,$0.002558,$0.002674,"$722,537","$2,401,699"
"Dec 19, 2022",$0.002745,$0.002753,$0.002623,$0.002627,"$766,243","$2,359,591"
"Dec 18, 2022",$0.002939,$0.002944,$0.002739,$0.002745,"$736,736","$2,465,762"
"Dec 17, 2022",$0.003097,$0.003099,$0.002932,$0.002932,"$754,527","$2,633,444"
"Dec 16, 2022",$0.003033,$0.003104,$0.003029,$0.003097,"$776,819","$2,781,116"
"Dec 15, 2022",$0.003055,$0.003114,$0.002961,$0.003033,"$765,857","$2,724,078"
"Dec 14, 2022",$0.003002,$0.003096,$0.002986,$0.003056,"$756,338","$2,744,965"
"Dec 13, 2022",$0.003063,$0.003127,$0.002886,$0.002997,"$742,532","$2,692,048"
"Dec 12, 2022",$0.003057,$0.00311,$0.002955,$0.003065,"$615,559","$2,752,671"
"Dec 11, 2022",$0.003025,$0.003152,$0.003019,$0.003057,"$342,124","$2,745,301"
"Dec 10, 2022",$0.002978,$0.003029,$0.002975,$0.003025,"$296,861","$2,716,587"
