Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04144,$0.04172,$0.03918,$0.04037,"$26,398","$15,346,521"
"Dec 30, 2022",$0.04049,$0.04206,$0.03936,$0.04144,"$27,843","$15,753,384"
"Dec 29, 2022",$0.03837,$0.04266,$0.03832,$0.04049,"$46,848","$15,389,438"
"Dec 28, 2022",$0.03972,$0.04154,$0.03833,$0.03837,"$46,865","$14,585,064"
"Dec 27, 2022",$0.04209,$0.04239,$0.0391,$0.03972,"$36,111","$15,097,993"
"Dec 26, 2022",$0.04241,$0.0429,$0.04086,$0.04209,"$29,516","$15,998,499"
"Dec 25, 2022",$0.04165,$0.04272,$0.04042,$0.04241,"$7,137","$16,120,786"
"Dec 24, 2022",$0.04007,$0.04224,$0.03999,$0.04165,"$2,382","$15,830,392"
"Dec 23, 2022",$0.03883,$0.04119,$0.03854,$0.04007,$357,"$15,230,834"
"Dec 22, 2022",$0.04123,$0.04598,$0.03788,$0.03883,$579,"$14,760,975"
"Dec 21, 2022",$0.0429,$0.04312,$0.03768,$0.04123,"$18,786","$15,672,207"
"Dec 20, 2022",$0.04192,$0.04321,$0.04163,$0.04291,"$47,250","$16,309,081"
"Dec 19, 2022",$0.04313,$0.04332,$0.04155,$0.04192,"$54,228","$15,932,300"
"Dec 18, 2022",$0.04314,$0.04374,$0.0424,$0.04313,"$49,644","$16,395,749"
"Dec 17, 2022",$0.04405,$0.04419,$0.04312,$0.04315,"$45,044","$16,399,911"
"Dec 16, 2022",$0.04459,$0.04751,$0.04311,$0.04405,"$63,372","$16,745,212"
"Dec 15, 2022",$0.0444,$0.0449,$0.04342,$0.04459,"$49,475","$16,947,477"
"Dec 14, 2022",$0.04455,$0.04552,$0.04368,$0.0444,"$81,938","$16,876,545"
"Dec 13, 2022",$0.04539,$0.04725,$0.04454,$0.04455,"$143,447","$16,932,258"
"Dec 12, 2022",$0.0434,$0.04539,$0.04328,$0.04539,"$122,163","$17,251,771"
"Dec 11, 2022",$0.04328,$0.04417,$0.04276,$0.0434,"$80,170","$16,498,050"
"Dec 10, 2022",$0.04384,$0.0463,$0.04264,$0.04328,"$70,817","$16,450,358"
"Dec 09, 2022",$0.04329,$0.04554,$0.04213,$0.04384,"$95,769","$16,663,869"
"Dec 08, 2022",$0.04484,$0.04499,$0.04316,$0.04329,"$42,273","$16,454,541"
"Dec 07, 2022",$0.04598,$0.04598,$0.04329,$0.04484,"$42,266","$17,042,556"
"Dec 06, 2022",$0.04619,$0.04628,$0.04503,$0.04598,"$41,373","$17,477,197"
"Dec 05, 2022",$0.04457,$0.04706,$0.04454,$0.04619,"$58,241","$17,556,127"
"Dec 04, 2022",$0.04562,$0.04739,$0.04442,$0.04458,"$52,327","$16,944,070"
"Dec 03, 2022",$0.0447,$0.04765,$0.0447,$0.04562,"$54,868","$17,341,940"
"Dec 02, 2022",$0.04426,$0.04574,$0.0437,$0.0447,"$40,891","$16,991,746"
"Dec 01, 2022",$0.04478,$0.04609,$0.04353,$0.04426,"$65,439","$16,824,683"
"Nov 30, 2022",$0.0439,$0.04602,$0.04385,$0.04478,"$81,990","$17,022,675"
"Nov 29, 2022",$0.04356,$0.04618,$0.04355,$0.0439,"$41,309","$16,685,577"
"Nov 28, 2022",$0.04555,$0.04619,$0.04347,$0.04356,"$45,520","$16,558,867"
"Nov 27, 2022",$0.04426,$0.0466,$0.04402,$0.04555,"$36,928","$17,314,410"
"Nov 26, 2022",$0.04354,$0.04467,$0.04264,$0.04426,"$71,018","$16,824,400"
"Nov 25, 2022",$0.04444,$0.04618,$0.04256,$0.04354,"$90,023","$16,549,575"
"Nov 24, 2022",$0.04214,$0.04563,$0.042,$0.04444,"$87,341","$16,891,283"
"Nov 23, 2022",$0.041,$0.04277,$0.04095,$0.04214,"$31,913","$16,018,482"
"Nov 22, 2022",$0.04119,$0.04252,$0.03847,$0.041,"$22,129","$15,584,959"
"Nov 21, 2022",$0.04491,$0.04507,$0.04022,$0.04119,"$48,905","$15,658,306"
"Nov 20, 2022",$0.04536,$0.04675,$0.04456,$0.04491,"$41,961","$17,069,530"
"Nov 19, 2022",$0.04238,$0.04622,$0.04139,$0.04536,"$51,958","$17,243,118"
"Nov 18, 2022",$0.04141,$0.04271,$0.03849,$0.04238,"$114,322","$16,108,637"
"Nov 17, 2022",$0.04221,$0.04374,$0.04127,$0.04141,"$228,496","$15,739,459"
"Nov 16, 2022",$0.04329,$0.0434,$0.04155,$0.0422,"$227,544","$16,041,472"
"Nov 15, 2022",$0.04376,$0.04531,$0.04068,$0.04329,"$254,172","$16,454,143"
"Nov 14, 2022",$0.04334,$0.05417,$0.04173,$0.04376,"$178,096","$16,632,513"
"Nov 13, 2022",$0.04575,$0.049,$0.0417,$0.04334,"$239,964","$16,474,195"
"Nov 12, 2022",$0.05008,$0.05182,$0.04333,$0.04575,"$284,932","$17,389,654"
"Nov 11, 2022",$0.0484,$0.0501,$0.04578,$0.05008,"$263,730","$19,034,774"
"Nov 10, 2022",$0.04471,$0.05327,$0.04361,$0.04841,"$308,393","$18,399,175"
"Nov 09, 2022",$0.05019,$0.05183,$0.04438,$0.04471,"$280,582","$16,995,533"
"Nov 08, 2022",$0.05445,$0.05526,$0.04825,$0.05019,"$297,976","$19,077,312"
"Nov 07, 2022",$0.05503,$0.05621,$0.05237,$0.05445,"$146,785","$20,696,801"
"Nov 06, 2022",$0.05577,$0.05643,$0.05227,$0.05503,"$73,476","$20,916,040"
"Nov 05, 2022",$0.05609,$0.05851,$0.0545,$0.05577,"$155,197","$21,197,353"
"Nov 04, 2022",$0.05437,$0.05754,$0.05405,$0.05609,"$352,044","$21,321,716"
"Nov 03, 2022",$0.05407,$0.05531,$0.05356,$0.05437,"$347,708","$20,665,469"
"Nov 02, 2022",$0.05496,$0.05711,$0.05255,$0.05407,"$189,787","$20,551,919"
"Nov 01, 2022",$0.05625,$0.05779,$0.05322,$0.05496,"$17,554","$20,891,669"
"Oct 31, 2022",$0.05512,$0.05818,$0.05198,$0.05625,"$31,943","$21,382,484"
"Oct 30, 2022",$0.05571,$0.05929,$0.05314,$0.05512,"$15,461","$20,951,728"
"Oct 29, 2022",$0.0561,$0.05849,$0.05338,$0.05571,"$11,359","$21,177,219"
"Oct 28, 2022",$0.05574,$0.05635,$0.0487,$0.05611,"$39,674","$21,326,718"
