Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2687,$0.2712,$0.2669,$0.2669,"$12,399","$7,646,463"
"Dec 30, 2022",$0.2717,$0.272,$0.267,$0.2685,"$15,229","$7,693,895"
"Dec 29, 2022",$0.2733,$0.2751,$0.271,$0.2717,"$26,677","$7,785,837"
"Dec 28, 2022",$0.2664,$0.279,$0.2613,$0.2733,"$111,446","$7,832,371"
"Dec 27, 2022",$0.2623,$0.2758,$0.2573,$0.2664,"$65,111","$7,633,314"
"Dec 26, 2022",$0.2558,$0.2626,$0.2553,$0.2624,"$17,230","$7,518,143"
"Dec 25, 2022",$0.2553,$0.2559,$0.2511,$0.2556,"$5,047","$7,323,454"
"Dec 24, 2022",$0.2554,$0.2563,$0.2514,$0.2553,"$4,280","$7,315,078"
"Dec 23, 2022",$0.2565,$0.2587,$0.2542,$0.2555,"$5,184","$7,320,355"
"Dec 22, 2022",$0.2569,$0.2593,$0.2497,$0.2567,"$13,766","$7,356,255"
"Dec 21, 2022",$0.2566,$0.2572,$0.2519,$0.2568,$867,"$7,357,638"
"Dec 20, 2022",$0.2496,$0.259,$0.249,$0.2566,"$16,328","$7,351,541"
"Dec 19, 2022",$0.2542,$0.2566,$0.2468,$0.2496,"$21,090","$7,152,111"
"Dec 18, 2022",$0.2604,$0.2613,$0.254,$0.2542,"$20,982","$7,284,330"
"Dec 17, 2022",$0.2594,$0.2622,$0.2579,$0.2604,"$21,369","$7,460,304"
"Dec 16, 2022",$0.2835,$0.2853,$0.2575,$0.2595,"$22,981","$7,436,471"
"Dec 15, 2022",$0.2915,$0.2921,$0.2823,$0.2834,"$39,554","$8,121,397"
"Dec 14, 2022",$0.304,$0.3053,$0.2908,$0.2912,"$38,937","$8,344,498"
"Dec 13, 2022",$0.3049,$0.3134,$0.2981,$0.3039,"$43,329","$8,709,120"
"Dec 12, 2022",$0.3042,$0.3052,$0.2976,$0.3049,"$17,020","$8,737,030"
"Dec 11, 2022",$0.3034,$0.309,$0.3032,$0.3042,"$4,638","$8,717,836"
"Dec 10, 2022",$0.3049,$0.3082,$0.3028,$0.3034,"$15,007","$8,693,360"
"Dec 09, 2022",$0.3114,$0.314,$0.3038,$0.3049,"$8,379","$8,735,732"
"Dec 08, 2022",$0.3086,$0.3142,$0.3063,$0.3114,"$33,908","$8,921,956"
"Dec 07, 2022",$0.3202,$0.3208,$0.3067,$0.3086,"$22,638","$8,842,462"
"Dec 06, 2022",$0.3209,$0.3234,$0.317,$0.32,"$17,113","$9,170,261"
"Dec 05, 2022",$0.3367,$0.3432,$0.3181,$0.3209,"$76,306","$9,195,154"
"Dec 04, 2022",$0.3363,$0.3424,$0.3325,$0.3369,"$46,304","$9,653,303"
"Dec 03, 2022",$0.3409,$0.3427,$0.3318,$0.336,"$30,147","$9,627,286"
"Dec 02, 2022",$0.3313,$0.3412,$0.3295,$0.3412,"$15,356","$9,777,388"
"Dec 01, 2022",$0.3347,$0.3352,$0.3293,$0.3311,"$36,969","$9,486,568"
"Nov 30, 2022",$0.3164,$0.3419,$0.316,$0.3347,"$94,507","$9,591,768"
"Nov 29, 2022",$0.317,$0.3278,$0.3152,$0.3164,"$46,626","$9,066,967"
"Nov 28, 2022",$0.3219,$0.3242,$0.3131,$0.3172,"$23,496","$9,087,831"
"Nov 27, 2022",$0.3255,$0.3299,$0.3216,$0.3219,"$7,653","$9,224,514"
"Nov 26, 2022",$0.3256,$0.3314,$0.3236,$0.3257,"$8,676","$9,332,525"
"Nov 25, 2022",$0.3208,$0.327,$0.3164,$0.3257,"$19,858","$9,331,684"
"Nov 24, 2022",$0.32,$0.325,$0.3169,$0.3208,"$14,508","$9,191,078"
"Nov 23, 2022",$0.3051,$0.3209,$0.3031,$0.32,"$113,074","$9,168,869"
"Nov 22, 2022",$0.2997,$0.3065,$0.2915,$0.3051,"$85,332","$8,742,660"
"Nov 21, 2022",$0.3191,$0.3202,$0.2957,$0.2997,"$76,917","$8,586,981"
"Nov 20, 2022",$0.3355,$0.3372,$0.316,$0.3192,"$44,906","$9,147,660"
"Nov 19, 2022",$0.3319,$0.3382,$0.3293,$0.3355,"$11,291","$9,612,558"
"Nov 18, 2022",$0.3242,$0.3326,$0.3239,$0.3322,"$13,969","$9,518,420"
"Nov 17, 2022",$0.3217,$0.327,$0.3164,$0.3241,"$23,943","$9,287,015"
"Nov 16, 2022",$0.3255,$0.3292,$0.3146,$0.3219,"$12,233","$9,224,491"
"Nov 15, 2022",$0.3274,$0.3386,$0.3223,$0.3254,"$101,708","$9,325,134"
"Nov 14, 2022",$0.3058,$0.3416,$0.2937,$0.3274,"$189,916","$9,380,904"
"Nov 13, 2022",$0.3101,$0.3147,$0.3009,$0.3057,"$51,709","$8,760,051"
"Nov 12, 2022",$0.3119,$0.3157,$0.3029,$0.3098,"$43,278","$8,878,148"
"Nov 11, 2022",$0.3424,$0.3455,$0.3073,$0.3119,"$203,348","$8,937,066"
"Nov 10, 2022",$0.2957,$0.3634,$0.2938,$0.3427,"$329,340","$9,819,887"
"Nov 09, 2022",$0.3587,$0.3595,$0.2942,$0.2965,"$285,741","$8,494,506"
"Nov 08, 2022",$0.3974,$0.3996,$0.3463,$0.3586,"$252,822","$10,274,012"
"Nov 07, 2022",$0.3952,$0.407,$0.3932,$0.3974,"$39,668","$11,386,033"
"Nov 06, 2022",$0.4091,$0.4102,$0.3948,$0.3954,"$27,457","$11,329,260"
"Nov 05, 2022",$0.4165,$0.4213,$0.4064,$0.4091,"$45,250","$11,720,935"
"Nov 04, 2022",$0.4031,$0.4226,$0.4021,$0.4168,"$102,581","$11,943,905"
"Nov 03, 2022",$0.4075,$0.409,$0.3966,$0.4031,"$110,062","$11,550,528"
"Nov 02, 2022",$0.42,$0.4288,$0.4054,$0.4075,"$98,518","$11,676,457"
