Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$68.00,$70.89,$67.79,$70.00,"$367,586,009","$5,036,500,357"
"Dec 30, 2022",$66.75,$68.33,$66.32,$67.99,"$324,391,932","$4,891,934,540"
"Dec 29, 2022",$66.34,$67.17,$65.93,$66.75,"$337,784,432","$4,801,994,389"
"Dec 28, 2022",$68.75,$69.22,$66.11,$66.34,"$457,672,812","$4,771,857,106"
"Dec 27, 2022",$70.68,$70.84,$67.97,$68.75,"$440,850,738","$4,944,646,482"
"Dec 26, 2022",$69.21,$70.83,$68.71,$70.68,"$457,389,047","$5,083,451,815"
"Dec 25, 2022",$65.77,$69.36,$65.54,$69.21,"$335,124,962","$4,976,584,253"
"Dec 24, 2022",$65.77,$66.01,$65.26,$65.77,"$178,396,939","$4,729,339,271"
"Dec 23, 2022",$66.15,$66.60,$65.45,$65.77,"$306,694,378","$4,728,712,641"
"Dec 22, 2022",$65.40,$66.51,$64.52,$66.15,"$368,489,876","$4,755,510,130"
"Dec 21, 2022",$65.74,$66.65,$64.90,$65.39,"$375,489,125","$4,700,388,958"
"Dec 20, 2022",$63.35,$65.95,$63.24,$65.75,"$519,783,204","$4,725,398,168"
"Dec 19, 2022",$64.56,$64.83,$61.86,$63.34,"$461,264,127","$4,552,060,087"
"Dec 18, 2022",$64.96,$65.64,$63.56,$64.55,"$335,700,601","$4,638,753,557"
"Dec 17, 2022",$66.33,$67.53,$63.49,$64.96,"$688,308,693","$4,667,289,149"
"Dec 16, 2022",$72.34,$73.46,$65.80,$66.33,"$725,577,784","$4,765,168,477"
"Dec 15, 2022",$75.47,$75.47,$72.18,$72.34,"$471,322,636","$5,196,379,117"
"Dec 14, 2022",$77.35,$78.96,$75.32,$75.48,"$583,539,478","$5,421,407,226"
"Dec 13, 2022",$76.21,$79.52,$74.82,$77.34,"$680,106,244","$5,555,056,096"
"Dec 12, 2022",$76.63,$76.63,$73.82,$76.22,"$463,127,138","$5,473,862,857"
"Dec 11, 2022",$76.37,$78.26,$76.37,$76.63,"$286,405,662","$5,502,496,995"
"Dec 10, 2022",$76.34,$77.32,$75.99,$76.37,"$272,669,009","$5,483,511,130"
"Dec 09, 2022",$78.39,$78.57,$76.10,$76.33,"$440,676,994","$5,480,383,287"
"Dec 08, 2022",$77.03,$78.54,$74.82,$78.39,"$612,007,545","$5,627,358,523"
"Dec 07, 2022",$79.92,$80.22,$76.17,$77.04,"$569,587,946","$5,529,660,197"
"Dec 06, 2022",$80.26,$81.64,$77.90,$79.92,"$561,961,413","$5,736,181,061"
"Dec 05, 2022",$77.20,$83.82,$76.93,$80.26,"$974,931,920","$5,760,129,139"
"Dec 04, 2022",$76.59,$77.22,$75.93,$77.21,"$322,480,996","$5,540,783,571"
"Dec 03, 2022",$77.95,$77.95,$75.74,$76.60,"$348,753,640","$5,495,983,528"
"Dec 02, 2022",$77.52,$77.96,$75.75,$77.95,"$458,462,393","$5,592,512,108"
"Dec 01, 2022",$79.29,$79.95,$76.67,$77.52,"$662,986,878","$5,560,825,163"
"Nov 30, 2022",$75.99,$79.79,$75.76,$79.30,"$730,020,088","$5,687,898,869"
"Nov 29, 2022",$74.09,$77.37,$73.68,$75.98,"$784,423,812","$5,449,623,008"
"Nov 28, 2022",$75.05,$75.28,$70.89,$74.12,"$848,737,350","$5,315,439,846"
"Nov 27, 2022",$76.38,$78.89,$74.85,$75.04,"$622,191,865","$5,381,161,230"
"Nov 26, 2022",$74.02,$79.25,$74.02,$76.37,"$765,406,705","$5,475,892,359"
"Nov 25, 2022",$78.81,$78.86,$73.60,$74.03,"$891,650,503","$5,307,329,442"
"Nov 24, 2022",$79.00,$79.03,$76.01,$78.83,"$1,248,286,495","$5,650,987,956"
"Nov 23, 2022",$70.46,$81.56,$69.79,$79.00,"$2,115,042,339","$5,662,590,050"
"Nov 22, 2022",$61.36,$70.50,$61.30,$70.44,"$1,313,490,535","$5,048,664,329"
"Nov 21, 2022",$62.00,$63.19,$59.81,$61.37,"$869,131,451","$4,398,196,486"
"Nov 20, 2022",$63.81,$64.51,$60.91,$62.00,"$608,805,129","$4,442,808,058"
"Nov 19, 2022",$62.64,$64.29,$61.63,$63.81,"$536,167,505","$4,572,081,221"
"Nov 18, 2022",$62.49,$63.61,$61.68,$62.64,"$658,083,895","$4,487,887,428"
"Nov 17, 2022",$57.52,$62.91,$57.27,$62.48,"$781,698,635","$4,476,010,245"
"Nov 16, 2022",$58.00,$59.98,$56.98,$57.52,"$589,292,031","$4,119,760,732"
"Nov 15, 2022",$56.54,$59.43,$56.54,$58.01,"$554,300,042","$4,154,478,515"
"Nov 14, 2022",$57.47,$59.03,$53.98,$56.55,"$812,582,160","$4,049,405,255"
"Nov 13, 2022",$59.86,$60.19,$56.75,$57.49,"$514,877,448","$4,116,374,478"
"Nov 12, 2022",$61.26,$61.48,$58.68,$59.86,"$694,111,623","$4,285,538,241"
"Nov 11, 2022",$60.35,$63.74,$59.21,$61.24,"$1,292,495,839","$4,384,389,627"
"Nov 10, 2022",$50.65,$61.06,$50.27,$60.36,"$1,623,775,451","$4,320,849,873"
"Nov 09, 2022",$57.44,$59.55,$49.33,$50.66,"$1,725,423,337","$3,625,957,648"
"Nov 08, 2022",$67.64,$68.27,$56.01,$57.39,"$1,854,346,680","$4,107,494,539"
"Nov 07, 2022",$68.11,$72.61,$67.28,$67.65,"$1,373,144,070","$4,841,330,525"
"Nov 06, 2022",$69.69,$70.47,$67.89,$68.09,"$1,004,920,656","$4,871,861,329"
"Nov 05, 2022",$67.59,$71.28,$67.29,$69.72,"$1,505,513,756","$4,988,350,168"
"Nov 04, 2022",$61.92,$69.37,$61.81,$67.60,"$2,151,904,532","$4,835,822,204"
"Nov 03, 2022",$60.56,$64.29,$60.42,$61.92,"$1,257,411,661","$4,429,355,828"
"Nov 02, 2022",$55.13,$62.12,$54.83,$60.56,"$1,674,017,428","$4,331,407,568"
"Nov 01, 2022",$55.09,$55.83,$54.64,$55.13,"$427,975,211","$3,942,517,637"
"Oct 31, 2022",$55.38,$56.29,$54.23,$55.08,"$530,884,510","$3,939,048,365"
"Oct 30, 2022",$56.51,$57.30,$54.91,$55.39,"$476,487,677","$3,960,493,207"
"Oct 29, 2022",$55.00,$57.39,$54.78,$56.50,"$680,353,979","$4,039,234,016"
