Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.000649,$0.0006832,$0.0006479,$0.0006742,"$216,703","$2,665,662"
"Dec 30, 2022",$0.0006509,$0.0006519,$0.0006416,$0.0006485,"$208,928","$2,563,971"
"Dec 29, 2022",$0.0006426,$0.0006582,$0.0006407,$0.0006509,"$192,264","$2,573,262"
"Dec 28, 2022",$0.0006335,$0.0006551,$0.0006302,$0.0006426,"$166,911","$2,540,447"
"Dec 27, 2022",$0.0006772,$0.0006772,$0.0006229,$0.0006336,"$149,194","$2,496,582"
"Dec 26, 2022",$0.0006402,$0.000678,$0.0006393,$0.0006773,"$183,749","$2,668,972"
"Dec 25, 2022",$0.0006746,$0.0006761,$0.0006204,$0.0006397,"$165,255","$2,520,662"
"Dec 24, 2022",$0.0006463,$0.0006751,$0.0006443,$0.0006746,"$204,270","$2,658,144"
"Dec 23, 2022",$0.0006269,$0.0006475,$0.0006065,$0.0006464,"$182,685","$2,547,122"
"Dec 22, 2022",$0.0006496,$0.0006648,$0.0006028,$0.0006269,"$224,666","$2,470,422"
"Dec 21, 2022",$0.0006788,$0.0006795,$0.0006486,$0.0006493,"$192,783","$2,557,601"
"Dec 20, 2022",$0.0006794,$0.0006857,$0.0006562,$0.0006788,"$183,415","$2,673,830"
"Dec 19, 2022",$0.0007942,$0.0008041,$0.0006717,$0.0006794,"$312,499","$2,676,245"
"Dec 18, 2022",$0.0006806,$0.0008173,$0.0006562,$0.0007942,"$379,398","$3,117,870"
"Dec 17, 2022",$0.0007006,$0.0007043,$0.0006437,$0.0006806,"$170,347","$2,672,111"
"Dec 16, 2022",$0.0007784,$0.0007833,$0.0006835,$0.0007006,"$196,896","$2,750,433"
"Dec 15, 2022",$0.0008639,$0.000875,$0.0007446,$0.0007783,"$179,810","$3,055,477"
"Dec 14, 2022",$0.0009061,$0.0009462,$0.0008404,$0.0008631,"$228,997","$3,388,666"
"Dec 13, 2022",$0.0009554,$0.001007,$0.0008343,$0.0009058,"$344,307","$3,555,935"
"Dec 12, 2022",$0.001236,$0.001254,$0.0009074,$0.0009553,"$589,997","$3,750,367"
"Dec 11, 2022",$0.0009691,$0.001536,$0.0009494,$0.001236,"$1,447,589","$4,838,114"
"Dec 10, 2022",$0.001038,$0.001046,$0.0009454,$0.0009691,"$216,007","$3,791,894"
"Dec 09, 2022",$0.0009008,$0.001135,$0.0008668,$0.001038,"$444,326","$4,062,035"
"Dec 08, 2022",$0.000813,$0.0009736,$0.0007836,$0.0009008,"$294,966","$3,524,840"
"Dec 07, 2022",$0.0008131,$0.0008568,$0.0007855,$0.000813,"$129,030","$3,180,735"
"Dec 06, 2022",$0.0008118,$0.0008244,$0.0007952,$0.0008128,"$133,807","$3,180,208"
"Dec 05, 2022",$0.0008753,$0.0009586,$0.0008087,$0.0008118,"$144,122","$3,176,068"
"Dec 04, 2022",$0.0007808,$0.0009092,$0.0007797,$0.0008759,"$195,799","$3,415,342"
"Dec 03, 2022",$0.0008723,$0.0008769,$0.0007739,$0.0007801,"$267,036","$3,041,794"
"Dec 02, 2022",$0.0007809,$0.0008773,$0.0007789,$0.0008732,"$277,760","$3,404,790"
"Dec 01, 2022",$0.0007385,$0.0007834,$0.0007149,$0.0007803,"$180,152","$3,042,444"
"Nov 30, 2022",$0.0007334,$0.0007714,$0.0007003,$0.0007385,"$146,824","$2,861,413"
"Nov 29, 2022",$0.0007141,$0.0007679,$0.0006984,$0.0007334,"$165,772","$2,841,627"
"Nov 28, 2022",$0.0007122,$0.0007387,$0.000693,$0.0007143,"$149,068","$2,767,621"
"Nov 27, 2022",$0.0007636,$0.0007719,$0.0006934,$0.0007122,"$154,426","$2,749,919"
"Nov 26, 2022",$0.0007286,$0.0007677,$0.0006998,$0.0007641,"$224,716","$2,950,286"
"Nov 25, 2022",$0.0007264,$0.0007671,$0.0007042,$0.0007287,"$257,690","$2,813,529"
"Nov 24, 2022",$0.0007085,$0.0008593,$0.0007058,$0.0007264,"$344,745","$2,804,596"
"Nov 23, 2022",$0.0007324,$0.0007791,$0.0006648,$0.0007084,"$549,564","$2,735,231"
"Nov 22, 2022",$0.0006145,$0.001137,$0.0005996,$0.0007325,"$717,200","$2,828,194"
"Nov 21, 2022",$0.0006759,$0.0006765,$0.0006001,$0.0006144,"$216,200","$2,372,386"
"Nov 20, 2022",$0.0008381,$0.0008645,$0.0006434,$0.0006762,"$566,109","$2,475,249"
"Nov 19, 2022",$0.0006174,$0.000975,$0.0006108,$0.0008381,"$1,114,456","$3,067,987"
"Nov 18, 2022",$0.0006566,$0.0006723,$0.0006058,$0.0006179,"$214,666","$2,261,584"
"Nov 17, 2022",$0.0006733,$0.0006798,$0.0006556,$0.0006565,"$171,093","$2,402,818"
"Nov 16, 2022",$0.0006357,$0.0006763,$0.0006209,$0.0006737,"$243,469","$2,238,656"
"Nov 15, 2022",$0.0006291,$0.000656,$0.0006272,$0.0006355,"$214,384","$2,111,903"
"Nov 14, 2022",$0.0006626,$0.0006887,$0.0006141,$0.000629,"$180,340","$2,090,191"
"Nov 13, 2022",$0.0007357,$0.0009635,$0.0006545,$0.0006625,"$318,124","$2,192,750"
"Nov 12, 2022",$0.0008021,$0.0008035,$0.0007218,$0.0007352,"$207,089","$2,432,326"
"Nov 11, 2022",$0.0008232,$0.0008281,$0.0007667,$0.0008022,"$153,405","$2,653,266"
"Nov 10, 2022",$0.0007645,$0.0009037,$0.0007594,$0.000824,"$172,399","$2,724,749"
"Nov 09, 2022",$0.000831,$0.0008492,$0.0007371,$0.0007663,"$263,096","$2,397,544"
"Nov 08, 2022",$0.0009951,$0.001015,$0.0007838,$0.0008307,"$264,498","$2,599,070"
"Nov 07, 2022",$0.001024,$0.001092,$0.0009854,$0.0009951,"$272,674","$3,113,185"
"Nov 06, 2022",$0.001065,$0.001146,$0.001023,$0.001025,"$298,651","$3,191,985"
"Nov 05, 2022",$0.001037,$0.00107,$0.001032,$0.001065,"$230,128","$3,317,537"
"Nov 04, 2022",$0.0009904,$0.001287,$0.0009774,$0.001038,"$398,309","$3,232,856"
"Nov 03, 2022",$0.0009648,$0.001007,$0.000963,$0.0009904,"$197,368","$3,082,891"
"Nov 02, 2022",$0.0009553,$0.001009,$0.0009397,$0.0009654,"$190,334","$3,005,177"
