Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1413,$0.1455,$0.1413,$0.1434,"$2,521,918","$67,349,351"
"Dec 30, 2022",$0.1514,$0.1515,$0.1388,$0.1413,"$3,072,810","$66,342,603"
"Dec 29, 2022",$0.1495,$0.1515,$0.1474,$0.1515,"$4,043,043","$71,112,313"
"Dec 28, 2022",$0.1516,$0.1533,$0.1447,$0.1495,"$4,762,263","$70,207,645"
"Dec 27, 2022",$0.1473,$0.1548,$0.1473,$0.1517,"$4,300,553","$71,240,306"
"Dec 26, 2022",$0.1461,$0.1474,$0.1435,$0.1474,"$2,268,581","$69,210,015"
"Dec 25, 2022",$0.1427,$0.1469,$0.1421,$0.1461,"$4,014,166","$68,588,519"
"Dec 24, 2022",$0.1454,$0.1459,$0.1419,$0.1427,"$2,785,033","$67,013,108"
"Dec 23, 2022",$0.1447,$0.1474,$0.1433,$0.1454,"$2,885,751","$68,272,257"
"Dec 22, 2022",$0.1502,$0.1505,$0.1396,$0.1446,"$3,768,504","$67,917,458"
"Dec 21, 2022",$0.1556,$0.1583,$0.1499,$0.1502,"$4,575,003","$70,524,710"
"Dec 20, 2022",$0.1432,$0.1561,$0.1428,$0.1556,"$3,217,727","$73,039,893"
"Dec 19, 2022",$0.1573,$0.1583,$0.142,$0.1432,"$4,669,429","$67,233,371"
"Dec 18, 2022",$0.1573,$0.1593,$0.1534,$0.1573,"$2,358,317","$73,843,656"
"Dec 17, 2022",$0.1494,$0.1576,$0.1473,$0.1573,"$9,425,346","$73,860,555"
"Dec 16, 2022",$0.1637,$0.1686,$0.1468,$0.1493,"$4,902,265","$70,120,760"
"Dec 15, 2022",$0.1754,$0.1817,$0.1634,$0.1636,"$3,864,737","$76,837,391"
"Dec 14, 2022",$0.1845,$0.1853,$0.1744,$0.1754,"$7,418,945","$82,338,804"
"Dec 13, 2022",$0.1675,$0.1912,$0.1665,$0.1844,"$9,686,850","$86,596,929"
"Dec 12, 2022",$0.1794,$0.1796,$0.1637,$0.1675,"$9,627,875","$78,644,900"
"Dec 11, 2022",$0.16,$0.18,$0.1597,$0.1794,"$10,290,570","$84,230,909"
"Dec 10, 2022",$0.1432,$0.1641,$0.1423,$0.1599,"$6,004,341","$75,074,199"
"Dec 09, 2022",$0.1379,$0.1456,$0.1361,$0.1432,"$3,730,184","$67,247,685"
"Dec 08, 2022",$0.1349,$0.1391,$0.1341,$0.1379,"$3,102,677","$64,759,628"
"Dec 07, 2022",$0.1406,$0.147,$0.1332,$0.1349,"$5,567,853","$63,335,641"
"Dec 06, 2022",$0.1408,$0.1451,$0.1363,$0.1406,"$3,118,034","$66,002,438"
"Dec 05, 2022",$0.1417,$0.146,$0.1382,$0.1408,"$3,881,697","$66,130,739"
"Dec 04, 2022",$0.1354,$0.1422,$0.1352,$0.1417,"$2,921,496","$66,545,950"
"Dec 03, 2022",$0.1444,$0.1444,$0.1343,$0.1353,"$3,071,986","$63,546,978"
"Dec 02, 2022",$0.1415,$0.1455,$0.1376,$0.1444,"$6,659,467","$67,821,536"
"Dec 01, 2022",$0.1497,$0.151,$0.1408,$0.141,"$3,289,950","$66,206,939"
"Nov 30, 2022",$0.1331,$0.1513,$0.1328,$0.1497,"$6,226,230","$70,278,365"
"Nov 29, 2022",$0.1296,$0.1352,$0.1287,$0.1327,"$3,276,902","$62,304,532"
"Nov 28, 2022",$0.1299,$0.1304,$0.1252,$0.1296,"$3,309,343","$60,869,080"
"Nov 27, 2022",$0.1303,$0.1335,$0.1299,$0.1299,"$2,646,970","$61,012,346"
"Nov 26, 2022",$0.1312,$0.1343,$0.1296,$0.1303,"$3,918,867","$61,177,404"
"Nov 25, 2022",$0.1299,$0.1351,$0.1277,$0.1312,"$4,056,935","$61,600,314"
"Nov 24, 2022",$0.1304,$0.1323,$0.1284,$0.13,"$2,545,707","$61,019,529"
"Nov 23, 2022",$0.1226,$0.1308,$0.1222,$0.1305,"$2,982,016","$61,254,123"
"Nov 22, 2022",$0.1191,$0.1244,$0.1163,$0.1226,"$3,816,930","$57,553,581"
"Nov 21, 2022",$0.1234,$0.1248,$0.1162,$0.1191,"$2,880,301","$55,917,995"
"Nov 20, 2022",$0.1374,$0.1386,$0.1226,$0.1235,"$3,699,398","$57,969,309"
"Nov 19, 2022",$0.1384,$0.1387,$0.1359,$0.1374,"$3,033,629","$64,530,124"
"Nov 18, 2022",$0.138,$0.1408,$0.1366,$0.1385,"$3,222,631","$65,015,719"
"Nov 17, 2022",$0.1328,$0.1387,$0.1304,$0.138,"$4,051,321","$64,777,626"
"Nov 16, 2022",$0.1399,$0.1443,$0.1326,$0.1327,"$5,791,825","$62,322,454"
"Nov 15, 2022",$0.1368,$0.1445,$0.136,$0.1399,"$3,302,902","$65,684,017"
"Nov 14, 2022",$0.1321,$0.1372,$0.1262,$0.1369,"$2,821,720","$64,256,746"
"Nov 13, 2022",$0.1411,$0.1448,$0.1309,$0.1321,"$2,571,310","$62,038,041"
"Nov 12, 2022",$0.1529,$0.1531,$0.1396,$0.1411,"$3,152,960","$66,235,946"
"Nov 11, 2022",$0.162,$0.1655,$0.1417,$0.153,"$5,789,413","$71,817,297"
"Nov 10, 2022",$0.1239,$0.1624,$0.1229,$0.162,"$6,264,465","$76,079,418"
"Nov 09, 2022",$0.1723,$0.176,$0.1213,$0.1239,"$8,476,780","$58,181,053"
"Nov 08, 2022",$0.2131,$0.2142,$0.161,$0.1722,"$10,799,089","$80,858,532"
"Nov 07, 2022",$0.2162,$0.2198,$0.2072,$0.2131,"$6,488,027","$100,081,548"
"Nov 06, 2022",$0.24,$0.2403,$0.2161,$0.2162,"$6,240,663","$101,512,209"
"Nov 05, 2022",$0.2383,$0.2529,$0.2349,$0.2402,"$10,681,902","$112,775,673"
"Nov 04, 2022",$0.2068,$0.24,$0.2031,$0.2384,"$11,227,688","$111,942,839"
"Nov 03, 2022",$0.2008,$0.2146,$0.2004,$0.2067,"$7,059,303","$97,070,800"
"Nov 02, 2022",$0.2201,$0.2208,$0.1988,$0.2008,"$16,528,872","$94,299,356"
"Nov 01, 2022",$0.229,$0.2335,$0.2198,$0.2201,"$12,032,953","$103,363,927"
"Oct 31, 2022",$0.2295,$0.2346,$0.2242,$0.229,"$7,119,190","$107,530,775"
"Oct 30, 2022",$0.2296,$0.2352,$0.2234,$0.2296,"$5,168,839","$107,782,800"
"Oct 29, 2022",$0.2215,$0.2322,$0.2193,$0.2297,"$5,836,479","$107,842,311"
"Oct 28, 2022",$0.2166,$0.2242,$0.2125,$0.2215,"$4,685,767","$103,996,670"
"Oct 27, 2022",$0.2242,$0.2302,$0.2158,$0.2166,"$6,051,029","$101,703,135"
"Oct 26, 2022",$0.2107,$0.2271,$0.2104,$0.2243,"$6,306,352","$105,304,516"
