Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$6.49,$7.21,$6.43,$6.87,"$1,097,354","$105,763,812"
"Dec 30, 2022",$6.67,$6.68,$6.24,$6.48,"$673,251","$99,886,645"
"Dec 29, 2022",$6.24,$6.86,$6.20,$6.67,"$1,237,589","$102,754,620"
"Dec 28, 2022",$6.28,$6.52,$5.94,$6.24,"$1,019,418","$96,109,022"
"Dec 27, 2022",$6.23,$6.54,$6.10,$6.28,"$1,158,010","$96,693,520"
"Dec 26, 2022",$6.03,$6.39,$6.01,$6.23,"$984,070","$95,992,551"
"Dec 25, 2022",$5.91,$6.07,$5.83,$6.02,"$580,752","$92,793,858"
"Dec 24, 2022",$5.77,$6.21,$5.75,$5.91,"$793,443","$91,090,385"
"Dec 23, 2022",$5.49,$5.93,$5.48,$5.77,"$876,989","$88,851,730"
"Dec 22, 2022",$5.95,$6.01,$5.10,$5.49,"$1,266,715","$84,640,759"
"Dec 21, 2022",$6.06,$6.40,$5.79,$5.94,"$1,079,912","$91,566,467"
"Dec 20, 2022",$4.96,$6.98,$4.59,$6.06,"$2,372,290","$93,349,586"
"Dec 19, 2022",$5.17,$5.31,$4.96,$4.96,"$511,988","$76,403,287"
"Dec 18, 2022",$5.18,$5.31,$5.02,$5.17,"$555,421","$79,585,600"
"Dec 17, 2022",$5.28,$5.33,$4.90,$5.18,"$762,177","$79,832,665"
"Dec 16, 2022",$5.57,$5.65,$5.22,$5.28,"$682,333","$81,308,427"
"Dec 15, 2022",$5.75,$5.76,$5.34,$5.57,"$663,935","$85,771,232"
"Dec 14, 2022",$5.84,$6.16,$5.72,$5.74,"$865,421","$88,434,414"
"Dec 13, 2022",$5.64,$5.98,$5.57,$5.83,"$705,807","$89,874,595"
"Dec 12, 2022",$5.54,$5.70,$5.31,$5.64,"$679,262","$86,825,769"
"Dec 11, 2022",$5.63,$6.15,$5.54,$5.54,"$833,170","$84,802,611"
"Dec 10, 2022",$5.42,$5.79,$5.38,$5.63,"$570,421","$86,144,445"
"Dec 09, 2022",$5.35,$5.64,$5.32,$5.42,"$501,536","$82,913,198"
"Dec 08, 2022",$5.30,$5.48,$5.24,$5.35,"$540,241","$81,861,976"
"Dec 07, 2022",$5.38,$5.42,$5.11,$5.30,"$562,385","$81,108,491"
"Dec 06, 2022",$5.33,$5.45,$5.25,$5.38,"$548,948","$82,342,337"
"Dec 05, 2022",$5.49,$5.70,$5.20,$5.33,"$822,685","$81,554,597"
"Dec 04, 2022",$5.48,$5.57,$5.26,$5.49,"$877,069","$84,092,634"
"Dec 03, 2022",$5.62,$5.67,$5.38,$5.48,"$968,087","$83,812,935"
"Dec 02, 2022",$5.49,$5.91,$5.41,$5.62,"$993,029","$86,067,520"
"Dec 01, 2022",$5.68,$5.71,$5.39,$5.49,"$1,000,951","$84,021,220"
"Nov 30, 2022",$5.49,$5.87,$5.35,$5.68,"$1,506,199","$86,999,136"
"Nov 29, 2022",$5.28,$5.74,$5.27,$5.49,"$1,083,024","$83,991,662"
"Nov 28, 2022",$5.46,$5.49,$5.22,$5.29,"$902,594","$80,900,833"
