Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.9305,$0.9308,$0.8865,$0.8925,"$443,091","$8,925,247"
"Dec 30, 2022",$0.9302,$0.9307,$0.9264,$0.9305,"$435,444","$9,305,129"
"Dec 29, 2022",$0.9259,$0.9314,$0.9045,$0.9302,"$452,954","$9,301,629"
"Dec 28, 2022",$0.9311,$0.9318,$0.9224,$0.9259,"$412,926","$9,258,767"
"Dec 27, 2022",$0.9315,$0.9318,$0.9271,$0.9311,"$461,028","$9,311,117"
"Dec 26, 2022",$0.9135,$0.932,$0.9057,$0.9315,"$463,674","$9,314,736"
"Dec 25, 2022",$0.924,$0.9401,$0.9094,$0.9135,"$462,528","$9,134,543"
"Dec 24, 2022",$0.9256,$0.9435,$0.898,$0.924,"$456,757","$9,240,474"
"Dec 23, 2022",$0.9218,$0.9435,$0.8921,$0.9256,"$474,198","$9,255,935"
"Dec 22, 2022",$0.916,$0.9221,$0.9124,$0.9218,"$457,334","$9,218,043"
"Dec 21, 2022",$0.9322,$0.9366,$0.9119,$0.916,"$462,644","$9,159,833"
"Dec 20, 2022",$0.9239,$0.9335,$0.9084,$0.9322,"$443,837","$9,322,043"
"Dec 19, 2022",$0.8964,$0.9269,$0.8825,$0.9239,"$319,269","$9,238,710"
"Dec 18, 2022",$0.8862,$0.9261,$0.8787,$0.8964,"$131,813","$8,963,835"
"Dec 17, 2022",$0.8866,$0.9183,$0.876,$0.8862,"$186,176","$8,861,781"
"Dec 16, 2022",$0.8981,$0.9186,$0.8811,$0.8866,"$408,445","$8,865,615"
"Dec 15, 2022",$0.923,$0.9287,$0.8893,$0.8981,"$444,958","$8,981,187"
"Dec 14, 2022",$0.9235,$0.9313,$0.9066,$0.923,"$453,849","$9,229,648"
"Dec 13, 2022",$0.9107,$0.9342,$0.8954,$0.9235,"$369,449","$9,234,760"
"Dec 12, 2022",$0.9163,$0.9164,$0.8823,$0.9107,"$158,397","$9,107,335"
"Dec 11, 2022",$0.9251,$0.929,$0.8798,$0.9163,"$154,543","$9,163,265"
"Dec 10, 2022",$0.9021,$0.9414,$0.8877,$0.9251,"$159,508","$9,251,453"
"Dec 09, 2022",$0.9117,$0.937,$0.876,$0.9021,"$156,732","$9,020,751"
"Dec 08, 2022",$0.9158,$0.921,$0.886,$0.9117,"$137,523","$9,116,683"
"Dec 07, 2022",$0.9158,$0.9336,$0.9047,$0.9158,"$563,533","$9,157,612"
"Dec 06, 2022",$0.923,$0.9544,$0.9134,$0.9158,"$591,057","$9,157,554"
"Dec 05, 2022",$1.01,$1.01,$0.9003,$0.923,"$586,380","$9,230,047"
"Dec 04, 2022",$0.9961,$1.02,$0.9713,$1.01,"$634,712","$10,101,640"
"Dec 03, 2022",$0.981,$1.02,$0.9693,$0.9961,"$646,452","$9,960,670"
"Dec 02, 2022",$1.01,$1.02,$0.9742,$0.981,"$641,321","$9,810,440"
"Dec 01, 2022",$0.9966,$1.03,$0.9332,$1.01,"$287,766","$10,055,218"
