Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.04,$2.12,$2.02,$2.08,"$43,953,416","$141,924,368"
"Dec 30, 2022",$2.08,$2.10,$1.98,$2.04,"$62,128,726","$138,814,132"
"Dec 29, 2022",$2.10,$2.15,$2.03,$2.08,"$69,001,908","$141,760,848"
"Dec 28, 2022",$2.30,$2.30,$2.07,$2.10,"$89,413,460","$143,014,128"
"Dec 27, 2022",$2.37,$2.40,$2.27,$2.30,"$58,766,075","$156,788,115"
"Dec 26, 2022",$2.27,$2.38,$2.26,$2.37,"$55,767,871","$161,723,862"
"Dec 25, 2022",$2.32,$2.34,$2.22,$2.27,"$57,867,161","$154,954,643"
"Dec 24, 2022",$2.39,$2.44,$2.30,$2.32,"$50,634,405","$158,548,252"
"Dec 23, 2022",$2.48,$2.48,$2.37,$2.39,"$73,457,043","$162,784,911"
"Dec 22, 2022",$2.20,$2.50,$2.19,$2.48,"$116,051,341","$169,257,642"
"Dec 21, 2022",$2.35,$2.35,$2.16,$2.20,"$67,582,405","$150,178,832"
"Dec 20, 2022",$2.19,$2.36,$2.19,$2.35,"$84,460,344","$160,174,918"
"Dec 19, 2022",$2.47,$2.53,$2.17,$2.19,"$89,646,715","$149,170,309"
"Dec 18, 2022",$2.60,$2.60,$2.40,$2.47,"$57,805,768","$168,643,779"
"Dec 17, 2022",$2.48,$2.61,$2.44,$2.60,"$78,515,199","$177,020,583"
"Dec 16, 2022",$2.87,$3.06,$2.44,$2.48,"$113,285,998","$169,096,629"
"Dec 15, 2022",$3.06,$3.07,$2.85,$2.87,"$62,276,709","$195,641,894"
"Dec 14, 2022",$3.14,$3.24,$3.05,$3.06,"$87,212,510","$208,484,995"
"Dec 13, 2022",$3.07,$3.19,$2.90,$3.14,"$118,203,788","$213,863,500"
"Dec 12, 2022",$3.09,$3.13,$2.94,$3.07,"$102,411,381","$209,325,613"
"Dec 11, 2022",$3.31,$3.34,$3.06,$3.09,"$71,535,585","$210,576,626"
