Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1047,$0.1071,$0.1041,$0.1057,"$291,819","$12,083,161"
"Dec 30, 2022",$0.1073,$0.1074,$0.1034,$0.1047,"$315,220","$11,974,030"
"Dec 29, 2022",$0.1055,$0.1135,$0.105,$0.1073,"$481,946","$12,268,919"
"Dec 28, 2022",$0.107,$0.1088,$0.104,$0.1055,"$357,549","$12,066,446"
"Dec 27, 2022",$0.1119,$0.1249,$0.1067,$0.1069,"$520,336","$12,226,413"
"Dec 26, 2022",$0.1104,$0.1179,$0.1033,$0.1119,"$434,068","$12,798,297"
"Dec 25, 2022",$0.1048,$0.1129,$0.104,$0.1105,"$317,652","$12,637,796"
"Dec 24, 2022",$0.1067,$0.1081,$0.1033,$0.1049,"$266,289","$11,998,198"
"Dec 23, 2022",$0.1063,$0.1139,$0.106,$0.1067,"$364,324","$12,201,323"
"Dec 22, 2022",$0.1214,$0.1254,$0.1031,$0.1063,"$601,139","$12,153,978"
"Dec 21, 2022",$0.1007,$0.1215,$0.1005,$0.1203,"$679,637","$13,751,509"
"Dec 20, 2022",$0.1041,$0.1064,$0.09993,$0.1007,"$415,207","$11,519,379"
"Dec 19, 2022",$0.1061,$0.11,$0.09424,$0.104,"$435,197","$11,896,494"
"Dec 18, 2022",$0.1213,$0.1216,$0.1044,$0.1061,"$602,992","$12,134,976"
"Dec 17, 2022",$0.09407,$0.15,$0.09232,$0.1214,"$2,184,695","$13,883,615"
"Dec 16, 2022",$0.1028,$0.1034,$0.09331,$0.09411,"$387,182","$10,761,775"
"Dec 15, 2022",$0.1056,$0.1063,$0.1027,$0.1028,"$302,061","$11,753,796"
"Dec 14, 2022",$0.1112,$0.1146,$0.1047,$0.1056,"$390,384","$12,080,287"
"Dec 13, 2022",$0.1084,$0.1122,$0.1053,$0.1112,"$463,978","$12,710,833"
"Dec 12, 2022",$0.1107,$0.1107,$0.1066,$0.1085,"$295,827","$12,402,721"
"Dec 11, 2022",$0.1104,$0.1123,$0.1097,$0.1107,"$262,420","$12,657,338"
"Dec 10, 2022",$0.1115,$0.1121,$0.1097,$0.1104,"$285,925","$12,624,452"
"Dec 09, 2022",$0.1126,$0.1135,$0.1101,$0.1115,"$359,376","$12,751,769"
"Dec 08, 2022",$0.1115,$0.1132,$0.1081,$0.1126,"$389,070","$12,881,367"
"Dec 07, 2022",$0.1153,$0.1172,$0.1112,$0.1115,"$292,318","$12,748,287"
"Dec 06, 2022",$0.1156,$0.1186,$0.1139,$0.1153,"$339,636","$13,184,450"
"Dec 05, 2022",$0.1156,$0.1246,$0.115,$0.1156,"$480,765","$13,224,414"
"Dec 04, 2022",$0.1164,$0.12,$0.1147,$0.1156,"$269,769","$13,224,427"
"Dec 03, 2022",$0.1153,$0.1205,$0.1152,$0.1164,"$278,757","$13,315,286"
"Dec 02, 2022",$0.1254,$0.1299,$0.1138,$0.1153,"$511,297","$13,182,420"
"Dec 01, 2022",$0.1169,$0.134,$0.1164,$0.1254,"$708,353","$14,339,611"
"Nov 30, 2022",$0.127,$0.139,$0.1166,$0.1169,"$655,119","$13,365,227"
"Nov 29, 2022",$0.1273,$0.1323,$0.1239,$0.127,"$349,406","$14,517,747"
"Nov 28, 2022",$0.1279,$0.13,$0.1255,$0.1273,"$302,687","$14,555,184"
"Nov 27, 2022",$0.1307,$0.1311,$0.1237,$0.1279,"$282,411","$14,626,483"
"Nov 26, 2022",$0.1287,$0.1363,$0.1283,$0.1307,"$288,266","$14,944,591"
"Nov 25, 2022",$0.1298,$0.1345,$0.1262,$0.1287,"$315,683","$14,717,596"
"Nov 24, 2022",$0.1328,$0.1361,$0.128,$0.1297,"$271,698","$14,835,598"
"Nov 23, 2022",$0.1411,$0.1434,$0.1286,$0.1326,"$491,883","$15,169,180"
"Nov 22, 2022",$0.1106,$0.1571,$0.1091,$0.141,"$1,554,427","$16,122,063"
"Nov 21, 2022",$0.1285,$0.131,$0.1104,$0.1108,"$402,440","$12,668,131"
"Nov 20, 2022",$0.1241,$0.1336,$0.1199,$0.1278,"$641,870","$14,611,061"
"Nov 19, 2022",$0.1284,$0.1371,$0.1212,$0.1244,"$366,943","$14,221,744"
"Nov 18, 2022",$0.1354,$0.1416,$0.1266,$0.1285,"$387,796","$14,694,177"
"Nov 17, 2022",$0.1513,$0.1515,$0.1349,$0.1363,"$595,287","$15,589,786"
"Nov 16, 2022",$0.1431,$0.1744,$0.1412,$0.1512,"$1,330,493","$17,291,464"
"Nov 15, 2022",$0.1811,$0.1931,$0.1323,$0.1433,"$4,068,461","$16,384,293"
"Nov 14, 2022",$0.1087,$0.2167,$0.09082,$0.1785,"$7,400,211","$20,410,876"
"Nov 13, 2022",$0.1132,$0.1324,$0.09071,$0.1082,"$1,763,602","$12,374,348"
"Nov 12, 2022",$0.1391,$0.1429,$0.1094,$0.1132,"$1,307,212","$12,948,078"
"Nov 11, 2022",$0.1078,$0.187,$0.09719,$0.1406,"$7,296,432","$16,075,643"
"Nov 10, 2022",$0.0604,$0.1385,$0.06,$0.1075,"$2,163,087","$12,292,537"
"Nov 09, 2022",$0.07716,$0.07777,$0.05827,$0.06052,"$386,700","$6,920,925"
"Nov 08, 2022",$0.08883,$0.08939,$0.07568,$0.07721,"$379,728","$8,829,063"
"Nov 07, 2022",$0.09034,$0.09169,$0.08738,$0.08883,"$701,506","$10,158,503"
"Nov 06, 2022",$0.0927,$0.09375,$0.09026,$0.09033,"$626,898","$10,330,087"
"Nov 05, 2022",$0.0897,$0.09284,$0.08941,$0.09266,"$602,957","$10,596,494"
"Nov 04, 2022",$0.08681,$0.0907,$0.08497,$0.08967,"$390,893","$10,254,594"
"Nov 03, 2022",$0.09061,$0.09064,$0.0867,$0.08688,"$459,660","$9,935,368"
"Nov 02, 2022",$0.096,$0.1094,$0.08959,$0.0906,"$1,043,130","$10,361,007"
"Nov 01, 2022",$0.08714,$0.1232,$0.08699,$0.09622,"$2,008,247","$11,002,822"
"Oct 31, 2022",$0.08893,$0.08942,$0.08707,$0.08711,"$1,184,215","$9,961,108"
"Oct 30, 2022",$0.08753,$0.09063,$0.08741,$0.08895,"$1,121,188","$10,171,741"
