Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0001401,$0.0001615,$0.0001346,$0.0001479,"$15,037","$1,478,551"
"Dec 30, 2022",$0.0001558,$0.0001603,$0.0001216,$0.0001401,"$19,425","$1,401,132"
"Dec 29, 2022",$0.0001643,$0.0001662,$0.000155,$0.0001558,"$12,477","$1,557,676"
"Dec 28, 2022",$0.0001692,$0.0001722,$0.0001609,$0.0001643,"$12,641","$1,642,720"
"Dec 27, 2022",$0.0001814,$0.0001827,$0.0001691,$0.0001692,"$9,898","$1,692,297"
"Dec 26, 2022",$0.0001794,$0.0001817,$0.000179,$0.0001814,"$7,519","$1,814,308"
"Dec 25, 2022",$0.0001998,$0.0002,$0.000179,$0.0001794,"$11,057","$1,794,425"
"Dec 24, 2022",$0.0001815,$0.0002242,$0.0001791,$0.0001998,"$15,367","$1,997,560"
"Dec 23, 2022",$0.0001311,$0.0002244,$0.0001305,$0.0001815,"$24,558","$1,815,208"
"Dec 22, 2022",$0.0001255,$0.0001376,$0.0001234,$0.0001311,"$14,205","$1,310,819"
"Dec 21, 2022",$0.0001221,$0.0001256,$0.000116,$0.0001254,"$6,859","$1,254,487"
"Dec 20, 2022",$0.0001431,$0.0001451,$0.0001205,$0.0001221,"$5,712","$1,221,118"
"Dec 19, 2022",$0.0001448,$0.0001597,$0.0001427,$0.0001431,"$13,652","$1,430,668"
"Dec 18, 2022",$0.0001781,$0.0001794,$0.0001236,$0.0001448,"$15,709","$1,448,372"
"Dec 17, 2022",$0.0001612,$0.0001786,$0.0001521,$0.0001781,"$13,515","$1,781,317"
"Dec 16, 2022",$0.0001713,$0.0001716,$0.0001584,$0.0001612,"$11,842","$1,611,866"
"Dec 15, 2022",$0.0001765,$0.0001765,$0.0001711,$0.0001712,"$9,131","$1,712,443"
"Dec 14, 2022",$0.000177,$0.0001782,$0.0001734,$0.0001736,"$12,124","$1,736,240"
"Dec 13, 2022",$0.0001782,$0.0001812,$0.000172,$0.0001766,"$12,622","$1,765,677"
"Dec 12, 2022",$0.0001757,$0.0001813,$0.0001734,$0.0001783,"$12,398","$1,782,578"
"Dec 11, 2022",$0.000179,$0.0001794,$0.0001756,$0.0001757,"$42,730","$1,756,677"
"Dec 10, 2022",$0.0001817,$0.0001818,$0.0001667,$0.000179,"$5,638","$1,789,608"
"Dec 09, 2022",$0.0001851,$0.0001853,$0.0001777,$0.0001817,"$4,346","$1,816,872"
"Dec 08, 2022",$0.0001822,$0.0002424,$0.0001818,$0.0001851,"$17,545","$1,850,944"
"Dec 07, 2022",$0.0001866,$0.0001878,$0.0001794,$0.0001822,"$13,377","$1,821,693"
