Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.77,$1.84,$1.75,$1.79,"$369,004","$30,114,976"
"Dec 30, 2022",$1.78,$1.79,$1.75,$1.77,"$382,563","$29,769,045"
"Dec 29, 2022",$1.76,$1.80,$1.76,$1.78,"$378,384","$29,835,971"
"Dec 28, 2022",$1.77,$1.79,$1.73,$1.76,"$434,870","$29,502,512"
"Dec 27, 2022",$1.86,$1.88,$1.77,$1.77,"$375,115","$29,744,188"
"Dec 26, 2022",$1.88,$1.91,$1.82,$1.86,"$406,327","$31,229,841"
"Dec 25, 2022",$1.90,$1.94,$1.88,$1.88,"$350,553","$31,622,594"
"Dec 24, 2022",$1.94,$1.96,$1.89,$1.90,"$371,052","$31,958,570"
"Dec 23, 2022",$1.96,$1.97,$1.93,$1.94,"$336,588","$32,551,684"
"Dec 22, 2022",$1.92,$1.96,$1.91,$1.96,"$368,947","$32,854,992"
"Dec 21, 2022",$2.00,$2.02,$1.90,$1.92,"$592,687","$32,126,335"
"Dec 20, 2022",$1.99,$2.06,$1.97,$2.00,"$919,051","$33,570,963"
"Dec 19, 2022",$1.97,$2.05,$1.91,$1.99,"$757,768","$33,261,693"
"Dec 18, 2022",$1.93,$1.99,$1.91,$1.97,"$126,153","$32,943,499"
"Dec 17, 2022",$1.99,$2.00,$1.91,$1.93,"$844,454","$32,277,245"
"Dec 16, 2022",$2.16,$2.17,$1.99,$1.99,"$880,005","$33,401,740"
"Dec 15, 2022",$2.22,$2.23,$2.14,$2.16,"$864,373","$36,110,764"
"Dec 14, 2022",$2.25,$2.29,$2.22,$2.22,"$848,426","$37,232,073"
"Dec 13, 2022",$2.23,$2.30,$2.22,$2.25,"$936,975","$37,661,378"
"Dec 12, 2022",$2.29,$2.29,$2.21,$2.23,"$822,745","$37,417,257"
"Dec 11, 2022",$2.30,$2.32,$2.29,$2.29,"$919,410","$38,395,810"
"Dec 10, 2022",$2.27,$2.31,$2.27,$2.30,"$825,333","$38,466,809"
"Dec 09, 2022",$2.23,$2.29,$2.21,$2.27,"$892,973","$38,052,123"
"Dec 08, 2022",$2.19,$2.24,$2.18,$2.23,"$859,594",$0
"Dec 07, 2022",$2.29,$2.30,$2.18,$2.19,"$741,055",$0
"Dec 06, 2022",$2.34,$2.37,$2.26,$2.29,"$876,891",$0
"Dec 05, 2022",$2.30,$2.40,$2.30,$2.34,"$837,607",$0
"Dec 04, 2022",$2.30,$2.33,$2.28,$2.31,"$899,857",$0
"Dec 03, 2022",$2.34,$2.35,$2.30,$2.30,"$849,211",$0
"Dec 02, 2022",$2.25,$2.34,$2.24,$2.34,"$953,997",$0
"Dec 01, 2022",$2.22,$2.27,$2.21,$2.25,"$952,360",$0
"Nov 30, 2022",$2.18,$2.23,$2.15,$2.22,"$988,668",$0
"Nov 29, 2022",$2.18,$2.23,$2.16,$2.18,"$900,879",$0
"Nov 28, 2022",$2.26,$2.27,$2.16,$2.18,"$875,358",$0
"Nov 27, 2022",$2.27,$2.28,$2.26,$2.26,"$967,840",$0
"Nov 26, 2022",$2.31,$2.34,$2.26,$2.27,"$975,139",$0
"Nov 25, 2022",$2.07,$2.31,$2.05,$2.31,"$1,326,733",$0
"Nov 24, 2022",$2.15,$2.16,$2.03,$2.07,"$1,061,608",$0
"Nov 23, 2022",$2.14,$2.19,$2.09,$2.15,"$1,242,106",$0
"Nov 22, 2022",$2.16,$2.17,$2.11,$2.14,"$848,723",$0
"Nov 21, 2022",$2.22,$2.23,$2.15,$2.16,"$879,832",$0
"Nov 20, 2022",$2.24,$2.32,$2.22,$2.22,"$966,437",$0
"Nov 19, 2022",$2.33,$2.33,$2.23,$2.24,"$846,199",$0
"Nov 18, 2022",$2.35,$2.39,$2.33,$2.33,"$592,309",$0
"Nov 17, 2022",$2.37,$2.37,$2.32,$2.35,"$215,592",$0
"Nov 16, 2022",$2.51,$2.51,$2.32,$2.37,"$468,398",$0
"Nov 15, 2022",$2.38,$2.54,$2.38,$2.51,"$1,087,137",$0
"Nov 14, 2022",$2.27,$2.38,$2.21,$2.38,"$1,067,116",$0
"Nov 13, 2022",$2.53,$2.55,$2.26,$2.27,"$972,710",$0
"Nov 12, 2022",$2.57,$2.58,$2.49,$2.53,"$912,917",$0
"Nov 11, 2022",$2.85,$2.85,$2.50,$2.57,"$1,104,477",$0
"Nov 10, 2022",$2.66,$2.94,$2.60,$2.85,"$1,471,322",$0
"Nov 09, 2022",$3.25,$3.25,$2.58,$2.66,"$1,622,570",$0
"Nov 08, 2022",$3.45,$3.46,$2.89,$3.25,"$2,441,914",$0
"Nov 07, 2022",$3.69,$3.70,$3.35,$3.45,"$1,628,700",$0
"Nov 06, 2022",$3.80,$3.81,$3.69,$3.69,"$958,223",$0
"Nov 05, 2022",$3.87,$3.94,$3.79,$3.80,"$1,123,330",$0
"Nov 04, 2022",$3.73,$3.88,$3.71,$3.87,"$1,413,435",$0
"Nov 03, 2022",$3.68,$3.76,$3.67,$3.73,"$1,268,641",$0
"Nov 02, 2022",$3.70,$3.73,$3.63,$3.68,"$1,115,967",$0
"Nov 01, 2022",$3.67,$3.77,$3.65,$3.70,"$941,821",$0
"Oct 31, 2022",$3.74,$3.80,$3.66,$3.67,"$1,074,308",$0
"Oct 30, 2022",$3.95,$3.98,$3.70,$3.74,"$1,064,654",$0
"Oct 29, 2022",$4.01,$4.07,$3.95,$3.95,"$1,147,884",$0
"Oct 28, 2022",$3.97,$4.02,$3.88,$4.01,"$1,076,457",$0
"Oct 27, 2022",$4.14,$4.16,$3.94,$3.97,"$1,067,019",$0
"Oct 26, 2022",$4.21,$4.29,$4.09,$4.14,"$1,383,468",$0
"Oct 25, 2022",$3.94,$4.37,$3.93,$4.21,"$1,784,426",$0
"Oct 24, 2022",$4.01,$4.02,$3.85,$3.94,"$1,103,264",$0
"Oct 23, 2022",$3.90,$4.02,$3.84,$4.01,"$923,043",$0
"Oct 22, 2022",$3.91,$3.91,$3.86,$3.90,"$801,834",$0
"Oct 21, 2022",$3.76,$3.92,$3.71,$3.91,"$1,145,768",$0
"Oct 20, 2022",$3.77,$3.95,$3.72,$3.76,"$1,197,188",$0
"Oct 19, 2022",$3.91,$3.92,$3.72,$3.77,"$1,270,111",$0
"Oct 18, 2022",$4.09,$4.09,$3.84,$3.91,"$1,433,799",$0
"Oct 17, 2022",$3.56,$4.16,$3.53,$4.09,"$1,818,208",$0
"Oct 16, 2022",$3.63,$3.64,$3.54,$3.56,"$860,096",$0
"Oct 15, 2022",$3.68,$3.69,$3.62,$3.63,"$887,094",$0
"Oct 14, 2022",$3.64,$3.79,$3.58,$3.68,"$1,163,610",$0
"Oct 13, 2022",$3.46,$3.69,$3.20,$3.64,"$1,540,132",$0
"Oct 12, 2022",$3.39,$3.46,$3.38,$3.46,"$1,001,682",$0
"Oct 11, 2022",$3.53,$3.54,$3.37,$3.39,"$859,067",$0
"Oct 10, 2022",$3.74,$3.74,$3.53,$3.53,"$840,023",$0
"Oct 09, 2022",$3.79,$3.80,$3.72,$3.74,"$893,263",$0
"Oct 08, 2022",$3.71,$3.98,$3.71,$3.79,"$1,282,008",$0
"Oct 07, 2022",$3.38,$3.78,$3.36,$3.70,"$1,854,441",$0
"Oct 06, 2022",$3.40,$3.45,$3.35,$3.38,"$935,084",$0
"Oct 05, 2022",$3.48,$3.49,$3.36,$3.40,"$1,060,166",$0
"Oct 04, 2022",$3.24,$3.50,$3.24,$3.48,"$1,212,332",$0
"Oct 03, 2022",$3.15,$3.29,$3.12,$3.24,"$960,778",$0
"Oct 02, 2022",$3.17,$3.25,$3.11,$3.15,"$987,757",$0
"Oct 01, 2022",$3.37,$3.37,$3.14,$3.17,"$1,108,730",$0
"Sep 30, 2022",$3.44,$3.48,$3.36,$3.37,"$1,036,796",$0
"Sep 29, 2022",$3.52,$3.52,$3.37,$3.44,"$1,120,521",$0
"Sep 28, 2022",$3.60,$3.60,$3.43,$3.52,"$1,229,736",$0
"Sep 27, 2022",$3.77,$3.88,$3.52,$3.60,"$1,159,564",$0
"Sep 26, 2022",$3.68,$3.81,$3.62,$3.77,"$1,054,467",$0
"Sep 25, 2022",$3.86,$3.86,$3.64,$3.68,"$998,979",$0
"Sep 24, 2022",$4.03,$4.03,$3.86,$3.86,"$983,941",$0
"Sep 23, 2022",$4.00,$4.20,$3.86,$4.03,"$1,601,642",$0
"Sep 22, 2022",$3.56,$4.00,$3.55,$4.00,"$1,482,679",$0
"Sep 21, 2022",$3.49,$3.73,$3.21,$3.56,"$1,603,016",$0
"Sep 20, 2022",$3.78,$3.82,$3.40,$3.49,"$1,218,049",$0
"Sep 19, 2022",$3.90,$3.98,$3.71,$3.78,"$1,298,053",$0
"Sep 18, 2022",$4.04,$4.05,$3.89,$3.90,"$1,131,845",$0
"Sep 17, 2022",$4.01,$4.07,$3.99,$4.04,"$1,038,208",$0
"Sep 16, 2022",$4.09,$4.15,$3.96,$4.01,"$1,349,022",$0
"Sep 15, 2022",$4.14,$4.17,$4.06,$4.09,"$1,421,856",$0
"Sep 14, 2022",$3.77,$4.15,$3.76,$4.14,"$1,663,144",$0
"Sep 13, 2022",$4.06,$4.08,$3.70,$3.77,"$1,685,425",$0
"Sep 12, 2022",$4.08,$4.11,$4.01,$4.06,"$1,567,860",$0
"Sep 11, 2022",$3.82,$4.15,$3.81,$4.06,"$1,824,871",$0
"Sep 10, 2022",$3.71,$3.87,$3.71,$3.82,"$1,601,258",$0
"Sep 09, 2022",$3.27,$3.71,$3.27,$3.71,"$1,837,923",$0
"Sep 08, 2022",$3.22,$3.27,$3.17,$3.27,"$1,123,639",$0
"Sep 07, 2022",$3.06,$3.22,$3.03,$3.22,"$1,031,390",$0
"Sep 06, 2022",$3.15,$3.23,$3.03,$3.06,"$1,087,270",$0
"Sep 05, 2022",$3.14,$3.30,$3.08,$3.15,"$1,061,514",$0
"Sep 04, 2022",$3.05,$3.14,$3.04,$3.14,"$850,865",$0
"Sep 03, 2022",$2.98,$3.05,$2.97,$3.05,"$833,519",$0
"Sep 02, 2022",$3.01,$3.08,$2.97,$2.98,"$907,939",$0
"Sep 01, 2022",$2.97,$3.02,$2.86,$3.01,"$938,670",$0
"Aug 31, 2022",$3.01,$3.16,$2.95,$2.97,"$965,572",$0
"Aug 30, 2022",$3.04,$3.08,$2.93,$3.01,"$915,844",$0
"Aug 29, 2022",$2.89,$3.05,$2.82,$3.04,"$1,062,517",$0
"Aug 28, 2022",$2.88,$2.99,$2.87,$2.89,"$955,012",$0
"Aug 27, 2022",$2.88,$2.91,$2.85,$2.88,"$886,784",$0
"Aug 26, 2022",$3.30,$3.33,$2.87,$2.87,"$1,340,718",$0
"Aug 25, 2022",$3.13,$3.32,$3.13,$3.30,"$1,298,958",$0
"Aug 24, 2022",$3.07,$3.17,$3.04,$3.13,"$1,126,587",$0
