Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.008784,$0.008987,$0.008453,$0.00857,"$107,125","$14,454,911"
"Dec 30, 2022",$0.008875,$0.009304,$0.008394,$0.008784,"$243,575","$14,815,507"
"Dec 29, 2022",$0.009003,$0.009347,$0.008535,$0.008875,"$257,726","$14,960,498"
"Dec 28, 2022",$0.00931,$0.009403,$0.008892,$0.009245,"$390,553","$15,584,585"
"Dec 27, 2022",$0.009639,$0.01005,$0.009223,$0.00932,"$355,099","$15,709,853"
"Dec 26, 2022",$0.01015,$0.01024,$0.009518,$0.009639,"$291,096","$16,248,491"
"Dec 25, 2022",$0.009919,$0.01028,$0.00966,$0.01015,"$197,430","$17,116,312"
"Dec 24, 2022",$0.01,$0.01032,$0.009731,$0.009923,"$192,222","$16,727,054"
"Dec 23, 2022",$0.009999,$0.01034,$0.009759,$0.01001,"$245,377","$16,874,456"
"Dec 22, 2022",$0.009879,$0.01058,$0.009785,$0.01001,"$181,484","$16,865,111"
"Dec 21, 2022",$0.01007,$0.01061,$0.009885,$0.01006,"$195,443","$16,949,324"
"Dec 20, 2022",$0.01002,$0.0105,$0.009841,$0.01004,"$295,179","$16,619,784"
"Dec 19, 2022",$0.01106,$0.01126,$0.009857,$0.01002,"$292,178","$16,585,190"
"Dec 18, 2022",$0.0108,$0.01129,$0.01051,$0.01105,"$129,173","$18,282,873"
"Dec 17, 2022",$0.01112,$0.01128,$0.01035,$0.01079,"$309,937","$17,848,476"
"Dec 16, 2022",$0.01164,$0.01199,$0.01072,$0.01114,"$326,953","$18,432,743"
"Dec 15, 2022",$0.01172,$0.01256,$0.01141,$0.01173,"$751,485","$19,403,052"
"Dec 14, 2022",$0.01164,$0.01196,$0.01148,$0.01171,"$192,442","$19,384,115"
"Dec 13, 2022",$0.01153,$0.0122,$0.01131,$0.01182,"$208,230","$19,560,329"
"Dec 12, 2022",$0.01214,$0.01217,$0.01145,$0.01156,"$563,870","$19,135,039"
"Dec 11, 2022",$0.01241,$0.01285,$0.01195,$0.01215,"$1,075,277","$20,106,953"
"Dec 10, 2022",$0.012,$0.01331,$0.01174,$0.01241,"$709,488","$20,526,690"
"Dec 09, 2022",$0.01175,$0.0123,$0.01134,$0.01203,"$298,211","$19,904,568"
"Dec 08, 2022",$0.01122,$0.01184,$0.01097,$0.01177,"$405,048","$19,468,793"
"Dec 07, 2022",$0.01132,$0.01235,$0.01097,$0.01125,"$614,913","$18,609,835"
"Dec 06, 2022",$0.01138,$0.01152,$0.01101,$0.01132,"$273,781","$18,737,022"
"Dec 05, 2022",$0.01137,$0.01152,$0.0113,$0.0114,"$224,135","$18,859,349"
"Dec 04, 2022",$0.01117,$0.01148,$0.01111,$0.01137,"$197,177","$18,807,505"
"Dec 03, 2022",$0.01122,$0.01145,$0.01107,$0.01118,"$211,774","$18,491,043"
"Dec 02, 2022",$0.01147,$0.01154,$0.01104,$0.0112,"$246,385","$18,535,454"
"Dec 01, 2022",$0.01147,$0.0116,$0.01127,$0.01147,"$430,345","$18,981,004"
"Nov 30, 2022",$0.01179,$0.01453,$0.01106,$0.01147,"$207,004","$18,972,681"
"Nov 29, 2022",$0.01129,$0.01262,$0.01075,$0.01182,"$288,971","$19,561,221"
"Nov 28, 2022",$0.01155,$0.01168,$0.01125,$0.01129,"$268,344","$18,674,763"
"Nov 27, 2022",$0.01144,$0.01158,$0.01109,$0.01156,"$249,141","$19,123,123"
