Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.06446,$0.06513,$0.06215,$0.06345,"$457,496","$7,895,060"
"Dec 30, 2022",$0.06799,$0.06843,$0.06193,$0.06437,"$497,860","$8,009,295"
"Dec 29, 2022",$0.06495,$0.06843,$0.06314,$0.06799,"$634,213","$8,459,364"
"Dec 28, 2022",$0.06871,$0.06924,$0.0644,$0.06495,"$347,835","$8,081,537"
"Dec 27, 2022",$0.06452,$0.07048,$0.06433,$0.06864,"$302,485","$8,540,027"
"Dec 26, 2022",$0.06725,$0.07121,$0.06378,$0.06472,"$647,375","$8,052,939"
"Dec 25, 2022",$0.07013,$0.07024,$0.0666,$0.06729,"$484,861","$8,372,369"
"Dec 24, 2022",$0.07293,$0.07337,$0.06728,$0.07013,"$398,485","$8,725,397"
"Dec 23, 2022",$0.07519,$0.0788,$0.07221,$0.07293,"$678,945","$9,073,592"
"Dec 22, 2022",$0.07502,$0.08168,$0.07412,$0.07521,"$440,960","$9,357,559"
"Dec 21, 2022",$0.07837,$0.07878,$0.07449,$0.07496,"$289,303","$9,326,473"
"Dec 20, 2022",$0.07653,$0.08215,$0.07635,$0.07837,"$410,698","$9,750,916"
"Dec 19, 2022",$0.08012,$0.08087,$0.07582,$0.07653,"$400,720","$9,522,168"
"Dec 18, 2022",$0.08375,$0.08679,$0.0782,$0.08012,"$368,980","$9,968,393"
"Dec 17, 2022",$0.08347,$0.08712,$0.08091,$0.0839,"$438,368","$10,438,648"
"Dec 16, 2022",$0.09669,$0.09721,$0.08234,$0.08362,"$389,170","$10,404,462"
"Dec 15, 2022",$0.1008,$0.1061,$0.09583,$0.09666,"$689,937","$12,026,280"
"Dec 14, 2022",$0.1077,$0.1088,$0.09924,$0.1008,"$729,074","$12,542,159"
"Dec 13, 2022",$0.09766,$0.1119,$0.09336,$0.1076,"$887,492","$13,389,169"
"Dec 12, 2022",$0.09699,$0.09921,$0.09398,$0.0978,"$669,780","$12,169,134"
"Dec 11, 2022",$0.1015,$0.1045,$0.09699,$0.09699,"$863,882","$12,068,254"
"Dec 10, 2022",$0.11,$0.1105,$0.101,$0.1015,"$661,736","$12,628,092"
"Dec 09, 2022",$0.1117,$0.114,$0.1087,$0.11,"$737,421","$13,686,133"
"Dec 08, 2022",$0.1106,$0.1175,$0.1078,$0.1117,"$738,025","$13,904,288"
"Dec 07, 2022",$0.1098,$0.1124,$0.1048,$0.1106,"$779,249","$13,766,684"
"Dec 06, 2022",$0.1105,$0.1128,$0.1076,$0.1097,"$756,624","$13,652,623"
"Dec 05, 2022",$0.09805,$0.1144,$0.09782,$0.1105,"$1,168,085","$13,754,101"
"Dec 04, 2022",$0.09841,$0.09976,$0.09764,$0.0982,"$598,614","$12,218,431"
"Dec 03, 2022",$0.1006,$0.1045,$0.09833,$0.09849,"$767,387","$12,254,890"
"Dec 02, 2022",$0.09893,$0.1008,$0.09735,$0.1006,"$815,032","$12,519,395"
"Dec 01, 2022",$0.09873,$0.1016,$0.09411,$0.0989,"$886,838","$12,304,976"
