Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.7501,$0.7719,$0.7454,$0.7503,"$129,724","$25,361,595"
"Dec 30, 2022",$0.7568,$0.7641,$0.746,$0.7501,"$122,943","$25,353,892"
"Dec 29, 2022",$0.733,$0.7587,$0.731,$0.7568,"$111,713","$25,580,761"
"Dec 28, 2022",$0.7471,$0.753,$0.7309,$0.7331,"$121,440","$24,777,160"
"Dec 27, 2022",$0.7549,$0.7895,$0.744,$0.7471,"$130,616","$25,252,282"
"Dec 26, 2022",$0.7139,$0.8006,$0.711,$0.7549,"$109,952","$25,516,883"
"Dec 25, 2022",$0.7328,$0.7582,$0.71,$0.7139,"$113,051","$24,131,230"
"Dec 24, 2022",$0.7173,$0.9044,$0.7077,$0.7328,"$114,168","$24,767,414"
"Dec 23, 2022",$0.6813,$0.9559,$0.6694,$0.7173,"$113,623","$24,244,432"
"Dec 22, 2022",$0.6529,$0.7631,$0.6441,$0.6813,"$132,617","$23,027,999"
"Dec 21, 2022",$0.6552,$0.6686,$0.6504,$0.6529,"$124,084","$22,067,847"
"Dec 20, 2022",$0.6606,$0.6642,$0.6534,$0.6553,"$139,552","$22,147,494"
"Dec 19, 2022",$0.6607,$0.7082,$0.6307,$0.6606,"$137,433","$22,328,461"
"Dec 18, 2022",$0.6921,$0.7176,$0.6456,$0.6607,"$147,301","$22,331,890"
"Dec 17, 2022",$0.6696,$0.7165,$0.6669,$0.6921,"$135,242","$23,393,482"
"Dec 16, 2022",$0.6894,$0.7053,$0.6628,$0.6696,"$128,222","$22,631,697"
"Dec 15, 2022",$0.7141,$0.8325,$0.6739,$0.6894,"$148,603","$23,301,697"
"Dec 14, 2022",$0.7564,$0.7585,$0.7057,$0.7141,"$136,056","$24,137,489"
"Dec 13, 2022",$0.7612,$0.765,$0.7355,$0.7564,"$123,818","$25,565,295"
"Dec 12, 2022",$0.7602,$0.765,$0.7369,$0.7612,"$112,515","$25,729,253"
"Dec 11, 2022",$0.7523,$0.7646,$0.7341,$0.7602,"$140,054","$25,694,992"
"Dec 10, 2022",$0.7165,$0.7628,$0.7112,$0.7523,"$128,678","$25,426,967"
"Dec 09, 2022",$0.7364,$0.8417,$0.682,$0.7165,"$117,583","$24,218,541"
"Dec 08, 2022",$0.7408,$0.7548,$0.7091,$0.7364,"$140,024","$24,888,872"
"Dec 07, 2022",$0.7178,$0.7698,$0.5749,$0.7408,"$102,894","$25,038,203"
"Dec 06, 2022",$0.6972,$0.7354,$0.6939,$0.7178,"$117,310","$24,263,319"
"Dec 05, 2022",$0.7201,$0.7766,$0.6934,$0.6972,"$83,905","$23,566,148"
"Dec 04, 2022",$0.7313,$0.7417,$0.6774,$0.7201,"$129,744","$24,337,870"
"Dec 03, 2022",$0.6706,$0.7411,$0.6617,$0.7313,"$135,790","$24,719,502"
"Dec 02, 2022",$0.7151,$0.7368,$0.665,$0.6706,"$104,518","$22,667,331"
"Dec 01, 2022",$0.7552,$0.7574,$0.7151,$0.7151,"$110,080","$24,171,759"
"Nov 30, 2022",$0.7756,$0.7941,$0.7424,$0.7552,"$135,085","$25,524,674"
"Nov 29, 2022",$0.7899,$0.8124,$0.7308,$0.7756,"$155,983","$26,216,175"
"Nov 28, 2022",$0.7544,$0.793,$0.7211,$0.7899,"$125,031","$26,697,469"
"Nov 27, 2022",$0.8763,$0.8822,$0.7366,$0.7544,"$142,309","$25,498,213"
"Nov 26, 2022",$0.8701,$0.8837,$0.7762,$0.8763,"$131,500","$29,617,926"
"Nov 25, 2022",$0.8698,$0.8964,$0.8193,$0.8701,"$116,374","$29,410,859"
"Nov 24, 2022",$0.898,$0.9768,$0.7778,$0.8698,"$143,749","$29,399,024"
"Nov 23, 2022",$0.8202,$0.898,$0.8072,$0.898,"$135,528","$30,352,888"
"Nov 22, 2022",$0.8715,$0.9772,$0.7888,$0.8152,"$95,499","$27,554,906"
"Nov 21, 2022",$0.8178,$0.9792,$0.7835,$0.9772,"$105,760","$33,029,677"
"Nov 20, 2022",$0.9748,$0.9803,$0.7882,$0.8319,"$91,514","$28,116,600"
"Nov 19, 2022",$0.7036,$1.08,$0.703,$0.9748,"$110,455","$32,949,053"
"Nov 18, 2022",$0.6988,$1.11,$0.6815,$0.7261,"$129,378","$24,541,908"
"Nov 17, 2022",$0.6958,$0.7101,$0.6431,$0.6988,"$138,928","$23,618,825"
"Nov 16, 2022",$0.76,$0.7609,$0.5311,$0.7001,"$134,689","$23,662,746"
"Nov 15, 2022",$0.7254,$0.8486,$0.6816,$0.7521,"$175,623",$0
"Nov 14, 2022",$1.03,$1.04,$0.5089,$0.697,"$176,429",$0
"Nov 13, 2022",$1.39,$1.39,$0.9749,$0.9795,"$155,965",$0
"Nov 12, 2022",$1.42,$1.51,$1.32,$1.39,"$161,496",$0
"Nov 11, 2022",$1.52,$1.54,$1.36,$1.39,"$175,194",$0
"Nov 10, 2022",$1.65,$1.68,$1.48,$1.51,"$219,274",$0
"Nov 09, 2022",$1.68,$1.71,$1.65,$1.65,"$245,404",$0
"Nov 08, 2022",$1.71,$1.79,$1.67,$1.68,"$195,311",$0
"Nov 07, 2022",$1.91,$1.91,$1.64,$1.71,"$140,167",$0
