Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001818,$0.001897,$0.001762,$0.001801,"$39,298","$1,405,692"
"Dec 30, 2022",$0.001878,$0.001897,$0.001788,$0.001855,"$43,878","$1,447,843"
"Dec 29, 2022",$0.001847,$0.0019,$0.001759,$0.001806,"$42,665","$1,409,869"
"Dec 28, 2022",$0.001869,$0.001898,$0.00177,$0.001828,"$42,931","$1,426,860"
"Dec 27, 2022",$0.001875,$0.001914,$0.001799,$0.001827,"$43,748","$1,426,292"
"Dec 26, 2022",$0.00188,$0.001913,$0.001782,$0.001864,"$27,600","$1,454,955"
"Dec 25, 2022",$0.001906,$0.001912,$0.001803,$0.001846,"$32,585","$1,441,000"
"Dec 24, 2022",$0.001884,$0.001914,$0.001802,$0.001859,"$25,657","$1,450,930"
"Dec 23, 2022",$0.001856,$0.001913,$0.00182,$0.001852,"$26,682","$1,446,032"
"Dec 22, 2022",$0.001858,$0.001891,$0.001817,$0.001856,"$25,143","$1,448,865"
"Dec 21, 2022",$0.001864,$0.001881,$0.0018,$0.001865,"$22,506","$1,455,511"
"Dec 20, 2022",$0.001799,$0.001881,$0.001779,$0.001837,"$42,918","$1,433,694"
"Dec 19, 2022",$0.001784,$0.001907,$0.001737,$0.001827,"$41,354","$1,426,577"
"Dec 18, 2022",$0.001876,$0.001897,$0.001757,$0.00178,"$42,128","$1,389,624"
"Dec 17, 2022",$0.001827,$0.001893,$0.001786,$0.001891,"$44,290","$1,476,463"
"Dec 16, 2022",$0.001856,$0.001969,$0.001811,$0.00187,"$42,454","$1,460,057"
"Dec 15, 2022",$0.001797,$0.001987,$0.001742,$0.001894,"$44,090","$1,478,126"
"Dec 14, 2022",$0.001857,$0.001972,$0.001783,$0.001837,"$28,863","$1,433,958"
"Dec 13, 2022",$0.001891,$0.001992,$0.001638,$0.001886,"$42,081","$1,472,198"
"Dec 12, 2022",$0.001784,$0.001906,$0.001618,$0.001874,"$41,305","$1,463,169"
"Dec 11, 2022",$0.001845,$0.001893,$0.001772,$0.001813,"$41,626","$1,415,568"
"Dec 10, 2022",$0.001845,$0.001899,$0.001735,$0.001869,"$44,838","$1,458,638"
"Dec 09, 2022",$0.001836,$0.001891,$0.001802,$0.00185,"$45,096","$1,444,465"
"Dec 08, 2022",$0.001792,$0.001882,$0.001781,$0.001875,"$45,921","$1,463,390"
"Dec 07, 2022",$0.001864,$0.001928,$0.001715,$0.001794,"$30,897","$1,400,057"
"Dec 06, 2022",$0.001859,$0.00195,$0.001784,$0.001884,"$29,891","$1,470,413"
"Dec 05, 2022",$0.001889,$0.00197,$0.001783,$0.001824,"$46,569","$1,424,092"
"Dec 04, 2022",$0.001855,$0.00194,$0.001804,$0.001928,"$46,457","$1,505,145"
"Dec 03, 2022",$0.00194,$0.001952,$0.001809,$0.001846,"$34,604","$1,440,811"
"Dec 02, 2022",$0.001938,$0.001968,$0.001856,$0.001888,"$47,453","$1,473,823"
"Dec 01, 2022",$0.001913,$0.001975,$0.001857,$0.00195,"$47,439","$1,522,111"
"Nov 30, 2022",$0.00184,$0.001977,$0.00182,$0.001907,"$47,162","$1,488,414"
"Nov 29, 2022",$0.001865,$0.001906,$0.0018,$0.001846,"$32,864","$1,441,234"
"Nov 28, 2022",$0.001864,$0.001916,$0.001764,$0.001878,"$37,260","$1,466,226"
"Nov 27, 2022",$0.001913,$0.00193,$0.001786,$0.001851,"$44,467","$1,444,553"
"Nov 26, 2022",$0.001848,$0.001932,$0.001793,$0.001905,"$45,307","$1,486,821"
"Nov 25, 2022",$0.001899,$0.001938,$0.001772,$0.001818,"$44,908","$1,419,458"
"Nov 24, 2022",$0.001873,$0.001941,$0.00181,$0.001889,"$45,515","$1,474,956"
"Nov 23, 2022",$0.001851,$0.001926,$0.001836,$0.001875,"$45,730","$1,463,420"
"Nov 22, 2022",$0.001865,$0.001898,$0.0018,$0.001843,"$44,755","$1,438,639"
"Nov 21, 2022",$0.001843,$0.001899,$0.001798,$0.001859,"$32,162","$1,450,948"
"Nov 20, 2022",$0.001926,$0.001953,$0.0018,$0.001844,"$33,321","$1,439,187"
"Nov 19, 2022",$0.001878,$0.001959,$0.001809,$0.001946,"$38,374","$1,519,444"
"Nov 18, 2022",$0.001897,$0.001959,$0.001823,$0.001929,"$44,670","$1,506,028"
"Nov 17, 2022",$0.001875,$0.001954,$0.001824,$0.001891,"$42,897","$1,476,268"
"Nov 16, 2022",$0.001889,$0.001981,$0.001832,$0.001874,"$23,925","$1,463,206"
"Nov 15, 2022",$0.001839,$0.001986,$0.001836,$0.001854,"$39,016","$1,447,448"
"Nov 14, 2022",$0.001852,$0.001946,$0.001794,$0.001855,"$43,273","$1,447,721"
"Nov 13, 2022",$0.001929,$0.001944,$0.001815,$0.00188,"$42,574","$1,467,845"
"Nov 12, 2022",$0.001758,$0.001947,$0.001611,$0.001932,"$39,955","$1,508,275"
"Nov 11, 2022",$0.00182,$0.002004,$0.001505,$0.001758,"$29,743","$1,372,216"
"Nov 10, 2022",$0.001788,$0.001944,$0.001742,$0.00182,"$29,346","$1,421,008"
"Nov 09, 2022",$0.001828,$0.001903,$0.001735,$0.001754,"$37,627","$1,368,963"
"Nov 08, 2022",$0.001955,$0.001977,$0.001786,$0.001839,"$41,201","$1,435,719"
"Nov 07, 2022",$0.001967,$0.001998,$0.001948,$0.001955,"$47,319","$1,526,479"
"Nov 06, 2022",$0.001913,$0.002037,$0.001902,$0.001976,"$45,111","$1,542,318"
"Nov 05, 2022",$0.001998,$0.00204,$0.001883,$0.001913,"$30,217","$1,493,172"
"Nov 04, 2022",$0.001934,$0.002015,$0.001931,$0.001998,"$48,475","$1,560,010"
"Nov 03, 2022",$0.001899,$0.00196,$0.001895,$0.00193,"$22,515","$1,506,327"
"Nov 02, 2022",$0.001953,$0.001964,$0.001891,$0.001899,"$3,926","$1,482,251"
"Nov 01, 2022",$0.001944,$0.001985,$0.001914,$0.001955,"$7,152","$1,526,487"
"Oct 31, 2022",$0.001884,$0.002137,$0.001792,$0.001944,"$4,154","$1,517,336"
"Oct 30, 2022",$0.002101,$0.002183,$0.001821,$0.001884,"$7,280","$1,470,901"
"Oct 29, 2022",$0.002163,$0.002219,$0.002086,$0.002145,"$8,592","$1,674,345"
"Oct 28, 2022",$0.002168,$0.002201,$0.00207,$0.002159,"$10,091","$1,685,035"
"Oct 27, 2022",$0.00218,$0.002244,$0.0021,$0.002153,"$11,075","$1,680,409"
"Oct 26, 2022",$0.002021,$0.002254,$0.001993,$0.002166,"$10,308","$1,691,052"
"Oct 25, 2022",$0.002151,$0.002238,$0.001993,$0.002099,"$9,328","$1,638,424"
"Oct 24, 2022",$0.002002,$0.002234,$0.001967,$0.002152,"$8,816","$1,680,001"
"Oct 23, 2022",$0.002123,$0.002263,$0.001936,$0.002035,"$9,615","$1,588,329"
"Oct 22, 2022",$0.002147,$0.002261,$0.002091,$0.0022,"$9,175","$1,717,308"
"Oct 21, 2022",$0.002146,$0.002268,$0.002108,$0.002154,"$6,566","$1,681,259"
"Oct 20, 2022",$0.002102,$0.002289,$0.002076,$0.002159,"$8,168","$1,685,410"
"Oct 19, 2022",$0.002085,$0.002199,$0.002042,$0.002118,"$13,902","$1,653,474"
"Oct 18, 2022",$0.00215,$0.002362,$0.002026,$0.002089,"$14,174","$1,630,677"
