Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3692,$0.3737,$0.3683,$0.3711,"$2,914,176","$62,975,093"
"Dec 30, 2022",$0.3705,$0.371,$0.3641,$0.3692,"$3,086,113","$62,625,042"
"Dec 29, 2022",$0.3719,$0.376,$0.3673,$0.3705,"$3,674,783","$62,919,716"
"Dec 28, 2022",$0.3822,$0.3837,$0.3699,$0.372,"$5,642,798","$63,135,291"
"Dec 27, 2022",$0.3841,$0.3867,$0.3789,$0.3821,"$5,110,948","$64,845,445"
"Dec 26, 2022",$0.3846,$0.3903,$0.3819,$0.3845,"$3,935,130","$65,146,215"
"Dec 25, 2022",$0.3905,$0.3917,$0.381,$0.3845,"$3,500,372","$65,095,477"
"Dec 24, 2022",$0.3873,$0.3926,$0.3872,$0.3905,"$3,522,018","$66,091,556"
"Dec 23, 2022",$0.3943,$0.3956,$0.3872,$0.3873,"$4,068,006","$65,525,581"
"Dec 22, 2022",$0.4014,$0.4064,$0.3865,$0.3943,"$4,969,503","$66,759,421"
"Dec 21, 2022",$0.4103,$0.4116,$0.3998,$0.4014,"$5,330,673","$67,859,669"
"Dec 20, 2022",$0.3931,$0.412,$0.3927,$0.4103,"$3,839,244","$69,285,632"
"Dec 19, 2022",$0.4178,$0.4199,$0.3906,$0.393,"$4,178,607","$66,307,604"
"Dec 18, 2022",$0.409,$0.4255,$0.4052,$0.4178,"$5,507,996","$70,443,864"
"Dec 17, 2022",$0.3899,$0.41,$0.3797,$0.4091,"$6,063,399","$68,920,245"
"Dec 16, 2022",$0.4294,$0.4368,$0.3862,$0.3902,"$5,621,457","$65,724,008"
"Dec 15, 2022",$0.4439,$0.4444,$0.4288,$0.4294,"$4,427,482","$72,391,666"
"Dec 14, 2022",$0.4484,$0.4609,$0.4407,$0.444,"$7,482,140","$74,767,662"
"Dec 13, 2022",$0.4493,$0.4576,$0.4234,$0.4484,"$7,572,753","$75,452,369"
"Dec 12, 2022",$0.462,$0.4655,$0.4467,$0.4495,"$5,523,963","$75,590,919"
"Dec 11, 2022",$0.4627,$0.4797,$0.4613,$0.462,"$7,233,237","$77,647,703"
"Dec 10, 2022",$0.4594,$0.4696,$0.4588,$0.4626,"$7,132,227","$77,671,566"
"Dec 09, 2022",$0.468,$0.4686,$0.4581,$0.4593,"$4,972,186","$77,032,087"
"Dec 08, 2022",$0.4582,$0.4709,$0.4544,$0.4678,"$4,922,748","$78,472,274"
"Dec 07, 2022",$0.4727,$0.4766,$0.4536,$0.4582,"$5,397,195","$76,760,145"
"Dec 06, 2022",$0.4706,$0.4787,$0.4684,$0.4727,"$5,458,962","$79,080,605"
"Dec 05, 2022",$0.4787,$0.4914,$0.4687,$0.4706,"$7,580,649","$78,648,818"
"Dec 04, 2022",$0.4704,$0.4828,$0.4694,$0.4787,"$10,849,990","$79,918,186"
