Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1387,$0.1518,$0.137,$0.1372,"$77,872","$2,136,539"
"Dec 30, 2022",$0.1451,$0.1452,$0.1386,$0.1386,"$25,247","$2,158,376"
"Dec 29, 2022",$0.145,$0.1464,$0.1443,$0.1451,"$42,537","$2,259,508"
"Dec 28, 2022",$0.1528,$0.1531,$0.1349,$0.145,"$43,889","$2,257,491"
"Dec 27, 2022",$0.1526,$0.1551,$0.1501,$0.1528,"$35,923","$2,379,639"
"Dec 26, 2022",$0.1473,$0.1528,$0.1467,$0.1527,"$49,389","$2,377,195"
"Dec 25, 2022",$0.1424,$0.1477,$0.1412,$0.1472,"$29,499","$2,291,795"
"Dec 24, 2022",$0.1465,$0.1466,$0.1421,$0.1424,"$31,297","$2,217,113"
"Dec 23, 2022",$0.1441,$0.1483,$0.1415,$0.1465,"$49,023","$2,281,388"
"Dec 22, 2022",$0.1453,$0.1453,$0.1411,$0.1441,"$26,195","$2,244,238"
"Dec 21, 2022",$0.147,$0.1471,$0.1431,$0.1452,"$45,104","$2,261,492"
"Dec 20, 2022",$0.1469,$0.1504,$0.1462,$0.1471,"$25,039","$2,290,773"
"Dec 19, 2022",$0.149,$0.1532,$0.1453,$0.1469,"$15,219","$2,281,435"
"Dec 18, 2022",$0.151,$0.1529,$0.1459,$0.149,"$27,982","$2,314,285"
"Dec 17, 2022",$0.148,$0.1523,$0.148,$0.151,"$6,263","$2,346,017"
"Dec 16, 2022",$0.1621,$0.1624,$0.1471,$0.148,"$18,551","$2,299,032"
"Dec 15, 2022",$0.1669,$0.1679,$0.1614,$0.1621,"$4,297","$2,517,237"
"Dec 14, 2022",$0.1607,$0.1751,$0.16,$0.1668,"$74,234","$2,589,094"
"Dec 13, 2022",$0.1577,$0.1609,$0.1539,$0.1607,"$6,558","$2,494,651"
"Dec 12, 2022",$0.157,$0.1579,$0.1541,$0.1577,"$2,485","$2,447,948"
"Dec 11, 2022",$0.1546,$0.1591,$0.1545,$0.157,"$1,456","$2,437,980"
"Dec 10, 2022",$0.1594,$0.1601,$0.1545,$0.1546,"$1,042","$2,399,363"
"Dec 09, 2022",$0.1577,$0.1635,$0.1571,$0.1594,"$6,898","$2,474,886"
"Dec 08, 2022",$0.1544,$0.1593,$0.1537,$0.1577,"$1,522","$2,447,726"
"Dec 07, 2022",$0.1596,$0.1598,$0.1534,$0.1544,"$5,029","$2,397,490"
"Dec 06, 2022",$0.1585,$0.1597,$0.1564,$0.1595,"$4,841","$2,476,069"
"Dec 05, 2022",$0.1611,$0.1627,$0.1576,$0.1585,"$3,696","$2,460,105"
"Dec 04, 2022",$0.1583,$0.1622,$0.158,$0.1612,"$4,170","$2,502,054"
"Dec 03, 2022",$0.1618,$0.1636,$0.158,$0.1582,"$12,984","$2,455,685"
"Dec 02, 2022",$0.1628,$0.1638,$0.1608,$0.1619,"$6,850","$2,498,115"
"Dec 01, 2022",$0.1631,$0.1645,$0.1609,$0.1627,"$6,649","$2,509,255"
"Nov 30, 2022",$0.1549,$0.1643,$0.1549,$0.1633,"$18,052","$2,518,974"
"Nov 29, 2022",$0.1495,$0.1556,$0.148,$0.1549,"$10,380","$2,389,620"
"Nov 28, 2022",$0.1487,$0.1517,$0.1463,$0.1495,"$5,324","$2,305,758"
"Nov 27, 2022",$0.1579,$0.159,$0.1487,$0.1487,"$9,688","$2,293,438"
"Nov 26, 2022",$0.1562,$0.1626,$0.1559,$0.158,"$12,199","$2,437,446"
"Nov 25, 2022",$0.1544,$0.1576,$0.1499,$0.1562,"$11,410","$2,409,710"
"Nov 24, 2022",$0.1501,$0.1628,$0.1459,$0.1544,"$54,469","$2,381,685"
"Nov 23, 2022",$0.1422,$0.1525,$0.1419,$0.1501,"$30,470","$2,315,303"
"Nov 22, 2022",$0.1411,$0.1425,$0.1359,$0.1422,"$21,854","$2,194,097"
"Nov 21, 2022",$0.1438,$0.1439,$0.1372,$0.141,"$23,839","$2,175,930"
"Nov 20, 2022",$0.1566,$0.158,$0.1436,$0.1438,"$36,913","$2,218,706"
"Nov 19, 2022",$0.1567,$0.1583,$0.1531,$0.1566,"$38,924","$2,415,501"
"Nov 18, 2022",$0.1561,$0.1597,$0.1557,$0.1568,"$32,945","$2,419,707"
"Nov 17, 2022",$0.1616,$0.162,$0.1546,$0.1561,"$49,073","$2,407,721"
"Nov 16, 2022",$0.1656,$0.167,$0.1594,$0.1617,"$41,476","$2,494,017"
"Nov 15, 2022",$0.1641,$0.1663,$0.161,$0.1655,"$60,271","$2,553,092"
"Nov 14, 2022",$0.1649,$0.1704,$0.1574,$0.164,"$64,849","$2,530,663"
"Nov 13, 2022",$0.1687,$0.1714,$0.1632,$0.1648,"$84,222","$2,543,071"
"Nov 12, 2022",$0.1706,$0.1722,$0.1663,$0.1686,"$52,172","$2,600,726"
"Nov 11, 2022",$0.1813,$0.182,$0.1592,$0.1706,"$127,204","$2,631,263"
"Nov 10, 2022",$0.1682,$0.1925,$0.1663,$0.1814,"$117,914","$2,799,228"
"Nov 09, 2022",$0.1889,$0.1922,$0.1654,$0.1685,"$91,758","$2,599,371"
"Nov 08, 2022",$0.2207,$0.2216,$0.1804,$0.1889,"$147,399","$2,913,769"
"Nov 07, 2022",$0.2213,$0.2279,$0.2186,$0.2207,"$90,258","$3,404,543"
"Nov 06, 2022",$0.2298,$0.2351,$0.214,$0.2214,"$94,487","$3,415,635"
"Nov 05, 2022",$0.2336,$0.2361,$0.2284,$0.2298,"$66,525","$3,545,078"
"Nov 04, 2022",$0.2245,$0.2414,$0.2236,$0.2338,"$86,203","$3,607,057"
"Nov 03, 2022",$0.2171,$0.2269,$0.2168,$0.2246,"$71,199","$3,465,258"
"Nov 02, 2022",$0.2218,$0.228,$0.2156,$0.2171,"$61,350","$3,349,921"
"Nov 01, 2022",$0.2297,$0.2316,$0.2205,$0.2218,"$59,436","$3,421,270"
"Oct 31, 2022",$0.2266,$0.2309,$0.2231,$0.2297,"$83,934","$3,543,788"
"Oct 30, 2022",$0.2291,$0.2333,$0.2248,$0.2266,"$107,658","$3,496,415"
"Oct 29, 2022",$0.2277,$0.2376,$0.2267,$0.2291,"$70,153","$3,534,718"
"Oct 28, 2022",$0.2218,$0.2301,$0.2207,$0.2277,"$67,491","$3,512,367"
"Oct 27, 2022",$0.2273,$0.2292,$0.2214,$0.2218,"$103,620","$3,422,214"
"Oct 26, 2022",$0.2237,$0.2344,$0.2217,$0.2273,"$29,415","$3,507,066"
"Oct 25, 2022",$0.214,$0.2345,$0.2126,$0.2239,"$12,227","$3,447,297"
"Oct 24, 2022",$0.2162,$0.2166,$0.2109,$0.214,"$5,353","$3,295,149"
"Oct 23, 2022",$0.2116,$0.217,$0.2076,$0.2161,"$19,045","$3,327,435"
"Oct 22, 2022",$0.2132,$0.2135,$0.2077,$0.2116,"$13,676","$3,258,017"
"Oct 21, 2022",$0.2158,$0.2167,$0.2123,$0.2131,"$12,685","$3,280,480"
"Oct 20, 2022",$0.211,$0.2162,$0.2089,$0.2158,"$22,971","$3,322,390"
"Oct 19, 2022",$0.2161,$0.2196,$0.211,$0.2119,"$35,839","$3,250,965"
"Oct 18, 2022",$0.2186,$0.2317,$0.216,$0.2161,"$84,039","$3,315,223"
"Oct 17, 2022",$0.2178,$0.2199,$0.2167,$0.2186,"$25,492","$3,353,319"
"Oct 16, 2022",$0.2254,$0.2312,$0.216,$0.2178,"$86,297","$3,341,714"
"Oct 15, 2022",$0.2283,$0.2283,$0.2247,$0.2252,"$49,995","$3,455,677"
"Oct 14, 2022",$0.229,$0.2376,$0.2271,$0.2283,"$69,147","$3,503,071"
"Oct 13, 2022",$0.2348,$0.2348,$0.222,$0.2292,"$71,422","$3,516,465"
"Oct 12, 2022",$0.2308,$0.2393,$0.2292,$0.2348,"$92,727","$3,601,847"
"Oct 11, 2022",$0.2278,$0.2324,$0.2248,$0.2308,"$77,998","$3,540,625"
"Oct 10, 2022",$0.2353,$0.2393,$0.2273,$0.2278,"$86,039","$3,494,502"
