Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3353,$0.3383,$0.3296,$0.3299,"$3,336,789","$162,089,829"
"Dec 30, 2022",$0.3402,$0.3418,$0.3334,$0.3353,"$3,081,888","$164,613,781"
"Dec 29, 2022",$0.3453,$0.3502,$0.3361,$0.3401,"$4,071,088","$166,906,151"
"Dec 28, 2022",$0.3491,$0.3499,$0.3427,$0.3453,"$3,331,028","$169,395,946"
"Dec 27, 2022",$0.3561,$0.3564,$0.3474,$0.3493,"$3,953,278","$171,333,553"
"Dec 26, 2022",$0.3381,$0.3563,$0.3368,$0.3562,"$5,862,340","$174,633,986"
"Dec 25, 2022",$0.3348,$0.3425,$0.3335,$0.3381,"$3,980,785","$165,180,524"
"Dec 24, 2022",$0.3375,$0.338,$0.3331,$0.3348,"$3,070,885","$163,549,945"
"Dec 23, 2022",$0.3405,$0.3415,$0.3334,$0.3375,"$3,427,353","$164,809,962"
"Dec 22, 2022",$0.3371,$0.3411,$0.3325,$0.3408,"$3,425,841","$166,386,325"
"Dec 21, 2022",$0.3447,$0.3447,$0.335,$0.337,"$3,315,588","$162,903,495"
"Dec 20, 2022",$0.3376,$0.3502,$0.3369,$0.3447,"$3,898,676","$166,579,626"
"Dec 19, 2022",$0.3487,$0.3507,$0.3348,$0.3377,"$3,345,894","$163,120,551"
"Dec 18, 2022",$0.3503,$0.3529,$0.3456,$0.3484,"$1,847,921","$168,188,396"
"Dec 17, 2022",$0.3429,$0.3508,$0.3385,$0.3502,"$3,915,578","$169,033,782"
"Dec 16, 2022",$0.3681,$0.3734,$0.3393,$0.3425,"$4,891,780","$165,262,382"
"Dec 15, 2022",$0.3837,$0.385,$0.3672,$0.3681,"$4,924,005","$177,573,958"
"Dec 14, 2022",$0.3895,$0.3927,$0.3815,$0.3837,"$5,590,390","$185,043,165"
"Dec 13, 2022",$0.3897,$0.4092,$0.375,$0.3895,"$8,685,689","$187,797,448"
"Dec 12, 2022",$0.402,$0.4025,$0.3837,$0.3905,"$5,037,294","$188,183,248"
"Dec 11, 2022",$0.4067,$0.412,$0.4021,$0.4021,"$7,202,692","$193,688,107"
"Dec 10, 2022",$0.4096,$0.4128,$0.4032,$0.4068,"$4,882,326","$187,489,788"
"Dec 09, 2022",$0.4207,$0.4213,$0.4077,$0.4096,"$11,030,861","$188,743,852"
"Dec 08, 2022",$0.4165,$0.4343,$0.4143,$0.4207,"$8,016,191","$193,822,158"
"Dec 07, 2022",$0.4178,$0.4304,$0.398,$0.4165,"$12,285,822","$191,800,517"
"Dec 06, 2022",$0.401,$0.4435,$0.3997,$0.4177,"$10,882,884","$192,342,075"
"Dec 05, 2022",$0.4012,$0.4207,$0.3979,$0.4008,"$8,313,704","$184,472,000"
"Dec 04, 2022",$0.4028,$0.4094,$0.3946,$0.4012,"$5,926,887","$184,552,329"
"Dec 03, 2022",$0.4094,$0.4532,$0.3992,$0.4024,"$22,282,649","$185,046,992"
"Dec 02, 2022",$0.367,$0.4622,$0.3661,$0.4092,"$32,893,556","$188,117,642"
"Dec 01, 2022",$0.36,$0.3725,$0.3543,$0.3667,"$8,361,583","$168,521,963"
"Nov 30, 2022",$0.3512,$0.3625,$0.3512,$0.3602,"$7,401,284","$165,463,512"
