Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.8162,$0.8194,$0.8099,$0.8127,"$585,600","$81,272,542"
"Dec 30, 2022",$0.8166,$0.8184,$0.8082,$0.8162,"$794,442","$81,615,281"
"Dec 29, 2022",$0.8125,$0.8196,$0.808,$0.8166,"$883,778","$81,655,907"
"Dec 28, 2022",$0.8102,$0.8176,$0.8043,$0.8133,"$926,325","$81,326,107"
"Dec 27, 2022",$0.8093,$0.8149,$0.8073,$0.8102,"$559,429","$81,016,598"
"Dec 26, 2022",$0.8113,$0.8191,$0.8078,$0.8093,"$972,821","$80,929,817"
"Dec 25, 2022",$0.8136,$0.8143,$0.8008,$0.8113,"$1,057,482","$81,129,655"
"Dec 24, 2022",$0.812,$0.8185,$0.8059,$0.8136,"$914,215","$81,355,821"
"Dec 23, 2022",$0.8191,$0.8198,$0.8068,$0.812,"$922,922","$81,203,062"
"Dec 22, 2022",$0.8103,$0.8252,$0.8015,$0.8191,"$1,211,600","$81,905,116"
"Dec 21, 2022",$0.8132,$0.8169,$0.8037,$0.8103,"$763,524","$81,031,733"
"Dec 20, 2022",$0.8009,$0.8223,$0.8007,$0.8132,"$1,127,974","$81,322,638"
"Dec 19, 2022",$0.8052,$0.8096,$0.7984,$0.801,"$733,808","$80,096,121"
"Dec 18, 2022",$0.8047,$0.8104,$0.7992,$0.8052,"$642,168","$80,524,527"
"Dec 17, 2022",$0.7835,$0.8078,$0.7702,$0.8047,"$1,283,132","$80,474,289"
"Dec 16, 2022",$0.7991,$0.803,$0.7822,$0.7837,"$1,573,028","$78,368,665"
"Dec 15, 2022",$0.8396,$0.8425,$0.7944,$0.7991,"$1,235,838","$79,911,164"
"Dec 14, 2022",$0.8309,$0.8417,$0.8263,$0.8396,"$1,018,581","$83,960,649"
"Dec 13, 2022",$0.8284,$0.8369,$0.8189,$0.831,"$843,904","$83,097,603"
"Dec 12, 2022",$0.8194,$0.8285,$0.8158,$0.8284,"$706,461","$82,844,030"
"Dec 11, 2022",$0.8257,$0.8301,$0.8191,$0.8194,"$632,427","$81,936,506"
"Dec 10, 2022",$0.8305,$0.8367,$0.8241,$0.8257,"$494,437","$82,574,980"
