Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03295,$0.03298,$0.03182,$0.03184,"$5,439,134","$84,113,424"
"Dec 30, 2022",$0.03379,$0.03428,$0.03203,$0.03296,"$7,440,001","$87,086,865"
"Dec 29, 2022",$0.03387,$0.03485,$0.03117,$0.03378,"$8,513,884","$89,262,525"
"Dec 28, 2022",$0.03287,$0.03459,$0.03216,$0.03388,"$7,372,193","$89,505,982"
"Dec 27, 2022",$0.03525,$0.0354,$0.03283,$0.03287,"$7,704,048","$86,836,677"
"Dec 26, 2022",$0.03543,$0.0386,$0.03478,$0.03526,"$12,655,120","$93,149,551"
"Dec 25, 2022",$0.03212,$0.03595,$0.03212,$0.03544,"$8,096,476","$93,625,860"
"Dec 24, 2022",$0.03468,$0.03468,$0.03211,$0.03211,"$5,692,032","$84,848,618"
"Dec 23, 2022",$0.03412,$0.03869,$0.03342,$0.03467,"$11,090,667","$91,593,909"
"Dec 22, 2022",$0.03003,$0.03977,$0.02936,$0.03415,"$14,655,115","$90,224,239"
"Dec 21, 2022",$0.03082,$0.03099,$0.02971,$0.03003,"$7,372,832","$79,331,777"
"Dec 20, 2022",$0.02953,$0.03136,$0.02945,$0.03083,"$9,674,012","$81,446,386"
"Dec 19, 2022",$0.03355,$0.0337,$0.0291,$0.02949,"$8,255,474","$77,922,065"
"Dec 18, 2022",$0.03328,$0.03384,$0.03314,$0.03353,"$4,191,953","$88,594,716"
"Dec 17, 2022",$0.0338,$0.03401,$0.03282,$0.03328,"$7,623,151","$87,937,111"
"Dec 16, 2022",$0.03711,$0.03719,$0.03379,$0.0338,"$8,884,357","$89,315,218"
"Dec 15, 2022",$0.04143,$0.04152,$0.03714,$0.03714,"$4,898,388","$98,128,498"
"Dec 14, 2022",$0.04485,$0.04743,$0.04129,$0.04143,"$12,109,134","$109,459,182"
"Dec 13, 2022",$0.04402,$0.0523,$0.04313,$0.04484,"$20,626,766","$118,474,687"
"Dec 12, 2022",$0.03792,$0.04737,$0.0358,$0.04411,"$23,198,569","$116,533,553"
"Dec 11, 2022",$0.04132,$0.04341,$0.03382,$0.03804,"$20,757,390","$100,504,320"
"Dec 10, 2022",$0.0262,$0.05284,$0.02619,$0.04164,"$39,101,505","$110,024,716"
"Dec 09, 2022",$0.02512,$0.0262,$0.02509,$0.0262,"$7,815,945","$69,213,438"
"Dec 08, 2022",$0.02639,$0.02642,$0.02486,$0.02512,"$8,222,781","$66,374,490"
"Dec 07, 2022",$0.02751,$0.02758,$0.02606,$0.02639,"$7,739,715","$69,716,800"
"Dec 06, 2022",$0.02788,$0.02788,$0.02742,$0.0275,"$5,260,736","$72,670,990"
"Dec 05, 2022",$0.02822,$0.02822,$0.02776,$0.02786,"$3,870,884","$73,621,589"
"Dec 04, 2022",$0.02753,$0.02831,$0.02752,$0.02822,"$6,161,175","$74,559,465"
"Dec 03, 2022",$0.02756,$0.02795,$0.02745,$0.02753,"$6,075,621","$72,729,424"
"Dec 02, 2022",$0.0284,$0.02861,$0.02712,$0.02756,"$6,203,692","$72,808,548"
"Dec 01, 2022",$0.02885,$0.02919,$0.02837,$0.0284,"$5,921,443","$75,040,556"
"Nov 30, 2022",$0.02774,$0.02907,$0.02772,$0.02885,"$6,056,435","$76,232,067"
"Nov 29, 2022",$0.0295,$0.02989,$0.02773,$0.02773,"$6,669,704","$73,259,866"
"Nov 28, 2022",$0.0324,$0.03259,$0.02939,$0.02949,"$6,155,148","$77,914,621"
"Nov 27, 2022",$0.03259,$0.03275,$0.03224,$0.0324,"$5,667,530","$85,600,163"
"Nov 26, 2022",$0.03252,$0.03291,$0.03244,$0.03259,"$5,306,069","$86,103,445"
"Nov 25, 2022",$0.03229,$0.03258,$0.03163,$0.03251,"$5,579,742","$85,893,646"
"Nov 24, 2022",$0.03203,$0.03282,$0.03197,$0.03229,"$7,310,458","$85,309,021"
"Nov 23, 2022",$0.03202,$0.03351,$0.03161,$0.03209,"$7,830,200","$84,784,748"
"Nov 22, 2022",$0.03142,$0.0324,$0.03106,$0.03201,"$7,818,232","$84,576,496"
"Nov 21, 2022",$0.03352,$0.03361,$0.03135,$0.03141,"$7,891,588","$82,993,944"
"Nov 20, 2022",$0.03517,$0.03556,$0.03309,$0.03351,"$7,623,707","$88,534,947"
"Nov 19, 2022",$0.03505,$0.03608,$0.03444,$0.03517,"$6,794,705","$92,912,845"
"Nov 18, 2022",$0.03571,$0.03685,$0.0349,$0.035,"$6,293,519","$92,462,783"
"Nov 17, 2022",$0.03635,$0.03697,$0.0355,$0.03574,"$6,115,574","$94,441,067"
"Nov 16, 2022",$0.03773,$0.03808,$0.03571,$0.0364,"$5,570,632","$96,169,814"
"Nov 15, 2022",$0.03549,$0.03822,$0.03549,$0.03775,"$6,027,558","$99,752,595"
"Nov 14, 2022",$0.03491,$0.03861,$0.03293,$0.03545,"$7,708,395","$93,652,918"
"Nov 13, 2022",$0.03674,$0.03724,$0.03456,$0.0349,"$6,660,378","$92,209,807"
"Nov 12, 2022",$0.04102,$0.04134,$0.03636,$0.03672,"$5,171,153","$97,027,443"
"Nov 11, 2022",$0.04352,$0.04373,$0.03896,$0.04102,"$7,554,337","$108,374,623"
"Nov 10, 2022",$0.03342,$0.04655,$0.0327,$0.04354,"$8,883,549","$115,025,601"
"Nov 09, 2022",$0.04644,$0.04804,$0.03316,$0.03344,"$11,151,193","$88,355,778"
"Nov 08, 2022",$0.05185,$0.05195,$0.04515,$0.04644,"$9,356,716","$122,694,626"
"Nov 07, 2022",$0.05399,$0.05488,$0.05142,$0.05185,"$10,373,862","$137,007,363"
"Nov 06, 2022",$0.05659,$0.05705,$0.05395,$0.05401,"$10,061,192","$142,689,273"
"Nov 05, 2022",$0.05647,$0.0576,$0.05576,$0.05659,"$7,996,975","$149,529,544"
"Nov 04, 2022",$0.05644,$0.05749,$0.0557,$0.05648,"$10,824,997","$149,234,067"
"Nov 03, 2022",$0.05755,$0.05843,$0.05568,$0.0564,"$16,164,543","$149,005,821"
"Nov 02, 2022",$0.05726,$0.0587,$0.05644,$0.05753,"$10,210,081","$151,998,770"
"Nov 01, 2022",$0.05825,$0.05871,$0.05691,$0.05727,"$13,790,527","$151,317,607"
"Oct 31, 2022",$0.06069,$0.06075,$0.05584,$0.05826,"$15,592,888","$153,926,381"
"Oct 30, 2022",$0.05369,$0.0626,$0.05345,$0.06066,"$20,879,864","$160,259,999"
"Oct 29, 2022",$0.05325,$0.05487,$0.05301,$0.05373,"$17,173,858","$141,960,177"
"Oct 28, 2022",$0.05237,$0.05434,$0.05179,$0.05326,"$10,061,733","$140,717,672"
"Oct 27, 2022",$0.05336,$0.05586,$0.05238,$0.05238,"$17,221,762","$138,397,503"
"Oct 26, 2022",$0.05072,$0.05452,$0.05072,$0.05339,"$9,528,572","$141,069,433"
"Oct 25, 2022",$0.04854,$0.05274,$0.04839,$0.05073,"$15,176,685","$134,042,296"
"Oct 24, 2022",$0.05444,$0.05542,$0.04809,$0.04855,"$16,672,071","$128,273,556"
"Oct 23, 2022",$0.04895,$0.05502,$0.04827,$0.05425,"$8,825,433","$143,346,965"
"Oct 22, 2022",$0.05209,$0.0521,$0.04758,$0.04895,"$10,676,540","$129,337,590"
"Oct 21, 2022",$0.05297,$0.05401,$0.05092,$0.0521,"$15,084,621","$137,651,735"
"Oct 20, 2022",$0.05561,$0.05581,$0.05199,$0.05297,"$17,050,793","$139,962,154"
"Oct 19, 2022",$0.05758,$0.05801,$0.05492,$0.05561,"$18,573,391","$146,920,360"
"Oct 18, 2022",$0.06157,$0.06205,$0.05704,$0.05759,"$22,047,651","$152,158,775"
"Oct 17, 2022",$0.06108,$0.06267,$0.06091,$0.06158,"$12,484,677","$162,690,249"
"Oct 16, 2022",$0.0613,$0.06458,$0.06102,$0.06107,"$13,091,039","$161,357,630"
"Oct 15, 2022",$0.06052,$0.06134,$0.06052,$0.06131,"$10,984,029","$161,992,828"
"Oct 14, 2022",$0.06015,$0.06174,$0.06014,$0.06052,"$11,464,752","$159,913,944"
"Oct 13, 2022",$0.06014,$0.06092,$0.05853,$0.06016,"$10,972,203","$158,958,381"
"Oct 12, 2022",$0.06104,$0.06173,$0.05971,$0.06014,"$10,824,576","$158,889,409"
"Oct 11, 2022",$0.06095,$0.0637,$0.05973,$0.06106,"$11,811,491","$161,325,274"
"Oct 10, 2022",$0.06223,$0.06436,$0.06033,$0.06097,"$15,676,792","$161,084,293"
"Oct 09, 2022",$0.06535,$0.06542,$0.062,$0.06224,"$14,585,867","$164,449,539"
"Oct 08, 2022",$0.06702,$0.06708,$0.06514,$0.06534,"$9,806,726","$172,645,906"
"Oct 07, 2022",$0.06719,$0.06809,$0.06598,$0.06701,"$7,287,856","$177,050,095"
"Oct 06, 2022",$0.06837,$0.06881,$0.06697,$0.06719,"$10,623,947","$177,521,968"
"Oct 05, 2022",$0.06875,$0.06875,$0.06621,$0.06839,"$11,988,074","$180,697,974"
"Oct 04, 2022",$0.0694,$0.06982,$0.06801,$0.06873,"$8,978,524","$181,606,280"
