Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2702,$0.2702,$0.2678,$0.2683,"$308,373","$5,374,895"
"Dec 30, 2022",$0.2698,$0.2708,$0.2661,$0.2701,"$321,824","$5,410,609"
"Dec 29, 2022",$0.26,$0.2708,$0.2589,$0.2698,"$317,605","$5,405,434"
"Dec 28, 2022",$0.2592,$0.2617,$0.2556,$0.26,"$304,110","$5,208,128"
"Dec 27, 2022",$0.2588,$0.2671,$0.2556,$0.2593,"$322,916","$5,193,727"
"Dec 26, 2022",$0.2579,$0.26,$0.2547,$0.2588,"$323,365","$5,184,852"
"Dec 25, 2022",$0.2567,$0.2583,$0.2507,$0.2578,"$290,949","$5,163,863"
"Dec 24, 2022",$0.2569,$0.2571,$0.2483,$0.2567,"$303,788","$5,142,470"
"Dec 23, 2022",$0.2503,$0.2572,$0.2496,$0.2569,"$240,444","$5,147,510"
"Dec 22, 2022",$0.2455,$0.2518,$0.243,$0.2504,"$296,452","$5,015,538"
"Dec 21, 2022",$0.2427,$0.248,$0.2408,$0.2455,"$286,654","$4,918,617"
"Dec 20, 2022",$0.2417,$0.2443,$0.2404,$0.2427,"$274,444","$4,861,533"
"Dec 19, 2022",$0.2421,$0.2428,$0.2389,$0.2417,"$277,378","$4,842,290"
"Dec 18, 2022",$0.2441,$0.2441,$0.2402,$0.2421,"$281,806","$4,850,680"
"Dec 17, 2022",$0.2418,$0.2441,$0.2396,$0.2441,"$283,331","$4,890,170"
"Dec 16, 2022",$0.254,$0.2555,$0.2413,$0.2418,"$292,929","$4,843,473"
"Dec 15, 2022",$0.2572,$0.2573,$0.2527,$0.2539,"$296,834","$5,086,565"
"Dec 14, 2022",$0.2613,$0.263,$0.2571,$0.2572,"$212,080","$5,152,003"
"Dec 13, 2022",$0.2565,$0.2615,$0.2497,$0.2612,"$134,521","$5,233,039"
"Dec 12, 2022",$0.2544,$0.2565,$0.2516,$0.2565,"$295,593","$5,137,990"
"Dec 11, 2022",$0.2517,$0.2603,$0.2492,$0.2544,"$358,303","$5,097,112"
"Dec 10, 2022",$0.2531,$0.2537,$0.2496,$0.2517,"$548,662","$5,042,484"
"Dec 09, 2022",$0.2523,$0.2588,$0.251,$0.2531,"$568,848","$5,070,340"
"Dec 08, 2022",$0.2473,$0.2526,$0.2455,$0.2523,"$570,951","$5,053,759"
"Dec 07, 2022",$0.2549,$0.2553,$0.2429,$0.2473,"$566,000","$4,955,073"
"Dec 06, 2022",$0.2572,$0.2592,$0.2518,$0.2548,"$578,144","$5,105,382"
"Dec 05, 2022",$0.261,$0.2672,$0.2567,$0.2572,"$589,271","$5,152,419"
"Dec 04, 2022",$0.261,$0.2645,$0.2589,$0.261,"$553,359","$5,229,596"
"Dec 03, 2022",$0.265,$0.2682,$0.2598,$0.2608,"$577,899","$5,225,266"
"Dec 02, 2022",$0.2518,$0.2691,$0.2509,$0.2651,"$624,074","$5,311,606"
"Dec 01, 2022",$0.2461,$0.2593,$0.2386,$0.2517,"$754,981","$5,041,696"
