Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.6438,$0.651,$0.6334,$0.6349,"$689,735","$84,597,666"
"Dec 30, 2022",$0.6425,$0.6472,$0.6333,$0.6438,"$649,549","$85,779,397"
"Dec 29, 2022",$0.6477,$0.6527,$0.6395,$0.6424,"$709,816","$85,602,646"
"Dec 28, 2022",$0.6637,$0.6748,$0.6341,$0.6477,"$1,809,656","$86,307,767"
"Dec 27, 2022",$0.6597,$0.669,$0.6545,$0.6636,"$628,650","$88,421,783"
"Dec 26, 2022",$0.6614,$0.6668,$0.6509,$0.6595,"$684,147","$87,872,593"
"Dec 25, 2022",$0.6574,$0.6678,$0.6541,$0.6613,"$966,047","$88,114,780"
"Dec 24, 2022",$0.6608,$0.6651,$0.6519,$0.6573,"$538,667","$87,589,845"
"Dec 23, 2022",$0.6658,$0.6727,$0.6607,$0.6608,"$434,098","$88,048,221"
"Dec 22, 2022",$0.6654,$0.6755,$0.6507,$0.6659,"$733,735","$88,731,556"
"Dec 21, 2022",$0.7021,$0.7029,$0.6607,$0.6651,"$911,986","$88,624,309"
"Dec 20, 2022",$0.6802,$0.7318,$0.6787,$0.7023,"$1,716,411","$93,586,238"
"Dec 19, 2022",$0.6977,$0.7024,$0.6727,$0.68,"$1,281,818","$90,610,723"
"Dec 18, 2022",$0.702,$0.708,$0.6783,$0.6978,"$902,342","$92,981,119"
"Dec 17, 2022",$0.6916,$0.7096,$0.6843,$0.702,"$967,362","$93,537,795"
"Dec 16, 2022",$0.7591,$0.7721,$0.691,$0.6918,"$2,029,896","$92,178,049"
"Dec 15, 2022",$0.7665,$0.7692,$0.7528,$0.7592,"$916,748","$101,168,764"
"Dec 14, 2022",$0.7782,$0.7907,$0.7599,$0.7664,"$1,886,044","$102,120,682"
"Dec 13, 2022",$0.7696,$0.7807,$0.7494,$0.7786,"$2,420,593","$103,744,750"
"Dec 12, 2022",$0.7572,$0.8111,$0.7439,$0.7692,"$5,400,298","$102,499,072"
"Dec 11, 2022",$0.7673,$0.7707,$0.7551,$0.7572,"$3,798,358","$100,889,402"
"Dec 10, 2022",$0.7622,$0.8053,$0.7576,$0.7676,"$2,755,715","$102,276,133"
"Dec 09, 2022",$0.7665,$0.7869,$0.7559,$0.7624,"$1,613,945","$101,585,680"
"Dec 08, 2022",$0.7648,$0.7924,$0.755,$0.7664,"$2,294,319","$102,123,092"
"Dec 07, 2022",$0.7723,$0.7805,$0.7474,$0.7646,"$2,238,747","$101,885,912"
"Dec 06, 2022",$0.7776,$0.8134,$0.7595,$0.7728,"$2,349,898","$102,968,232"
"Dec 05, 2022",$0.756,$0.8379,$0.7539,$0.7775,"$4,545,493","$103,604,298"
"Dec 04, 2022",$0.7534,$0.764,$0.7472,$0.7558,"$2,270,112","$100,714,077"
"Dec 03, 2022",$0.7717,$0.8284,$0.7496,$0.7531,"$5,861,211","$100,351,011"
"Dec 02, 2022",$0.7615,$0.7881,$0.7467,$0.7713,"$3,458,194","$102,768,654"
"Dec 01, 2022",$0.7597,$0.784,$0.7336,$0.7606,"$5,139,809","$101,345,951"
"Nov 30, 2022",$0.7565,$0.7907,$0.74,$0.7597,"$4,718,633","$101,225,298"
"Nov 29, 2022",$0.7511,$0.7852,$0.7415,$0.7563,"$4,447,360","$100,781,757"
"Nov 28, 2022",$0.8083,$0.8913,$0.7509,$0.753,"$12,896,749","$100,332,624"
"Nov 27, 2022",$0.7795,$0.8356,$0.7752,$0.8084,"$7,809,132","$107,719,490"
"Nov 26, 2022",$0.8047,$0.8501,$0.7617,$0.7774,"$7,073,623","$103,580,850"
"Nov 25, 2022",$0.8594,$0.8972,$0.7924,$0.8047,"$14,364,186","$107,225,922"
"Nov 24, 2022",$1.09,$1.21,$0.8043,$0.861,"$61,762,780","$114,728,663"
"Nov 23, 2022",$0.5815,$1.46,$0.5772,$1.09,"$156,931,944","$145,170,150"
"Nov 22, 2022",$0.5688,$0.5842,$0.5428,$0.5815,"$1,197,264","$77,477,803"
"Nov 21, 2022",$0.5817,$0.5835,$0.5587,$0.5688,"$810,279","$75,789,578"
"Nov 20, 2022",$0.5909,$0.6029,$0.5812,$0.5819,"$732,049","$77,536,629"
"Nov 19, 2022",$0.594,$0.5958,$0.5838,$0.5909,"$645,520","$78,731,378"
"Nov 18, 2022",$0.5955,$0.6111,$0.591,$0.594,"$564,895","$79,154,689"
"Nov 17, 2022",$0.596,$0.6016,$0.5889,$0.5955,"$569,419","$79,345,278"
"Nov 16, 2022",$0.5985,$0.6041,$0.5889,$0.597,"$477,642","$79,550,802"
"Nov 15, 2022",$0.5954,$0.6115,$0.5918,$0.5985,"$659,614","$79,748,182"
"Nov 14, 2022",$0.5916,$0.5974,$0.5693,$0.5952,"$1,276,792","$79,307,849"
"Nov 13, 2022",$0.6065,$0.6161,$0.5844,$0.5924,"$770,622","$78,940,192"
"Nov 12, 2022",$0.6122,$0.6176,$0.5974,$0.6066,"$547,323","$80,823,243"
"Nov 11, 2022",$0.664,$0.6683,$0.6025,$0.6121,"$1,504,040","$81,555,059"
"Nov 10, 2022",$0.5894,$0.666,$0.5893,$0.6643,"$1,599,281","$88,515,225"
"Nov 09, 2022",$0.6724,$0.6812,$0.5768,$0.5896,"$2,471,863","$78,557,093"
"Nov 08, 2022",$0.7653,$0.7727,$0.6459,$0.672,"$4,930,501","$89,544,297"
"Nov 07, 2022",$0.7708,$0.7794,$0.7591,$0.7636,"$1,297,587","$101,750,533"
"Nov 06, 2022",$0.7858,$0.7909,$0.7687,$0.7709,"$1,179,655","$102,719,675"
"Nov 05, 2022",$0.7879,$0.8012,$0.7832,$0.7855,"$1,828,302","$104,661,401"
"Nov 04, 2022",$0.7504,$0.792,$0.7499,$0.788,"$2,513,705","$104,994,335"
"Nov 03, 2022",$0.724,$0.7573,$0.7234,$0.7502,"$1,573,580","$99,957,990"
"Nov 02, 2022",$0.7485,$0.7558,$0.7155,$0.7242,"$1,415,335","$96,492,799"
"Nov 01, 2022",$0.7581,$0.7652,$0.7455,$0.7486,"$917,784","$99,747,592"
"Oct 31, 2022",$0.7412,$0.7619,$0.7331,$0.7587,"$1,418,167","$101,100,646"
"Oct 30, 2022",$0.7471,$0.758,$0.7393,$0.7411,"$1,094,546","$98,750,646"
"Oct 29, 2022",$0.7391,$0.7548,$0.7333,$0.7468,"$1,692,757","$99,505,076"
"Oct 28, 2022",$0.7271,$0.7446,$0.7214,$0.7392,"$1,391,488","$98,494,412"
"Oct 27, 2022",$0.74,$0.7528,$0.7221,$0.727,"$1,580,385","$96,869,853"
"Oct 26, 2022",$0.7322,$0.7463,$0.7265,$0.7399,"$1,857,425","$98,585,474"
"Oct 25, 2022",$0.7108,$0.749,$0.7053,$0.7322,"$1,927,087","$97,564,724"
"Oct 24, 2022",$0.726,$0.7292,$0.7067,$0.7107,"$1,004,706","$94,703,457"
"Oct 23, 2022",$0.709,$0.7318,$0.7016,$0.7261,"$2,104,029","$96,755,570"
"Oct 22, 2022",$0.698,$0.7176,$0.6897,$0.7089,"$1,245,966","$94,461,617"
"Oct 21, 2022",$0.7007,$0.7059,$0.6813,$0.6979,"$1,333,358","$92,990,956"
"Oct 20, 2022",$0.729,$0.7336,$0.6963,$0.7007,"$2,194,476","$93,367,062"
"Oct 19, 2022",$0.7357,$0.7804,$0.727,$0.7292,"$2,832,874","$97,169,592"
"Oct 18, 2022",$0.752,$0.7553,$0.7255,$0.7357,"$1,642,721","$98,027,794"
"Oct 17, 2022",$0.7558,$0.7585,$0.7474,$0.7519,"$1,306,628","$100,190,346"
"Oct 16, 2022",$0.7452,$0.7604,$0.7412,$0.7556,"$1,600,105","$100,688,144"
"Oct 15, 2022",$0.7423,$0.7571,$0.7398,$0.7453,"$1,231,016","$99,312,157"
"Oct 14, 2022",$0.7646,$0.775,$0.7402,$0.7423,"$1,859,573","$98,909,799"
"Oct 13, 2022",$0.7656,$0.7688,$0.7234,$0.7647,"$1,986,511","$101,890,956"
"Oct 12, 2022",$0.7655,$0.774,$0.7633,$0.7656,"$1,192,897","$102,017,023"
"Oct 11, 2022",$0.7748,$0.7754,$0.756,$0.7653,"$1,717,480","$101,968,535"
