Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.26,$1.35,$1.25,$1.29,"$2,053,552","$25,367,668"
"Dec 30, 2022",$1.33,$1.37,$1.24,$1.26,"$1,979,063","$24,953,413"
"Dec 29, 2022",$1.34,$1.36,$1.30,$1.33,"$1,332,727","$26,195,505"
"Dec 28, 2022",$1.40,$1.41,$1.34,$1.34,"$1,441,846","$26,504,241"
"Dec 27, 2022",$1.39,$1.63,$1.37,$1.40,"$8,961,270","$27,574,766"
"Dec 26, 2022",$1.34,$1.41,$1.34,$1.39,"$1,620,069","$27,473,937"
"Dec 25, 2022",$1.37,$1.38,$1.34,$1.34,"$640,832","$26,498,652"
"Dec 24, 2022",$1.40,$1.43,$1.37,$1.37,"$951,011","$26,946,948"
"Dec 23, 2022",$1.38,$1.47,$1.37,$1.40,"$1,570,280","$27,661,150"
"Dec 22, 2022",$1.39,$1.40,$1.34,$1.38,"$695,777","$27,105,797"
"Dec 21, 2022",$1.42,$1.47,$1.37,$1.39,"$1,950,435","$27,419,665"
"Dec 20, 2022",$1.31,$1.64,$1.30,$1.42,"$6,896,555","$28,070,752"
"Dec 19, 2022",$1.39,$1.42,$1.30,$1.31,"$1,865,238","$25,824,533"
"Dec 18, 2022",$1.43,$1.44,$1.36,$1.39,"$1,583,690","$27,420,996"
"Dec 17, 2022",$1.38,$1.43,$1.35,$1.43,"$1,413,348","$28,206,452"
"Dec 16, 2022",$1.56,$1.60,$1.35,$1.38,"$2,370,340","$27,133,999"
"Dec 15, 2022",$1.62,$1.63,$1.55,$1.56,"$1,848,773","$30,732,053"
"Dec 14, 2022",$1.56,$1.74,$1.56,$1.62,"$5,691,001","$31,867,250"
"Dec 13, 2022",$1.63,$1.66,$1.54,$1.56,"$2,426,212","$30,766,640"
"Dec 12, 2022",$1.69,$1.70,$1.57,$1.63,"$2,546,526","$32,066,518"
"Dec 11, 2022",$1.84,$1.84,$1.69,$1.69,"$2,220,968","$33,294,251"
"Dec 10, 2022",$1.75,$1.94,$1.75,$1.84,"$6,594,693","$36,207,585"
"Dec 09, 2022",$1.89,$1.90,$1.75,$1.75,"$2,316,213","$34,463,843"
"Dec 08, 2022",$1.89,$1.93,$1.86,$1.89,"$2,784,589","$37,269,620"
"Dec 07, 2022",$1.94,$1.99,$1.85,$1.89,"$4,590,989","$37,232,517"
"Dec 06, 2022",$1.97,$2.02,$1.87,$1.94,"$3,430,397","$38,169,879"
"Dec 05, 2022",$2.09,$2.12,$1.96,$1.97,"$3,589,917","$38,774,400"
"Dec 04, 2022",$1.96,$2.13,$1.96,$2.09,"$5,613,708","$41,221,767"
"Dec 03, 2022",$2.03,$2.11,$1.96,$1.96,"$4,321,519","$38,631,690"
"Dec 02, 2022",$2.06,$2.08,$2.02,$2.03,"$4,111,827","$40,001,454"
"Dec 01, 2022",$2.25,$2.26,$2.03,$2.06,"$6,554,153","$40,473,175"
"Nov 30, 2022",$2.13,$2.34,$2.13,$2.26,"$8,307,571","$44,390,754"
"Nov 29, 2022",$2.19,$2.20,$2.06,$2.13,"$7,516,688","$41,982,833"
"Nov 28, 2022",$2.05,$2.64,$2.03,$2.19,"$53,992,760","$43,037,895"
"Nov 27, 2022",$1.85,$2.19,$1.82,$2.05,"$16,778,319","$40,382,732"
"Nov 26, 2022",$1.96,$2.16,$1.82,$1.85,"$9,498,407","$36,303,227"
"Nov 25, 2022",$2.15,$2.26,$1.90,$1.96,"$53,141,927","$38,563,154"
"Nov 24, 2022",$1.62,$2.18,$1.59,$2.13,"$42,569,918","$41,908,191"
"Nov 23, 2022",$1.56,$1.72,$1.55,$1.62,"$8,970,239","$31,881,446"
"Nov 22, 2022",$1.44,$1.89,$1.44,$1.56,"$53,579,985","$30,722,920"
"Nov 21, 2022",$1.33,$1.47,$1.30,$1.44,"$14,694,670","$28,375,937"
"Nov 20, 2022",$1.57,$3.24,$1.29,$1.33,"$191,268,224","$26,120,983"
"Nov 19, 2022",$1.31,$1.60,$1.26,$1.58,"$9,484,612","$31,144,290"
"Nov 18, 2022",$1.44,$1.51,$1.29,$1.31,"$6,317,845","$25,832,536"
"Nov 17, 2022",$1.19,$1.47,$1.19,$1.44,"$12,752,014","$28,253,420"
"Nov 16, 2022",$1.26,$1.28,$1.18,$1.19,"$1,354,143","$23,461,836"
"Nov 15, 2022",$1.23,$1.30,$1.21,$1.26,"$1,604,987","$24,689,892"
"Nov 14, 2022",$1.23,$1.28,$1.15,$1.22,"$1,577,641","$24,070,845"
"Nov 13, 2022",$1.32,$1.40,$1.22,$1.23,"$2,575,308","$24,166,561"
"Nov 12, 2022",$1.28,$1.34,$1.21,$1.32,"$2,307,177","$25,975,936"
"Nov 11, 2022",$1.37,$1.57,$1.18,$1.28,"$15,214,886","$25,136,064"
"Nov 10, 2022",$0.9934,$1.47,$0.9934,$1.37,"$14,415,990","$26,831,276"
"Nov 09, 2022",$1.34,$1.35,$0.9735,$0.9929,"$8,141,300","$19,512,874"
"Nov 08, 2022",$1.92,$1.93,$1.21,$1.34,"$6,160,092","$26,428,765"
"Nov 07, 2022",$2.02,$2.03,$1.91,$1.92,"$2,678,854","$37,754,499"
"Nov 06, 2022",$2.02,$2.15,$1.99,$2.02,"$7,878,328","$39,706,376"
"Nov 05, 2022",$2.02,$2.05,$2.00,$2.02,"$3,118,995","$39,610,947"
"Nov 04, 2022",$2.05,$2.08,$1.99,$2.02,"$4,270,097","$39,736,384"
"Nov 03, 2022",$1.96,$2.12,$1.96,$2.05,"$4,478,971","$38,666,243"
"Nov 02, 2022",$2.09,$2.09,$1.95,$1.96,"$1,456,264","$37,102,742"
"Nov 01, 2022",$2.08,$2.11,$2.04,$2.09,"$2,085,155","$39,390,824"
"Oct 31, 2022",$2.16,$2.16,$2.06,$2.08,"$2,594,439","$39,283,924"
"Oct 30, 2022",$2.11,$2.30,$2.08,$2.16,"$5,516,783","$40,758,539"
"Oct 29, 2022",$2.05,$2.18,$2.00,$2.11,"$5,350,558","$39,903,938"
"Oct 28, 2022",$2.13,$2.14,$2.02,$2.05,"$1,727,201","$38,762,950"
"Oct 27, 2022",$2.16,$2.27,$2.13,$2.14,"$6,269,508","$40,307,955"
"Oct 26, 2022",$2.14,$2.39,$2.06,$2.16,"$13,477,410","$40,702,251"
"Oct 25, 2022",$1.98,$2.29,$1.96,$2.14,"$7,804,982","$40,309,610"
"Oct 24, 2022",$2.16,$2.18,$1.95,$1.98,"$3,688,456","$38,071,159"
"Oct 23, 2022",$2.15,$2.24,$2.11,$2.15,"$4,066,460","$40,585,741"
"Oct 22, 2022",$2.17,$2.44,$2.10,$2.15,"$6,223,839","$40,572,452"
"Oct 21, 2022",$2.49,$2.50,$2.06,$2.17,"$4,201,085","$41,413,318"
"Oct 20, 2022",$2.44,$2.57,$2.33,$2.49,"$3,830,656","$47,511,795"
"Oct 19, 2022",$2.89,$2.90,$2.41,$2.44,"$2,872,026","$46,432,918"
"Oct 18, 2022",$3.02,$3.03,$2.83,$2.89,"$4,642,313","$54,859,637"
"Oct 17, 2022",$3.14,$3.19,$2.99,$3.02,"$8,898,172","$57,193,275"
"Oct 16, 2022",$2.96,$3.18,$2.91,$3.14,"$5,709,754","$59,455,724"
"Oct 15, 2022",$3.08,$3.10,$2.86,$2.96,"$5,945,828","$55,843,815"
"Oct 14, 2022",$3.30,$3.35,$2.95,$3.08,"$11,464,341","$58,180,885"
"Oct 13, 2022",$2.93,$3.43,$2.89,$3.30,"$22,193,873","$62,134,180"
"Oct 12, 2022",$2.78,$3.17,$2.69,$2.93,"$8,083,992","$55,173,992"
"Oct 11, 2022",$2.89,$2.91,$2.72,$2.78,"$3,034,965","$54,445,725"
"Oct 10, 2022",$3.01,$3.25,$2.83,$2.89,"$10,086,773","$56,716,906"
"Oct 09, 2022",$2.76,$3.10,$2.71,$3.01,"$9,862,386","$59,052,421"
"Oct 08, 2022",$2.81,$2.87,$2.65,$2.76,"$4,336,153","$54,059,745"
"Oct 07, 2022",$2.74,$3.27,$2.69,$2.81,"$22,435,178","$55,046,284"
"Oct 06, 2022",$2.42,$2.95,$2.30,$2.74,"$10,022,623","$53,626,353"
"Oct 05, 2022",$2.47,$2.57,$2.40,$2.42,"$2,680,022","$47,418,955"
"Oct 04, 2022",$2.44,$2.66,$2.37,$2.47,"$4,355,306","$48,446,686"
"Oct 03, 2022",$2.62,$2.63,$2.38,$2.44,"$4,405,365","$47,687,229"
"Oct 02, 2022",$2.68,$2.82,$2.62,$2.62,"$4,755,139","$51,363,543"
"Oct 01, 2022",$2.49,$2.77,$2.48,$2.68,"$7,851,872","$52,464,391"
"Sep 30, 2022",$2.63,$2.67,$2.36,$2.49,"$6,923,268","$48,720,914"
"Sep 29, 2022",$2.86,$2.93,$2.61,$2.63,"$7,879,436","$51,485,335"
"Sep 28, 2022",$2.88,$3.09,$2.62,$2.86,"$19,863,103","$55,961,905"
"Sep 27, 2022",$2.33,$3.19,$2.31,$2.88,"$33,482,513","$56,382,224"
"Sep 26, 2022",$2.39,$2.55,$2.25,$2.33,"$8,507,586","$45,542,477"
"Sep 25, 2022",$2.29,$2.43,$2.15,$2.39,"$7,688,042","$46,768,205"
"Sep 24, 2022",$2.10,$2.72,$2.09,$2.29,"$24,759,052","$44,875,767"
"Sep 23, 2022",$2.14,$2.25,$1.86,$2.11,"$12,378,577","$41,207,761"
"Sep 22, 2022",$1.87,$2.51,$1.86,$2.13,"$32,703,328","$41,725,515"
"Sep 21, 2022",$1.81,$2.11,$1.63,$1.90,"$13,690,726","$37,089,174"
"Sep 20, 2022",$1.80,$1.82,$1.57,$1.78,"$4,882,737","$34,766,885"
"Sep 19, 2022",$1.90,$1.95,$1.65,$1.80,"$9,168,405","$35,160,614"
"Sep 18, 2022",$1.73,$2.07,$1.59,$1.89,"$18,254,847","$36,851,857"
"Sep 17, 2022",$1.78,$2.10,$1.57,$1.73,"$21,744,756","$33,704,602"
"Sep 16, 2022",$2.61,$2.79,$1.55,$1.75,"$44,841,268","$34,163,171"
"Sep 15, 2022",$1.56,$2.82,$1.55,$2.58,"$12,367,287","$50,246,830"
"Sep 14, 2022",$1.79,$2.28,$1.50,$1.60,"$10,591,733","$31,160,540"
