Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0111,$0.01112,$0.01104,$0.01106,"$41,435","$3,063,110"
"Dec 30, 2022",$0.01103,$0.01119,$0.01094,$0.0111,"$42,226","$3,073,708"
"Dec 29, 2022",$0.01109,$0.01113,$0.01099,$0.01103,"$41,117","$3,055,820"
"Dec 28, 2022",$0.01117,$0.01119,$0.01106,$0.01109,"$42,445","$3,072,371"
"Dec 27, 2022",$0.01119,$0.01124,$0.01113,$0.01116,"$41,981","$3,090,880"
"Dec 26, 2022",$0.01113,$0.01121,$0.01111,$0.01121,"$42,005","$3,104,353"
"Dec 25, 2022",$0.01118,$0.01118,$0.01095,$0.01113,"$42,744","$3,083,272"
"Dec 24, 2022",$0.01118,$0.0112,$0.01114,$0.01118,"$41,254","$3,096,787"
"Dec 23, 2022",$0.01128,$0.01133,$0.01117,$0.01118,"$42,159","$3,096,965"
"Dec 22, 2022",$0.01131,$0.01135,$0.0112,$0.01129,"$41,968","$3,126,010"
"Dec 21, 2022",$0.01132,$0.01138,$0.01095,$0.0113,"$43,636","$3,129,218"
"Dec 20, 2022",$0.0111,$0.01137,$0.01109,$0.01132,"$42,733","$3,135,453"
"Dec 19, 2022",$0.01126,$0.0113,$0.01104,$0.0111,"$41,429","$3,074,875"
"Dec 18, 2022",$0.01117,$0.01134,$0.01114,$0.01126,"$41,677","$3,118,426"
"Dec 17, 2022",$0.01147,$0.01147,$0.01105,$0.01115,"$43,035","$3,089,749"
"Dec 16, 2022",$0.01221,$0.01227,$0.01144,$0.01147,"$40,127","$3,176,800"
"Dec 15, 2022",$0.01214,$0.01248,$0.01199,$0.01221,"$42,011","$3,381,546"
"Dec 14, 2022",$0.01214,$0.01224,$0.0121,$0.01214,"$42,494","$3,362,279"
"Dec 13, 2022",$0.01226,$0.01229,$0.01202,$0.01213,"$42,374","$3,358,779"
"Dec 12, 2022",$0.01254,$0.01258,$0.01222,$0.01226,"$41,594","$3,395,086"
"Dec 11, 2022",$0.01238,$0.01262,$0.01236,$0.01254,"$42,408","$3,473,805"
"Dec 10, 2022",$0.01312,$0.01314,$0.01235,$0.01238,"$40,758","$3,429,935"
"Dec 09, 2022",$0.01188,$0.01375,$0.01185,$0.01312,"$50,436","$3,635,117"
"Dec 08, 2022",$0.01179,$0.01193,$0.01174,$0.01188,"$42,394","$3,290,439"
"Dec 07, 2022",$0.01206,$0.01207,$0.01176,$0.01179,"$42,794","$3,265,706"
"Dec 06, 2022",$0.01204,$0.0121,$0.012,$0.01205,"$41,190","$3,336,543"
"Dec 05, 2022",$0.0121,$0.01211,$0.01199,$0.01204,"$42,438","$3,335,156"
"Dec 04, 2022",$0.01212,$0.01213,$0.01206,$0.01208,"$42,025","$3,346,894"
"Dec 03, 2022",$0.0118,$0.01213,$0.01172,$0.01212,"$42,027","$3,357,315"
"Dec 02, 2022",$0.01179,$0.01181,$0.0117,$0.0118,"$42,381","$3,269,602"
"Dec 01, 2022",$0.01191,$0.01192,$0.01174,$0.01179,"$40,997","$3,265,238"
"Nov 30, 2022",$0.01176,$0.01196,$0.01169,$0.01191,"$41,892","$3,298,386"
"Nov 29, 2022",$0.01184,$0.01192,$0.01173,$0.01176,"$42,022","$3,256,821"
