Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.005851,$0.006114,$0.00574,$0.005898,"$431,980","$15,781,165"
"Dec 30, 2022",$0.005777,$0.005871,$0.005613,$0.005847,"$346,775","$15,646,236"
"Dec 29, 2022",$0.005832,$0.005879,$0.005743,$0.005775,"$324,523","$15,453,567"
"Dec 28, 2022",$0.00606,$0.0061,$0.005818,$0.005831,"$346,904","$15,603,424"
"Dec 27, 2022",$0.006212,$0.006314,$0.006014,$0.00606,"$398,901","$16,215,760"
"Dec 26, 2022",$0.00642,$0.006462,$0.006171,$0.006193,"$465,609","$16,571,049"
"Dec 25, 2022",$0.006577,$0.006596,$0.006391,$0.006419,"$352,557","$17,176,898"
"Dec 24, 2022",$0.006465,$0.006625,$0.00641,$0.006579,"$413,855","$17,605,488"
"Dec 23, 2022",$0.006385,$0.00655,$0.006367,$0.006461,"$438,357","$17,290,071"
"Dec 22, 2022",$0.006449,$0.006498,$0.006326,$0.006386,"$397,496","$17,087,009"
"Dec 21, 2022",$0.006508,$0.006563,$0.006422,$0.006454,"$314,206","$17,269,354"
"Dec 20, 2022",$0.006479,$0.006564,$0.006415,$0.006508,"$356,699","$17,415,623"
"Dec 19, 2022",$0.006611,$0.006665,$0.00647,$0.006479,"$313,215","$17,337,867"
"Dec 18, 2022",$0.006598,$0.006754,$0.00657,$0.006611,"$293,463","$17,689,943"
"Dec 17, 2022",$0.006767,$0.006767,$0.00657,$0.0066,"$387,898","$17,659,854"
"Dec 16, 2022",$0.006784,$0.006901,$0.006547,$0.006782,"$641,415","$18,146,769"
"Dec 15, 2022",$0.006969,$0.007018,$0.006769,$0.006784,"$429,932","$18,153,137"
"Dec 14, 2022",$0.006984,$0.007103,$0.006955,$0.006969,"$311,833","$18,647,992"
"Dec 13, 2022",$0.006903,$0.007026,$0.006877,$0.006981,"$366,651","$18,679,945"
"Dec 12, 2022",$0.007111,$0.007138,$0.006848,$0.006905,"$558,688","$18,478,102"
"Dec 11, 2022",$0.007554,$0.007573,$0.006975,$0.007109,"$1,266,716","$19,022,556"
"Dec 10, 2022",$0.006906,$0.008947,$0.006836,$0.007554,"$4,081,616","$20,213,901"
"Dec 09, 2022",$0.00681,$0.006955,$0.006732,$0.006906,"$398,687","$18,478,552"
"Dec 08, 2022",$0.006649,$0.00683,$0.006581,$0.006811,"$364,632","$18,226,508"
"Dec 07, 2022",$0.006837,$0.006879,$0.006436,$0.006649,"$463,295","$17,790,984"
"Dec 06, 2022",$0.006867,$0.00691,$0.006672,$0.00684,"$354,063","$18,301,713"
"Dec 05, 2022",$0.006946,$0.007349,$0.006853,$0.006864,"$714,363","$18,367,720"
"Dec 04, 2022",$0.007071,$0.007432,$0.006894,$0.006947,"$801,026","$18,588,070"
"Dec 03, 2022",$0.006756,$0.00799,$0.00675,$0.007055,"$4,283,456","$18,877,104"
"Dec 02, 2022",$0.005775,$0.006995,$0.005771,$0.006755,"$2,214,111","$18,074,441"
"Dec 01, 2022",$0.005773,$0.005839,$0.005751,$0.005775,"$287,785","$15,451,900"
"Nov 30, 2022",$0.005722,$0.005795,$0.005547,$0.005773,"$274,555","$15,448,474"
"Nov 29, 2022",$0.005675,$0.005783,$0.005647,$0.005723,"$228,243","$15,314,470"
"Nov 28, 2022",$0.005848,$0.00587,$0.005617,$0.005672,"$339,968","$15,178,495"
"Nov 27, 2022",$0.005846,$0.00589,$0.005824,$0.005857,"$305,922","$15,672,961"
"Nov 26, 2022",$0.005916,$0.005924,$0.005807,$0.005846,"$257,789","$15,642,970"
"Nov 25, 2022",$0.005536,$0.005922,$0.005467,$0.005918,"$362,868","$15,835,127"
"Nov 24, 2022",$0.005575,$0.005603,$0.005512,$0.005539,"$300,596","$14,821,525"
"Nov 23, 2022",$0.005616,$0.005622,$0.005528,$0.005578,"$340,909","$14,925,720"
"Nov 22, 2022",$0.005542,$0.005661,$0.005523,$0.005615,"$343,934","$15,025,652"
"Nov 21, 2022",$0.005674,$0.005964,$0.005535,$0.005544,"$694,401","$14,835,842"
"Nov 20, 2022",$0.005892,$0.005909,$0.00564,$0.005672,"$356,361","$15,177,915"
"Nov 19, 2022",$0.006028,$0.006158,$0.005766,$0.00589,"$418,828","$15,761,769"
"Nov 18, 2022",$0.005786,$0.00613,$0.005783,$0.00603,"$545,551","$16,134,493"
"Nov 17, 2022",$0.005987,$0.005994,$0.005783,$0.005787,"$581,281","$15,485,753"
"Nov 16, 2022",$0.006034,$0.006169,$0.005787,$0.005987,"$617,066","$16,021,213"
"Nov 15, 2022",$0.005829,$0.006278,$0.00564,$0.00604,"$538,512","$16,161,407"
"Nov 14, 2022",$0.005937,$0.006089,$0.005561,$0.005829,"$417,057","$15,598,276"
"Nov 13, 2022",$0.006391,$0.006404,$0.005553,$0.005937,"$629,519","$15,885,801"
"Nov 12, 2022",$0.006454,$0.006454,$0.005882,$0.006388,"$466,481","$17,093,643"
"Nov 11, 2022",$0.006251,$0.006638,$0.006016,$0.006454,"$486,311","$17,269,211"
"Nov 10, 2022",$0.005756,$0.006628,$0.005528,$0.006257,"$1,073,864","$16,743,604"
"Nov 09, 2022",$0.006343,$0.006388,$0.005389,$0.005753,"$501,362","$15,394,277"
"Nov 08, 2022",$0.006997,$0.007094,$0.006027,$0.006343,"$539,196","$16,974,260"
"Nov 07, 2022",$0.006896,$0.007336,$0.006629,$0.007004,"$787,266","$18,742,518"
"Nov 06, 2022",$0.007798,$0.008449,$0.006878,$0.006896,"$3,877,410","$18,453,553"
"Nov 05, 2022",$0.006263,$0.007936,$0.005954,$0.007798,"$2,479,646","$20,866,128"
"Nov 04, 2022",$0.005997,$0.006299,$0.00579,$0.006263,"$269,753","$16,759,268"
"Nov 03, 2022",$0.005897,$0.006134,$0.005627,$0.006006,"$360,623","$16,071,678"
"Nov 02, 2022",$0.006053,$0.006061,$0.005648,$0.005869,"$328,420","$15,705,402"
"Nov 01, 2022",$0.005743,$0.00625,$0.005743,$0.006053,"$471,634","$16,196,444"
"Oct 31, 2022",$0.006124,$0.006205,$0.00574,$0.005741,"$277,384","$15,361,055"
"Oct 30, 2022",$0.006408,$0.00648,$0.006087,$0.006124,"$201,416","$16,386,326"
"Oct 29, 2022",$0.006517,$0.006587,$0.006258,$0.006408,"$375,098","$17,147,540"
"Oct 28, 2022",$0.006304,$0.0066,$0.006291,$0.006522,"$413,378","$17,452,355"
"Oct 27, 2022",$0.006701,$0.006706,$0.006293,$0.006305,"$422,596","$16,871,219"
"Oct 26, 2022",$0.006683,$0.006782,$0.006445,$0.006703,"$561,959","$17,937,123"
"Oct 25, 2022",$0.006697,$0.007393,$0.006542,$0.006683,"$1,071,290","$17,883,740"
"Oct 24, 2022",$0.006801,$0.00689,$0.00666,$0.006695,"$318,671","$17,914,796"
"Oct 23, 2022",$0.006887,$0.006899,$0.006605,$0.006801,"$363,662","$18,198,241"
"Oct 22, 2022",$0.006896,$0.006954,$0.006704,$0.006891,"$287,232","$18,439,677"
"Oct 21, 2022",$0.00706,$0.007355,$0.00673,$0.006895,"$516,262","$18,449,549"
"Oct 20, 2022",$0.007189,$0.007284,$0.006834,$0.007058,"$844,082","$18,885,144"
"Oct 19, 2022",$0.007338,$0.007412,$0.007039,$0.007178,"$823,051","$19,207,086"
"Oct 18, 2022",$0.007432,$0.007463,$0.007265,$0.007338,"$420,257","$19,636,122"
"Oct 17, 2022",$0.007316,$0.007597,$0.007215,$0.007432,"$277,700","$19,886,751"
"Oct 16, 2022",$0.007315,$0.0075,$0.007237,$0.007329,"$256,972","$19,611,747"
"Oct 15, 2022",$0.007207,$0.007489,$0.007207,$0.007315,"$251,676","$19,575,147"
"Oct 14, 2022",$0.007338,$0.007665,$0.007185,$0.007213,"$444,012","$19,301,536"
"Oct 13, 2022",$0.007417,$0.007456,$0.007015,$0.007338,"$349,845","$19,634,343"
"Oct 12, 2022",$0.007094,$0.008029,$0.007046,$0.007411,"$973,978","$19,830,903"
"Oct 11, 2022",$0.007318,$0.007357,$0.00701,$0.007088,"$362,872","$18,965,559"
"Oct 10, 2022",$0.007435,$0.007555,$0.007299,$0.007331,"$378,626","$19,615,906"
"Oct 09, 2022",$0.007358,$0.008146,$0.00732,$0.007435,"$929,351","$19,895,442"
"Oct 08, 2022",$0.007428,$0.007428,$0.007249,$0.007358,"$278,064","$19,689,101"
"Oct 07, 2022",$0.007535,$0.007718,$0.007214,$0.00743,"$368,186","$19,881,781"
"Oct 06, 2022",$0.007459,$0.007594,$0.007424,$0.007535,"$328,672","$20,163,464"
"Oct 05, 2022",$0.00752,$0.007633,$0.007349,$0.007465,"$380,227","$19,974,818"
"Oct 04, 2022",$0.007499,$0.007769,$0.007292,$0.007507,"$427,322","$20,089,167"
"Oct 03, 2022",$0.007409,$0.007683,$0.007262,$0.007499,"$183,333","$20,065,212"
"Oct 02, 2022",$0.007514,$0.007724,$0.007365,$0.007409,"$260,084","$19,824,365"
"Oct 01, 2022",$0.007403,$0.008088,$0.007309,$0.007514,"$235,253","$20,105,369"
"Sep 30, 2022",$0.007487,$0.007713,$0.00733,$0.0074,"$476,713","$19,801,245"
"Sep 29, 2022",$0.007848,$0.007948,$0.007392,$0.007481,"$794,394","$20,018,618"
"Sep 28, 2022",$0.008196,$0.008231,$0.007597,$0.007874,"$1,180,050","$21,069,819"
"Sep 27, 2022",$0.009684,$0.009956,$0.008137,$0.008196,"$3,375,614","$21,930,620"
"Sep 26, 2022",$0.008779,$0.009585,$0.008531,$0.009585,"$1,311,463","$25,647,188"
"Sep 25, 2022",$0.008767,$0.008889,$0.008671,$0.008774,"$604,179","$23,478,539"
"Sep 24, 2022",$0.008973,$0.009087,$0.008713,$0.008764,"$436,153","$23,450,424"
"Sep 23, 2022",$0.009112,$0.009368,$0.008869,$0.008972,"$517,146","$24,008,193"
"Sep 22, 2022",$0.008607,$0.009142,$0.008493,$0.009112,"$252,620","$24,382,546"
"Sep 21, 2022",$0.008612,$0.008804,$0.008416,$0.00853,"$181,326","$22,825,145"
"Sep 20, 2022",$0.009166,$0.009209,$0.008562,$0.008614,"$268,700","$23,048,792"
"Sep 19, 2022",$0.009296,$0.009312,$0.008987,$0.009166,"$248,744","$24,527,495"
"Sep 18, 2022",$0.0097,$0.009938,$0.009185,$0.009296,"$345,204","$24,874,002"
"Sep 17, 2022",$0.009601,$0.009727,$0.009601,$0.0097,"$532,514","$25,955,317"
"Sep 16, 2022",$0.009632,$0.009726,$0.009565,$0.009597,"$339,500","$25,681,351"
"Sep 15, 2022",$0.009662,$0.009929,$0.009574,$0.009632,"$311,480","$25,773,398"
"Sep 14, 2022",$0.009415,$0.009966,$0.009396,$0.009665,"$370,659","$25,861,593"
"Sep 13, 2022",$0.01003,$0.01011,$0.009396,$0.009454,"$368,586","$25,296,529"
