Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0001543,$0.0001851,$0.0001541,$0.0001758,"$189,130","$3,616,403"
"Dec 30, 2022",$0.000143,$0.0001575,$0.0001411,$0.0001543,"$147,393","$3,174,150"
"Dec 29, 2022",$0.0001455,$0.0001829,$0.0001357,$0.000143,"$53,704","$2,940,873"
"Dec 28, 2022",$0.0001569,$0.0001572,$0.0001353,$0.0001455,"$44,241","$2,992,249"
"Dec 27, 2022",$0.0001535,$0.000159,$0.0001533,$0.0001569,"$42,193","$3,227,157"
"Dec 26, 2022",$0.000154,$0.0001597,$0.0001533,$0.0001535,"$42,409","$3,158,493"
"Dec 25, 2022",$0.0001592,$0.0001598,$0.0001527,$0.000154,"$42,523","$3,168,787"
"Dec 24, 2022",$0.000155,$0.0001601,$0.0001526,$0.0001592,"$41,836","$3,274,639"
"Dec 23, 2022",$0.0001502,$0.0001623,$0.0001459,$0.000155,"$45,953","$3,188,464"
"Dec 22, 2022",$0.0001496,$0.0001548,$0.0001487,$0.0001503,"$41,928","$3,090,969"
"Dec 21, 2022",$0.0001518,$0.0001519,$0.0001487,$0.0001496,"$40,258","$3,077,785"
"Dec 20, 2022",$0.000167,$0.0001675,$0.0001511,$0.0001518,"$40,990","$3,123,095"
"Dec 19, 2022",$0.0001623,$0.0001734,$0.0001601,$0.000167,"$42,175","$3,435,303"
"Dec 18, 2022",$0.0001609,$0.000167,$0.0001601,$0.0001623,"$42,435","$3,339,139"
"Dec 17, 2022",$0.0001621,$0.0001661,$0.0001609,$0.0001609,"$42,510","$3,309,419"
"Dec 16, 2022",$0.0001649,$0.0001746,$0.0001621,$0.0001621,"$41,722","$3,335,089"
"Dec 15, 2022",$0.0001708,$0.0001759,$0.0001603,$0.0001649,"$42,622","$3,392,486"
"Dec 14, 2022",$0.0001724,$0.0001742,$0.0001698,$0.0001708,"$41,594","$3,514,062"
"Dec 13, 2022",$0.000175,$0.0001756,$0.0001678,$0.0001724,"$42,482","$3,546,369"
"Dec 12, 2022",$0.0001761,$0.0001768,$0.0001717,$0.000175,"$41,640","$3,600,367"
"Dec 11, 2022",$0.0001751,$0.0001781,$0.0001736,$0.0001761,"$41,853","$3,622,869"
"Dec 10, 2022",$0.000179,$0.0001801,$0.0001733,$0.0001751,"$42,606","$3,602,319"
"Dec 09, 2022",$0.0001784,$0.000184,$0.0001763,$0.000179,"$43,160","$3,682,596"
"Dec 08, 2022",$0.0001817,$0.0001847,$0.0001763,$0.0001784,"$42,451","$3,670,469"
"Dec 07, 2022",$0.0001933,$0.0001937,$0.000167,$0.0001817,"$36,273","$3,737,884"
"Dec 06, 2022",$0.0001898,$0.0001956,$0.0001867,$0.0001933,"$35,616","$3,976,694"
"Dec 05, 2022",$0.0001907,$0.0001946,$0.0001873,$0.0001898,"$34,475","$3,903,580"
