Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$12.00,$12.25,$11.82,$11.83,"$22,335","$7,179,423"
"Dec 30, 2022",$12.02,$12.03,$11.86,$11.99,"$15,248","$7,275,680"
"Dec 29, 2022",$11.99,$12.27,$11.93,$12.02,"$22,553","$7,293,799"
"Dec 28, 2022",$12.32,$12.35,$11.92,$11.99,"$16,657","$7,273,590"
"Dec 27, 2022",$12.72,$12.77,$12.24,$12.32,"$12,286","$7,476,436"
"Dec 26, 2022",$12.37,$12.73,$12.35,$12.72,"$13,195","$7,716,486"
"Dec 25, 2022",$12.39,$12.43,$12.19,$12.36,"$13,962","$7,497,675"
"Dec 24, 2022",$12.38,$12.48,$12.33,$12.39,"$15,274","$7,519,403"
"Dec 23, 2022",$12.49,$12.65,$12.36,$12.39,"$15,379","$7,515,062"
"Dec 22, 2022",$12.58,$12.71,$12.32,$12.50,"$15,883","$7,585,150"
"Dec 21, 2022",$12.60,$12.64,$12.48,$12.57,"$10,581","$7,626,359"
"Dec 20, 2022",$12.60,$13.12,$12.49,$12.61,"$24,882","$7,650,684"
"Dec 19, 2022",$13.01,$13.21,$12.35,$12.60,"$28,418","$7,642,969"
"Dec 18, 2022",$13.18,$13.51,$13.00,$13.01,"$24,714","$7,893,312"
"Dec 17, 2022",$13.24,$13.40,$13.04,$13.18,"$18,551","$7,993,120"
"Dec 16, 2022",$14.38,$14.53,$13.14,$13.24,"$15,392","$8,029,998"
"Dec 15, 2022",$14.73,$14.75,$14.17,$14.37,"$19,913","$8,720,422"
"Dec 14, 2022",$15.05,$15.54,$14.46,$14.71,"$24,892","$8,925,851"
"Dec 13, 2022",$14.81,$15.28,$14.30,$15.05,"$15,636","$9,129,130"
"Dec 12, 2022",$14.39,$14.84,$14.16,$14.81,"$2,264","$8,984,930"
"Dec 11, 2022",$14.86,$14.91,$14.39,$14.39,"$40,776","$8,731,023"
"Dec 10, 2022",$14.42,$14.88,$14.39,$14.86,"$9,509","$9,017,436"
"Dec 09, 2022",$14.70,$14.89,$14.33,$14.42,"$5,690","$8,749,599"
"Dec 08, 2022",$15.74,$15.74,$14.11,$14.70,"$69,978","$8,919,372"
"Dec 07, 2022",$16.44,$16.47,$15.61,$15.74,"$20,075","$9,546,382"
"Dec 06, 2022",$16.46,$16.81,$16.06,$16.43,"$25,271","$9,970,607"
"Dec 05, 2022",$16.81,$17.20,$16.32,$16.46,"$10,045","$9,987,423"
"Dec 04, 2022",$16.22,$16.82,$16.19,$16.82,"$7,385","$10,203,194"
"Dec 03, 2022",$17.23,$17.32,$16.17,$16.20,"$11,964","$9,829,706"
"Dec 02, 2022",$15.93,$17.25,$15.79,$17.25,"$46,169","$10,465,130"
"Dec 01, 2022",$15.23,$15.98,$14.82,$15.92,"$8,141","$9,658,145"
"Nov 30, 2022",$15.18,$16.37,$14.76,$15.23,"$47,250","$9,236,838"
"Nov 29, 2022",$15.16,$15.82,$15.05,$15.18,"$31,863","$9,209,135"
