Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2277,$0.2312,$0.2147,$0.2151,"$47,114","$1,555,399"
"Dec 30, 2022",$0.2072,$0.2345,$0.2047,$0.2276,"$94,240","$1,645,881"
"Dec 29, 2022",$0.2061,$0.2129,$0.197,$0.2072,"$164,336","$1,498,390"
"Dec 28, 2022",$0.1993,$0.2197,$0.1989,$0.2061,"$131,703","$1,490,640"
"Dec 27, 2022",$0.1923,$0.1995,$0.1841,$0.1993,"$99,539","$1,441,279"
"Dec 26, 2022",$0.1908,$0.1925,$0.1902,$0.1924,"$131,606","$1,391,249"
"Dec 25, 2022",$0.1772,$0.1981,$0.177,$0.1907,"$132,885","$1,378,811"
"Dec 24, 2022",$0.1813,$0.1826,$0.1771,$0.1772,"$112,343","$1,281,717"
"Dec 23, 2022",$0.1914,$0.1933,$0.1779,$0.1813,"$136,922","$1,311,525"
"Dec 22, 2022",$0.1923,$0.1929,$0.1839,$0.1915,"$147,018","$1,385,265"
"Dec 21, 2022",$0.1762,$0.2087,$0.1748,$0.1922,"$169,979","$1,390,314"
"Dec 20, 2022",$0.1659,$0.1772,$0.1655,$0.1762,"$56,206","$1,274,225"
"Dec 19, 2022",$0.1735,$0.1808,$0.164,$0.1659,"$46,627","$1,199,586"
"Dec 18, 2022",$0.1795,$0.1863,$0.1724,$0.1735,"$42,885","$1,255,078"
"Dec 17, 2022",$0.169,$0.2004,$0.1686,$0.1795,"$73,017","$1,297,903"
"Dec 16, 2022",$0.1851,$0.1859,$0.1679,$0.169,"$53,450","$1,222,068"
"Dec 15, 2022",$0.1925,$0.1965,$0.1835,$0.1851,"$47,828","$1,338,420"
"Dec 14, 2022",$0.1935,$0.1984,$0.1845,$0.1923,"$84,342","$1,391,021"
"Dec 13, 2022",$0.1728,$0.1965,$0.1691,$0.1935,"$102,115","$1,363,060"
"Dec 12, 2022",$0.1719,$0.1729,$0.1631,$0.1727,"$115,007","$1,216,910"
"Dec 11, 2022",$0.1748,$0.1765,$0.1706,$0.1719,"$83,744","$1,211,008"
"Dec 10, 2022",$0.1951,$0.1958,$0.1704,$0.1748,"$76,421","$1,198,362"
"Dec 09, 2022",$0.1747,$0.202,$0.1738,$0.1951,"$123,981","$1,338,116"
"Dec 08, 2022",$0.1755,$0.176,$0.1642,$0.1747,"$95,051","$1,197,888"
