Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02696,$0.02712,$0.02674,$0.02682,"$525,757","$6,487,675"
"Dec 30, 2022",$0.02658,$0.02699,$0.02654,$0.02692,"$754,304","$6,512,025"
"Dec 29, 2022",$0.02654,$0.02665,$0.02646,$0.0266,"$969,714","$6,433,029"
"Dec 28, 2022",$0.02655,$0.02695,$0.02626,$0.02654,"$600,540","$6,418,372"
"Dec 27, 2022",$0.02691,$0.027,$0.02636,$0.02656,"$496,751","$6,424,449"
"Dec 26, 2022",$0.02674,$0.02709,$0.02656,$0.02693,"$401,992","$6,513,268"
"Dec 25, 2022",$0.02674,$0.02689,$0.02668,$0.02672,"$297,442","$6,463,517"
"Dec 24, 2022",$0.02679,$0.02694,$0.02672,$0.02673,"$90,142","$6,466,277"
"Dec 23, 2022",$0.02678,$0.02691,$0.02669,$0.02679,"$381,373","$6,478,999"
"Dec 22, 2022",$0.02671,$0.02688,$0.02662,$0.02677,"$190,201","$6,474,423"
"Dec 21, 2022",$0.02688,$0.02703,$0.02653,$0.02671,"$576,635","$5,584,882"
"Dec 20, 2022",$0.02674,$0.02698,$0.02665,$0.02687,"$588,888","$5,617,592"
"Dec 19, 2022",$0.02709,$0.02718,$0.02672,$0.02673,"$285,910","$5,588,353"
"Dec 18, 2022",$0.02744,$0.02764,$0.02691,$0.02709,"$231,128","$5,664,843"
"Dec 17, 2022",$0.02902,$0.02905,$0.02702,$0.02742,"$290,369","$5,732,961"
"Dec 16, 2022",$0.02842,$0.03007,$0.0284,$0.02902,"$321,754","$6,068,686"
"Dec 15, 2022",$0.02887,$0.02919,$0.02825,$0.02842,"$205,670","$5,942,188"
"Dec 14, 2022",$0.02983,$0.03024,$0.02875,$0.02886,"$384,349","$6,034,144"
"Dec 13, 2022",$0.02898,$0.02989,$0.0288,$0.02983,"$330,215","$6,237,223"
"Dec 12, 2022",$0.02942,$0.02947,$0.02862,$0.0291,"$401,115","$6,084,165"
"Dec 11, 2022",$0.02993,$0.03002,$0.02939,$0.02943,"$219,043","$6,153,960"
"Dec 10, 2022",$0.03004,$0.03023,$0.02988,$0.02993,"$74,461","$6,258,630"
"Dec 09, 2022",$0.03,$0.03014,$0.0299,$0.03004,"$68,778","$6,280,973"
"Dec 08, 2022",$0.03163,$0.03177,$0.02987,$0.03,"$163,495","$6,273,634"
"Dec 07, 2022",$0.0321,$0.03221,$0.02921,$0.03162,"$271,103","$6,612,531"
"Dec 06, 2022",$0.0284,$0.03232,$0.02807,$0.0321,"$265,991","$6,711,985"
"Dec 05, 2022",$0.02837,$0.02941,$0.02829,$0.02839,"$169,471","$5,935,461"
"Dec 04, 2022",$0.02827,$0.0285,$0.02745,$0.02836,"$120,688","$5,929,548"
"Dec 03, 2022",$0.0294,$0.02958,$0.02819,$0.02827,"$204,944","$5,910,232"
"Dec 02, 2022",$0.03001,$0.03001,$0.02873,$0.0294,"$238,118","$6,146,757"
"Dec 01, 2022",$0.03127,$0.03321,$0.02956,$0.03,"$347,939","$6,273,117"
"Nov 30, 2022",$0.02748,$0.03452,$0.02742,$0.03126,"$769,016","$6,536,065"
"Nov 29, 2022",$0.02681,$0.02936,$0.02675,$0.02748,"$318,677","$5,745,099"
"Nov 28, 2022",$0.02759,$0.02761,$0.0264,$0.02681,"$101,246","$5,605,891"
"Nov 27, 2022",$0.02744,$0.02785,$0.02664,$0.02759,"$124,773","$5,769,220"
"Nov 26, 2022",$0.02689,$0.02809,$0.02685,$0.02745,"$157,716","$5,739,530"
"Nov 25, 2022",$0.02818,$0.02825,$0.02685,$0.02689,"$121,726","$5,622,908"
"Nov 24, 2022",$0.02852,$0.0286,$0.02803,$0.02817,"$89,919","$5,891,303"
"Nov 23, 2022",$0.02833,$0.02862,$0.02588,$0.02853,"$318,058","$5,964,813"
"Nov 22, 2022",$0.02701,$0.03125,$0.02655,$0.02823,"$364,425","$5,902,838"
"Nov 21, 2022",$0.02771,$0.02814,$0.02682,$0.02701,"$217,254","$5,647,267"
"Nov 20, 2022",$0.0284,$0.03523,$0.02772,$0.02775,"$503,960","$5,802,645"
"Nov 19, 2022",$0.02601,$0.02921,$0.02563,$0.02853,"$284,415","$5,964,599"
"Nov 18, 2022",$0.02819,$0.02845,$0.02578,$0.02602,"$210,756","$5,440,607"
"Nov 17, 2022",$0.02928,$0.02962,$0.02801,$0.02816,"$162,052","$5,515,602"
"Nov 16, 2022",$0.02947,$0.02982,$0.02825,$0.02924,"$171,261","$5,727,290"
"Nov 15, 2022",$0.02964,$0.02998,$0.02892,$0.02944,"$189,165","$5,765,155"
"Nov 14, 2022",$0.03142,$0.03195,$0.02938,$0.02962,"$241,835","$5,801,614"
"Nov 13, 2022",$0.03442,$0.03479,$0.03131,$0.03141,"$232,277","$6,152,177"
"Nov 12, 2022",$0.03814,$0.0382,$0.03378,$0.03444,"$275,750","$6,745,293"
"Nov 11, 2022",$0.04375,$0.0438,$0.03812,$0.03812,"$265,254","$7,466,495"
"Nov 10, 2022",$0.04121,$0.04441,$0.03826,$0.04376,"$877,275","$8,569,384"
"Nov 09, 2022",$0.04735,$0.04825,$0.04089,$0.04116,"$716,168","$8,060,987"
"Nov 08, 2022",$0.05241,$0.05294,$0.04654,$0.04739,"$1,852,963","$9,280,887"
"Nov 07, 2022",$0.05395,$0.05597,$0.05208,$0.05245,"$2,201,237","$10,272,240"
"Nov 06, 2022",$0.0533,$0.05536,$0.05268,$0.05402,"$2,299,431","$10,578,581"
"Nov 05, 2022",$0.053,$0.05506,$0.05086,$0.05329,"$1,374,034","$10,436,903"
"Nov 04, 2022",$0.05173,$0.05384,$0.05156,$0.05299,"$832,764","$10,377,838"
"Nov 03, 2022",$0.05555,$0.05565,$0.05167,$0.05174,"$354,183","$10,132,287"
"Nov 02, 2022",$0.05764,$0.05988,$0.05546,$0.05551,"$873,972","$10,871,188"
"Nov 01, 2022",$0.05498,$0.05798,$0.05449,$0.05764,"$1,979,055","$11,288,186"
"Oct 31, 2022",$0.05689,$0.05724,$0.05473,$0.05502,"$2,019,071","$10,774,468"
"Oct 30, 2022",$0.05658,$0.05814,$0.05642,$0.05684,"$1,364,543","$11,132,283"
"Oct 29, 2022",$0.05676,$0.05829,$0.0565,$0.05658,"$977,931","$11,080,175"
"Oct 28, 2022",$0.05827,$0.05902,$0.05537,$0.05677,"$1,206,392","$11,117,065"
"Oct 27, 2022",$0.06175,$0.06189,$0.05658,$0.05827,"$1,608,483","$11,410,834"
"Oct 26, 2022",$0.04915,$0.07792,$0.04874,$0.06175,"$2,116,528","$12,093,892"
"Oct 25, 2022",$0.04801,$0.04923,$0.04775,$0.04915,"$903,968","$8,734,594"
"Oct 24, 2022",$0.0492,$0.05098,$0.04734,$0.04801,"$896,266","$8,532,936"
"Oct 23, 2022",$0.049,$0.04931,$0.04809,$0.04922,"$762,455","$8,747,090"
"Oct 22, 2022",$0.04923,$0.0493,$0.04869,$0.049,"$748,684","$8,707,501"
"Oct 21, 2022",$0.04841,$0.0493,$0.04815,$0.04923,"$729,194","$8,748,755"
"Oct 20, 2022",$0.05024,$0.05027,$0.04806,$0.04839,"$872,613","$8,600,220"
"Oct 19, 2022",$0.05204,$0.0521,$0.05018,$0.05024,"$753,865","$8,929,431"
"Oct 18, 2022",$0.0534,$0.05358,$0.05173,$0.05204,"$1,085,714","$9,248,302"
"Oct 17, 2022",$0.05155,$0.05416,$0.0515,$0.0534,"$740,733","$9,490,335"
"Oct 16, 2022",$0.05208,$0.05225,$0.05138,$0.05155,"$786,473","$9,161,255"
"Oct 15, 2022",$0.05244,$0.05313,$0.05161,$0.05208,"$695,550","$9,255,820"
"Oct 14, 2022",$0.04971,$0.05267,$0.04969,$0.05244,"$704,502","$9,320,392"
"Oct 13, 2022",$0.05163,$0.05185,$0.04876,$0.04971,"$882,817","$8,833,691"
"Oct 12, 2022",$0.05214,$0.0524,$0.05128,$0.05163,"$1,825,140","$9,175,620"
