Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03358,$0.03426,$0.03297,$0.03302,"$1,472,567","$30,807,894"
"Dec 30, 2022",$0.03323,$0.03359,$0.03211,$0.03355,"$1,450,803","$31,308,495"
"Dec 29, 2022",$0.03093,$0.03443,$0.03083,$0.03323,"$1,315,583","$31,008,552"
"Dec 28, 2022",$0.02657,$0.03176,$0.02654,$0.03093,"$1,539,281","$28,855,984"
"Dec 27, 2022",$0.03242,$0.03256,$0.02615,$0.02656,"$1,557,494","$24,781,354"
"Dec 26, 2022",$0.03263,$0.03326,$0.03126,$0.03242,"$1,335,096","$30,254,646"
"Dec 25, 2022",$0.03277,$0.03341,$0.03208,$0.0326,"$1,254,675","$30,423,356"
"Dec 24, 2022",$0.03374,$0.03379,$0.03258,$0.03277,"$1,028,599","$30,577,621"
"Dec 23, 2022",$0.03357,$0.03387,$0.03298,$0.03375,"$1,332,518","$31,488,683"
"Dec 22, 2022",$0.03481,$0.03499,$0.03273,$0.0336,"$1,446,501","$31,350,711"
"Dec 21, 2022",$0.03493,$0.03518,$0.03389,$0.03479,"$1,082,943","$32,466,415"
"Dec 20, 2022",$0.0339,$0.03604,$0.03382,$0.03493,"$967,657","$32,594,819"
"Dec 19, 2022",$0.03703,$0.03827,$0.03389,$0.0339,"$1,024,344","$31,632,799"
"Dec 18, 2022",$0.03899,$0.03903,$0.03683,$0.03703,"$986,907","$34,548,985"
"Dec 17, 2022",$0.0343,$0.03933,$0.03362,$0.03899,"$1,710,143","$36,376,716"
"Dec 16, 2022",$0.03692,$0.03731,$0.03338,$0.03431,"$1,490,780","$32,018,157"
"Dec 15, 2022",$0.03755,$0.03762,$0.03534,$0.03692,"$1,491,910","$34,447,367"
"Dec 14, 2022",$0.03708,$0.0389,$0.03676,$0.03752,"$1,512,958","$35,005,835"
"Dec 13, 2022",$0.03649,$0.03755,$0.03532,$0.03707,"$1,390,868","$34,587,446"
"Dec 12, 2022",$0.03587,$0.03652,$0.03488,$0.03648,"$2,304,128","$34,042,665"
"Dec 11, 2022",$0.03515,$0.03633,$0.03463,$0.03587,"$2,340,212","$33,474,634"
