Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$37.71,$37.89,$37.55,$37.63,"$62,822","$248,109,344"
"Dec 30, 2022",$37.78,$37.79,$37.33,$37.70,"$62,942","$248,619,654"
"Dec 29, 2022",$37.41,$37.86,$37.36,$37.78,"$63,067","$249,109,455"
"Dec 28, 2022",$38.13,$38.14,$37.28,$37.41,"$62,442","$246,702,670"
"Dec 27, 2022",$38.58,$38.68,$37.91,$38.13,"$63,652","$251,430,622"
"Dec 26, 2022",$38.32,$38.58,$38.18,$38.58,"$64,393","$254,370,917"
"Dec 25, 2022",$38.39,$38.47,$37.84,$38.32,"$63,979","$252,709,835"
"Dec 24, 2022",$38.36,$38.51,$38.24,$38.39,"$64,093","$253,163,151"
"Dec 23, 2022",$38.30,$38.58,$38.23,$38.36,"$64,041","$252,958,077"
"Dec 22, 2022",$38.16,$38.42,$37.32,$38.30,"$63,935","$252,551,310"
"Dec 21, 2022",$38.28,$38.30,$37.93,$38.16,"$63,694","$251,598,207"
"Dec 20, 2022",$36.31,$38.48,$36.24,$38.29,"$63,921","$252,455,401"
"Dec 19, 2022",$36.83,$37.09,$36.08,$36.30,"$3,306","$239,369,325"
"Dec 18, 2022",$38.54,$38.56,$36.57,$36.83,"$3,356","$242,876,051"
"Dec 17, 2022",$37.89,$38.57,$37.81,$38.54,$194,"$254,164,861"
"Dec 16, 2022",$41.08,$41.46,$37.70,$37.90,$190,"$249,907,114"
"Dec 15, 2022",$42.47,$42.53,$40.96,$41.08,$206,"$270,886,877"
"Dec 14, 2022",$42.84,$43.67,$42.36,$42.47,$213,"$280,079,643"
"Dec 13, 2022",$41.35,$43.52,$40.82,$42.84,$215,"$282,479,843"
"Dec 12, 2022",$40.99,$41.38,$40.34,$41.35,$208,"$272,654,878"
"Dec 11, 2022",$41.08,$41.58,$40.90,$41.00,$206,"$270,355,227"
"Dec 10, 2022",$41.00,$41.51,$40.94,$41.08,"$2,570","$270,891,707"
"Dec 09, 2022",$41.54,$41.83,$40.88,$40.99,"$1,801","$270,312,638"
"Dec 08, 2022",$39.96,$41.70,$39.76,$41.54,"$1,825","$273,911,340"
"Dec 07, 2022",$41.23,$41.27,$39.70,$39.96,"$1,756","$263,503,468"
"Dec 06, 2022",$40.85,$41.24,$40.45,$41.23,"$1,812","$271,888,200"
"Dec 05, 2022",$41.50,$42.22,$40.61,$40.84,"$1,794","$269,327,406"
"Dec 04, 2022",$40.31,$41.55,$40.30,$41.51,"$1,824","$273,727,526"
"Dec 03, 2022",$41.97,$42.15,$40.25,$40.31,"$1,771","$265,833,418"
"Dec 02, 2022",$41.38,$41.97,$41.15,$41.97,"$1,843","$276,730,824"
"Dec 01, 2022",$42.41,$42.41,$41.19,$41.38,"$1,818","$272,876,004"
"Nov 30, 2022",$39.83,$42.61,$39.78,$42.40,"$14,605","$279,614,743"
"Nov 29, 2022",$38.29,$40.00,$38.08,$39.83,"$13,717","$262,612,678"
"Nov 28, 2022",$39.11,$39.23,$37.83,$38.29,"$13,187","$252,509,788"
"Nov 27, 2022",$39.47,$39.94,$39.11,$39.11,"$13,476","$257,913,695"
"Nov 26, 2022",$39.23,$40.16,$39.21,$39.47,"$13,596","$260,238,128"
"Nov 25, 2022",$39.60,$39.60,$38.47,$39.24,"$13,514","$258,733,539"
"Nov 24, 2022",$38.93,$39.86,$38.83,$39.61,"$1,279","$261,186,016"
"Nov 23, 2022",$37.35,$38.98,$37.18,$38.93,"$1,258","$256,677,317"
"Nov 22, 2022",$36.45,$37.39,$35.57,$37.35,"$1,206","$246,258,768"
"Nov 21, 2022",$37.39,$37.53,$35.69,$36.46,"$1,178","$240,440,494"
"Nov 20, 2022",$39.88,$40.07,$37.25,$37.40,$334,"$246,599,157"
"Nov 19, 2022",$39.68,$40.19,$39.29,$39.88,$356,"$262,994,999"
"Nov 18, 2022",$39.30,$40.15,$39.30,$39.68,"$22,408","$261,661,544"
"Nov 17, 2022",$39.74,$40.04,$38.92,$39.31,"$22,188","$259,181,201"
"Nov 16, 2022",$40.91,$41.32,$38.98,$39.73,"$6,941","$262,000,450"
"Nov 15, 2022",$40.59,$41.91,$40.46,$40.90,"$6,530","$269,722,513"
