Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.007298,$0.007298,$0.005998,$0.006598,$50,"$2,129,822"
"Dec 30, 2022",$0.007398,$0.007398,$0.003999,$0.007298,$4,"$2,355,677"
"Dec 29, 2022",$0.007398,$0.007399,$0.007397,$0.007398,$0.52,"$2,388,125"
"Dec 28, 2022",$0.007499,$0.007499,$0.007397,$0.007398,$2,"$2,388,010"
"Dec 27, 2022",$0.0075,$0.0075,$0.007499,$0.007499,$0.9,"$2,420,680"
"Dec 26, 2022",$0.007499,$0.0075,$0.007499,$0.0075,$0,"$2,421,027"
"Dec 25, 2022",$0.0075,$0.0075,$0.007499,$0.0075,$0,"$2,420,900"
"Dec 24, 2022",$0.008,$0.008,$0.0075,$0.0075,$0,"$2,421,021"
"Dec 23, 2022",$0.0079,$0.008,$0.0079,$0.008,$7,"$2,582,388"
"Dec 22, 2022",$0.006,$0.0079,$0.005,$0.0079,$137,"$2,550,193"
"Dec 21, 2022",$0.006901,$0.006901,$0.006,$0.006,$3,"$1,936,983"
"Dec 20, 2022",$0.007,$0.007001,$0.005,$0.006901,$8,"$2,227,578"
"Dec 19, 2022",$0.007001,$0.007001,$0.0055,$0.007,$4,"$2,259,787"
"Dec 18, 2022",$0.007001,$0.007001,$0.007,$0.007001,$0,"$2,259,973"
"Dec 17, 2022",$0.007001,$0.007002,$0.0055,$0.007001,$1,"$2,259,986"
"Dec 16, 2022",$0.007001,$0.007001,$0.005,$0.007001,$3,"$2,259,990"
"Dec 15, 2022",$0.007001,$0.007001,$0.007,$0.007001,$1,"$2,259,816"
"Dec 14, 2022",$0.00648,$0.007001,$0.002505,$0.007001,$31,"$2,259,877"
"Dec 13, 2022",$0.006401,$0.00648,$0.0064,$0.00648,$3,"$2,091,816"
"Dec 12, 2022",$0.0025,$0.00645,$0.0025,$0.006401,$34,"$2,066,177"
"Dec 11, 2022",$0.00635,$0.006351,$0.0025,$0.0025,$9,"$807,081"
"Dec 10, 2022",$0.00255,$0.006351,$0.00255,$0.00635,$0.5,"$2,049,911"
"Dec 09, 2022",$0.00645,$0.00645,$0.0025,$0.00255,$0,"$823,205"
"Dec 08, 2022",$0.0065,$0.006501,$0.006449,$0.00645,$3,"$2,081,996"
"Dec 07, 2022",$0.0065,$0.006501,$0.0025,$0.0065,$11,"$2,098,241"
"Dec 06, 2022",$0.0065,$0.006501,$0.005051,$0.006501,$2,"$2,098,398"
"Dec 05, 2022",$0.006501,$0.006501,$0.0065,$0.0065,$1,"$2,098,351"
"Dec 04, 2022",$0.0065,$0.006501,$0.0065,$0.006501,$0,"$2,098,489"
"Dec 03, 2022",$0.0065,$0.006501,$0.0065,$0.0065,$0.69,"$2,098,364"
"Dec 02, 2022",$0.0065,$0.006501,$0.0065,$0.0065,$0.73,"$2,098,372"
"Dec 01, 2022",$0.0065,$0.006501,$0.0065,$0.0065,$0.65,"$2,098,330"
"Nov 30, 2022",$0.006498,$0.0065,$0.006498,$0.0065,$1,"$2,098,271"
"Nov 29, 2022",$0.007997,$0.007998,$0.006498,$0.006498,$1,"$2,097,691"
"Nov 28, 2022",$0.007997,$0.007998,$0.002499,$0.007997,$19,"$2,581,559"
"Nov 27, 2022",$0.007997,$0.007997,$0.002599,$0.007997,$19,"$2,581,411"
"Nov 26, 2022",$0.007997,$0.007997,$0.007996,$0.007997,$16,"$2,581,338"
"Nov 25, 2022",$0.007995,$0.007997,$0.007995,$0.007997,$131,"$2,581,351"
"Nov 24, 2022",$0.007994,$0.007996,$0.007993,$0.007995,$10,"$2,580,962"
"Nov 23, 2022",$0.007993,$0.007994,$0.004995,$0.007994,$54,"$2,580,364"
"Nov 22, 2022",$0.007993,$0.007994,$0.004996,$0.007993,$69,"$2,580,268"
"Nov 21, 2022",$0.007343,$0.007993,$0.00734,$0.007993,$35,"$2,580,087"
"Nov 20, 2022",$0.007343,$0.007344,$0.007341,$0.007343,$1,"$2,370,205"
"Nov 19, 2022",$0.007943,$0.007944,$0.004996,$0.007343,$11,"$2,370,488"
"Nov 18, 2022",$0.007995,$0.007996,$0.007943,$0.007943,$2,"$2,564,157"
"Nov 17, 2022",$0.007894,$0.007996,$0.007894,$0.007995,$102,"$2,580,894"
"Nov 16, 2022",$0.007983,$0.007984,$0.004496,$0.007894,$18,"$2,548,198"
"Nov 15, 2022",$0.006494,$0.007983,$0.006484,$0.007983,$127,"$2,576,804"
"Nov 14, 2022",$0.006092,$0.006494,$0.006091,$0.006494,$9,"$2,096,160"
"Nov 13, 2022",$0.005992,$0.006094,$0.005991,$0.006092,$3,"$1,966,662"
"Nov 12, 2022",$0.00549,$0.005993,$0.002596,$0.005992,$60,"$1,934,153"
"Nov 11, 2022",$0.007973,$0.007978,$0.002495,$0.00549,$131,"$1,772,267"
"Nov 10, 2022",$0.007979,$0.007985,$0.006976,$0.007973,$10,"$2,573,633"
"Nov 09, 2022",$0.00799,$0.007996,$0.007979,$0.007979,$12,"$2,575,607"
"Nov 08, 2022",$0.008001,$0.008004,$0.006801,$0.00799,$16,"$2,579,310"
"Nov 07, 2022",$0.008001,$0.008001,$0.008,$0.008001,$10,"$2,582,680"
"Nov 06, 2022",$0.008001,$0.008001,$0.0065,$0.008001,$7,"$2,582,667"
"Nov 05, 2022",$0.008001,$0.008001,$0.008,$0.008001,$16,"$2,582,742"
"Nov 04, 2022",$0.00645,$0.008001,$0.00645,$0.008001,$6,"$2,582,634"
"Nov 03, 2022",$0.008,$0.008,$0.0064,$0.00645,$86,"$2,082,110"
"Nov 02, 2022",$0.007999,$0.008001,$0.0063,$0.008,$115,"$2,582,433"
"Nov 01, 2022",$0.008,$0.008,$0.007998,$0.007999,$5,"$2,582,238"
"Oct 31, 2022",$0.008001,$0.008002,$0.007999,$0.008,$26,"$2,582,302"
"Oct 30, 2022",$0.008002,$0.008003,$0.008001,$0.008001,$12,"$2,582,901"
"Oct 29, 2022",$0.008001,$0.008003,$0.006551,$0.008002,$55,"$2,583,021"
"Oct 28, 2022",$0.008001,$0.008002,$0.008,$0.008001,$19,"$2,582,811"
"Oct 27, 2022",$0.008002,$0.008002,$0.008,$0.008001,$12,"$2,582,673"
"Oct 26, 2022",$0.008002,$0.008002,$0.007901,$0.008002,$35,"$2,582,952"
"Oct 25, 2022",$0.008,$0.008002,$0.00755,$0.008002,$298,"$2,582,976"
"Oct 24, 2022",$0.008001,$0.008001,$0.007801,$0.008,$116,"$2,582,591"
"Oct 23, 2022",$0.008,$0.008002,$0.007951,$0.008001,$295,"$2,582,636"
"Oct 22, 2022",$0.008001,$0.008002,$0.0072,$0.008001,$75,"$2,582,662"
"Oct 21, 2022",$0.008,$0.008001,$0.007999,$0.008001,$15,"$2,582,761"
"Oct 20, 2022",$0.008001,$0.008001,$0.008,$0.008,$64,"$2,582,429"
"Oct 19, 2022",$0.008001,$0.008002,$0.0071,$0.008,$91,"$2,582,599"
"Oct 18, 2022",$0.007778,$0.008002,$0.006,$0.008001,$105,"$2,582,714"
