Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03393,$0.03458,$0.03393,$0.03418,"$6,245,006","$195,706,437"
"Dec 30, 2022",$0.03455,$0.03463,$0.03354,$0.03394,"$11,494,595","$194,331,675"
"Dec 29, 2022",$0.03564,$0.036,$0.0338,$0.03455,"$10,930,670","$197,822,060"
"Dec 28, 2022",$0.03622,$0.0363,$0.03438,$0.03564,"$12,887,046","$204,061,599"
"Dec 27, 2022",$0.03642,$0.03667,$0.03584,$0.03621,"$9,880,767","$207,310,859"
"Dec 26, 2022",$0.03533,$0.03644,$0.03503,$0.03641,"$8,414,541","$208,497,496"
"Dec 25, 2022",$0.03535,$0.0354,$0.03466,$0.03533,"$7,995,561","$202,302,232"
"Dec 24, 2022",$0.03445,$0.03538,$0.03433,$0.03534,"$6,886,221","$202,367,244"
"Dec 23, 2022",$0.03466,$0.03547,$0.03435,$0.03445,"$10,811,992","$197,248,174"
"Dec 22, 2022",$0.03449,$0.03482,$0.0335,$0.03466,"$12,818,964","$198,473,384"
"Dec 21, 2022",$0.03657,$0.03657,$0.03406,$0.03449,"$13,967,511","$197,478,194"
"Dec 20, 2022",$0.03567,$0.03705,$0.03561,$0.03657,"$12,115,542","$209,405,345"
"Dec 19, 2022",$0.03822,$0.03872,$0.03519,$0.03567,"$13,411,654","$204,217,412"
"Dec 18, 2022",$0.03825,$0.03889,$0.03767,$0.03822,"$8,089,318","$218,813,086"
"Dec 17, 2022",$0.03748,$0.03847,$0.03679,$0.03825,"$13,761,138","$219,006,391"
"Dec 16, 2022",$0.04217,$0.04308,$0.03704,$0.03747,"$23,269,944","$214,544,421"
"Dec 15, 2022",$0.04388,$0.04397,$0.04203,$0.04217,"$12,770,812","$241,434,348"
"Dec 14, 2022",$0.0446,$0.04516,$0.04369,$0.04388,"$15,222,378","$251,236,720"
"Dec 13, 2022",$0.04351,$0.04479,$0.04219,$0.04458,"$30,204,064","$255,246,298"
"Dec 12, 2022",$0.04451,$0.0454,$0.04289,$0.04352,"$28,793,789","$249,190,997"
"Dec 11, 2022",$0.04494,$0.04555,$0.04441,$0.04453,"$8,200,078","$254,960,628"
"Dec 10, 2022",$0.04445,$0.04526,$0.04444,$0.04493,"$7,783,982","$257,283,952"
"Dec 09, 2022",$0.04456,$0.04528,$0.04417,$0.04445,"$9,833,856","$254,510,769"
"Dec 08, 2022",$0.04391,$0.04483,$0.04344,$0.04456,"$14,163,123","$255,157,269"
"Dec 07, 2022",$0.04608,$0.04621,$0.04369,$0.04391,"$16,700,745","$251,443,576"
"Dec 06, 2022",$0.04631,$0.04657,$0.04569,$0.04609,"$11,423,308","$263,885,440"
"Dec 05, 2022",$0.04716,$0.04823,$0.04606,$0.04631,"$14,615,295","$265,174,183"
"Dec 04, 2022",$0.04647,$0.04756,$0.04647,$0.04717,"$11,610,688","$270,099,516"
"Dec 03, 2022",$0.04785,$0.04798,$0.04645,$0.04645,"$10,151,056","$265,939,465"
"Dec 02, 2022",$0.04671,$0.04801,$0.04588,$0.04786,"$15,271,969","$274,056,173"
"Dec 01, 2022",$0.0476,$0.0479,$0.04645,$0.04669,"$13,598,783","$267,338,433"
"Nov 30, 2022",$0.0457,$0.04779,$0.0457,$0.04762,"$17,150,610","$272,668,214"
"Nov 29, 2022",$0.04537,$0.04642,$0.04491,$0.04571,"$11,771,322","$261,703,715"
"Nov 28, 2022",$0.04625,$0.04721,$0.04436,$0.04538,"$15,924,556","$259,822,423"
"Nov 27, 2022",$0.0456,$0.04801,$0.04555,$0.04627,"$20,692,062","$264,901,091"
"Nov 26, 2022",$0.04528,$0.04698,$0.04507,$0.04564,"$14,386,478","$261,293,422"
"Nov 25, 2022",$0.04641,$0.04641,$0.04455,$0.04529,"$21,662,147","$259,297,302"
"Nov 24, 2022",$0.04696,$0.04711,$0.04586,$0.04637,"$22,575,168","$265,517,064"
"Nov 23, 2022",$0.04593,$0.047,$0.04562,$0.04694,"$23,089,944","$268,763,649"
"Nov 22, 2022",$0.04392,$0.04656,$0.04279,$0.04592,"$22,067,881","$262,896,575"
"Nov 21, 2022",$0.04373,$0.04455,$0.04218,$0.04393,"$22,938,089","$220,869,849"
"Nov 20, 2022",$0.0465,$0.04662,$0.04356,$0.04373,"$16,862,318","$219,824,145"
