Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1214,$0.1375,$0.1198,$0.1232,"$1,679,659","$9,493,953"
"Dec 30, 2022",$0.1183,$0.1256,$0.1172,$0.1213,"$503,323","$9,344,348"
"Dec 29, 2022",$0.124,$0.124,$0.1166,$0.1184,"$337,049","$9,124,839"
"Dec 28, 2022",$0.1312,$0.1343,$0.1218,$0.124,"$563,362","$9,550,017"
"Dec 27, 2022",$0.1261,$0.1349,$0.1233,$0.131,"$696,069","$10,096,589"
"Dec 26, 2022",$0.1281,$0.1281,$0.1229,$0.126,"$380,048","$9,706,535"
"Dec 25, 2022",$0.1295,$0.1319,$0.1254,$0.1282,"$413,463","$9,876,069"
"Dec 24, 2022",$0.1255,$0.1391,$0.1251,$0.1295,"$665,785","$9,977,411"
"Dec 23, 2022",$0.1298,$0.1314,$0.125,$0.1255,"$305,615","$9,668,587"
"Dec 22, 2022",$0.1379,$0.1407,$0.1264,$0.1299,"$494,431","$10,004,931"
"Dec 21, 2022",$0.133,$0.1465,$0.1322,$0.1379,"$889,388","$10,621,218"
"Dec 20, 2022",$0.1261,$0.135,$0.1261,$0.133,"$620,834","$10,249,514"
"Dec 19, 2022",$0.1445,$0.1452,$0.1251,$0.1261,"$541,251","$9,716,638"
"Dec 18, 2022",$0.1465,$0.15,$0.1426,$0.1446,"$789,412","$11,137,643"
"Dec 17, 2022",$0.1454,$0.1479,$0.1392,$0.1463,"$1,108,308","$11,275,126"
"Dec 16, 2022",$0.1678,$0.1768,$0.1445,$0.1451,"$1,700,971","$11,182,028"
"Dec 15, 2022",$0.1722,$0.1794,$0.1652,$0.1679,"$1,483,029","$12,932,726"
"Dec 14, 2022",$0.1805,$0.1846,$0.1664,$0.1724,"$1,104,692","$13,285,934"
"Dec 13, 2022",$0.1858,$0.1873,$0.1691,$0.1806,"$1,795,531","$13,913,954"
"Dec 12, 2022",$0.2044,$0.2089,$0.1831,$0.1858,"$895,254","$14,318,742"
"Dec 11, 2022",$0.2007,$0.2077,$0.197,$0.2044,"$1,522,803","$15,747,345"
"Dec 10, 2022",$0.1865,$0.2244,$0.1854,$0.2007,"$2,498,066","$15,460,316"
"Dec 09, 2022",$0.1983,$0.2087,$0.1802,$0.1863,"$955,455","$14,352,849"
"Dec 08, 2022",$0.2123,$0.2126,$0.1972,$0.1981,"$1,049,730","$15,264,146"
"Dec 07, 2022",$0.225,$0.233,$0.2036,$0.2123,"$2,220,322","$16,354,819"
"Dec 06, 2022",$0.2348,$0.2355,$0.2118,$0.2249,"$1,064,762","$17,330,523"
"Dec 05, 2022",$0.1957,$0.2364,$0.1851,$0.2348,"$1,772,359","$18,087,318"
"Dec 04, 2022",$0.1958,$0.2033,$0.1907,$0.1961,"$1,564,305","$15,109,066"
"Dec 03, 2022",$0.1865,$0.2089,$0.1764,$0.1958,"$1,720,100","$15,083,975"
"Dec 02, 2022",$0.1818,$0.2002,$0.1791,$0.1865,"$3,073,737","$14,366,574"
"Dec 01, 2022",$0.2114,$0.249,$0.1675,$0.1821,"$5,528,349","$14,032,953"
"Nov 30, 2022",$0.1508,$0.2448,$0.1508,$0.2109,"$10,847,107","$16,249,140"
"Nov 29, 2022",$0.1516,$0.154,$0.1452,$0.1512,"$1,064,547","$11,646,217"
"Nov 28, 2022",$0.1513,$0.1588,$0.1456,$0.1516,"$1,464,443","$11,680,694"
"Nov 27, 2022",$0.1519,$0.1576,$0.1479,$0.1513,"$776,204","$11,660,325"
"Nov 26, 2022",$0.1475,$0.1632,$0.1455,$0.1519,"$1,822,708","$11,703,556"
"Nov 25, 2022",$0.1401,$0.1589,$0.1358,$0.1477,"$2,238,555","$11,381,341"
"Nov 24, 2022",$0.1498,$0.1502,$0.1292,$0.1403,"$1,253,869","$10,806,660"
"Nov 23, 2022",$0.1611,$0.1648,$0.1394,$0.1498,"$1,133,288","$11,537,527"
"Nov 22, 2022",$0.1479,$0.1661,$0.1452,$0.1611,"$2,014,377","$12,410,939"
"Nov 21, 2022",$0.1417,$0.1652,$0.1372,$0.148,"$2,917,915","$11,399,288"
"Nov 20, 2022",$0.1385,$0.1847,$0.136,$0.1416,"$6,963,903","$10,911,655"
"Nov 19, 2022",$0.1132,$0.1573,$0.1125,$0.1379,"$3,878,466","$10,626,337"
"Nov 18, 2022",$0.1226,$0.1313,$0.1118,$0.1131,"$1,669,470","$8,712,991"
"Nov 17, 2022",$0.1503,$0.185,$0.1074,$0.1225,"$7,985,954","$9,441,732"
"Nov 16, 2022",$0.0871,$0.1617,$0.08467,$0.1489,"$8,245,658","$11,474,511"
"Nov 15, 2022",$0.07734,$0.09142,$0.07608,$0.08733,"$586,184","$6,728,014"
"Nov 14, 2022",$0.07946,$0.08224,$0.07077,$0.07756,"$462,758","$5,975,778"
"Nov 13, 2022",$0.08389,$0.08583,$0.07542,$0.07956,"$484,163","$6,129,429"
"Nov 12, 2022",$0.09243,$0.09718,$0.08242,$0.08389,"$727,563","$6,463,053"
"Nov 11, 2022",$0.08349,$0.1044,$0.07647,$0.09242,"$2,365,498","$7,120,811"
"Nov 10, 2022",$0.06555,$0.0869,$0.06549,$0.08343,"$550,685","$6,427,505"
"Nov 09, 2022",$0.09787,$0.09791,$0.06523,$0.06554,"$725,393","$5,049,376"
"Nov 08, 2022",$0.1309,$0.1314,$0.09536,$0.09786,"$915,319","$7,539,569"
"Nov 07, 2022",$0.1349,$0.1428,$0.1303,$0.1311,"$953,920","$10,100,806"
"Nov 06, 2022",$0.1326,$0.161,$0.1325,$0.1348,"$3,472,320","$10,387,454"
"Nov 05, 2022",$0.1284,$0.1378,$0.1278,$0.1325,"$727,459","$10,211,927"
"Nov 04, 2022",$0.131,$0.1322,$0.1229,$0.1284,"$912,679","$9,889,912"
"Nov 03, 2022",$0.1407,$0.1409,$0.1253,$0.1309,"$2,245,379","$10,084,658"
"Nov 02, 2022",$0.1512,$0.1535,$0.1352,$0.1408,"$1,086,532","$10,846,534"
"Nov 01, 2022",$0.1524,$0.1537,$0.1439,$0.1512,"$831,566","$11,652,868"
"Oct 31, 2022",$0.1622,$0.1653,$0.1512,$0.1524,"$1,056,822","$11,740,094"
"Oct 30, 2022",$0.1587,$0.1656,$0.1559,$0.1623,"$980,900","$12,501,304"
"Oct 29, 2022",$0.1614,$0.1631,$0.1582,$0.1586,"$1,169,026","$12,220,417"
"Oct 28, 2022",$0.1608,$0.1656,$0.1567,$0.1614,"$809,027","$12,436,978"
"Oct 27, 2022",$0.1724,$0.1759,$0.1573,$0.1608,"$1,947,301","$12,386,828"
"Oct 26, 2022",$0.1806,$0.1816,$0.1716,$0.1725,"$950,500","$13,290,575"
"Oct 25, 2022",$0.1696,$0.1808,$0.1677,$0.1806,"$2,139,413","$13,914,893"
"Oct 24, 2022",$0.187,$0.1871,$0.1684,$0.1696,"$598,455","$13,070,380"
"Oct 23, 2022",$0.1743,$0.192,$0.1743,$0.187,"$1,100,357","$14,406,936"
"Oct 22, 2022",$0.1774,$0.1848,$0.1675,$0.1743,"$913,278","$13,431,297"
"Oct 21, 2022",$0.1772,$0.1848,$0.1691,$0.1774,"$1,283,740","$13,669,156"
"Oct 20, 2022",$0.2078,$0.2258,$0.1753,$0.1772,"$2,371,844","$13,652,750"
"Oct 19, 2022",$0.2447,$0.2508,$0.207,$0.2078,"$2,714,505","$16,009,253"
"Oct 18, 2022",$0.2438,$0.2596,$0.2217,$0.2447,"$2,122,695","$18,854,500"
"Oct 17, 2022",$0.2153,$0.2673,$0.2152,$0.2431,"$4,580,391","$18,726,749"
"Oct 16, 2022",$0.2004,$0.2243,$0.1853,$0.2151,"$2,476,322","$16,569,390"
"Oct 15, 2022",$0.1973,$0.2358,$0.1949,$0.2006,"$3,423,669","$15,451,539"
"Oct 14, 2022",$0.1848,$0.2054,$0.1823,$0.1973,"$2,918,156","$15,202,575"
"Oct 13, 2022",$0.1961,$0.2214,$0.1645,$0.1848,"$5,933,605","$14,241,521"
"Oct 12, 2022",$0.1771,$0.2078,$0.1599,$0.1955,"$5,712,546","$15,064,016"
"Oct 11, 2022",$0.2065,$0.2065,$0.1713,$0.1771,"$2,000,589","$13,641,764"
"Oct 10, 2022",$0.2049,$0.2318,$0.2026,$0.2063,"$3,168,237","$15,894,575"
"Oct 09, 2022",$0.2065,$0.2119,$0.1964,$0.2052,"$1,475,857","$15,812,727"
"Oct 08, 2022",$0.2217,$0.2262,$0.2024,$0.2065,"$1,783,304","$15,909,879"
"Oct 07, 2022",$0.2316,$0.2518,$0.22,$0.2217,"$3,056,712","$17,082,424"
"Oct 06, 2022",$0.2665,$0.2711,$0.2232,$0.2316,"$4,728,420","$17,840,396"
"Oct 05, 2022",$0.3016,$0.3059,$0.2615,$0.2675,"$3,610,184","$20,607,491"
"Oct 04, 2022",$0.3111,$0.3171,$0.2912,$0.3016,"$2,684,697","$23,240,033"
"Oct 03, 2022",$0.3015,$0.3302,$0.297,$0.3094,"$4,464,863","$23,835,153"
"Oct 02, 2022",$0.3004,$0.3141,$0.2864,$0.2994,"$2,627,456","$23,067,337"
"Oct 01, 2022",$0.3004,$0.3343,$0.2973,$0.2997,"$3,943,360","$23,088,140"
"Sep 30, 2022",$0.3118,$0.3408,$0.2803,$0.301,"$7,333,383","$23,192,238"
"Sep 29, 2022",$0.3852,$0.4018,$0.2922,$0.3122,"$8,385,990","$24,050,991"
"Sep 28, 2022",$0.3887,$0.4055,$0.3329,$0.3852,"$8,020,211","$29,674,740"
"Sep 27, 2022",$0.3288,$0.4352,$0.3242,$0.3884,"$14,634,100","$29,927,125"
"Sep 26, 2022",$0.2997,$0.3595,$0.2625,$0.3303,"$5,796,112","$25,450,017"
"Sep 25, 2022",$0.3183,$0.3642,$0.2931,$0.2995,"$5,744,633","$23,077,773"
"Sep 24, 2022",$0.2686,$0.3528,$0.2615,$0.3195,"$9,512,017","$24,614,360"
"Sep 23, 2022",$0.3363,$0.3363,$0.239,$0.274,"$6,660,363","$21,109,119"
"Sep 22, 2022",$0.3639,$0.4386,$0.3059,$0.3356,"$19,071,026","$25,854,838"
"Sep 21, 2022",$0.234,$0.3879,$0.2285,$0.3703,"$14,589,831","$28,532,984"
"Sep 20, 2022",$0.2502,$0.2737,$0.2239,$0.2334,"$3,066,523","$17,986,007"
"Sep 19, 2022",$0.2406,$0.2806,$0.2087,$0.2492,"$7,209,783","$19,198,732"
"Sep 18, 2022",$0.2656,$0.3301,$0.235,$0.2402,"$14,920,501","$18,508,368"
"Sep 17, 2022",$0.1808,$0.2657,$0.1687,$0.2604,"$12,085,859","$20,064,795"
"Sep 16, 2022",$0.1283,$0.1888,$0.1167,$0.1784,"$7,039,929","$13,743,490"
"Sep 15, 2022",$0.1018,$0.1384,$0.0969,$0.129,"$4,446,458","$9,940,787"
"Sep 14, 2022",$0.1162,$0.1216,$0.0981,$0.1018,"$1,866,633","$7,845,068"
"Sep 13, 2022",$0.1563,$0.1919,$0.1092,$0.1118,"$6,052,034","$8,614,899"
"Sep 12, 2022",$0.09401,$0.1686,$0.09137,$0.1563,"$6,246,847","$12,038,863"
"Sep 11, 2022",$0.09981,$0.1104,$0.08903,$0.09401,"$2,188,837","$7,242,774"
"Sep 10, 2022",$0.07409,$0.1055,$0.07374,$0.09982,"$4,161,764","$7,690,502"
"Sep 09, 2022",$0.07668,$0.08429,$0.07176,$0.0741,"$1,232,367","$5,709,181"
"Sep 08, 2022",$0.06644,$0.1009,$0.06357,$0.07669,"$5,924,065","$5,908,514"
"Sep 07, 2022",$0.06165,$0.074,$0.05884,$0.06663,"$1,703,125","$5,133,306"
"Sep 06, 2022",$0.07043,$0.07142,$0.05971,$0.06165,"$360,172","$4,749,927"
"Sep 05, 2022",$0.06928,$0.07171,$0.0685,$0.07042,"$239,702","$5,425,682"
"Sep 04, 2022",$0.07616,$0.07677,$0.06809,$0.06946,"$393,986","$5,351,605"
"Sep 03, 2022",$0.0684,$0.07838,$0.06741,$0.07616,"$1,073,629","$5,867,753"
"Sep 02, 2022",$0.06923,$0.07781,$0.06588,$0.0684,"$982,302","$5,269,535"
"Sep 01, 2022",$0.06953,$0.07206,$0.06629,$0.06885,"$387,705","$5,304,602"
"Aug 31, 2022",$0.06743,$0.07795,$0.0672,$0.06952,"$740,742","$5,356,401"
"Aug 30, 2022",$0.07846,$0.08112,$0.06685,$0.06759,"$618,219","$5,207,839"
"Aug 29, 2022",$0.08018,$0.0971,$0.07565,$0.07846,"$2,017,424","$6,044,919"
"Aug 28, 2022",$0.08055,$0.08618,$0.07074,$0.0798,"$1,970,805","$6,148,454"
"Aug 27, 2022",$0.06985,$0.1318,$0.06747,$0.07976,"$8,530,453","$6,144,794"
"Aug 26, 2022",$0.08159,$0.08211,$0.06836,$0.06964,"$1,677,981","$5,365,270"
"Aug 25, 2022",$0.0592,$0.09362,$0.05875,$0.08182,"$5,935,141","$6,304,096"
"Aug 24, 2022",$0.05804,$0.06348,$0.05634,$0.05921,"$404,957","$4,561,759"
"Aug 23, 2022",$0.05904,$0.06099,$0.05519,$0.05783,"$450,162","$4,455,549"
"Aug 22, 2022",$0.05481,$0.08811,$0.05266,$0.05882,"$3,566,597","$4,531,814"
"Aug 21, 2022",$0.05452,$0.05596,$0.05415,$0.05481,"$40,252","$4,222,748"
"Aug 20, 2022",$0.05147,$0.05648,$0.05133,$0.05454,"$112,913","$4,201,878"
"Aug 19, 2022",$0.05681,$0.05724,$0.05065,$0.05148,"$126,843","$3,966,310"
"Aug 18, 2022",$0.05474,$0.06077,$0.05474,$0.05682,"$175,609","$4,377,976"
"Aug 17, 2022",$0.05765,$0.05956,$0.05438,$0.05474,"$90,299","$4,217,183"
"Aug 16, 2022",$0.05925,$0.05985,$0.05701,$0.05744,"$72,862","$4,425,405"
"Aug 15, 2022",$0.06111,$0.06184,$0.05794,$0.05927,"$73,460","$4,566,693"
"Aug 14, 2022",$0.06429,$0.06821,$0.06018,$0.06109,"$263,216","$4,706,862"
"Aug 13, 2022",$0.06226,$0.0662,$0.06115,$0.06428,"$121,252","$4,952,231"
"Aug 12, 2022",$0.06287,$0.06451,$0.06061,$0.06227,"$122,748","$4,797,385"
"Aug 11, 2022",$0.06513,$0.06609,$0.06203,$0.06215,"$119,707","$4,788,653"
"Aug 10, 2022",$0.06524,$0.06788,$0.0618,$0.06513,"$237,547","$5,017,717"
"Aug 09, 2022",$0.07518,$0.07992,$0.06224,$0.06524,"$720,203","$5,026,597"
"Aug 08, 2022",$0.07315,$0.07952,$0.07157,$0.07519,"$381,085","$5,793,301"
"Aug 07, 2022",$0.06653,$0.0785,$0.06566,$0.07314,"$1,357,211","$5,634,731"
"Aug 06, 2022",$0.06442,$0.08356,$0.06083,$0.06653,"$964,494","$5,125,737"
"Aug 05, 2022",$0.07124,$0.07214,$0.06299,$0.06441,"$653,666","$4,962,859"
"Aug 04, 2022",$0.05877,$0.08848,$0.05814,$0.07215,"$3,715,782","$5,558,754"
"Aug 03, 2022",$0.05597,$0.0608,$0.05547,$0.05858,"$144,554","$4,513,205"
"Aug 02, 2022",$0.05632,$0.05921,$0.05294,$0.05596,"$225,667","$4,311,523"
"Aug 01, 2022",$0.05667,$0.0582,$0.05576,$0.05633,"$58,666","$4,339,652"
"Jul 31, 2022",$0.05591,$0.06312,$0.05418,$0.05667,"$575,824","$4,365,813"
"Jul 30, 2022",$0.05661,$0.06139,$0.05587,$0.05592,"$135,401","$4,308,348"
"Jul 29, 2022",$0.05057,$0.05959,$0.05029,$0.05663,"$629,154","$4,362,698"
"Jul 28, 2022",$0.04921,$0.05145,$0.04762,$0.05059,"$67,576","$3,897,914"
"Jul 27, 2022",$0.04649,$0.05137,$0.04268,$0.0492,"$751,199","$3,790,880"
"Jul 26, 2022",$0.04576,$0.04768,$0.04032,$0.04649,"$288,796","$3,581,784"
"Jul 25, 2022",$0.04996,$0.04997,$0.04565,$0.04574,"$46,255","$3,524,123"
"Jul 24, 2022",$0.04916,$0.05023,$0.04759,$0.04997,"$53,682","$3,849,920"
"Jul 23, 2022",$0.04957,$0.05006,$0.04465,$0.04915,"$75,094","$3,786,403"
"Jul 22, 2022",$0.05111,$0.05181,$0.04662,$0.04958,"$77,744","$3,820,153"
"Jul 21, 2022",$0.04853,$0.0525,$0.04638,$0.05111,"$95,606","$3,937,771"
"Jul 20, 2022",$0.0516,$0.05259,$0.04844,$0.04853,"$46,485","$3,738,728"
"Jul 19, 2022",$0.05282,$0.05394,$0.04988,$0.0516,"$149,770","$3,975,188"
"Jul 18, 2022",$0.04489,$0.05431,$0.04489,$0.05285,"$158,541","$4,072,045"
"Jul 17, 2022",$0.04409,$0.05105,$0.03901,$0.04489,"$278,367","$3,458,596"
"Jul 16, 2022",$0.04312,$0.04548,$0.04258,$0.04408,"$55,209","$3,396,065"
"Jul 15, 2022",$0.04441,$0.04532,$0.04312,$0.04312,"$44,159","$3,322,140"
"Jul 14, 2022",$0.04285,$0.04556,$0.0412,$0.04455,"$58,990","$3,432,432"
"Jul 13, 2022",$0.04234,$0.04395,$0.04031,$0.04284,"$65,680","$3,300,281"
"Jul 12, 2022",$0.04258,$0.04895,$0.04092,$0.04233,"$478,918","$3,261,655"
"Jul 11, 2022",$0.04543,$0.04544,$0.04119,$0.04279,"$87,237","$3,296,691"
"Jul 10, 2022",$0.04422,$0.05189,$0.04268,$0.04544,"$269,945","$3,500,852"
"Jul 09, 2022",$0.04668,$0.04668,$0.04406,$0.04422,"$29,824","$3,406,996"
"Jul 08, 2022",$0.04889,$0.05129,$0.04546,$0.04671,"$67,673","$3,598,669"
"Jul 07, 2022",$0.04353,$0.05054,$0.04281,$0.04889,"$76,152","$3,766,732"
