Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0009568,$0.0009574,$0.0008658,$0.0008813,"$86,403","$4,959,324"
"Dec 30, 2022",$0.0009628,$0.0009958,$0.0008711,$0.0009567,"$140,802","$5,383,595"
"Dec 29, 2022",$0.0009873,$0.001009,$0.0008638,$0.0009628,"$86,866","$5,417,769"
"Dec 28, 2022",$0.0009953,$0.001004,$0.0008965,$0.0009873,"$23,607","$5,555,501"
"Dec 27, 2022",$0.001021,$0.001023,$0.0009182,$0.0009953,"$37,390","$5,600,866"
"Dec 26, 2022",$0.001013,$0.001026,$0.0009167,$0.001021,"$12,031","$5,745,925"
"Dec 25, 2022",$0.0009248,$0.001017,$0.0009153,$0.001013,"$23,315","$5,697,950"
"Dec 24, 2022",$0.0009134,$0.001026,$0.0009055,$0.0009248,"$69,513","$5,204,032"
"Dec 23, 2022",$0.000904,$0.0009261,$0.0008987,$0.0009134,"$20,411","$5,139,870"
"Dec 22, 2022",$0.0009114,$0.001029,$0.0008937,$0.000904,"$16,438","$5,087,016"
"Dec 21, 2022",$0.0009117,$0.00101,$0.0008995,$0.0009114,"$14,550","$5,128,524"
"Dec 20, 2022",$0.0009639,$0.001019,$0.0008858,$0.0009121,"$16,961","$5,132,543"
"Dec 19, 2022",$0.001001,$0.001024,$0.0008945,$0.0009639,"$40,269","$5,423,863"
"Dec 18, 2022",$0.0009225,$0.001097,$0.0009065,$0.001001,"$150,400","$5,633,745"
"Dec 17, 2022",$0.001001,$0.001015,$0.0008964,$0.0009225,"$51,851","$5,191,183"
"Dec 16, 2022",$0.0009485,$0.001112,$0.0009293,$0.001001,"$262,121","$5,633,762"
"Dec 15, 2022",$0.00107,$0.001105,$0.0009485,$0.0009485,"$130,411","$5,337,360"
"Dec 14, 2022",$0.000968,$0.001093,$0.0009579,$0.001076,"$67,468","$6,055,106"
"Dec 13, 2022",$0.001035,$0.001065,$0.0009341,$0.000968,"$11,086","$5,447,187"
"Dec 12, 2022",$0.0009469,$0.001035,$0.0009264,$0.001035,"$42,083","$5,822,736"
"Dec 11, 2022",$0.0009408,$0.001049,$0.0009408,$0.0009469,"$22,633","$5,328,439"
"Dec 10, 2022",$0.001035,$0.001047,$0.0009376,$0.0009408,"$35,772","$5,294,050"
"Dec 09, 2022",$0.001029,$0.001041,$0.0009361,$0.001035,"$20,674","$5,825,645"
"Dec 08, 2022",$0.0009192,$0.001032,$0.0009116,$0.00103,"$6,217","$5,793,176"
"Dec 07, 2022",$0.001023,$0.001023,$0.0009088,$0.0009193,"$15,213","$5,172,703"
"Dec 06, 2022",$0.001029,$0.001029,$0.0009248,$0.001023,"$11,750","$5,756,706"
"Dec 05, 2022",$0.00103,$0.001053,$0.0009314,$0.001029,"$63,189","$5,789,247"
"Dec 04, 2022",$0.001036,$0.001058,$0.0009347,$0.0009372,"$57,634","$5,273,437"
"Dec 03, 2022",$0.001034,$0.001118,$0.0009317,$0.001036,"$24,888","$5,827,286"
"Dec 02, 2022",$0.001022,$0.001072,$0.000929,$0.001034,"$120,767","$5,816,161"
"Dec 01, 2022",$0.001036,$0.001116,$0.0009311,$0.001022,"$120,570","$5,748,504"
"Nov 30, 2022",$0.001002,$0.001087,$0.0009244,$0.001036,"$183,687","$5,828,809"
"Nov 29, 2022",$0.0008929,$0.001081,$0.0008904,$0.001002,"$20,027","$5,638,202"
"Nov 28, 2022",$0.0009946,$0.00107,$0.0008869,$0.0008928,"$30,176","$5,024,057"
"Nov 27, 2022",$0.001003,$0.001007,$0.0009043,$0.0009947,"$20,044","$5,597,199"
"Nov 26, 2022",$0.0009962,$0.001082,$0.0009126,$0.001003,"$29,654","$5,642,281"
"Nov 25, 2022",$0.001,$0.001016,$0.0008922,$0.0009962,"$14,729","$5,605,741"
"Nov 24, 2022",$0.0009114,$0.001027,$0.0009006,$0.001,"$67,075","$5,628,434"
"Nov 23, 2022",$0.0009824,$0.001014,$0.0008886,$0.0009114,"$56,013","$5,128,548"
"Nov 22, 2022",$0.001049,$0.001108,$0.0009513,$0.0009821,"$279,317","$5,526,544"
"Nov 21, 2022",$0.001089,$0.001089,$0.0009676,$0.001049,"$48,128","$5,903,787"
"Nov 20, 2022",$0.001111,$0.001149,$0.000999,$0.001089,"$78,775","$6,125,925"
"Nov 19, 2022",$0.001021,$0.001134,$0.001015,$0.001111,"$42,151","$6,250,413"
"Nov 18, 2022",$0.001016,$0.001122,$0.0009286,$0.001021,"$50,119","$5,745,276"
"Nov 17, 2022",$0.001029,$0.001106,$0.0009065,$0.001016,"$31,084","$5,715,379"
"Nov 16, 2022",$0.00112,$0.00112,$0.001011,$0.001029,"$11,053","$5,791,675"
"Nov 15, 2022",$0.0009052,$0.001129,$0.0009042,$0.00112,"$45,132","$6,304,571"
"Nov 14, 2022",$0.0009111,$0.001038,$0.0008541,$0.0009052,"$61,056","$5,093,476"
"Nov 13, 2022",$0.001038,$0.001087,$0.0009068,$0.0009112,"$64,477","$5,127,123"
"Nov 12, 2022",$0.001045,$0.001089,$0.0009256,$0.001038,"$44,591","$5,841,752"
"Nov 11, 2022",$0.0009653,$0.001084,$0.0009393,$0.001045,"$44,241","$5,879,930"
"Nov 10, 2022",$0.0009319,$0.001073,$0.0008496,$0.00106,"$35,600","$5,967,054"
"Nov 09, 2022",$0.001155,$0.001245,$0.0008463,$0.0009483,"$116,608","$5,336,393"
"Nov 08, 2022",$0.001275,$0.001376,$0.001119,$0.001155,"$105,679","$6,498,050"
"Nov 07, 2022",$0.001285,$0.001387,$0.001264,$0.001275,"$24,055","$7,173,644"
"Nov 06, 2022",$0.001295,$0.001403,$0.001284,$0.001285,"$12,189","$7,229,959"
"Nov 05, 2022",$0.001387,$0.001408,$0.001289,$0.001294,"$19,596","$7,284,140"
"Nov 04, 2022",$0.001344,$0.001395,$0.00124,$0.001387,"$10,882","$7,805,588"
"Nov 03, 2022",$0.001244,$0.00135,$0.001231,$0.001344,"$47,409","$7,561,513"
"Nov 02, 2022",$0.001257,$0.00137,$0.001234,$0.001244,"$42,104","$6,999,884"
"Nov 01, 2022",$0.001352,$0.001372,$0.001256,$0.001257,"$16,958","$7,071,391"
"Oct 31, 2022",$0.001278,$0.001381,$0.00125,$0.001352,"$26,860","$7,606,136"
"Oct 30, 2022",$0.001268,$0.001377,$0.001262,$0.001278,"$28,337","$7,190,304"
"Oct 29, 2022",$0.00126,$0.001378,$0.001255,$0.001268,"$26,044","$7,132,768"
"Oct 28, 2022",$0.001254,$0.001363,$0.00124,$0.00126,"$16,618","$7,090,009"
"Oct 27, 2022",$0.001276,$0.001374,$0.001248,$0.001254,"$52,834","$7,059,021"
"Oct 26, 2022",$0.001251,$0.001388,$0.001247,$0.001276,"$37,469","$7,177,678"
"Oct 25, 2022",$0.001309,$0.001358,$0.001208,$0.001251,"$11,512","$7,038,539"
"Oct 24, 2022",$0.001293,$0.001319,$0.001205,$0.001309,"$12,397","$7,367,916"
"Oct 23, 2022",$0.001269,$0.001302,$0.001233,$0.001293,"$3,463","$7,273,150"
"Oct 22, 2022",$0.001282,$0.001303,$0.001248,$0.001274,"$6,036","$7,170,216"
"Oct 21, 2022",$0.001256,$0.001325,$0.001236,$0.00127,"$26,128","$7,149,118"
"Oct 20, 2022",$0.001266,$0.001368,$0.00125,$0.001255,"$112,781","$7,060,169"
"Oct 19, 2022",$0.001188,$0.00135,$0.001173,$0.001266,"$18,482","$7,126,202"
"Oct 18, 2022",$0.001409,$0.00141,$0.001341,$0.001352,"$155,845","$7,609,815"
"Oct 17, 2022",$0.00135,$0.00141,$0.00134,$0.001409,"$39,506","$7,929,469"
"Oct 16, 2022",$0.001366,$0.001406,$0.001335,$0.00135,"$19,051","$7,595,276"
"Oct 15, 2022",$0.001373,$0.001403,$0.001325,$0.001366,"$64,469","$7,684,465"
"Oct 14, 2022",$0.001384,$0.001471,$0.001364,$0.001374,"$13,776","$7,729,170"
"Oct 13, 2022",$0.001418,$0.001451,$0.001307,$0.001384,"$39,984","$7,787,662"
"Oct 12, 2022",$0.001376,$0.001434,$0.001376,$0.001418,"$17,988","$7,981,603"
"Oct 11, 2022",$0.001412,$0.001421,$0.001373,$0.001376,"$37,078","$7,743,921"
"Oct 10, 2022",$0.001427,$0.001477,$0.001408,$0.001412,"$84,748","$7,943,908"
"Oct 09, 2022",$0.001452,$0.00156,$0.00142,$0.001427,"$297,815","$8,027,841"
"Oct 08, 2022",$0.001419,$0.001477,$0.001409,$0.001455,"$11,564","$8,186,703"
"Oct 07, 2022",$0.001449,$0.001468,$0.00141,$0.001419,"$65,703","$7,986,560"
"Oct 06, 2022",$0.001461,$0.001473,$0.00143,$0.001449,"$44,233","$8,151,830"
"Oct 05, 2022",$0.001445,$0.001525,$0.001435,$0.001461,"$160,710","$8,218,411"
"Oct 04, 2022",$0.001415,$0.001563,$0.001414,$0.001445,"$497,398","$8,128,519"
"Oct 03, 2022",$0.001346,$0.001572,$0.001345,$0.001415,"$619,680","$7,961,693"
"Oct 02, 2022",$0.001411,$0.001502,$0.001342,$0.001346,"$35,985","$7,574,381"
"Oct 01, 2022",$0.001406,$0.001456,$0.001388,$0.001411,"$19,051","$7,940,384"
"Sep 30, 2022",$0.001424,$0.001432,$0.001388,$0.001406,"$30,986","$7,910,507"
"Sep 29, 2022",$0.001426,$0.001439,$0.001403,$0.001424,"$22,898","$8,014,292"
"Sep 28, 2022",$0.001461,$0.001465,$0.001397,$0.001426,"$96,572","$8,021,937"
"Sep 27, 2022",$0.00146,$0.001495,$0.001435,$0.001461,"$80,890","$8,220,648"
"Sep 26, 2022",$0.001424,$0.001468,$0.001397,$0.001459,"$21,861","$8,153,250"
"Sep 25, 2022",$0.00142,$0.001471,$0.001395,$0.001424,"$12,164","$7,956,996"
"Sep 24, 2022",$0.001485,$0.001498,$0.001392,$0.00142,"$36,475","$7,934,232"
"Sep 23, 2022",$0.00149,$0.001509,$0.001418,$0.001485,"$23,661","$8,298,480"
"Sep 22, 2022",$0.001453,$0.001494,$0.001394,$0.00149,"$29,661","$8,326,177"
"Sep 21, 2022",$0.001472,$0.00154,$0.001421,$0.001453,"$42,392","$8,117,888"
"Sep 20, 2022",$0.001507,$0.001545,$0.001455,$0.001472,"$81,854","$8,221,527"
"Sep 19, 2022",$0.001475,$0.001577,$0.001442,$0.001507,"$96,866","$8,417,261"
"Sep 18, 2022",$0.001531,$0.0016,$0.001475,$0.001475,"$145,194","$8,239,406"
"Sep 17, 2022",$0.001519,$0.001633,$0.0015,$0.001531,"$304,596","$8,555,951"
"Sep 16, 2022",$0.001494,$0.001617,$0.001474,$0.001519,"$167,699","$8,484,593"
"Sep 15, 2022",$0.001504,$0.001575,$0.001469,$0.001494,"$77,122","$8,348,134"
"Sep 14, 2022",$0.001436,$0.001641,$0.001431,$0.001504,"$340,921","$8,403,684"
"Sep 13, 2022",$0.001545,$0.001639,$0.001431,$0.001489,"$178,288","$8,320,413"
