Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.4356,$0.4364,$0.4198,$0.4289,"$41,001","$41,645,021"
"Dec 30, 2022",$0.4394,$0.4401,$0.4344,$0.4355,"$47,140","$42,286,814"
"Dec 29, 2022",$0.4464,$0.4539,$0.4373,$0.4394,"$47,480","$42,672,442"
"Dec 28, 2022",$0.4698,$0.4708,$0.4452,$0.4464,"$40,764","$43,350,920"
"Dec 27, 2022",$0.4681,$0.473,$0.4645,$0.4695,"$28,051","$45,587,818"
"Dec 26, 2022",$0.469,$0.4711,$0.461,$0.4682,"$19,565","$45,466,619"
"Dec 25, 2022",$0.4719,$0.4784,$0.4675,$0.4689,"$22,658","$45,533,191"
"Dec 24, 2022",$0.4713,$0.4757,$0.4668,$0.4719,"$17,709","$45,828,522"
"Dec 23, 2022",$0.4754,$0.4759,$0.4672,$0.4713,"$19,626","$45,765,357"
"Dec 22, 2022",$0.4657,$0.4799,$0.4653,$0.4755,"$27,282","$46,174,231"
"Dec 21, 2022",$0.4605,$0.4674,$0.4591,$0.4652,"$29,562","$45,176,211"
"Dec 20, 2022",$0.4533,$0.4611,$0.4529,$0.46,"$36,497","$44,671,134"
"Dec 19, 2022",$0.4659,$0.4671,$0.4526,$0.4533,"$41,900","$44,015,267"
"Dec 18, 2022",$0.4551,$0.469,$0.4541,$0.4659,"$33,231","$45,240,235"
"Dec 17, 2022",$0.4523,$0.4735,$0.4468,$0.4542,"$30,067","$44,101,942"
"Dec 16, 2022",$0.4582,$0.4632,$0.4514,$0.4523,"$40,918","$43,922,115"
"Dec 15, 2022",$0.4642,$0.468,$0.4549,$0.4582,"$37,979","$44,495,741"
"Dec 14, 2022",$0.4684,$0.469,$0.4625,$0.4642,"$43,654","$45,081,303"
"Dec 13, 2022",$0.4578,$0.4691,$0.4551,$0.4677,"$32,416","$45,419,357"
"Dec 12, 2022",$0.4587,$0.4626,$0.4395,$0.4579,"$36,193","$44,465,588"
"Dec 11, 2022",$0.4587,$0.4658,$0.4578,$0.4587,"$25,210","$44,541,551"
"Dec 10, 2022",$0.4593,$0.4616,$0.4579,$0.4586,"$39,016","$44,533,899"
"Dec 09, 2022",$0.4645,$0.4688,$0.4589,$0.4595,"$42,987","$44,619,890"
"Dec 08, 2022",$0.4571,$0.4656,$0.457,$0.4645,"$42,049","$45,105,898"
"Dec 07, 2022",$0.4786,$0.4793,$0.4514,$0.4571,"$32,433","$44,384,297"
"Dec 06, 2022",$0.4747,$0.479,$0.4738,$0.4781,"$29,322","$46,431,303"
"Dec 05, 2022",$0.4781,$0.4787,$0.4737,$0.4747,"$43,308","$46,095,759"
"Dec 04, 2022",$0.4875,$0.4878,$0.4656,$0.4774,"$37,129","$46,361,278"
"Dec 03, 2022",$0.4905,$0.5014,$0.4741,$0.4874,"$41,957","$47,332,594"
"Dec 02, 2022",$0.5087,$0.5099,$0.4673,$0.4905,"$50,592","$47,634,054"
