Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01632,$0.01635,$0.01577,$0.01579,"$465,674","$2,950,454"
"Dec 30, 2022",$0.01652,$0.01677,$0.01631,$0.01633,"$1,117,436","$3,050,584"
"Dec 29, 2022",$0.01642,$0.01674,$0.01636,$0.01653,"$867,541","$3,088,014"
"Dec 28, 2022",$0.01756,$0.01759,$0.01638,$0.01643,"$1,555,009","$3,069,641"
"Dec 27, 2022",$0.01765,$0.01781,$0.01745,$0.01754,"$401,289","$3,276,709"
"Dec 26, 2022",$0.01719,$0.01767,$0.01712,$0.01765,"$611,673","$3,296,750"
"Dec 25, 2022",$0.01715,$0.01731,$0.01703,$0.01719,"$648,232","$3,210,751"
"Dec 24, 2022",$0.01714,$0.01738,$0.01693,$0.01715,"$1,015,721","$3,203,623"
"Dec 23, 2022",$0.01672,$0.01733,$0.0166,$0.01712,"$1,262,442","$3,191,752"
"Dec 22, 2022",$0.01648,$0.01678,$0.01644,$0.01672,"$808,082","$3,117,732"
"Dec 21, 2022",$0.01664,$0.01667,$0.01639,$0.01647,"$549,735","$3,070,401"
"Dec 20, 2022",$0.01603,$0.01666,$0.01601,$0.01663,"$814,997","$3,100,132"
"Dec 19, 2022",$0.01616,$0.01634,$0.01596,$0.01605,"$1,116,231","$2,992,144"
"Dec 18, 2022",$0.01561,$0.01627,$0.01552,$0.01617,"$784,457","$2,932,562"
"Dec 17, 2022",$0.01547,$0.01573,$0.01526,$0.01561,"$1,137,393","$2,831,785"
"Dec 16, 2022",$0.01672,$0.01693,$0.01539,$0.0155,"$1,275,635","$2,812,502"
"Dec 15, 2022",$0.01597,$0.01675,$0.01577,$0.01672,"$1,548,877","$3,033,814"
"Dec 14, 2022",$0.01573,$0.01606,$0.01568,$0.01597,"$606,800","$2,897,220"
"Dec 13, 2022",$0.01585,$0.01599,$0.01542,$0.01573,"$1,041,549","$2,852,976"
"Dec 12, 2022",$0.01604,$0.01605,$0.01548,$0.01584,"$910,754","$2,873,558"
"Dec 11, 2022",$0.0161,$0.0163,$0.01598,$0.01604,"$489,563","$2,909,681"
"Dec 10, 2022",$0.01662,$0.01667,$0.01608,$0.01611,"$936,409","$2,921,783"
"Dec 09, 2022",$0.01686,$0.01706,$0.0166,$0.01662,"$585,789","$3,014,881"
"Dec 08, 2022",$0.01696,$0.01699,$0.0167,$0.01685,"$716,929","$3,056,638"
"Dec 07, 2022",$0.01697,$0.01711,$0.01682,$0.01695,"$799,528","$3,075,493"
"Dec 06, 2022",$0.01748,$0.01753,$0.0169,$0.01698,"$446,148","$3,028,787"
"Dec 05, 2022",$0.01755,$0.01763,$0.01729,$0.01748,"$1,630,904","$3,115,194"
"Dec 04, 2022",$0.01748,$0.01757,$0.01731,$0.0175,"$362,902","$3,118,496"
"Dec 03, 2022",$0.0178,$0.01784,$0.01739,$0.01748,"$1,047,043","$3,115,870"
"Dec 02, 2022",$0.01787,$0.01789,$0.01731,$0.0178,"$2,303,308","$3,172,441"
"Dec 01, 2022",$0.01808,$0.01832,$0.01775,$0.01787,"$2,407,333","$3,184,153"
"Nov 30, 2022",$0.01722,$0.01824,$0.01719,$0.01808,"$1,778,300","$3,222,529"
"Nov 29, 2022",$0.01758,$0.01791,$0.01722,$0.01722,"$748,494","$3,069,455"
"Nov 28, 2022",$0.01811,$0.01812,$0.01752,$0.01759,"$588,257","$3,081,209"
"Nov 27, 2022",$0.01826,$0.01848,$0.0181,$0.01811,"$903,264","$3,173,012"
"Nov 26, 2022",$0.01857,$0.01868,$0.01825,$0.01825,"$1,357,731","$3,198,418"
"Nov 25, 2022",$0.01895,$0.01903,$0.01846,$0.01856,"$1,731,053","$3,252,145"
"Nov 24, 2022",$0.01884,$0.01908,$0.01881,$0.01896,"$1,776,924","$3,321,397"
"Nov 23, 2022",$0.01783,$0.01895,$0.0178,$0.01883,"$2,479,388","$3,243,211"
"Nov 22, 2022",$0.01818,$0.01824,$0.01758,$0.01783,"$2,096,989","$3,071,205"
"Nov 21, 2022",$0.0187,$0.01873,$0.01804,$0.01817,"$1,840,803","$3,129,244"
"Nov 20, 2022",$0.01936,$0.01965,$0.01862,$0.0187,"$1,855,651","$3,220,919"
"Nov 19, 2022",$0.01939,$0.01956,$0.01918,$0.01935,"$1,791,788","$3,333,150"
"Nov 18, 2022",$0.02026,$0.02042,$0.01917,$0.0194,"$2,463,225","$3,340,243"
"Nov 17, 2022",$0.02055,$0.02059,$0.02007,$0.02025,"$2,094,552","$3,488,052"
"Nov 16, 2022",$0.02135,$0.02146,$0.02046,$0.02054,"$980,226","$3,536,563"
"Nov 15, 2022",$0.02157,$0.02184,$0.0213,$0.02135,"$971,704","$3,613,100"
"Nov 14, 2022",$0.02141,$0.022,$0.02129,$0.02158,"$1,993,427","$3,650,623"
"Nov 13, 2022",$0.02142,$0.02213,$0.02122,$0.02144,"$1,059,380","$3,628,186"
"Nov 12, 2022",$0.02187,$0.02199,$0.02107,$0.02143,"$1,094,567","$3,626,587"
"Nov 11, 2022",$0.02265,$0.02293,$0.02156,$0.02187,"$1,189,048","$3,700,827"
"Nov 10, 2022",$0.02066,$0.02316,$0.02048,$0.02266,"$1,217,622","$3,834,410"
"Nov 09, 2022",$0.02312,$0.02335,$0.02048,$0.02065,"$2,044,056","$3,494,065"
"Nov 08, 2022",$0.02565,$0.02571,$0.02284,$0.02312,"$1,369,527","$3,911,375"
"Nov 07, 2022",$0.02633,$0.02638,$0.02539,$0.02564,"$875,226","$4,338,753"
"Nov 06, 2022",$0.02641,$0.02672,$0.02589,$0.0263,"$975,998","$4,450,768"
"Nov 05, 2022",$0.02744,$0.02744,$0.02634,$0.02641,"$789,202","$4,468,051"
"Nov 04, 2022",$0.027,$0.02756,$0.02675,$0.02744,"$1,182,130","$4,642,115"
"Nov 03, 2022",$0.02683,$0.02744,$0.02677,$0.02702,"$675,746","$4,572,699"
"Nov 02, 2022",$0.0289,$0.02892,$0.02664,$0.02683,"$1,569,824","$4,540,198"
