Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04591,$0.0461,$0.04529,$0.04552,"$170,858","$9,133,704"
"Dec 30, 2022",$0.04506,$0.0464,$0.04502,$0.04591,"$148,368","$9,211,892"
"Dec 29, 2022",$0.04509,$0.04587,$0.04493,$0.04508,"$203,957","$9,045,328"
"Dec 28, 2022",$0.04672,$0.04702,$0.04489,$0.04507,"$260,091","$9,043,393"
"Dec 27, 2022",$0.04782,$0.04932,$0.04658,$0.04671,"$218,921","$9,372,123"
"Dec 26, 2022",$0.0486,$0.04934,$0.04727,$0.04786,"$237,005","$2,101,838"
"Dec 25, 2022",$0.04883,$0.04888,$0.04807,$0.0486,"$168,598","$2,134,330"
"Dec 24, 2022",$0.04875,$0.04953,$0.04865,$0.04885,"$137,905","$2,145,042"
"Dec 23, 2022",$0.04874,$0.04929,$0.04866,$0.04877,"$123,264","$2,141,616"
"Dec 22, 2022",$0.04916,$0.0499,$0.0487,$0.04874,"$131,182","$2,140,556"
"Dec 21, 2022",$0.05029,$0.05082,$0.04912,$0.04915,"$195,844","$2,158,473"
"Dec 20, 2022",$0.05068,$0.051,$0.05021,$0.05028,"$171,833","$2,208,015"
"Dec 19, 2022",$0.05101,$0.052,$0.05058,$0.0506,"$135,867","$2,221,928"
"Dec 18, 2022",$0.05177,$0.05484,$0.05082,$0.05102,"$215,388","$2,240,318"
"Dec 17, 2022",$0.05098,$0.05179,$0.05036,$0.05178,"$167,981","$2,273,991"
"Dec 16, 2022",$0.05069,$0.05494,$0.05014,$0.051,"$266,727","$2,239,738"
"Dec 15, 2022",$0.05209,$0.05236,$0.05062,$0.05067,"$152,388","$2,225,350"
"Dec 14, 2022",$0.05426,$0.05439,$0.05203,$0.05208,"$141,422","$2,287,279"
"Dec 13, 2022",$0.05464,$0.05549,$0.0529,$0.05428,"$196,225","$2,383,848"
"Dec 12, 2022",$0.05747,$0.05759,$0.05189,$0.05461,"$373,729","$2,398,246"
"Dec 11, 2022",$0.05739,$0.0584,$0.05671,$0.05753,"$330,131","$2,526,568"
"Dec 10, 2022",$0.05881,$0.05893,$0.05622,$0.05741,"$222,998","$2,521,303"
"Dec 09, 2022",$0.06091,$0.06135,$0.05758,$0.05881,"$250,454","$2,582,732"
"Dec 08, 2022",$0.06669,$0.06704,$0.05992,$0.06094,"$606,228","$2,675,988"
"Dec 07, 2022",$0.06575,$0.06914,$0.05902,$0.06669,"$769,854","$2,928,498"
"Dec 06, 2022",$0.07357,$0.07474,$0.06467,$0.06573,"$605,585","$2,886,622"
"Dec 05, 2022",$0.06942,$0.07958,$0.06736,$0.07351,"$749,884","$3,228,132"
"Dec 04, 2022",$0.06634,$0.0699,$0.0631,$0.0695,"$384,274","$3,052,112"
"Dec 03, 2022",$0.06591,$0.0705,$0.06347,$0.0666,"$471,635","$2,924,596"
"Dec 02, 2022",$0.05618,$0.06978,$0.0546,$0.06568,"$781,494","$2,884,267"
"Dec 01, 2022",$0.05748,$0.05762,$0.05602,$0.05618,"$344,090","$2,467,029"
"Nov 30, 2022",$0.06374,$0.06386,$0.05407,$0.05747,"$1,418,288","$2,523,831"
"Nov 29, 2022",$0.05399,$0.07016,$0.05221,$0.06378,"$3,002,044","$2,801,059"
"Nov 28, 2022",$0.05078,$0.05551,$0.04957,$0.05399,"$688,461","$2,370,885"
"Nov 27, 2022",$0.05058,$0.05252,$0.05056,$0.05078,"$518,316","$2,230,150"
"Nov 26, 2022",$0.05063,$0.0514,$0.05028,$0.05058,"$564,216","$2,221,090"
"Nov 25, 2022",$0.05119,$0.05127,$0.04945,$0.0506,"$578,781","$2,222,010"
"Nov 24, 2022",$0.04996,$0.05177,$0.04984,$0.0512,"$256,321","$2,248,381"
"Nov 23, 2022",$0.04837,$0.05068,$0.04822,$0.04996,"$245,316","$2,194,046"
"Nov 22, 2022",$0.04919,$0.04926,$0.04504,$0.0484,"$308,888","$2,125,317"
"Nov 21, 2022",$0.05189,$0.05195,$0.04766,$0.0492,"$352,366","$2,160,693"
"Nov 20, 2022",$0.05747,$0.05758,$0.0519,$0.0519,"$316,656","$2,278,976"
"Nov 19, 2022",$0.05366,$0.05857,$0.0505,$0.05743,"$586,587","$2,522,019"
"Nov 18, 2022",$0.05795,$0.05821,$0.05093,$0.05365,"$460,916","$2,355,873"
"Nov 17, 2022",$0.05803,$0.06093,$0.05567,$0.05799,"$509,492","$2,546,431"
"Nov 16, 2022",$0.05841,$0.05966,$0.05797,$0.05805,"$413,189","$2,549,077"
"Nov 15, 2022",$0.06022,$0.06075,$0.05807,$0.05841,"$1,126,338","$2,565,058"
"Nov 14, 2022",$0.05712,$0.06033,$0.0541,$0.06022,"$788,995","$2,644,528"
"Nov 13, 2022",$0.05858,$0.05979,$0.05711,$0.05713,"$409,505","$2,508,992"
