Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.6945,$0.6954,$0.6825,$0.6851,"$7,423,617","$337,470,743"
"Dec 30, 2022",$0.7009,$0.7022,$0.6931,$0.6944,"$5,902,696","$342,078,101"
"Dec 29, 2022",$0.7063,$0.7065,$0.6947,$0.7009,"$9,063,485","$345,259,541"
"Dec 28, 2022",$0.7367,$0.737,$0.7063,$0.7063,"$8,141,555","$347,926,603"
"Dec 27, 2022",$0.7478,$0.7558,$0.7345,$0.7367,"$6,633,503","$362,884,579"
"Dec 26, 2022",$0.742,$0.7478,$0.7411,$0.7478,"$5,363,483","$368,379,420"
"Dec 25, 2022",$0.7476,$0.7504,$0.7364,$0.7421,"$5,779,269","$365,562,786"
"Dec 24, 2022",$0.7393,$0.7956,$0.7392,$0.7475,"$19,643,895","$368,220,925"
"Dec 23, 2022",$0.7252,$0.7437,$0.7236,$0.7394,"$7,456,513","$364,218,707"
"Dec 22, 2022",$0.7156,$0.7256,$0.7028,$0.7252,"$8,824,754","$357,210,824"
"Dec 21, 2022",$0.7396,$0.7423,$0.7122,$0.7156,"$8,324,425","$352,496,713"
"Dec 20, 2022",$0.7406,$0.7537,$0.7314,$0.7396,"$10,615,518","$364,312,302"
"Dec 19, 2022",$0.7712,$0.773,$0.738,$0.7407,"$9,432,923","$364,848,025"
"Dec 18, 2022",$0.7791,$0.7813,$0.7648,$0.7712,"$7,006,344","$379,871,388"
"Dec 17, 2022",$0.7772,$0.7826,$0.7686,$0.7793,"$8,704,511","$383,853,583"
"Dec 16, 2022",$0.8618,$0.8672,$0.7686,$0.7772,"$15,801,000","$382,864,537"
"Dec 15, 2022",$0.8895,$0.8899,$0.8603,$0.8618,"$9,470,455","$424,522,036"
"Dec 14, 2022",$0.9167,$0.919,$0.8868,$0.8896,"$12,589,036","$438,189,088"
"Dec 13, 2022",$0.9335,$0.9403,$0.8976,$0.9167,"$17,294,307","$451,582,223"
"Dec 12, 2022",$0.9397,$0.9399,$0.8966,$0.9336,"$19,455,393","$459,865,737"
"Dec 11, 2022",$1.04,$1.05,$0.9385,$0.9401,"$36,351,913","$463,083,024"
"Dec 10, 2022",$0.9008,$1.12,$0.8892,$1.04,"$134,414,162","$510,964,889"
"Dec 09, 2022",$0.9162,$0.9206,$0.896,$0.9008,"$6,600,611","$443,719,103"
"Dec 08, 2022",$0.9083,$0.9163,$0.896,$0.9162,"$7,358,474","$451,315,932"
"Dec 07, 2022",$0.9525,$0.9549,$0.9045,$0.9083,"$7,347,613","$447,435,274"
"Dec 06, 2022",$0.9779,$0.9819,$0.9468,$0.9526,"$6,757,284","$469,221,055"
"Dec 05, 2022",$0.9882,$1.00,$0.9718,$0.9778,"$6,552,628","$276,197,960"
"Dec 04, 2022",$0.9812,$0.9906,$0.9784,$0.9882,"$5,917,097","$279,144,218"
"Dec 03, 2022",$1.00,$1.00,$0.9787,$0.9812,"$4,626,991","$277,148,320"
"Dec 02, 2022",$0.99,$1.00,$0.9825,$1.00,"$5,437,455","$283,267,455"
"Dec 01, 2022",$1.02,$1.02,$0.9849,$0.99,"$7,050,173","$279,636,172"
"Nov 30, 2022",$1.00,$1.03,$0.9987,$1.02,"$7,834,176","$287,304,484"
"Nov 29, 2022",$0.9756,$1.01,$0.9755,$1.00,"$8,382,312","$282,621,314"
"Nov 28, 2022",$1.01,$1.01,$0.9664,$0.9758,"$11,572,340","$275,616,993"
"Nov 27, 2022",$1.02,$1.04,$1.01,$1.01,"$8,543,508","$285,467,868"
"Nov 26, 2022",$1.01,$1.04,$1.01,$1.02,"$8,754,948","$289,319,375"
"Nov 25, 2022",$1.03,$1.03,$0.9979,$1.01,"$6,789,446","$286,396,931"
"Nov 24, 2022",$1.02,$1.03,$1.01,$1.03,"$9,334,309","$290,645,432"
"Nov 23, 2022",$1.03,$1.06,$1.02,$1.02,"$12,941,777","$289,290,352"
"Nov 22, 2022",$1.02,$1.04,$0.9963,$1.03,"$13,997,457","$290,641,696"
"Nov 21, 2022",$1.05,$1.05,$0.9994,$1.02,"$13,738,862","$287,197,868"
"Nov 20, 2022",$1.12,$1.12,$1.05,$1.05,"$9,181,460","$297,511,123"
"Nov 19, 2022",$1.12,$1.12,$1.10,$1.12,"$6,106,719","$315,349,465"
"Nov 18, 2022",$1.10,$1.13,$1.10,$1.12,"$9,895,519","$315,645,572"
"Nov 17, 2022",$1.13,$1.13,$1.10,$1.10,"$9,324,588","$311,559,379"
"Nov 16, 2022",$1.17,$1.18,$1.12,$1.13,"$14,076,518","$320,139,960"
"Nov 15, 2022",$1.14,$1.20,$1.14,$1.17,"$11,723,603","$331,494,742"
"Nov 14, 2022",$1.12,$1.17,$1.08,$1.14,"$19,163,466","$323,357,580"
"Nov 13, 2022",$1.18,$1.20,$1.12,$1.12,"$13,655,957","$315,545,939"
"Nov 12, 2022",$1.23,$1.23,$1.18,$1.18,"$9,161,054","$334,321,296"
"Nov 11, 2022",$1.28,$1.30,$1.20,$1.23,"$18,878,809","$348,426,300"
"Nov 10, 2022",$1.10,$1.31,$1.09,$1.28,"$9,724,023","$362,955,057"
"Nov 09, 2022",$1.35,$1.35,$1.08,$1.10,"$43,872,947","$309,810,856"
"Nov 08, 2022",$1.54,$1.55,$1.29,$1.35,"$49,416,769","$381,777,859"
"Nov 07, 2022",$1.55,$1.58,$1.52,$1.54,"$19,860,519","$435,649,757"
"Nov 06, 2022",$1.64,$1.64,$1.55,$1.55,"$13,516,114","$438,676,552"
"Nov 05, 2022",$1.63,$1.67,$1.62,$1.64,"$18,112,532","$462,360,918"
"Nov 04, 2022",$1.51,$1.63,$1.51,$1.63,"$22,333,264","$459,997,297"
"Nov 03, 2022",$1.48,$1.54,$1.48,$1.51,"$15,844,715","$427,820,910"
"Nov 02, 2022",$1.55,$1.56,$1.46,$1.48,"$20,070,353","$416,826,821"
"Nov 01, 2022",$1.58,$1.60,$1.54,$1.55,"$18,791,781","$438,332,217"
"Oct 31, 2022",$1.53,$1.60,$1.53,$1.58,"$31,661,933","$447,059,231"
"Oct 30, 2022",$1.53,$1.54,$1.50,$1.53,"$22,524,625","$432,053,907"
"Oct 29, 2022",$1.63,$1.69,$1.53,$1.53,"$74,369,072","$432,079,413"
"Oct 28, 2022",$1.30,$1.74,$1.30,$1.63,"$172,924,886","$460,638,989"
"Oct 27, 2022",$1.26,$1.35,$1.26,$1.30,"$24,969,139","$367,148,034"
"Oct 26, 2022",$1.22,$1.28,$1.22,$1.26,"$7,787,356","$356,811,966"
"Oct 25, 2022",$1.18,$1.23,$1.17,$1.22,"$9,582,941","$345,737,175"
"Oct 24, 2022",$1.20,$1.20,$1.17,$1.18,"$6,944,400","$333,174,211"
"Oct 23, 2022",$1.17,$1.20,$1.16,$1.20,"$4,745,987","$338,947,941"
"Oct 22, 2022",$1.16,$1.18,$1.15,$1.17,"$5,784,391","$331,222,896"
"Oct 21, 2022",$1.14,$1.16,$1.11,$1.16,"$7,198,496","$328,665,109"
"Oct 20, 2022",$1.16,$1.17,$1.14,$1.14,"$6,115,453","$321,585,260"
"Oct 19, 2022",$1.21,$1.21,$1.16,$1.16,"$6,892,863","$327,344,810"
"Oct 18, 2022",$1.22,$1.23,$1.19,$1.21,"$8,512,375","$340,581,802"
"Oct 17, 2022",$1.18,$1.22,$1.17,$1.22,"$7,520,362","$344,302,239"
"Oct 16, 2022",$1.18,$1.19,$1.17,$1.18,"$4,411,988","$333,916,271"
"Oct 15, 2022",$1.18,$1.19,$1.17,$1.18,"$5,803,072","$332,670,569"
"Oct 14, 2022",$1.15,$1.24,$1.15,$1.18,"$15,275,473","$333,430,580"
"Oct 13, 2022",$1.11,$1.16,$1.04,$1.15,"$17,237,644","$325,047,316"
"Oct 12, 2022",$1.08,$1.11,$1.07,$1.11,"$11,416,238","$313,505,394"
"Oct 11, 2022",$1.11,$1.12,$1.05,$1.08,"$17,878,402","$305,942,782"
"Oct 10, 2022",$1.12,$1.13,$1.09,$1.11,"$9,512,851","$314,675,752"
"Oct 09, 2022",$1.12,$1.13,$1.12,$1.12,"$4,225,105","$317,754,989"
