Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.08997,$0.08998,$0.08997,$0.08997,$0,"$3,312,773"
"Dec 30, 2022",$0.08998,$0.08998,$0.08997,$0.08997,$0,"$3,312,724"
"Dec 29, 2022",$0.08997,$0.08999,$0.08996,$0.08998,$0,"$3,312,973"
"Dec 28, 2022",$0.08999,$0.08999,$0.08997,$0.08997,$0,"$3,312,810"
"Dec 27, 2022",$0.09,$0.09,$0.08998,$0.08999,$0,"$3,313,355"
"Dec 26, 2022",$0.08999,$0.09,$0.08999,$0.09,$0,"$3,313,836"
"Dec 25, 2022",$0.09,$0.09,$0.08999,$0.08999,$0,"$3,313,662"
"Dec 24, 2022",$0.09,$0.09001,$0.09,$0.09,$0,"$3,313,829"
"Dec 23, 2022",$0.09,$0.09001,$0.08999,$0.09,$0,"$3,313,787"
"Dec 22, 2022",$0.09001,$0.09001,$0.09,$0.09,$0,"$3,313,891"
"Dec 21, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,106"
"Dec 20, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,226"
"Dec 19, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,116"
"Dec 18, 2022",$0.09001,$0.09002,$0.09001,$0.09001,$0,"$3,314,365"
"Dec 17, 2022",$0.09001,$0.09003,$0.09001,$0.09001,$0,"$3,314,386"
"Dec 16, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,371"
"Dec 15, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,111"
"Dec 14, 2022",$0.09,$0.09001,$0.09,$0.09001,$0,"$3,314,200"
"Dec 13, 2022",$0.09001,$0.09005,$0.09,$0.09,$0,"$3,313,909"
"Dec 12, 2022",$0.09001,$0.09002,$0.09,$0.09001,$0,"$3,314,205"
"Dec 11, 2022",$0.09,$0.09001,$0.09,$0.09001,$0,"$3,314,111"
"Dec 10, 2022",$0.09001,$0.09001,$0.09,$0.09,$0,"$3,314,008"
"Dec 09, 2022",$0.09001,$0.09001,$0.09,$0.09001,$0,"$3,314,041"
"Dec 08, 2022",$0.09,$0.09001,$0.09,$0.09001,$0,"$3,314,275"
"Dec 07, 2022",$0.09001,$0.09001,$0.09,$0.09,$0,"$3,313,859"
"Dec 06, 2022",$0.09001,$0.09001,$0.09,$0.09001,$0,"$3,314,107"
"Dec 05, 2022",$0.09001,$0.09002,$0.09,$0.09,$0,"$3,314,032"
"Dec 04, 2022",$0.09001,$0.09001,$0.09,$0.09001,$0,"$3,314,252"
"Dec 03, 2022",$0.09,$0.09001,$0.09,$0.09001,$0,"$3,314,053"
"Dec 02, 2022",$0.09,$0.09001,$0.09,$0.09001,$0,"$3,314,067"
"Dec 01, 2022",$0.09,$0.09001,$0.09,$0.09,$0,"$3,313,998"
"Nov 30, 2022",$0.08998,$0.09,$0.08997,$0.09,$0,"$3,313,905"
"Nov 29, 2022",$0.08997,$0.08998,$0.08996,$0.08998,$0,"$3,313,003"
"Nov 28, 2022",$0.08996,$0.08998,$0.08996,$0.08997,$0,"$3,312,731"
