Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$5.39,$5.48,$5.38,$5.44,"$2,683,330","$20,881,475"
"Dec 30, 2022",$5.41,$5.47,$5.37,$5.39,"$2,448,043","$20,715,670"
"Dec 29, 2022",$5.41,$5.51,$5.32,$5.42,"$2,485,090","$20,812,792"
"Dec 28, 2022",$5.56,$5.59,$5.37,$5.41,"$2,524,989","$20,774,000"
"Dec 27, 2022",$5.61,$5.63,$5.50,$5.56,"$3,344,251","$21,359,054"
"Dec 26, 2022",$5.53,$5.64,$5.49,$5.61,"$2,197,241","$21,545,896"
"Dec 25, 2022",$5.57,$5.71,$5.53,$5.53,"$3,681,476","$21,238,474"
"Dec 24, 2022",$5.50,$5.74,$5.48,$5.57,"$3,576,133","$21,381,436"
"Dec 23, 2022",$5.48,$5.60,$5.44,$5.50,"$2,638,346","$21,113,204"
"Dec 22, 2022",$5.50,$5.57,$5.39,$5.47,"$3,804,492","$21,006,467"
"Dec 21, 2022",$5.60,$5.80,$5.46,$5.50,"$6,161,367","$21,142,146"
"Dec 20, 2022",$5.32,$5.81,$5.23,$5.60,"$9,085,828","$21,521,120"
"Dec 19, 2022",$5.64,$5.77,$5.29,$5.32,"$12,370,754","$20,451,497"
"Dec 18, 2022",$6.18,$8.30,$5.64,$5.64,"$93,953,659","$21,664,449"
"Dec 17, 2022",$6.29,$6.89,$6.06,$6.18,"$19,965,157","$23,749,814"
"Dec 16, 2022",$6.13,$7.10,$5.97,$6.29,"$38,122,066","$24,153,527"
"Dec 15, 2022",$6.41,$7.00,$6.12,$6.14,"$47,732,758","$23,563,289"
"Dec 14, 2022",$5.25,$6.68,$5.19,$6.41,"$28,834,524","$24,626,471"
"Dec 13, 2022",$5.19,$5.29,$4.98,$5.25,"$4,567,291","$20,159,758"
"Dec 12, 2022",$5.28,$5.28,$5.14,$5.19,"$6,885,306","$19,918,716"
"Dec 11, 2022",$5.38,$5.40,$5.28,$5.28,"$7,073,432","$20,268,764"
"Dec 10, 2022",$5.39,$5.44,$5.37,$5.38,"$3,780,758","$20,680,865"
"Dec 09, 2022",$5.40,$5.41,$5.37,$5.39,"$4,992,387","$20,699,354"
"Dec 08, 2022",$5.39,$5.42,$5.33,$5.40,"$5,575,214","$20,754,582"
"Dec 07, 2022",$5.53,$5.54,$5.35,$5.38,"$4,131,874","$20,680,144"
"Dec 06, 2022",$5.52,$5.55,$5.49,$5.53,"$3,882,098","$21,235,020"
"Dec 05, 2022",$5.53,$5.58,$5.49,$5.52,"$4,248,067","$21,213,669"
"Dec 04, 2022",$5.53,$5.56,$5.48,$5.53,"$4,831,554","$21,239,605"
"Dec 03, 2022",$5.63,$5.65,$5.51,$5.53,"$4,054,212","$21,254,919"
"Dec 02, 2022",$5.53,$5.68,$5.43,$5.63,"$4,399,871","$21,614,403"
"Dec 01, 2022",$5.54,$5.55,$5.45,$5.53,"$3,583,554","$21,223,205"
"Nov 30, 2022",$5.51,$5.59,$5.45,$5.54,"$5,113,880","$21,261,478"
"Nov 29, 2022",$5.48,$5.55,$5.44,$5.52,"$4,301,195","$21,181,203"
"Nov 28, 2022",$5.53,$5.53,$5.32,$5.48,"$4,249,003","$21,046,374"
"Nov 27, 2022",$5.54,$5.61,$5.53,$5.53,"$3,810,233","$21,221,977"
"Nov 26, 2022",$5.66,$5.69,$5.52,$5.54,"$4,993,702","$21,294,666"
"Nov 25, 2022",$5.62,$5.67,$5.44,$5.66,"$5,239,577","$21,736,276"
"Nov 24, 2022",$5.76,$5.79,$5.57,$5.62,"$4,171,826","$21,569,252"
"Nov 23, 2022",$5.63,$5.85,$5.60,$5.76,"$5,637,104","$22,127,061"
"Nov 22, 2022",$5.57,$5.69,$5.47,$5.63,"$6,498,594","$21,632,371"
"Nov 21, 2022",$5.78,$5.87,$5.40,$5.58,"$9,439,390","$21,411,891"
"Nov 20, 2022",$6.55,$6.70,$5.75,$5.79,"$12,222,184","$22,215,668"
"Nov 19, 2022",$7.08,$7.09,$6.47,$6.55,"$8,320,458","$25,143,848"
"Nov 18, 2022",$6.59,$7.27,$6.56,$7.08,"$14,820,217","$27,187,191"
"Nov 17, 2022",$6.43,$6.68,$6.07,$6.59,"$10,687,372","$25,316,272"
"Nov 16, 2022",$6.42,$6.83,$6.25,$6.43,"$13,886,111","$24,685,165"
"Nov 15, 2022",$5.76,$6.77,$5.76,$6.42,"$12,668,557","$24,655,472"
"Nov 14, 2022",$5.61,$5.97,$5.41,$5.76,"$5,668,785","$22,105,763"
"Nov 13, 2022",$5.86,$5.96,$5.43,$5.61,"$9,084,601","$21,540,038"
"Nov 12, 2022",$6.13,$6.13,$5.58,$5.86,"$5,160,885","$22,512,558"
"Nov 11, 2022",$6.00,$6.25,$5.72,$6.13,"$9,757,946","$23,530,689"
"Nov 10, 2022",$5.09,$6.12,$5.06,$6.01,"$9,470,581","$23,078,032"
"Nov 09, 2022",$6.29,$6.40,$4.96,$5.09,"$10,829,821","$19,553,635"
"Nov 08, 2022",$7.46,$7.51,$5.53,$6.29,"$17,822,753","$24,148,107"
"Nov 07, 2022",$7.30,$7.72,$7.21,$7.46,"$10,184,644","$28,638,792"
"Nov 06, 2022",$7.43,$7.91,$7.29,$7.30,"$12,192,761","$28,011,470"
"Nov 05, 2022",$7.30,$7.77,$7.28,$7.43,"$11,483,045","$28,522,253"
"Nov 04, 2022",$6.86,$7.33,$6.86,$7.30,"$8,483,435","$28,015,386"
"Nov 03, 2022",$6.83,$7.08,$6.83,$6.86,"$8,564,475","$26,344,452"
"Nov 02, 2022",$6.91,$6.97,$6.67,$6.83,"$5,623,605","$26,236,262"
"Nov 01, 2022",$6.99,$7.17,$6.85,$6.91,"$5,641,895","$26,509,851"
