Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.00,$1.22,$0.8048,$0.9938,$666,"$12,643,332"
"Dec 30, 2022",$1.01,$1.13,$0.9941,$1.00,$564,"$12,758,365"
"Dec 29, 2022",$0.9148,$1.05,$0.9136,$1.01,"$4,576","$12,870,545"
"Dec 28, 2022",$1.09,$1.15,$0.9079,$0.9148,"$8,034","$11,629,550"
"Dec 27, 2022",$1.06,$1.09,$0.451,$1.09,"$8,877","$13,889,276"
"Dec 26, 2022",$1.07,$1.44,$1.02,$1.06,"$11,430","$13,461,265"
"Dec 25, 2022",$1.16,$1.22,$1.07,$1.07,"$12,650","$13,592,450"
"Dec 24, 2022",$1.25,$1.25,$1.14,$1.16,"$9,036","$14,718,037"
"Dec 23, 2022",$1.19,$1.35,$1.18,$1.25,"$10,469","$15,907,326"
"Dec 22, 2022",$1.22,$1.24,$1.15,$1.19,"$25,721","$15,118,916"
"Dec 21, 2022",$1.50,$1.56,$1.17,$1.22,"$10,684","$15,514,606"
"Dec 20, 2022",$1.25,$1.50,$1.09,$1.50,$219,"$19,032,884"
"Dec 19, 2022",$1.30,$1.70,$1.14,$1.25,"$8,229","$15,829,439"
"Dec 18, 2022",$1.34,$1.50,$1.30,$1.30,"$2,748","$16,526,090"
"Dec 17, 2022",$1.28,$1.42,$1.25,$1.34,"$8,957","$16,958,015"
"Dec 16, 2022",$1.22,$1.35,$1.14,$1.28,"$5,553","$16,249,914"
"Dec 15, 2022",$1.27,$1.28,$1.19,$1.22,"$13,709","$15,502,053"
"Dec 14, 2022",$1.36,$1.69,$1.18,$1.27,"$11,719","$16,146,907"
"Dec 13, 2022",$1.46,$1.54,$1.26,$1.36,"$15,242","$17,216,666"
"Dec 12, 2022",$1.19,$1.57,$1.15,$1.46,"$6,371","$18,562,395"
"Dec 11, 2022",$1.40,$1.65,$1.19,$1.19,"$13,752","$15,075,676"
"Dec 10, 2022",$1.65,$1.65,$1.21,$1.40,"$17,385","$17,690,664"
"Dec 09, 2022",$1.19,$1.78,$1.16,$1.65,"$19,433","$20,864,386"
"Dec 08, 2022",$1.25,$1.62,$1.17,$1.19,"$20,369","$15,080,876"
"Dec 07, 2022",$0.8076,$1.37,$0.8073,$1.25,"$8,040","$15,773,252"
"Dec 06, 2022",$1.58,$1.66,$0.8061,$0.8076,"$22,767","$10,221,140"
"Dec 05, 2022",$1.02,$2.13,$0.9707,$1.58,"$19,146","$19,974,620"
