Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.003658,$0.003687,$0.003463,$0.003596,"$35,724","$5,575,780"
"Dec 30, 2022",$0.003737,$0.003741,$0.003635,$0.003655,"$26,547","$5,667,332"
"Dec 29, 2022",$0.00382,$0.003836,$0.003732,$0.003737,"$27,539","$5,795,636"
"Dec 28, 2022",$0.003834,$0.003877,$0.003728,$0.00382,"$26,493","$5,923,215"
"Dec 27, 2022",$0.003967,$0.003977,$0.003809,$0.00383,"$32,542","$5,922,620"
"Dec 26, 2022",$0.004145,$0.004174,$0.003942,$0.00397,"$24,380","$6,118,961"
"Dec 25, 2022",$0.003886,$0.004289,$0.003685,$0.004154,"$64,268","$6,402,912"
"Dec 24, 2022",$0.003875,$0.003915,$0.003843,$0.003886,"$19,710","$5,990,544"
"Dec 23, 2022",$0.003963,$0.004235,$0.003873,$0.003875,"$40,707","$5,973,676"
"Dec 22, 2022",$0.003983,$0.00406,$0.003872,$0.003963,"$26,511","$6,109,133"
"Dec 21, 2022",$0.004053,$0.004146,$0.003962,$0.00398,"$35,873","$6,134,595"
"Dec 20, 2022",$0.004001,$0.004118,$0.003991,$0.004061,"$29,985","$6,234,570"
"Dec 19, 2022",$0.004261,$0.004292,$0.003967,$0.004001,"$23,884","$6,141,626"
"Dec 18, 2022",$0.004133,$0.0043,$0.004086,$0.004261,"$23,319","$6,532,257"
"Dec 17, 2022",$0.004165,$0.0042,$0.004014,$0.004134,"$26,497","$6,337,563"
"Dec 16, 2022",$0.004318,$0.004512,$0.004099,$0.004173,"$41,652","$6,396,777"
"Dec 15, 2022",$0.004511,$0.004574,$0.004284,$0.004317,"$28,049","$6,617,058"
"Dec 14, 2022",$0.00456,$0.004641,$0.00446,$0.004513,"$28,656","$6,899,854"
"Dec 13, 2022",$0.004805,$0.004882,$0.00452,$0.004556,"$49,094","$6,965,086"
"Dec 12, 2022",$0.004914,$0.004954,$0.004566,$0.004813,"$49,005","$7,358,050"
"Dec 11, 2022",$0.004972,$0.005059,$0.004898,$0.004914,"$20,483","$7,512,496"
"Dec 10, 2022",$0.005004,$0.005035,$0.004922,$0.004972,"$31,619","$7,601,940"
"Dec 09, 2022",$0.00511,$0.005185,$0.004953,$0.005004,"$22,189","$7,650,401"
"Dec 08, 2022",$0.00519,$0.005253,$0.005097,$0.00511,"$27,416","$7,813,049"
"Dec 07, 2022",$0.00549,$0.005503,$0.005169,$0.00519,"$31,880","$7,934,807"
"Dec 06, 2022",$0.005559,$0.005595,$0.005353,$0.005485,"$30,358","$8,362,672"
"Dec 05, 2022",$0.005825,$0.005895,$0.005513,$0.005559,"$29,762","$8,475,598"
"Dec 04, 2022",$0.006111,$0.006155,$0.005757,$0.005837,"$42,242","$8,887,847"
"Dec 03, 2022",$0.006151,$0.006189,$0.006026,$0.006125,"$24,895","$9,325,631"
"Dec 02, 2022",$0.006314,$0.006496,$0.006117,$0.006155,"$46,201","$9,371,412"
"Dec 01, 2022",$0.006348,$0.006752,$0.006216,$0.006313,"$76,863","$9,559,118"
"Nov 30, 2022",$0.005567,$0.007272,$0.005527,$0.006348,"$220,746","$9,612,194"
"Nov 29, 2022",$0.005619,$0.005893,$0.0055,$0.005567,"$17,120","$8,428,922"
"Nov 28, 2022",$0.005556,$0.005748,$0.005251,$0.00562,"$35,483","$8,509,408"
"Nov 27, 2022",$0.005355,$0.005787,$0.005274,$0.005556,"$26,764","$8,412,546"
"Nov 26, 2022",$0.005614,$0.005683,$0.005306,$0.005358,"$22,683","$8,112,525"
"Nov 25, 2022",$0.00515,$0.005662,$0.004928,$0.005611,"$125,323","$8,496,337"
"Nov 24, 2022",$0.005357,$0.005377,$0.005079,$0.005147,"$81,717","$7,782,634"
"Nov 23, 2022",$0.005136,$0.005445,$0.005115,$0.00536,"$83,131","$8,105,268"
"Nov 22, 2022",$0.005302,$0.005403,$0.004988,$0.005152,"$113,320","$7,769,487"
"Nov 21, 2022",$0.005642,$0.00567,$0.005253,$0.0053,"$108,093","$7,993,072"
"Nov 20, 2022",$0.006057,$0.006114,$0.005606,$0.005646,"$111,948","$8,515,186"
"Nov 19, 2022",$0.006226,$0.006253,$0.005944,$0.006057,"$83,408","$9,115,046"
"Nov 18, 2022",$0.006021,$0.00624,$0.006015,$0.006227,"$80,029","$9,370,034"
"Nov 17, 2022",$0.006192,$0.00628,$0.005988,$0.006017,"$100,653","$9,033,544"
"Nov 16, 2022",$0.00652,$0.006535,$0.006123,$0.006195,"$66,226","$9,300,194"
"Nov 15, 2022",$0.006826,$0.006891,$0.006467,$0.006518,"$63,881","$9,785,730"
"Nov 14, 2022",$0.006801,$0.006919,$0.006572,$0.006809,"$30,416","$10,221,790"
"Nov 13, 2022",$0.007037,$0.007114,$0.006774,$0.006796,"$21,959","$10,202,548"
"Nov 12, 2022",$0.007311,$0.008406,$0.00694,$0.007038,"$39,070","$10,565,924"
"Nov 11, 2022",$0.007519,$0.007554,$0.006951,$0.007299,"$69,757","$10,958,383"
"Nov 10, 2022",$0.006762,$0.007797,$0.006761,$0.007529,"$40,365","$11,277,090"
"Nov 09, 2022",$0.007984,$0.008048,$0.006606,$0.006783,"$56,110","$10,146,466"
"Nov 08, 2022",$0.008997,$0.009283,$0.007788,$0.007984,"$82,362","$11,942,846"
"Nov 07, 2022",$0.009005,$0.009329,$0.008832,$0.008997,"$74,556","$13,458,824"
"Nov 06, 2022",$0.009481,$0.009539,$0.008891,$0.009009,"$89,499","$13,450,220"
"Nov 05, 2022",$0.00985,$0.009968,$0.009436,$0.009488,"$65,887","$14,165,742"
"Nov 04, 2022",$0.009686,$0.01039,$0.009678,$0.009831,"$45,948","$14,677,020"
"Nov 03, 2022",$0.009535,$0.01005,$0.009239,$0.009716,"$115,685","$14,476,421"
"Nov 02, 2022",$0.01109,$0.01113,$0.009527,$0.00955,"$76,254","$14,229,315"
"Nov 01, 2022",$0.01112,$0.0113,$0.01101,$0.01109,"$115,413","$16,517,019"
"Oct 31, 2022",$0.01085,$0.01162,$0.01059,$0.01112,"$121,393","$16,573,963"
"Oct 30, 2022",$0.01077,$0.0112,$0.01074,$0.01085,"$93,556","$16,151,454"
"Oct 29, 2022",$0.01057,$0.01117,$0.0105,$0.01077,"$71,537","$16,036,946"
"Oct 28, 2022",$0.009718,$0.01065,$0.009665,$0.01057,"$111,881","$15,738,460"
"Oct 27, 2022",$0.009504,$0.01014,$0.009319,$0.009718,"$47,938","$14,467,815"
"Oct 26, 2022",$0.008717,$0.00955,$0.008689,$0.009504,"$96,127","$14,149,239"
"Oct 25, 2022",$0.008562,$0.008933,$0.008354,$0.008713,"$40,325","$12,971,498"
"Oct 24, 2022",$0.008671,$0.009064,$0.008449,$0.008562,"$56,829","$12,715,662"
"Oct 23, 2022",$0.008085,$0.008764,$0.008025,$0.00867,"$109,022","$12,876,067"
"Oct 22, 2022",$0.007662,$0.00827,$0.00764,$0.008085,"$67,390","$12,007,626"
"Oct 21, 2022",$0.007483,$0.007733,$0.007302,$0.007662,"$129,068","$11,379,691"
"Oct 20, 2022",$0.007424,$0.007636,$0.00739,$0.007483,"$118,129","$11,102,838"
"Oct 19, 2022",$0.007563,$0.007817,$0.00734,$0.007424,"$127,927","$11,014,949"
"Oct 18, 2022",$0.00745,$0.008282,$0.007067,$0.007563,"$170,335","$11,221,444"
"Oct 17, 2022",$0.007219,$0.007581,$0.007146,$0.00745,"$130,160","$11,054,191"
"Oct 16, 2022",$0.007314,$0.007445,$0.007131,$0.007219,"$120,108","$10,692,600"
"Oct 15, 2022",$0.00736,$0.007491,$0.007165,$0.007314,"$122,305","$10,833,397"
"Oct 14, 2022",$0.007327,$0.007557,$0.007145,$0.00736,"$136,490","$10,901,142"
"Oct 13, 2022",$0.007482,$0.0075,$0.007044,$0.007327,"$114,528","$10,840,719"
"Oct 12, 2022",$0.007389,$0.007615,$0.007282,$0.007482,"$132,477","$11,069,243"
"Oct 11, 2022",$0.00774,$0.007741,$0.007334,$0.007389,"$129,312","$10,919,252"
"Oct 10, 2022",$0.008054,$0.008098,$0.007182,$0.00774,"$178,981","$11,437,186"
"Oct 09, 2022",$0.008084,$0.00849,$0.008048,$0.008054,"$129,539","$11,902,065"
"Oct 08, 2022",$0.008341,$0.00846,$0.008043,$0.008085,"$134,275","$11,947,194"
"Oct 07, 2022",$0.008142,$0.008799,$0.007691,$0.008335,"$183,423","$12,316,651"
"Oct 06, 2022",$0.008764,$0.008844,$0.007849,$0.008141,"$173,971","$11,027,769"
"Oct 05, 2022",$0.008595,$0.009024,$0.008298,$0.008766,"$185,133","$11,874,200"
"Oct 04, 2022",$0.009169,$0.009606,$0.008545,$0.008597,"$128,284","$11,645,132"
"Oct 03, 2022",$0.009442,$0.009778,$0.009118,$0.00917,"$123,572","$12,420,784"
"Oct 02, 2022",$0.009658,$0.009845,$0.009125,$0.009444,"$113,826","$12,791,866"
"Oct 01, 2022",$0.009623,$0.009872,$0.009395,$0.009658,"$112,232","$13,081,973"
"Sep 30, 2022",$0.009444,$0.00998,$0.009253,$0.009624,"$132,835","$13,035,470"
"Sep 29, 2022",$0.00966,$0.00986,$0.009276,$0.009448,"$92,393","$12,797,089"
"Sep 28, 2022",$0.009222,$0.009983,$0.008862,$0.009647,"$139,816","$13,067,194"
"Sep 27, 2022",$0.009696,$0.009961,$0.009223,$0.009224,"$68,855","$12,494,660"
"Sep 26, 2022",$0.009888,$0.01001,$0.009267,$0.009696,"$101,210","$13,133,619"
"Sep 25, 2022",$0.01001,$0.01028,$0.00971,$0.00989,"$63,553","$13,395,516"
"Sep 24, 2022",$0.009248,$0.01014,$0.008981,$0.01001,"$152,589","$13,561,831"
"Sep 23, 2022",$0.009222,$0.01013,$0.009099,$0.009248,"$141,622","$12,526,586"
"Sep 22, 2022",$0.009463,$0.00961,$0.009156,$0.009222,"$58,955","$12,490,828"
"Sep 21, 2022",$0.009509,$0.01014,$0.009416,$0.009459,"$87,676","$12,811,954"
"Sep 20, 2022",$0.01007,$0.01012,$0.009445,$0.009513,"$58,266","$12,885,025"
"Sep 19, 2022",$0.009892,$0.01033,$0.009509,$0.01007,"$66,076","$13,639,441"
"Sep 18, 2022",$0.01011,$0.01083,$0.009684,$0.009887,"$75,338","$13,392,256"
"Sep 17, 2022",$0.009624,$0.01028,$0.009624,$0.01011,"$46,546","$13,695,625"
"Sep 16, 2022",$0.01024,$0.01031,$0.009592,$0.009625,"$75,134","$13,037,065"
"Sep 15, 2022",$0.009474,$0.01098,$0.009406,$0.01023,"$104,032","$13,853,321"
"Sep 14, 2022",$0.01018,$0.01062,$0.00947,$0.009475,"$97,048","$12,833,827"
"Sep 13, 2022",$0.01022,$0.01094,$0.01009,$0.01016,"$107,429","$13,760,783"
"Sep 12, 2022",$0.01029,$0.01095,$0.01006,$0.01022,"$99,479","$13,849,008"
"Sep 11, 2022",$0.01075,$0.01094,$0.01021,$0.01029,"$55,185","$13,932,741"
"Sep 10, 2022",$0.01054,$0.01108,$0.01016,$0.01075,"$70,505","$14,563,833"
"Sep 09, 2022",$0.01055,$0.01073,$0.01032,$0.01054,"$89,170","$14,282,407"
"Sep 08, 2022",$0.01075,$0.0108,$0.01025,$0.01055,"$91,828","$14,290,889"
"Sep 07, 2022",$0.009874,$0.01083,$0.009797,$0.01075,"$128,520","$14,555,510"
"Sep 06, 2022",$0.01061,$0.01079,$0.009874,$0.009875,"$109,755","$13,375,319"
"Sep 05, 2022",$0.01088,$0.01093,$0.01047,$0.01061,"$111,298","$14,367,292"
"Sep 04, 2022",$0.01073,$0.01118,$0.01054,$0.01088,"$130,335","$14,742,437"
"Sep 03, 2022",$0.01096,$0.011,$0.0106,$0.01073,"$121,211","$14,527,954"
"Sep 02, 2022",$0.01123,$0.01126,$0.01077,$0.01096,"$99,974","$14,844,812"
"Sep 01, 2022",$0.01116,$0.01125,$0.01064,$0.01123,"$91,545","$15,216,967"
"Aug 31, 2022",$0.01131,$0.01164,$0.0111,$0.01116,"$91,977","$15,113,070"
"Aug 30, 2022",$0.01105,$0.01199,$0.01047,$0.01131,"$179,184","$15,313,891"
"Aug 29, 2022",$0.01123,$0.01174,$0.01059,$0.01105,"$150,133","$14,968,118"
"Aug 28, 2022",$0.01091,$0.01143,$0.01083,$0.01124,"$77,986","$15,218,733"
"Aug 27, 2022",$0.01097,$0.01164,$0.01071,$0.01091,"$75,193","$14,773,490"
"Aug 26, 2022",$0.01165,$0.01169,$0.01095,$0.01097,"$31,498","$14,853,647"
"Aug 25, 2022",$0.01188,$0.01199,$0.01163,$0.01165,"$73,320","$15,779,534"
"Aug 24, 2022",$0.01213,$0.01214,$0.01181,$0.01188,"$81,591","$16,090,415"
"Aug 23, 2022",$0.01211,$0.01242,$0.01182,$0.01213,"$101,135","$16,436,479"
"Aug 22, 2022",$0.01244,$0.01248,$0.01175,$0.01212,"$95,249","$16,410,401"
"Aug 21, 2022",$0.01248,$0.01264,$0.01213,$0.01244,"$89,417","$16,847,441"
"Aug 20, 2022",$0.01211,$0.01317,$0.0121,$0.01248,"$110,560","$16,910,931"
"Aug 19, 2022",$0.01258,$0.01317,$0.01181,$0.01211,"$115,573","$16,396,752"
"Aug 18, 2022",$0.0135,$0.01454,$0.01253,$0.01258,"$134,409","$17,037,260"
"Aug 17, 2022",$0.01447,$0.01458,$0.01335,$0.0135,"$119,137","$18,286,322"
"Aug 16, 2022",$0.01453,$0.01467,$0.01421,$0.01447,"$110,138","$19,602,546"
"Aug 15, 2022",$0.01495,$0.01514,$0.01423,$0.01453,"$102,725","$19,681,417"
"Aug 14, 2022",$0.01494,$0.01581,$0.01491,$0.01495,"$134,844","$20,247,762"
"Aug 13, 2022",$0.01451,$0.01534,$0.01435,$0.01494,"$135,283","$20,238,465"
"Aug 12, 2022",$0.01484,$0.01491,$0.014,$0.01451,"$119,108","$19,650,513"
"Aug 11, 2022",$0.01412,$0.01559,$0.01411,$0.01484,"$153,141","$20,099,258"
"Aug 10, 2022",$0.0142,$0.01487,$0.01386,$0.01412,"$115,451","$19,125,487"
"Aug 09, 2022",$0.01536,$0.01537,$0.01391,$0.0142,"$88,634","$19,234,948"
"Aug 08, 2022",$0.01431,$0.01574,$0.01431,$0.01536,"$135,224","$20,806,116"
"Aug 07, 2022",$0.01488,$0.01511,$0.01431,$0.01431,"$133,202","$19,387,607"
"Aug 06, 2022",$0.01661,$0.01717,$0.01488,$0.01488,"$194,336","$20,160,908"
"Aug 05, 2022",$0.01272,$0.01896,$0.01199,$0.0166,"$508,762","$22,483,958"
"Aug 04, 2022",$0.01188,$0.01287,$0.01188,$0.01271,"$153,303","$17,222,144"
"Aug 03, 2022",$0.01224,$0.01284,$0.01151,$0.01188,"$160,125","$16,087,064"
"Aug 02, 2022",$0.01187,$0.01228,$0.01103,$0.01224,"$107,649","$16,579,508"
"Aug 01, 2022",$0.0118,$0.01204,$0.01147,$0.01187,"$134,621","$16,075,874"
