Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0003406,$0.00041,$0.0003405,$0.0003836,"$12,363","$6,201,483"
"Dec 30, 2022",$0.0003457,$0.000346,$0.0002587,$0.0003406,"$13,242","$5,506,549"
"Dec 29, 2022",$0.0003452,$0.0003778,$0.0003429,$0.0003461,"$13,303","$5,594,756"
"Dec 28, 2022",$0.0003492,$0.0003496,$0.0003446,$0.0003451,"$9,581","$5,579,873"
"Dec 27, 2022",$0.0003495,$0.0003502,$0.0003477,$0.0003492,"$3,322","$5,645,000"
"Dec 26, 2022",$0.0003306,$0.0003514,$0.0003286,$0.0003496,"$6,595","$5,651,157"
"Dec 25, 2022",$0.0003539,$0.0003591,$0.0003301,$0.0003306,"$10,767","$5,344,385"
"Dec 24, 2022",$0.0003534,$0.0003609,$0.0003529,$0.000354,"$12,764","$5,723,518"
"Dec 23, 2022",$0.0003617,$0.0003623,$0.0003528,$0.0003533,"$12,445","$5,711,257"
"Dec 22, 2022",$0.0003612,$0.0003623,$0.0003596,$0.0003618,"$12,706","$5,848,709"
"Dec 21, 2022",$0.0003614,$0.0003625,$0.0003544,$0.0003612,"$7,712","$5,839,974"
"Dec 20, 2022",$0.0003581,$0.0003654,$0.0003581,$0.0003615,"$5,178","$5,843,676"
"Dec 19, 2022",$0.0003336,$0.0003618,$0.0003331,$0.000358,"$12,638","$5,788,364"
"Dec 18, 2022",$0.0003614,$0.0003617,$0.0003276,$0.0003337,"$12,610","$5,394,178"
"Dec 17, 2022",$0.0003616,$0.0003621,$0.0003582,$0.0003615,"$12,598","$5,843,757"
"Dec 16, 2022",$0.0003393,$0.0003713,$0.0003392,$0.0003613,"$12,659","$5,841,522"
"Dec 15, 2022",$0.000362,$0.0003624,$0.0003382,$0.0003393,"$15,244","$5,485,863"
"Dec 14, 2022",$0.0003669,$0.0003777,$0.0003615,$0.0003621,"$12,858","$5,854,324"
"Dec 13, 2022",$0.0003593,$0.0003757,$0.0003591,$0.0003669,"$12,294","$5,931,787"
"Dec 12, 2022",$0.0003589,$0.0003649,$0.000355,$0.0003593,"$17,722","$5,808,647"
"Dec 11, 2022",$0.0003666,$0.0003672,$0.0003588,$0.0003595,"$31,376","$5,811,122"
"Dec 10, 2022",$0.0003668,$0.0003674,$0.0003664,$0.0003666,"$5,319","$5,926,654"
"Dec 09, 2022",$0.0003701,$0.0003706,$0.000366,$0.0003668,"$5,222","$5,930,176"
"Dec 08, 2022",$0.0003466,$0.0003704,$0.0003463,$0.0003704,"$16,208","$5,987,711"
"Dec 07, 2022",$0.0003708,$0.0003708,$0.0003464,$0.0003466,"$12,588","$5,603,869"
"Dec 06, 2022",$0.00037,$0.0003715,$0.0003673,$0.0003708,"$13,821","$5,994,396"
