Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00142,$0.001432,$0.001346,$0.001401,"$11,901","$13,481,160"
"Dec 30, 2022",$0.001386,$0.00143,$0.001386,$0.00142,"$11,893","$13,663,771"
"Dec 29, 2022",$0.001395,$0.001407,$0.001351,$0.001386,"$10,982","$13,342,460"
"Dec 28, 2022",$0.001419,$0.001423,$0.001387,$0.001396,"$12,537","$13,433,207"
"Dec 27, 2022",$0.001505,$0.001517,$0.001384,$0.001416,"$9,322","$13,631,743"
"Dec 26, 2022",$0.001259,$0.001639,$0.001256,$0.001505,"$10,106","$14,488,408"
"Dec 25, 2022",$0.001509,$0.001513,$0.00125,$0.001259,"$12,941","$12,121,003"
"Dec 24, 2022",$0.001488,$0.001524,$0.001482,$0.001512,"$11,451","$14,555,746"
"Dec 23, 2022",$0.001462,$0.001492,$0.001458,$0.001488,"$12,190","$14,320,729"
"Dec 22, 2022",$0.001511,$0.001516,$0.001388,$0.001462,"$12,012","$14,067,066"
"Dec 21, 2022",$0.001528,$0.001568,$0.001474,$0.001509,"$7,446","$14,527,136"
"Dec 20, 2022",$0.001593,$0.00163,$0.001481,$0.001528,"$4,277","$14,707,665"
"Dec 19, 2022",$0.001676,$0.001683,$0.001537,$0.001597,"$11,944","$15,374,241"
"Dec 18, 2022",$0.001589,$0.001688,$0.001585,$0.00168,"$13,075","$16,169,584"
"Dec 17, 2022",$0.001688,$0.001818,$0.001508,$0.001589,"$12,855","$15,294,625"
"Dec 16, 2022",$0.00164,$0.001817,$0.001625,$0.001688,"$12,764","$16,249,509"
"Dec 15, 2022",$0.001561,$0.001695,$0.001556,$0.00164,"$12,286","$15,781,384"
"Dec 14, 2022",$0.00158,$0.00195,$0.001503,$0.001561,"$15,889","$15,022,325"
"Dec 13, 2022",$0.001355,$0.001632,$0.001304,$0.00158,"$11,635","$15,208,691"
"Dec 12, 2022",$0.001379,$0.001478,$0.001339,$0.001348,"$10,908","$12,970,084"
"Dec 11, 2022",$0.001473,$0.001488,$0.00125,$0.001378,"$26,918","$13,261,378"
"Dec 10, 2022",$0.0015,$0.001529,$0.001443,$0.001473,"$4,739","$14,174,389"
"Dec 09, 2022",$0.001657,$0.001672,$0.0015,$0.0015,"$3,639","$14,438,286"
"Dec 08, 2022",$0.001516,$0.001799,$0.001503,$0.001656,"$12,582","$15,939,066"
"Dec 07, 2022",$0.001656,$0.001688,$0.001477,$0.001516,"$12,791","$14,589,577"
"Dec 06, 2022",$0.001783,$0.001862,$0.001556,$0.001656,"$11,827","$15,936,341"
"Dec 05, 2022",$0.001573,$0.0018,$0.001568,$0.001783,"$6,386","$17,164,195"
"Dec 04, 2022",$0.001547,$0.001601,$0.001522,$0.001573,"$3,776","$15,141,911"
"Dec 03, 2022",$0.00159,$0.001708,$0.0015,$0.001547,"$8,295","$14,893,633"
"Dec 02, 2022",$0.001741,$0.001769,$0.001443,$0.001592,"$5,770","$15,322,992"
"Dec 01, 2022",$0.001444,$0.001817,$0.001441,$0.001752,"$5,390","$16,863,712"
"Nov 30, 2022",$0.001427,$0.00149,$0.0013,$0.001444,"$6,651","$13,898,684"
"Nov 29, 2022",$0.001327,$0.001969,$0.001319,$0.001425,"$16,413","$13,716,896"
"Nov 28, 2022",$0.001272,$0.001381,$0.001269,$0.001327,"$11,059","$12,771,880"
"Nov 27, 2022",$0.001387,$0.001454,$0.001099,$0.001272,"$8,905","$12,240,044"
"Nov 26, 2022",$0.001267,$0.001458,$0.001261,$0.001387,"$10,787","$13,352,817"
"Nov 25, 2022",$0.001706,$0.001707,$0.001028,$0.001267,"$14,710","$12,193,544"
"Nov 24, 2022",$0.001895,$0.001982,$0.001676,$0.001703,"$14,980","$16,387,623"
"Nov 23, 2022",$0.002059,$0.002106,$0.00182,$0.001895,"$21,124","$18,241,951"
"Nov 22, 2022",$0.002033,$0.002212,$0.001889,$0.002069,"$32,344","$19,914,605"
"Nov 21, 2022",$0.002049,$0.002226,$0.001963,$0.00202,"$30,914","$19,445,909"
"Nov 20, 2022",$0.002168,$0.002275,$0.00198,$0.002068,"$31,687","$19,901,495"
"Nov 19, 2022",$0.002212,$0.002426,$0.002077,$0.002167,"$14,839","$20,859,760"
"Nov 18, 2022",$0.00228,$0.00255,$0.002106,$0.002212,"$20,591","$21,294,758"
"Nov 17, 2022",$0.002302,$0.002447,$0.002026,$0.002279,"$21,560","$21,939,522"
"Nov 16, 2022",$0.002474,$0.003305,$0.002266,$0.0023,"$26,067","$22,141,537"
"Nov 15, 2022",$0.002495,$0.002746,$0.001946,$0.002472,"$13,188","$23,790,512"
"Nov 14, 2022",$0.003194,$0.003201,$0.00193,$0.002495,"$20,079","$24,016,593"
"Nov 13, 2022",$0.003205,$0.003305,$0.003187,$0.003192,"$10,078","$30,726,006"
"Nov 12, 2022",$0.003521,$0.003533,$0.003193,$0.003205,"$6,031","$30,849,573"
"Nov 11, 2022",$0.00344,$0.003589,$0.003435,$0.003521,"$15,693","$33,887,035"
"Nov 10, 2022",$0.003595,$0.003595,$0.003326,$0.003438,"$49,377","$33,093,833"
"Nov 09, 2022",$0.003201,$0.003745,$0.0032,$0.003595,"$197,387","$34,600,464"
