Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.004456,$0.004711,$0.004439,$0.004678,$760,"$1,213,245"
"Dec 30, 2022",$0.004883,$0.004888,$0.004403,$0.004452,"$19,133","$1,154,695"
"Dec 29, 2022",$0.004857,$0.00491,$0.004843,$0.004883,$166,"$1,266,490"
"Dec 28, 2022",$0.005001,$0.005014,$0.004831,$0.004857,"$1,977","$1,259,718"
"Dec 27, 2022",$0.005042,$0.005063,$0.004991,$0.005001,$205,"$1,296,944"
"Dec 26, 2022",$0.004848,$0.005047,$0.004845,$0.005043,$242,"$1,307,825"
"Dec 25, 2022",$0.004891,$0.004896,$0.004834,$0.004848,$98,"$1,257,196"
"Dec 24, 2022",$0.005016,$0.005041,$0.004884,$0.004891,$99,"$1,268,426"
"Dec 23, 2022",$0.004868,$0.005026,$0.00486,$0.005016,$240,"$1,300,781"
"Dec 22, 2022",$0.004998,$0.005048,$0.004865,$0.004868,$99,"$1,262,443"
"Dec 21, 2022",$0.005053,$0.005058,$0.004538,$0.004996,$362,"$1,295,598"
"Dec 20, 2022",$0.004838,$0.005084,$0.004826,$0.005053,$221,"$1,310,408"
"Dec 19, 2022",$0.004906,$0.004951,$0.004783,$0.004838,$412,"$1,254,616"
"Dec 18, 2022",$0.00492,$0.004954,$0.004862,$0.004906,$198,"$1,272,312"
"Dec 17, 2022",$0.00481,$0.005014,$0.004794,$0.00492,$268,"$1,276,042"
"Dec 16, 2022",$0.005242,$0.005302,$0.004774,$0.00481,$489,"$1,247,423"
"Dec 15, 2022",$0.005541,$0.005551,$0.005215,$0.005242,"$2,627","$1,359,399"
"Dec 14, 2022",$0.00565,$0.005681,$0.005518,$0.005536,"$1,730","$1,435,868"
"Dec 13, 2022",$0.005421,$0.00574,$0.00533,$0.005648,"$6,124","$1,464,754"
"Dec 12, 2022",$0.005563,$0.005568,$0.005275,$0.00542,"$2,090","$1,405,719"
"Dec 11, 2022",$0.005462,$0.005595,$0.005452,$0.005563,$219,"$1,442,810"
"Dec 10, 2022",$0.004299,$0.00549,$0.004295,$0.005462,$685,"$1,416,505"
"Dec 09, 2022",$0.005115,$0.005115,$0.004294,$0.004299,$308,"$1,114,814"
"Dec 08, 2022",$0.005324,$0.005402,$0.005002,$0.005115,$238,"$1,326,488"
"Dec 07, 2022",$0.005565,$0.005576,$0.005277,$0.005324,"$1,360","$1,380,771"
"Dec 06, 2022",$0.006034,$0.00608,$0.005404,$0.005563,"$15,643","$1,442,727"
"Dec 05, 2022",$0.00618,$0.00626,$0.005981,$0.006034,"$4,178","$1,564,808"
"Dec 04, 2022",$0.006003,$0.006185,$0.005995,$0.006184,$782,"$1,603,734"
"Dec 03, 2022",$0.006289,$0.006322,$0.005986,$0.005997,"$1,677","$1,555,396"
"Dec 02, 2022",$0.006594,$0.006813,$0.006226,$0.006296,"$30,672","$1,632,755"
"Dec 01, 2022",$0.006215,$0.007793,$0.00592,$0.006589,"$121,404","$1,708,732"
"Nov 30, 2022",$0.004591,$0.006476,$0.003877,$0.006215,"$90,534","$1,611,813"
"Nov 29, 2022",$0.004338,$0.004601,$0.004312,$0.004591,$136,"$1,190,637"
"Nov 28, 2022",$0.004454,$0.004475,$0.003776,$0.004339,"$1,056","$1,125,439"
"Nov 27, 2022",$0.004537,$0.004571,$0.00445,$0.004454,$367,"$1,155,186"
"Nov 26, 2022",$0.004487,$0.004623,$0.004482,$0.004539,$256,"$1,177,303"
"Nov 25, 2022",$0.004491,$0.004501,$0.00435,$0.004488,$699,"$1,163,892"
"Nov 24, 2022",$0.004439,$0.004547,$0.004422,$0.004491,$688,"$1,164,703"
"Nov 23, 2022",$0.0042,$0.004448,$0.00415,$0.004438,$955,"$1,151,040"
"Nov 22, 2022",$0.004109,$0.004231,$0.004022,$0.004201,$353,"$1,089,394"
"Nov 21, 2022",$0.004242,$0.004267,$0.004014,$0.004109,$574,"$1,065,545"
"Nov 20, 2022",$0.004543,$0.004566,$0.00422,$0.004243,$633,"$1,100,529"
"Nov 19, 2022",$0.004536,$0.004589,$0.003786,$0.004543,$219,"$1,178,203"
"Nov 18, 2022",$0.004534,$0.004648,$0.003663,$0.00454,"$1,326","$1,177,339"
"Nov 17, 2022",$0.004739,$0.004805,$0.004527,$0.004533,"$7,863","$1,175,576"
"Nov 16, 2022",$0.004809,$0.004836,$0.004127,$0.004742,"$44,699","$1,229,894"
"Nov 15, 2022",$0.004363,$0.006992,$0.004351,$0.004808,"$168,238","$1,246,942"
"Nov 14, 2022",$0.00434,$0.004538,$0.0042,$0.004363,"$2,997","$1,131,535"
"Nov 13, 2022",$0.004166,$0.004395,$0.004038,$0.004339,"$38,080","$1,125,360"
"Nov 12, 2022",$0.004292,$0.0043,$0.004145,$0.004163,$938,"$1,079,601"
"Nov 11, 2022",$0.00431,$0.004336,$0.004013,$0.004293,$348,"$1,113,311"
"Nov 10, 2022",$0.00366,$0.004462,$0.003636,$0.004314,$692,"$1,118,865"
"Nov 09, 2022",$0.004423,$0.004433,$0.00358,$0.003669,$988,"$951,579"
"Nov 08, 2022",$0.005243,$0.005272,$0.004135,$0.004421,"$4,071","$1,146,564"
"Nov 07, 2022",$0.005225,$0.005363,$0.005149,$0.005243,$329,"$1,359,672"
"Nov 06, 2022",$0.005388,$0.005445,$0.00522,$0.005227,"$1,298","$1,355,610"
"Nov 05, 2022",$0.005434,$0.005496,$0.005357,$0.005388,$999,"$1,397,497"
"Nov 04, 2022",$0.00522,$0.005537,$0.005102,$0.005438,$896,"$1,410,421"
"Nov 03, 2022",$0.005008,$0.005228,$0.004854,$0.005218,$108,"$1,353,152"
"Nov 02, 2022",$0.005098,$0.005329,$0.004961,$0.005011,$382,"$1,299,519"
"Nov 01, 2022",$0.005005,$0.005148,$0.004999,$0.005098,$148,"$1,322,035"
"Oct 31, 2022",$0.005271,$0.005282,$0.004988,$0.005006,$177,"$1,298,180"
"Oct 30, 2022",$0.005337,$0.00539,$0.005164,$0.005271,$158,"$1,367,117"
"Oct 29, 2022",$0.00514,$0.005458,$0.005122,$0.005337,$416,"$1,384,121"
"Oct 28, 2022",$0.00501,$0.005196,$0.004939,$0.00514,$689,"$1,333,019"
"Oct 27, 2022",$0.00514,$0.00518,$0.004999,$0.00501,$645,"$1,299,350"
"Oct 26, 2022",$0.004782,$0.005229,$0.004779,$0.00514,"$1,028","$1,333,141"
"Oct 25, 2022",$0.004387,$0.00489,$0.004361,$0.004787,$392,"$1,241,579"
"Oct 24, 2022",$0.004465,$0.004482,$0.004371,$0.004387,$81,"$1,137,716"
"Oct 23, 2022",$0.004332,$0.00447,$0.004309,$0.004467,$218,"$1,158,470"
"Oct 22, 2022",$0.004287,$0.004379,$0.004272,$0.004332,$231,"$1,123,375"
"Oct 21, 2022",$0.004303,$0.004308,$0.004157,$0.004287,"$1,345","$1,111,788"
"Oct 20, 2022",$0.004319,$0.004386,$0.004283,$0.004303,$80,"$1,115,978"
"Oct 19, 2022",$0.004411,$0.004447,$0.004313,$0.004321,"$1,946","$1,120,680"
"Oct 18, 2022",$0.004417,$0.004515,$0.0044,$0.004411,$82,"$1,144,073"
"Oct 17, 2022",$0.00438,$0.004455,$0.00436,$0.004417,$254,"$1,145,597"
"Oct 16, 2022",$0.004339,$0.004397,$0.004337,$0.00438,$122,"$1,135,915"
"Oct 15, 2022",$0.004322,$0.004387,$0.00431,$0.00434,$81,"$1,125,462"
"Oct 14, 2022",$0.004457,$0.004636,$0.004317,$0.004322,$80,"$1,120,776"
"Oct 13, 2022",$0.004415,$0.004474,$0.004212,$0.004457,$797,"$1,155,826"
"Oct 12, 2022",$0.004485,$0.004487,$0.004409,$0.004415,$98,"$1,144,990"
"Oct 11, 2022",$0.004621,$0.00468,$0.004479,$0.004486,$82,"$1,163,310"
"Oct 10, 2022",$0.004502,$0.004669,$0.0045,$0.004621,$188,"$1,198,404"
"Oct 09, 2022",$0.004449,$0.004509,$0.004439,$0.004502,$315,"$1,167,595"
"Oct 08, 2022",$0.004523,$0.004535,$0.004446,$0.004447,$83,"$1,153,303"
"Oct 07, 2022",$0.004551,$0.004643,$0.004498,$0.004522,$649,"$1,172,891"
"Oct 06, 2022",$0.00458,$0.004639,$0.004544,$0.004551,$121,"$1,180,414"
"Oct 05, 2022",$0.004651,$0.004653,$0.004482,$0.004578,$310,"$1,187,287"
"Oct 04, 2022",$0.004471,$0.004658,$0.004463,$0.004652,$651,"$1,206,506"
"Oct 03, 2022",$0.004412,$0.004474,$0.004379,$0.004471,$175,"$1,159,488"
"Oct 02, 2022",$0.004425,$0.004513,$0.004367,$0.004411,$105,"$1,144,109"
"Oct 01, 2022",$0.004456,$0.004472,$0.004344,$0.004424,$206,"$1,147,400"
"Sep 30, 2022",$0.004519,$0.004613,$0.004453,$0.004457,$648,"$1,155,952"
"Sep 29, 2022",$0.00449,$0.00453,$0.004348,$0.00452,"$1,367","$1,172,159"
"Sep 28, 2022",$0.004402,$0.004533,$0.00421,$0.004491,"$2,169","$1,164,832"
"Sep 27, 2022",$0.004358,$0.00462,$0.004336,$0.004402,$876,"$1,141,731"
"Sep 26, 2022",$0.00432,$0.004373,$0.004283,$0.004358,$122,"$1,130,308"
"Sep 25, 2022",$0.004376,$0.004439,$0.00431,$0.004321,$165,"$1,120,552"
"Sep 24, 2022",$0.004357,$0.00445,$0.004346,$0.004376,$260,"$1,135,027"
"Sep 23, 2022",$0.004352,$0.004387,$0.004259,$0.004357,$218,"$1,129,978"
