Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3979,$0.3999,$0.3929,$0.3959,"$8,215","$9,248,387"
"Dec 30, 2022",$0.3989,$0.4059,$0.3909,$0.3979,"$6,891","$9,294,957"
"Dec 29, 2022",$0.3979,$0.4069,$0.3899,$0.3989,"$127,991","$9,319,021"
"Dec 28, 2022",$0.3969,$0.4119,$0.3969,$0.3979,"$6,478","$9,295,205"
"Dec 27, 2022",$0.401,$0.404,$0.3969,$0.3969,"$10,838","$9,273,379"
"Dec 26, 2022",$0.406,$0.406,$0.399,$0.401,"$4,287","$9,368,168"
"Dec 25, 2022",$0.399,$0.411,$0.398,$0.406,"$7,113","$9,484,482"
"Dec 24, 2022",$0.4,$0.403,$0.398,$0.399,"$5,189","$9,321,420"
"Dec 23, 2022",$0.401,$0.408,$0.4,$0.4,"$11,187","$9,344,672"
"Dec 22, 2022",$0.406,$0.41,$0.401,$0.401,"$7,828","$9,368,321"
"Dec 21, 2022",$0.409,$0.4091,$0.401,$0.406,"$6,333","$9,485,755"
"Dec 20, 2022",$0.409,$0.4121,$0.405,$0.409,"$4,103","$9,556,190"
"Dec 19, 2022",$0.4081,$0.4171,$0.405,$0.409,"$6,114","$9,555,874"
"Dec 18, 2022",$0.4081,$0.4151,$0.405,$0.4081,"$6,593","$9,533,228"
"Dec 17, 2022",$0.4071,$0.4171,$0.4,$0.4081,"$9,241","$9,533,282"
"Dec 16, 2022",$0.413,$0.427,$0.4,$0.4071,"$11,026","$9,509,877"
"Dec 15, 2022",$0.41,$0.4231,$0.401,$0.413,"$20,815","$9,649,313"
"Dec 14, 2022",$0.415,$0.421,$0.406,$0.41,"$10,293","$9,579,484"
"Dec 13, 2022",$0.409,$0.432,$0.4061,$0.415,"$12,177","$9,695,452"
"Dec 12, 2022",$0.413,$0.427,$0.409,$0.409,"$7,046","$9,556,134"
"Dec 11, 2022",$0.407,$0.421,$0.407,$0.413,"$10,821","$9,649,313"
"Dec 10, 2022",$0.408,$0.428,$0.4,$0.407,"$14,071","$9,508,830"
"Dec 09, 2022",$0.403,$0.4271,$0.403,$0.408,"$12,396","$9,532,290"
"Dec 08, 2022",$0.408,$0.417,$0.403,$0.4031,"$8,059","$9,416,136"
"Dec 07, 2022",$0.421,$0.421,$0.404,$0.408,"$11,482","$9,531,772"
"Dec 06, 2022",$0.413,$0.426,$0.407,$0.421,"$35,382","$9,836,214"
"Dec 05, 2022",$0.4211,$0.4281,$0.4021,$0.413,"$24,235","$9,649,085"
"Dec 04, 2022",$0.418,$0.432,$0.4161,$0.4211,"$8,321","$9,836,639"
"Dec 03, 2022",$0.428,$0.431,$0.404,$0.418,"$19,038","$9,765,964"
"Dec 02, 2022",$0.416,$0.431,$0.416,$0.428,"$7,564","$9,999,638"
"Dec 01, 2022",$0.416,$0.428,$0.406,$0.416,"$21,692","$9,719,079"
"Nov 30, 2022",$0.4109,$0.427,$0.4079,$0.416,"$27,577","$9,718,797"
"Nov 29, 2022",$0.4249,$0.4249,$0.3999,$0.4109,"$29,848","$9,599,379"
"Nov 28, 2022",$0.4368,$0.4398,$0.3999,$0.4249,"$67,254","$9,925,551"
"Nov 27, 2022",$0.4368,$0.4408,$0.4318,$0.4368,"$17,761","$10,205,205"
"Nov 26, 2022",$0.4368,$0.4468,$0.4208,$0.4368,"$23,823","$10,204,902"
"Nov 25, 2022",$0.4477,$0.4508,$0.4308,$0.4368,"$24,185","$10,204,938"
"Nov 24, 2022",$0.4616,$0.4626,$0.4457,$0.4477,"$15,766","$10,460,177"
"Nov 23, 2022",$0.4436,$0.4885,$0.4366,$0.4616,"$34,644","$10,784,609"
"Nov 22, 2022",$0.4496,$0.4676,$0.4286,$0.4436,"$44,947","$10,364,043"
"Nov 21, 2022",$0.4875,$0.4875,$0.4296,$0.4496,"$53,550","$10,503,387"
"Nov 20, 2022",$0.4985,$0.5135,$0.4806,$0.4875,"$38,747","$11,389,111"
