Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001624,$0.00178,$0.001624,$0.00178,"$70,261","$5,957,728"
"Dec 30, 2022",$0.001229,$0.001749,$0.001229,$0.001624,"$74,530","$5,438,550"
"Dec 29, 2022",$0.001144,$0.001373,$0.001144,$0.001229,"$46,755","$4,114,200"
"Dec 28, 2022",$0.001067,$0.001144,$0.0009995,$0.001144,"$90,521","$3,829,511"
"Dec 27, 2022",$0.001034,$0.001071,$0.001029,$0.001067,"$90,168","$3,571,050"
"Dec 26, 2022",$0.0009937,$0.00105,$0.0009899,$0.001034,"$91,802","$3,461,755"
"Dec 25, 2022",$0.001001,$0.001008,$0.00099,$0.0009937,"$70,633","$3,326,994"
"Dec 24, 2022",$0.0009949,$0.001009,$0.0009887,$0.001001,"$91,383","$3,350,930"
"Dec 23, 2022",$0.001043,$0.001045,$0.0009949,$0.0009949,"$99,072","$3,330,802"
"Dec 22, 2022",$0.001044,$0.001049,$0.001029,$0.001043,"$63,711","$3,491,192"
"Dec 21, 2022",$0.001044,$0.001045,$0.001033,$0.001044,"$65,422","$3,495,971"
"Dec 20, 2022",$0.001044,$0.001045,$0.001043,$0.001044,"$89,481","$3,495,009"
"Dec 19, 2022",$0.001002,$0.00105,$0.0009949,$0.001044,"$85,218","$3,495,953"
"Dec 18, 2022",$0.0009896,$0.00101,$0.0009802,$0.001002,"$86,186","$3,354,858"
"Dec 17, 2022",$0.001007,$0.001008,$0.0009511,$0.0009897,"$89,207","$3,313,321"
"Dec 16, 2022",$0.001007,$0.001015,$0.001004,$0.001007,"$77,279","$3,372,723"
"Dec 15, 2022",$0.0009997,$0.001008,$0.0009828,$0.001007,"$100,715","$3,369,987"
"Dec 14, 2022",$0.001015,$0.001056,$0.0009513,$0.0009997,"$83,734","$3,346,810"
"Dec 13, 2022",$0.0009978,$0.001016,$0.0007927,$0.001015,"$66,523","$3,399,085"
"Dec 12, 2022",$0.00096,$0.001001,$0.0009,$0.0009978,"$88,044","$3,340,553"
"Dec 11, 2022",$0.000933,$0.0009651,$0.0009165,$0.00096,"$86,304","$3,214,108"
"Dec 10, 2022",$0.0008724,$0.0009333,$0.0007044,$0.000933,"$86,855","$3,123,785"
"Dec 09, 2022",$0.0007615,$0.0008978,$0.0007449,$0.0008723,"$78,712","$2,920,575"
"Dec 08, 2022",$0.000987,$0.0009995,$0.000758,$0.0007615,"$94,693","$2,549,324"
"Dec 07, 2022",$0.0009017,$0.0009896,$0.0007426,$0.000987,"$82,357","$3,304,419"
"Dec 06, 2022",$0.0009255,$0.0009259,$0.0008745,$0.0009017,"$85,242","$3,018,899"
"Dec 05, 2022",$0.0009083,$0.001006,$0.0008814,$0.0009255,"$90,226","$3,098,559"
"Dec 04, 2022",$0.0008486,$0.0009087,$0.0008453,$0.0009083,"$70,972","$3,041,051"
"Dec 03, 2022",$0.0008526,$0.0008548,$0.0008345,$0.0008486,"$106,204","$2,840,901"
"Dec 02, 2022",$0.0007442,$0.0008538,$0.0007417,$0.0008527,"$86,126","$2,854,640"
"Dec 01, 2022",$0.0008526,$0.0008539,$0.0007424,$0.0007442,"$95,155","$2,491,634"
"Nov 30, 2022",$0.0007097,$0.0008536,$0.0007027,$0.0008526,"$89,748","$2,854,499"
"Nov 29, 2022",$0.0007083,$0.0007267,$0.0007032,$0.0007097,"$83,758","$2,376,066"
"Nov 28, 2022",$0.0007981,$0.0007981,$0.0007034,$0.0007083,"$83,571","$2,371,405"
"Nov 27, 2022",$0.0009268,$0.0009491,$0.0007748,$0.0007981,"$91,158","$2,672,081"
"Nov 26, 2022",$0.0008543,$0.000937,$0.0007125,$0.0009268,"$86,551","$3,102,988"
"Nov 25, 2022",$0.001008,$0.00102,$0.000838,$0.0008544,"$88,612","$2,860,378"
"Nov 24, 2022",$0.0009876,$0.001048,$0.0006754,$0.001008,"$83,510","$3,374,458"
"Nov 23, 2022",$0.0009103,$0.0009878,$0.0008807,$0.0009035,"$67,201","$3,024,770"
"Nov 22, 2022",$0.0008838,$0.0009595,$0.0008292,$0.0009103,"$59,507","$3,047,739"
"Nov 21, 2022",$0.000924,$0.0009697,$0.0008835,$0.0008838,"$81,043","$2,958,893"
"Nov 20, 2022",$0.0009931,$0.000994,$0.0009022,$0.0009618,"$69,343","$3,220,116"
"Nov 19, 2022",$0.00116,$0.00116,$0.0009196,$0.0009931,"$104,286","$3,324,867"
"Nov 18, 2022",$0.0009918,$0.00116,$0.00099,$0.001012,"$86,892","$3,388,293"
"Nov 17, 2022",$0.000989,$0.000995,$0.000989,$0.0009918,"$65,580","$3,320,501"
"Nov 16, 2022",$0.001005,$0.00102,$0.0009755,$0.000989,"$90,565","$3,311,070"
"Nov 15, 2022",$0.001012,$0.001051,$0.0009865,$0.0009969,"$91,566","$3,337,660"
"Nov 14, 2022",$0.0009886,$0.001036,$0.0009072,$0.001036,"$89,557","$3,469,060"
"Nov 13, 2022",$0.001,$0.00101,$0.0009492,$0.0009884,"$89,582","$3,308,997"
"Nov 12, 2022",$0.0009899,$0.001026,$0.0009685,$0.001,"$89,440","$3,347,989"
"Nov 11, 2022",$0.001019,$0.001025,$0.0009373,$0.001012,"$82,398","$3,389,767"
"Nov 10, 2022",$0.001097,$0.001118,$0.0009877,$0.001002,"$67,369","$3,354,057"
"Nov 09, 2022",$0.001122,$0.001129,$0.00106,$0.001097,"$82,887","$3,673,945"
"Nov 08, 2022",$0.001202,$0.001206,$0.001071,$0.001106,"$100,893","$3,702,196"
"Nov 07, 2022",$0.001257,$0.001297,$0.001106,$0.001202,"$100,106","$4,025,777"
"Nov 06, 2022",$0.001256,$0.001302,$0.001236,$0.001297,"$94,052","$4,343,065"
"Nov 05, 2022",$0.001256,$0.001304,$0.001217,$0.001256,"$94,056","$4,206,184"
"Nov 04, 2022",$0.001247,$0.001323,$0.001241,$0.001278,"$77,346","$4,277,032"
"Nov 03, 2022",$0.001251,$0.001303,$0.001207,$0.001263,"$100,019","$4,229,794"
"Nov 02, 2022",$0.001248,$0.001332,$0.00121,$0.001251,"$93,889","$4,188,260"
"Nov 01, 2022",$0.001328,$0.001338,$0.001193,$0.001248,"$97,056","$4,178,917"
"Oct 31, 2022",$0.001309,$0.001354,$0.00128,$0.001309,"$83,434","$4,381,617"
