Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002799,$0.004789,$0.002799,$0.004788,$0,"$1,077,367"
"Dec 30, 2022",$0.002799,$0.002799,$0.002799,$0.002799,"$3,862","$629,785"
"Dec 29, 2022",$0.003562,$0.003562,$0.002799,$0.002799,"$6,738","$629,833"
"Dec 28, 2022",$0.0028,$0.003563,$0.002799,$0.003562,"$7,576","$801,413"
"Dec 27, 2022",$0.0028,$0.0028,$0.0028,$0.0028,"$7,732","$629,906"
"Dec 26, 2022",$0.002863,$0.002863,$0.0028,$0.0028,"$6,618","$629,997"
"Dec 25, 2022",$0.002804,$0.002868,$0.002798,$0.002863,"$5,095","$644,102"
"Dec 24, 2022",$0.002564,$0.002833,$0.00256,$0.002817,"$4,616","$633,717"
"Dec 23, 2022",$0.002631,$0.002783,$0.002514,$0.002564,"$10,178","$576,925"
"Dec 22, 2022",$0.002612,$0.002765,$0.002521,$0.002631,"$4,233","$592,037"
"Dec 21, 2022",$0.002624,$0.002782,$0.002524,$0.002618,"$4,112","$589,121"
"Dec 20, 2022",$0.002471,$0.002776,$0.002429,$0.002574,"$8,054","$579,137"
"Dec 19, 2022",$0.0026,$0.002748,$0.002447,$0.002614,"$8,785","$588,246"
"Dec 18, 2022",$0.003,$0.003,$0.002399,$0.002506,"$2,520","$563,848"
"Dec 17, 2022",$0.0028,$0.003001,$0.0028,$0.003,$28,"$675,109"
"Dec 16, 2022",$0.0025,$0.0029,$0.0024,$0.0028,"$1,229","$630,096"
"Dec 15, 2022",$0.0023,$0.0026,$0.0023,$0.0025,"$1,103","$562,559"
"Dec 14, 2022",$0.0023,$0.0024,$0.0023,$0.0023,"$1,516","$517,555"
"Dec 13, 2022",$0.0022,$0.0023,$0.0022,$0.0023,"$1,654","$517,509"
"Dec 12, 2022",$0.0023,$0.0024,$0.0022,$0.0022,"$1,423","$495,053"
"Dec 11, 2022",$0.0023,$0.0024,$0.0022,$0.0023,$877,"$517,541"
"Dec 10, 2022",$0.0023,$0.0024,$0.0022,$0.0023,$902,"$517,524"
"Dec 09, 2022",$0.0024,$0.0024,$0.0022,$0.0023,"$1,798","$517,530"
"Dec 08, 2022",$0.002505,$0.002664,$0.0022,$0.0024,"$1,548","$540,069"
"Dec 07, 2022",$0.001918,$0.002507,$0.001651,$0.002505,$586,"$563,621"
"Dec 06, 2022",$0.002399,$0.002429,$0.001409,$0.001918,$635,"$431,486"
"Dec 05, 2022",$0.001803,$0.002446,$0.001801,$0.002398,"$5,602","$539,616"
"Dec 04, 2022",$0.002824,$0.002878,$0.001801,$0.001803,$828,"$405,605"
"Dec 03, 2022",$0.002607,$0.00283,$0.002598,$0.002824,"$1,890","$635,333"
"Dec 02, 2022",$0.002678,$0.002695,$0.002521,$0.002601,"$2,069","$585,193"
"Dec 01, 2022",$0.0023,$0.0027,$0.0023,$0.002678,"$3,417","$602,648"
"Nov 30, 2022",$0.001862,$0.004089,$0.001861,$0.0023,$9,"$517,508"
"Nov 29, 2022",$0.002281,$0.002644,$0.001851,$0.001862,"$1,660","$418,941"
"Nov 28, 2022",$0.002392,$0.002642,$0.002247,$0.002293,"$2,773","$516,008"
"Nov 27, 2022",$0.002301,$0.002474,$0.002301,$0.002392,"$2,539","$538,307"
"Nov 26, 2022",$0.00147,$0.002466,$0.00147,$0.002301,"$5,680","$517,757"
"Nov 25, 2022",$0.002612,$0.002625,$0.001464,$0.00147,"$2,382","$330,858"
"Nov 24, 2022",$0.002409,$0.002636,$0.002336,$0.002613,"$4,557","$587,845"
"Nov 23, 2022",$0.002341,$0.002436,$0.002326,$0.002415,"$7,001","$543,397"
"Nov 22, 2022",$0.002373,$0.002797,$0.002153,$0.002335,"$4,151","$525,440"
"Nov 21, 2022",$0.004123,$0.004123,$0.002348,$0.002373,$513,"$533,826"
"Nov 20, 2022",$0.004569,$0.004579,$0.001099,$0.004123,$0,"$927,736"
"Nov 19, 2022",$0.001938,$0.0048,$0.001914,$0.004569,$29,"$1,027,945"
"Nov 18, 2022",$0.00115,$0.002708,$0.00115,$0.001938,$329,"$436,118"
"Nov 17, 2022",$0.002598,$0.002599,$0.00115,$0.00115,$326,"$258,767"
"Nov 16, 2022",$0.002498,$0.002598,$0.001998,$0.002598,"$2,270","$584,549"
"Nov 15, 2022",$0.002498,$0.002498,$0.002497,$0.002498,"$2,322","$562,010"
"Nov 14, 2022",$0.002697,$0.002797,$0.002496,$0.002498,"$4,879","$561,945"
"Nov 13, 2022",$0.002497,$0.002797,$0.002496,$0.002697,"$3,556","$606,743"
"Nov 12, 2022",$0.002595,$0.002796,$0.002396,$0.002497,"$4,424","$561,721"
"Nov 11, 2022",$0.002594,$0.002896,$0.002492,$0.002496,"$4,850","$561,498"
"Nov 10, 2022",$0.002431,$0.00274,$0.002423,$0.002594,$638,"$583,733"
