Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1319,$0.1459,$0.1314,$0.1342,"$6,274,422","$72,154,841"
"Dec 30, 2022",$0.1346,$0.135,$0.1297,$0.1319,"$5,660,817","$70,967,739"
"Dec 29, 2022",$0.1373,$0.1375,$0.1328,$0.1344,"$7,239,499","$72,276,341"
"Dec 28, 2022",$0.1477,$0.148,$0.1364,$0.1374,"$8,969,329","$73,879,652"
"Dec 27, 2022",$0.1529,$0.1534,$0.1467,$0.1477,"$7,605,403","$79,452,376"
"Dec 26, 2022",$0.1573,$0.1574,$0.1507,$0.1529,"$8,681,509","$82,242,265"
"Dec 25, 2022",$0.1608,$0.1614,$0.1543,$0.1573,"$5,982,075","$84,625,126"
"Dec 24, 2022",$0.1608,$0.162,$0.1591,$0.161,"$5,504,709","$86,612,636"
"Dec 23, 2022",$0.1607,$0.1622,$0.1594,$0.1615,"$5,470,595","$86,876,105"
"Dec 22, 2022",$0.1624,$0.1633,$0.1558,$0.1607,"$7,954,387","$86,442,351"
"Dec 21, 2022",$0.1636,$0.167,$0.1613,$0.1624,"$9,691,200","$87,358,718"
"Dec 20, 2022",$0.1561,$0.1656,$0.1547,$0.1636,"$11,921,675","$87,992,851"
"Dec 19, 2022",$0.1697,$0.1699,$0.1543,$0.1551,"$13,692,774","$83,428,004"
"Dec 18, 2022",$0.1711,$0.1725,$0.1671,$0.1696,"$5,791,228","$91,219,504"
"Dec 17, 2022",$0.1748,$0.1765,$0.1629,$0.1711,"$11,742,216","$92,002,933"
"Dec 16, 2022",$0.1984,$0.2004,$0.1718,$0.1748,"$10,464,265","$93,995,953"
"Dec 15, 2022",$0.2058,$0.2067,$0.1977,$0.1984,"$5,749,733","$106,702,889"
"Dec 14, 2022",$0.2112,$0.2112,$0.2024,$0.2058,"$9,842,798","$110,700,666"
"Dec 13, 2022",$0.2176,$0.2178,$0.2018,$0.2112,"$20,474,000","$113,615,195"
"Dec 12, 2022",$0.2338,$0.2358,$0.2119,$0.2176,"$43,085,774","$117,050,649"
"Dec 11, 2022",$0.2067,$0.2557,$0.2067,$0.2338,"$84,257,413","$125,773,492"
"Dec 10, 2022",$0.2021,$0.2897,$0.2021,$0.2067,"$31,908,481","$111,201,247"
"Dec 09, 2022",$0.2028,$0.2065,$0.201,$0.2021,"$4,853,080","$98,670,867"
"Dec 08, 2022",$0.1998,$0.2029,$0.1974,$0.2026,"$4,584,496","$98,894,442"
"Dec 07, 2022",$0.2073,$0.2103,$0.196,$0.1997,"$8,860,119","$97,514,976"
"Dec 06, 2022",$0.2065,$0.212,$0.2052,$0.2073,"$5,198,902","$101,206,530"
"Dec 05, 2022",$0.2057,$0.2135,$0.2048,$0.2065,"$7,383,222","$100,795,486"
"Dec 04, 2022",$0.2044,$0.2067,$0.2031,$0.2057,"$3,625,420","$100,433,064"
"Dec 03, 2022",$0.21,$0.2137,$0.2037,$0.2044,"$7,242,812","$99,794,049"
"Dec 02, 2022",$0.2057,$0.2112,$0.2031,$0.2098,"$5,581,479","$102,437,982"
"Dec 01, 2022",$0.2086,$0.2161,$0.2036,$0.2057,"$9,808,341","$100,426,823"
"Nov 30, 2022",$0.1985,$0.2098,$0.1982,$0.2087,"$9,433,250","$101,883,432"
"Nov 29, 2022",$0.1969,$0.201,$0.1954,$0.1984,"$3,413,116","$96,877,694"
"Nov 28, 2022",$0.2055,$0.2059,$0.1933,$0.1969,"$5,926,919","$96,140,012"
"Nov 27, 2022",$0.2049,$0.2088,$0.2045,$0.2055,"$4,403,810","$100,318,734"
"Nov 26, 2022",$0.205,$0.2164,$0.2037,$0.2048,"$7,292,601","$100,005,762"
"Nov 25, 2022",$0.2101,$0.2113,$0.2,$0.205,"$5,519,263","$100,109,845"
"Nov 24, 2022",$0.2168,$0.2174,$0.2025,$0.2101,"$10,866,249","$102,581,188"
"Nov 23, 2022",$0.2022,$0.2383,$0.2019,$0.2167,"$21,653,389","$105,806,412"
"Nov 22, 2022",$0.1869,$0.2025,$0.1835,$0.2022,"$10,475,483","$98,705,957"
"Nov 21, 2022",$0.1907,$0.1965,$0.1837,$0.1869,"$8,012,968","$91,238,178"
"Nov 20, 2022",$0.204,$0.2124,$0.1887,$0.1907,"$14,123,484","$93,084,481"
"Nov 19, 2022",$0.1959,$0.2213,$0.1933,$0.2039,"$23,969,341","$99,543,983"
"Nov 18, 2022",$0.1897,$0.1997,$0.1887,$0.1961,"$10,719,024","$95,750,265"
"Nov 17, 2022",$0.1908,$0.193,$0.1858,$0.1897,"$3,569,319","$92,600,017"
"Nov 16, 2022",$0.1939,$0.1985,$0.1862,$0.1909,"$5,018,732","$93,198,828"
"Nov 15, 2022",$0.1873,$0.198,$0.1847,$0.1934,"$6,406,975","$94,415,815"
"Nov 14, 2022",$0.187,$0.1896,$0.1701,$0.1872,"$10,669,283","$91,420,352"
"Nov 13, 2022",$0.1968,$0.2015,$0.1829,$0.1869,"$12,089,188","$91,247,394"
"Nov 12, 2022",$0.2028,$0.219,$0.1959,$0.1968,"$14,046,037","$96,080,014"
"Nov 11, 2022",$0.2129,$0.2142,$0.1912,$0.2028,"$15,349,114","$99,005,879"
"Nov 10, 2022",$0.1795,$0.2147,$0.1764,$0.2126,"$28,668,482","$103,773,685"
"Nov 09, 2022",$0.2509,$0.2521,$0.1746,$0.1795,"$20,012,248","$87,654,920"
"Nov 08, 2022",$0.2941,$0.2989,$0.2417,$0.251,"$13,494,210","$122,531,054"
"Nov 07, 2022",$0.2976,$0.3013,$0.2911,$0.2941,"$9,320,941","$143,564,470"
"Nov 06, 2022",$0.3082,$0.3089,$0.2972,$0.2976,"$8,217,615","$145,280,167"
"Nov 05, 2022",$0.3041,$0.3158,$0.303,$0.3088,"$17,540,957","$150,782,521"
"Nov 04, 2022",$0.2898,$0.305,$0.2891,$0.3041,"$6,995,525","$148,477,776"
"Nov 03, 2022",$0.2864,$0.2943,$0.2859,$0.2898,"$6,331,927","$141,471,986"
"Nov 02, 2022",$0.2966,$0.3044,$0.2835,$0.2864,"$13,051,745","$139,817,628"
"Nov 01, 2022",$0.2979,$0.3009,$0.2955,$0.2967,"$6,911,793","$144,836,445"
"Oct 31, 2022",$0.2997,$0.2998,$0.2951,$0.2979,"$7,369,759","$145,433,696"
"Oct 30, 2022",$0.2985,$0.3107,$0.2966,$0.2997,"$17,822,670","$146,345,451"
"Oct 29, 2022",$0.2971,$0.3011,$0.2958,$0.2993,"$5,889,883","$146,116,758"
"Oct 28, 2022",$0.2935,$0.2973,$0.2893,$0.2967,"$5,849,712","$144,861,709"
"Oct 27, 2022",$0.3004,$0.3027,$0.2933,$0.2937,"$6,974,177","$143,388,433"
"Oct 26, 2022",$0.2978,$0.3016,$0.2954,$0.3004,"$8,184,822","$146,668,928"
"Oct 25, 2022",$0.2846,$0.3102,$0.2844,$0.2979,"$44,706,444","$145,447,809"
"Oct 24, 2022",$0.2885,$0.2891,$0.2815,$0.2847,"$4,056,720","$138,997,263"
"Oct 23, 2022",$0.2856,$0.2893,$0.2816,$0.288,"$3,500,157","$140,588,133"
"Oct 22, 2022",$0.2847,$0.2875,$0.2822,$0.2857,"$3,301,980","$139,471,524"
"Oct 21, 2022",$0.2811,$0.2868,$0.2711,$0.2848,"$6,846,624","$139,029,545"
"Oct 20, 2022",$0.2824,$0.2874,$0.2781,$0.2811,"$4,317,751","$137,231,322"
"Oct 19, 2022",$0.296,$0.296,$0.2822,$0.2831,"$4,960,942","$138,208,631"
"Oct 18, 2022",$0.301,$0.3026,$0.2931,$0.296,"$4,612,636","$144,505,069"
"Oct 17, 2022",$0.2959,$0.3035,$0.2928,$0.3009,"$12,466,792","$146,910,524"
"Oct 16, 2022",$0.2975,$0.2976,$0.2935,$0.2959,"$4,263,368","$144,473,081"
"Oct 15, 2022",$0.2901,$0.3041,$0.2898,$0.2975,"$9,767,552","$145,260,542"
"Oct 14, 2022",$0.2922,$0.3042,$0.2882,$0.2901,"$10,960,545","$141,626,908"
"Oct 13, 2022",$0.3002,$0.3003,$0.2713,$0.2922,"$10,294,788","$142,676,966"
"Oct 12, 2022",$0.2997,$0.3025,$0.2976,$0.3002,"$4,283,869","$146,578,871"
"Oct 11, 2022",$0.3101,$0.3102,$0.2982,$0.2997,"$5,719,884","$146,299,194"
"Oct 10, 2022",$0.3155,$0.322,$0.3101,$0.3101,"$10,510,925","$151,386,631"
"Oct 09, 2022",$0.3187,$0.319,$0.3136,$0.3156,"$6,461,851","$154,098,296"
"Oct 08, 2022",$0.3199,$0.3308,$0.3169,$0.3188,"$14,274,269","$155,632,714"
"Oct 07, 2022",$0.3133,$0.3475,$0.3105,$0.3205,"$37,231,478","$156,464,206"
"Oct 06, 2022",$0.3153,$0.3184,$0.3127,$0.3133,"$4,577,992","$152,957,873"
"Oct 05, 2022",$0.3175,$0.318,$0.3108,$0.3152,"$5,483,129","$153,890,609"
"Oct 04, 2022",$0.3128,$0.3188,$0.3068,$0.3176,"$9,206,849","$155,057,537"
"Oct 03, 2022",$0.3075,$0.314,$0.3072,$0.313,"$5,566,740","$152,800,784"
"Oct 02, 2022",$0.3139,$0.3151,$0.307,$0.3075,"$4,237,856","$150,134,621"
"Oct 01, 2022",$0.3145,$0.3192,$0.3125,$0.3139,"$5,423,794","$153,238,608"
"Sep 30, 2022",$0.3185,$0.3193,$0.3128,$0.3145,"$6,257,835","$153,536,817"
"Sep 29, 2022",$0.3164,$0.3191,$0.3119,$0.3185,"$10,985,676","$155,479,987"
"Sep 28, 2022",$0.3165,$0.3181,$0.307,$0.3161,"$8,789,267","$154,345,519"
"Sep 27, 2022",$0.3178,$0.3254,$0.3129,$0.3161,"$9,724,970","$154,317,638"
"Sep 26, 2022",$0.3171,$0.3194,$0.31,$0.318,"$9,800,292","$155,260,104"
"Sep 25, 2022",$0.3245,$0.3265,$0.3128,$0.3165,"$5,654,347","$154,509,134"
"Sep 24, 2022",$0.3261,$0.3274,$0.3229,$0.3247,"$5,429,166","$158,543,000"
"Sep 23, 2022",$0.3254,$0.3299,$0.3157,$0.3274,"$9,839,096","$159,828,569"
"Sep 22, 2022",$0.3134,$0.3262,$0.3115,$0.3254,"$8,216,644","$158,856,945"
"Sep 21, 2022",$0.3204,$0.3263,$0.3086,$0.3136,"$13,595,261","$153,131,505"
"Sep 20, 2022",$0.3261,$0.3303,$0.3155,$0.3203,"$10,882,821","$156,390,187"
"Sep 19, 2022",$0.3223,$0.3263,$0.3085,$0.3262,"$12,405,551","$159,245,777"
"Sep 18, 2022",$0.3438,$0.3466,$0.3208,$0.3221,"$11,475,755","$157,283,024"
