Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3404,$0.3433,$0.3399,$0.3431,"$2,496,259","$34,039,781"
"Dec 30, 2022",$0.3416,$0.3431,$0.3366,$0.3408,"$1,835,463","$33,819,567"
"Dec 29, 2022",$0.3391,$0.3527,$0.3377,$0.3416,"$1,754,196","$33,895,347"
"Dec 28, 2022",$0.3451,$0.3454,$0.3377,$0.3391,"$1,276,591","$33,646,880"
"Dec 27, 2022",$0.352,$0.3528,$0.344,$0.3451,"$1,311,299","$34,242,269"
"Dec 26, 2022",$0.351,$0.3546,$0.3502,$0.3521,"$1,233,249","$34,934,277"
"Dec 25, 2022",$0.3525,$0.3536,$0.3463,$0.3509,"$1,287,451","$34,819,984"
"Dec 24, 2022",$0.3495,$0.3565,$0.3493,$0.3525,"$1,534,794","$34,979,046"
"Dec 23, 2022",$0.3497,$0.351,$0.3473,$0.3495,"$1,257,312","$34,676,661"
"Dec 22, 2022",$0.3486,$0.3549,$0.3431,$0.3497,"$1,878,889","$34,697,614"
"Dec 21, 2022",$0.3569,$0.3582,$0.3471,$0.3486,"$1,346,298","$34,584,662"
"Dec 20, 2022",$0.3436,$0.3669,$0.3416,$0.3571,"$1,849,440","$35,431,056"
"Dec 19, 2022",$0.3548,$0.3592,$0.3406,$0.3423,"$1,569,751","$33,961,129"
"Dec 18, 2022",$0.3578,$0.361,$0.351,$0.3547,"$2,007,189","$35,197,571"
"Dec 17, 2022",$0.3467,$0.3784,$0.3452,$0.3579,"$4,148,275","$35,506,437"
"Dec 16, 2022",$0.3715,$0.3767,$0.3454,$0.3467,"$2,597,941","$34,398,987"
"Dec 15, 2022",$0.3793,$0.3801,$0.3709,$0.3714,"$2,577,365","$36,850,362"
"Dec 14, 2022",$0.3912,$0.3941,$0.3771,$0.3794,"$2,984,408","$37,640,460"
"Dec 13, 2022",$0.3887,$0.4,$0.3797,$0.3912,"$4,195,046","$38,812,285"
"Dec 12, 2022",$0.3713,$0.4203,$0.3704,$0.3888,"$15,069,687","$38,579,498"
"Dec 11, 2022",$0.3685,$0.384,$0.3685,$0.3713,"$4,863,588","$36,839,781"
"Dec 10, 2022",$0.3683,$0.4022,$0.3677,$0.3685,"$6,920,863","$36,563,982"
"Dec 09, 2022",$0.3725,$0.3764,$0.3683,$0.3683,"$2,335,854","$36,541,369"
"Dec 08, 2022",$0.3657,$0.3767,$0.3608,$0.3726,"$2,908,114","$36,970,454"
"Dec 07, 2022",$0.3846,$0.3854,$0.3648,$0.3657,"$2,572,148","$36,282,296"
"Dec 06, 2022",$0.382,$0.3875,$0.3807,$0.3846,"$2,471,182","$38,164,575"
"Dec 05, 2022",$0.3808,$0.404,$0.3778,$0.3819,"$4,941,168","$37,890,805"
"Dec 04, 2022",$0.3721,$0.3844,$0.3717,$0.3809,"$2,363,352","$37,794,372"
"Dec 03, 2022",$0.377,$0.3824,$0.3719,$0.3721,"$2,066,090","$36,918,108"
"Dec 02, 2022",$0.3622,$0.3878,$0.3617,$0.377,"$3,354,614","$37,403,623"
"Dec 01, 2022",$0.3751,$0.3762,$0.3618,$0.3621,"$2,086,530","$35,931,220"
"Nov 30, 2022",$0.3619,$0.3754,$0.3619,$0.3751,"$2,638,251","$37,215,964"
"Nov 29, 2022",$0.3566,$0.4007,$0.3554,$0.3619,"$4,886,709","$35,907,544"
"Nov 28, 2022",$0.3592,$0.3602,$0.3471,$0.3565,"$2,080,904","$35,374,360"
"Nov 27, 2022",$0.3599,$0.4094,$0.359,$0.3592,"$8,285,390","$35,639,995"
"Nov 26, 2022",$0.3465,$0.3613,$0.3459,$0.3601,"$2,760,151","$35,725,028"
"Nov 25, 2022",$0.3487,$0.349,$0.3413,$0.3466,"$1,398,607","$34,391,838"
"Nov 24, 2022",$0.3505,$0.3538,$0.3448,$0.3488,"$1,272,372","$34,605,571"
"Nov 23, 2022",$0.3367,$0.3604,$0.3364,$0.3506,"$2,557,098","$34,786,217"
"Nov 22, 2022",$0.3261,$0.3366,$0.3206,$0.3366,"$1,409,875","$33,401,576"
"Nov 21, 2022",$0.3293,$0.3303,$0.3204,$0.3262,"$1,720,293","$32,361,314"
"Nov 20, 2022",$0.3455,$0.3527,$0.3286,$0.3293,"$2,060,732","$32,670,799"
"Nov 19, 2022",$0.3521,$0.3522,$0.3437,$0.3454,"$1,455,492","$34,275,413"
"Nov 18, 2022",$0.3513,$0.3576,$0.351,$0.3521,"$2,195,646","$34,934,784"
"Nov 17, 2022",$0.3688,$0.3874,$0.3509,$0.3513,"$8,232,245","$34,854,988"
