Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1146,$0.1183,$0.1125,$0.1151,"$3,234,912","$46,402,865"
"Dec 30, 2022",$0.118,$0.1187,$0.1117,$0.1147,"$3,823,240","$46,256,697"
"Dec 29, 2022",$0.1206,$0.1206,$0.1152,$0.118,"$2,986,164","$47,592,157"
"Dec 28, 2022",$0.1306,$0.1309,$0.1194,$0.1206,"$5,555,602","$48,616,854"
"Dec 27, 2022",$0.136,$0.136,$0.1297,$0.1306,"$2,627,960","$52,651,871"
"Dec 26, 2022",$0.1385,$0.1386,$0.1332,$0.1361,"$3,179,942","$54,887,875"
"Dec 25, 2022",$0.142,$0.142,$0.1377,$0.1386,"$2,113,542","$55,880,717"
"Dec 24, 2022",$0.1407,$0.1425,$0.1398,$0.142,"$1,831,973","$57,246,458"
"Dec 23, 2022",$0.142,$0.1427,$0.1395,$0.1407,"$2,402,204","$56,728,558"
"Dec 22, 2022",$0.1448,$0.145,$0.1381,$0.1419,"$3,885,500","$57,223,773"
"Dec 21, 2022",$0.142,$0.1557,$0.1401,$0.1448,"$13,678,671","$58,384,728"
"Dec 20, 2022",$0.1343,$0.1424,$0.1315,$0.1419,"$5,517,372","$57,242,362"
"Dec 19, 2022",$0.1496,$0.1497,$0.1308,$0.1343,"$7,493,458","$54,170,781"
"Dec 18, 2022",$0.1537,$0.1537,$0.145,$0.1496,"$6,343,208","$60,328,828"
"Dec 17, 2022",$0.1581,$0.1596,$0.1446,$0.1538,"$10,487,246","$62,014,571"
"Dec 16, 2022",$0.163,$0.186,$0.1539,$0.1581,"$33,566,189","$63,748,384"
"Dec 15, 2022",$0.1628,$0.1691,$0.1594,$0.163,"$3,563,562","$65,724,892"
"Dec 14, 2022",$0.1536,$0.1702,$0.1534,$0.1628,"$8,298,855","$65,646,060"
"Dec 13, 2022",$0.1537,$0.1551,$0.1455,$0.1536,"$4,690,004","$61,934,994"
"Dec 12, 2022",$0.1649,$0.1674,$0.1494,$0.1537,"$7,226,896","$61,973,130"
"Dec 11, 2022",$0.1628,$0.1665,$0.1617,$0.1649,"$2,509,099","$66,481,133"
"Dec 10, 2022",$0.1666,$0.1706,$0.1618,$0.1652,"$3,468,118","$66,634,215"
"Dec 09, 2022",$0.1669,$0.1689,$0.1648,$0.1666,"$3,420,850","$67,163,214"
"Dec 08, 2022",$0.1645,$0.1815,$0.1614,$0.1669,"$10,941,584","$67,310,866"
"Dec 07, 2022",$0.1789,$0.1797,$0.1598,$0.1645,"$5,526,940","$66,334,647"
"Dec 06, 2022",$0.1738,$0.1802,$0.1733,$0.1789,"$1,498,195","$72,155,835"
"Dec 05, 2022",$0.176,$0.1832,$0.1729,$0.1738,"$2,709,395","$70,102,470"
"Dec 04, 2022",$0.1703,$0.185,$0.1703,$0.1761,"$5,949,196","$70,999,220"
"Dec 03, 2022",$0.1738,$0.1746,$0.1696,$0.1703,"$1,605,805","$68,667,843"
"Dec 02, 2022",$0.1696,$0.1785,$0.1685,$0.1739,"$3,974,978","$70,119,014"
"Dec 01, 2022",$0.1641,$0.1772,$0.1632,$0.1695,"$4,124,732","$68,337,627"
"Nov 30, 2022",$0.1619,$0.1686,$0.1612,$0.1641,"$1,594,670","$66,189,561"
"Nov 29, 2022",$0.1632,$0.1672,$0.1601,$0.1619,"$1,959,769","$65,274,496"
"Nov 28, 2022",$0.1663,$0.1695,$0.1559,$0.1632,"$2,928,819","$65,825,740"
"Nov 27, 2022",$0.1561,$0.1807,$0.1538,$0.1662,"$9,060,562","$67,026,036"
"Nov 26, 2022",$0.1444,$0.1681,$0.1444,$0.1559,"$5,933,878","$62,850,107"
"Nov 25, 2022",$0.1488,$0.1493,$0.142,$0.1444,"$1,379,773","$58,230,085"
"Nov 24, 2022",$0.1467,$0.1582,$0.1413,$0.1488,"$2,656,541","$60,015,731"
"Nov 23, 2022",$0.1558,$0.169,$0.1428,$0.1467,"$8,841,100","$59,174,359"
"Nov 22, 2022",$0.1294,$0.1747,$0.1261,$0.1558,"$14,115,482","$62,840,314"
"Nov 21, 2022",$0.1319,$0.1366,$0.1238,$0.1294,"$1,963,575","$52,179,947"
"Nov 20, 2022",$0.1315,$0.1531,$0.1311,$0.1319,"$5,530,897","$53,170,403"
"Nov 19, 2022",$0.1325,$0.1328,$0.1275,$0.1315,"$1,081,239","$53,021,698"
"Nov 18, 2022",$0.1326,$0.1377,$0.1314,$0.1326,"$1,906,852","$53,474,241"
"Nov 17, 2022",$0.1396,$0.1567,$0.1313,$0.1325,"$12,554,656","$53,436,591"
"Nov 16, 2022",$0.1228,$0.1491,$0.1171,$0.1396,"$9,869,114","$56,295,246"
"Nov 15, 2022",$0.1201,$0.1268,$0.1183,$0.1228,"$1,268,912","$49,525,971"
"Nov 14, 2022",$0.1178,$0.1236,$0.1114,$0.1201,"$1,130,752","$48,429,145"
"Nov 13, 2022",$0.1155,$0.1364,$0.1155,$0.1178,"$2,265,224","$47,490,411"
"Nov 12, 2022",$0.1213,$0.1219,$0.1145,$0.1156,"$751,769","$46,618,154"
"Nov 11, 2022",$0.129,$0.1305,$0.1185,$0.1213,"$1,276,674","$48,906,254"
"Nov 10, 2022",$0.1122,$0.1367,$0.1097,$0.1291,"$2,158,560",$0
"Nov 09, 2022",$0.146,$0.148,$0.1079,$0.1121,"$2,992,024",$0
"Nov 08, 2022",$0.1766,$0.1775,$0.144,$0.1459,"$5,116,227",$0
"Nov 07, 2022",$0.1847,$0.2081,$0.1736,$0.1766,"$11,820,692",$0
"Nov 06, 2022",$0.1734,$0.2085,$0.1713,$0.1848,"$17,519,890",$0
"Nov 05, 2022",$0.1721,$0.1768,$0.1709,$0.1734,"$2,368,528",$0
"Nov 04, 2022",$0.1644,$0.1747,$0.1644,$0.1722,"$3,063,075",$0
"Nov 03, 2022",$0.171,$0.1781,$0.1634,$0.1644,"$4,002,290",$0
"Nov 02, 2022",$0.185,$0.1963,$0.1691,$0.171,"$10,675,523",$0
"Nov 01, 2022",$0.1617,$0.2126,$0.159,$0.185,"$41,342,236",$0
"Oct 31, 2022",$0.1673,$0.1821,$0.1599,$0.1617,"$8,673,621",$0
