Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.006432,$0.006444,$0.006188,$0.006247,"$229,192","$9,661,139"
"Dec 30, 2022",$0.006479,$0.006598,$0.006366,$0.00643,"$330,694","$9,943,863"
"Dec 29, 2022",$0.006585,$0.006605,$0.006389,$0.006483,"$268,867","$10,025,702"
"Dec 28, 2022",$0.006597,$0.006627,$0.00646,$0.006585,"$189,955","$10,183,918"
"Dec 27, 2022",$0.006672,$0.006744,$0.006409,$0.0066,"$235,502","$10,206,599"
"Dec 26, 2022",$0.006685,$0.006697,$0.006459,$0.006668,"$325,550","$10,311,535"
"Dec 25, 2022",$0.006822,$0.006827,$0.006568,$0.006685,"$218,820","$10,337,948"
"Dec 24, 2022",$0.006856,$0.006945,$0.006604,$0.006822,"$310,815","$10,550,173"
"Dec 23, 2022",$0.006743,$0.00721,$0.006618,$0.006854,"$413,492","$10,599,946"
"Dec 22, 2022",$0.006666,$0.006902,$0.006373,$0.006744,"$335,970","$10,429,241"
"Dec 21, 2022",$0.006738,$0.006739,$0.006572,$0.006658,"$169,702","$10,296,937"
"Dec 20, 2022",$0.006481,$0.006915,$0.006472,$0.006737,"$200,972","$10,417,900"
"Dec 19, 2022",$0.0066,$0.006961,$0.006388,$0.006476,"$394,504","$10,015,398"
"Dec 18, 2022",$0.006576,$0.00662,$0.006432,$0.0066,"$181,088","$10,207,047"
"Dec 17, 2022",$0.006739,$0.006784,$0.00646,$0.006576,"$241,106","$10,170,004"
"Dec 16, 2022",$0.007162,$0.007274,$0.006556,$0.006733,"$336,118","$10,411,754"
"Dec 15, 2022",$0.007318,$0.007473,$0.00713,$0.007159,"$248,508","$11,071,517"
"Dec 14, 2022",$0.007485,$0.007504,$0.00725,$0.007316,"$286,356","$11,313,942"
"Dec 13, 2022",$0.007519,$0.007589,$0.007395,$0.007492,"$198,683","$11,585,737"
"Dec 12, 2022",$0.007567,$0.007567,$0.007362,$0.00752,"$219,589","$11,629,816"
"Dec 11, 2022",$0.007448,$0.007745,$0.007445,$0.007574,"$730,308","$11,712,920"
"Dec 10, 2022",$0.007558,$0.007629,$0.007359,$0.007459,"$262,916","$11,535,219"
"Dec 09, 2022",$0.007547,$0.007629,$0.007486,$0.007555,"$253,681","$11,684,201"
"Dec 08, 2022",$0.007468,$0.007593,$0.007338,$0.007553,"$178,319","$11,680,696"
"Dec 07, 2022",$0.007506,$0.008028,$0.007417,$0.007464,"$283,699","$11,542,967"
"Dec 06, 2022",$0.007572,$0.007681,$0.00738,$0.007504,"$245,569","$11,604,009"
"Dec 05, 2022",$0.007608,$0.007608,$0.007427,$0.007574,"$172,252","$11,712,505"
"Dec 04, 2022",$0.007513,$0.007705,$0.007485,$0.007621,"$213,288","$11,785,343"
"Dec 03, 2022",$0.007637,$0.007646,$0.007374,$0.007513,"$127,713","$11,619,020"
"Dec 02, 2022",$0.007577,$0.007701,$0.007465,$0.007638,"$204,926","$11,811,458"
"Dec 01, 2022",$0.007641,$0.007741,$0.007459,$0.007576,"$290,437","$11,716,467"
"Nov 30, 2022",$0.007406,$0.00786,$0.007404,$0.007641,"$265,351","$11,815,901"
"Nov 29, 2022",$0.007452,$0.00762,$0.00737,$0.007409,"$185,093","$11,457,184"
"Nov 28, 2022",$0.007445,$0.007539,$0.007338,$0.007451,"$197,797","$11,523,041"
"Nov 27, 2022",$0.007644,$0.007923,$0.007374,$0.007448,"$646,189","$11,518,678"
"Nov 26, 2022",$0.007804,$0.008393,$0.007293,$0.00764,"$499,116","$11,814,651"
"Nov 25, 2022",$0.008203,$0.008858,$0.007308,$0.007802,"$884,672","$12,065,986"
"Nov 24, 2022",$0.007487,$0.01064,$0.007225,$0.008201,"$1,688,869","$12,682,183"
"Nov 23, 2022",$0.007278,$0.007592,$0.007253,$0.007488,"$188,690","$11,579,657"
"Nov 22, 2022",$0.007429,$0.007568,$0.007237,$0.007278,"$251,539","$11,255,149"
"Nov 21, 2022",$0.007307,$0.007637,$0.00707,$0.007427,"$404,572","$11,485,888"
"Nov 20, 2022",$0.007677,$0.007692,$0.007261,$0.007308,"$245,942","$11,300,747"
"Nov 19, 2022",$0.007662,$0.007699,$0.007528,$0.007679,"$206,252","$11,875,101"
"Nov 18, 2022",$0.008096,$0.008121,$0.007456,$0.007658,"$397,606","$11,842,978"
"Nov 17, 2022",$0.008294,$0.009042,$0.007531,$0.008089,"$1,433,102","$12,510,050"
"Nov 16, 2022",$0.007038,$0.008501,$0.006802,$0.008274,"$1,088,321","$12,796,095"
"Nov 15, 2022",$0.006895,$0.008355,$0.006727,$0.007058,"$875,476","$10,915,328"
"Nov 14, 2022",$0.006877,$0.007098,$0.006625,$0.006885,"$279,648","$10,647,113"
"Nov 13, 2022",$0.007158,$0.007525,$0.006816,$0.006878,"$300,814","$10,637,018"
"Nov 12, 2022",$0.007249,$0.008722,$0.007031,$0.00716,"$605,273","$11,072,584"
"Nov 11, 2022",$0.007519,$0.007547,$0.006875,$0.007244,"$559,677","$11,202,658"
"Nov 10, 2022",$0.006118,$0.008021,$0.006098,$0.007521,"$1,024,451","$11,631,238"
"Nov 09, 2022",$0.008189,$0.008283,$0.006065,$0.006105,"$767,735","$9,440,711"
"Nov 08, 2022",$0.008997,$0.009017,$0.007921,$0.008181,"$786,031","$12,651,259"
"Nov 07, 2022",$0.00908,$0.009297,$0.008842,$0.008991,"$487,584","$13,903,544"
"Nov 06, 2022",$0.009187,$0.009498,$0.008958,$0.009077,"$465,640","$14,037,289"
"Nov 05, 2022",$0.008711,$0.009428,$0.00867,$0.009187,"$1,083,021","$14,207,846"
"Nov 04, 2022",$0.008682,$0.008979,$0.008577,$0.008707,"$631,392","$13,465,183"
"Nov 03, 2022",$0.008785,$0.009198,$0.008546,$0.008697,"$675,627","$13,449,761"
"Nov 02, 2022",$0.00912,$0.00948,$0.008626,$0.008773,"$1,114,138","$13,567,514"
"Nov 01, 2022",$0.008827,$0.01064,$0.008759,$0.00912,"$1,899,586","$14,103,672"
"Oct 31, 2022",$0.008869,$0.008961,$0.008786,$0.008826,"$290,800","$13,649,093"
"Oct 30, 2022",$0.008981,$0.009091,$0.008849,$0.008869,"$275,059","$13,716,154"
"Oct 29, 2022",$0.009014,$0.009132,$0.008852,$0.008986,"$418,501","$13,895,974"
"Oct 28, 2022",$0.009127,$0.009171,$0.008895,$0.009011,"$377,872","$13,935,227"
