Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0543,$0.05535,$0.04265,$0.0522,"$124,154","$2,779,576"
"Dec 30, 2022",$0.06209,$0.06381,$0.05123,$0.05432,"$135,431","$2,892,464"
"Dec 29, 2022",$0.05559,$0.06276,$0.05517,$0.06212,"$151,012","$3,307,943"
"Dec 28, 2022",$0.05821,$0.06324,$0.05525,$0.05561,"$142,035","$2,961,288"
"Dec 27, 2022",$0.06165,$0.06388,$0.05449,$0.05821,"$148,434","$3,099,954"
"Dec 26, 2022",$0.06179,$0.06377,$0.05427,$0.06168,"$162,639","$3,284,353"
"Dec 25, 2022",$0.05912,$0.06392,$0.05791,$0.06179,"$152,830","$3,290,545"
"Dec 24, 2022",$0.05924,$0.06383,$0.05794,$0.05912,"$143,254","$3,148,208"
"Dec 23, 2022",$0.05788,$0.06448,$0.05742,$0.05924,"$153,070","$3,154,853"
"Dec 22, 2022",$0.05689,$0.06766,$0.05556,$0.05791,"$148,525","$3,083,629"
"Dec 21, 2022",$0.06265,$0.06323,$0.05549,$0.05689,"$125,780","$3,029,304"
"Dec 20, 2022",$0.06029,$0.06917,$0.05641,$0.06265,"$139,982","$3,336,377"
"Dec 19, 2022",$0.05528,$0.06179,$0.05408,$0.06025,"$140,511","$3,208,572"
"Dec 18, 2022",$0.05551,$0.06173,$0.05415,$0.05528,"$120,780","$2,943,588"
"Dec 17, 2022",$0.05424,$0.05968,$0.05406,$0.05551,"$156,899","$2,955,978"
"Dec 16, 2022",$0.06777,$0.07601,$0.05411,$0.05424,"$203,832","$2,888,407"
"Dec 15, 2022",$0.06361,$0.07313,$0.05898,$0.06777,"$174,815","$3,608,649"
"Dec 14, 2022",$0.06639,$0.07029,$0.05921,$0.06359,"$146,474","$3,386,302"
"Dec 13, 2022",$0.06181,$0.06975,$0.0576,$0.06636,"$139,013","$3,534,004"
"Dec 12, 2022",$0.06097,$0.06216,$0.05686,$0.06181,"$137,405","$3,291,546"
"Dec 11, 2022",$0.06237,$0.06268,$0.05556,$0.06098,"$162,018","$3,247,330"
"Dec 10, 2022",$0.06008,$0.07217,$0.05905,$0.06237,"$153,951","$3,321,270"
"Dec 09, 2022",$0.05998,$0.06649,$0.05797,$0.06007,"$152,565","$3,199,105"
"Dec 08, 2022",$0.05962,$0.07198,$0.05853,$0.05998,"$158,243","$3,194,060"
"Dec 07, 2022",$0.06546,$0.0723,$0.05927,$0.05962,"$151,347","$3,175,161"
"Dec 06, 2022",$0.06464,$0.0729,$0.06047,$0.06546,"$137,680","$3,486,067"
"Dec 05, 2022",$0.06511,$0.07427,$0.06082,$0.06464,"$167,649","$3,441,994"
"Dec 04, 2022",$0.05925,$0.07297,$0.05611,$0.06512,"$153,603","$3,467,607"
"Dec 03, 2022",$0.06537,$0.07265,$0.0588,$0.05922,"$142,357","$3,153,790"
"Dec 02, 2022",$0.0661,$0.07404,$0.06097,$0.06536,"$160,796","$3,480,511"
"Dec 01, 2022",$0.07167,$0.07267,$0.06043,$0.0661,"$145,464","$3,519,707"
"Nov 30, 2022",$0.06369,$0.07415,$0.05973,$0.07166,"$168,872","$3,816,312"
"Nov 29, 2022",$0.06972,$0.07205,$0.05702,$0.06369,"$154,914","$3,391,470"
"Nov 28, 2022",$0.0635,$0.07087,$0.05577,$0.06497,"$141,202","$3,460,054"
"Nov 27, 2022",$0.06294,$0.0718,$0.05752,$0.06351,"$129,096","$3,382,223"
"Nov 26, 2022",$0.06549,$0.07221,$0.05762,$0.06294,"$138,302","$3,351,832"
"Nov 25, 2022",$0.0665,$0.07304,$0.05874,$0.06549,"$167,099","$3,487,545"
"Nov 24, 2022",$0.05799,$0.06839,$0.0543,$0.06651,"$176,806","$3,541,858"
"Nov 23, 2022",$0.05752,$0.05844,$0.04847,$0.05798,"$129,639","$3,087,666"
"Nov 22, 2022",$0.05487,$0.05753,$0.05444,$0.0575,"$114,764","$3,062,074"
"Nov 21, 2022",$0.05386,$0.05793,$0.05301,$0.0549,"$125,567","$2,923,751"
"Nov 20, 2022",$0.05945,$0.07192,$0.05344,$0.05386,"$175,397","$2,868,111"
"Nov 19, 2022",$0.05794,$0.07121,$0.05712,$0.05946,"$181,632","$3,166,143"
"Nov 18, 2022",$0.06119,$0.07211,$0.05786,$0.05794,"$156,209","$3,085,453"
"Nov 17, 2022",$0.06024,$0.0682,$0.05334,$0.06117,"$172,634","$3,257,181"
"Nov 16, 2022",$0.06008,$0.06412,$0.05374,$0.06018,"$179,525","$3,204,681"
"Nov 15, 2022",$0.05742,$0.06492,$0.05575,$0.06008,"$170,282","$3,199,354"
"Nov 14, 2022",$0.05356,$0.06014,$0.05131,$0.05746,"$175,161","$3,059,633"
"Nov 13, 2022",$0.05699,$0.06366,$0.05103,$0.05356,"$184,172","$2,852,271"
"Nov 12, 2022",$0.05702,$0.06011,$0.05388,$0.05699,"$169,020","$3,034,773"
"Nov 11, 2022",$0.05664,$0.05881,$0.0524,$0.05702,"$157,738","$3,036,649"
"Nov 10, 2022",$0.0493,$0.05923,$0.04858,$0.05667,"$177,600","$3,017,981"
"Nov 09, 2022",$0.0581,$0.05924,$0.04879,$0.0493,"$153,431","$2,625,387"
"Nov 08, 2022",$0.0668,$0.07242,$0.05555,$0.05807,"$182,483","$3,092,599"
"Nov 07, 2022",$0.0684,$0.0717,$0.06383,$0.06681,"$213,395","$3,557,875"
"Nov 06, 2022",$0.06876,$0.07206,$0.06385,$0.06841,"$227,653","$3,642,921"
"Nov 05, 2022",$0.0713,$0.0751,$0.06367,$0.06877,"$210,438","$3,662,155"
"Nov 04, 2022",$0.06755,$0.07627,$0.06611,$0.07132,"$204,201","$3,798,004"
"Nov 03, 2022",$0.06565,$0.07174,$0.06524,$0.06754,"$184,654","$3,596,718"
"Nov 02, 2022",$0.06913,$0.07155,$0.06478,$0.06565,"$207,009","$3,495,971"
"Nov 01, 2022",$0.06843,$0.06971,$0.068,$0.06914,"$177,743","$3,681,868"
"Oct 31, 2022",$0.06958,$0.07092,$0.0679,$0.06843,"$176,737","$3,644,185"
"Oct 30, 2022",$0.06839,$0.07261,$0.06758,$0.06957,"$193,882","$3,704,771"
"Oct 29, 2022",$0.07145,$0.07346,$0.06706,$0.06839,"$257,198","$3,641,956"
"Oct 28, 2022",$0.06667,$0.07222,$0.06402,$0.07146,"$249,886","$3,805,312"
"Oct 27, 2022",$0.07305,$0.0734,$0.0662,$0.06667,"$177,765","$3,550,261"
"Oct 26, 2022",$0.06589,$0.07343,$0.06484,$0.07305,"$189,450","$3,889,825"
"Oct 25, 2022",$0.06713,$0.07018,$0.06085,$0.06591,"$291,035","$3,509,753"
"Oct 24, 2022",$0.07051,$0.07057,$0.06207,$0.06714,"$180,120","$3,575,308"
"Oct 23, 2022",$0.06709,$0.0705,$0.0611,$0.07048,"$178,257","$3,753,208"
"Oct 22, 2022",$0.06212,$0.06895,$0.06106,$0.06701,"$204,980","$3,568,604"
"Oct 21, 2022",$0.06259,$0.06302,$0.06116,$0.06213,"$166,413","$3,308,307"
"Oct 20, 2022",$0.06457,$0.06817,$0.06252,$0.06267,"$198,214","$3,337,259"
"Oct 19, 2022",$0.0619,$0.0662,$0.06129,$0.06463,"$239,795","$3,441,545"
"Oct 18, 2022",$0.06187,$0.06741,$0.05852,$0.0619,"$142,471","$3,296,178"
"Oct 17, 2022",$0.0615,$0.06619,$0.05646,$0.06187,"$154,864","$3,294,779"
"Oct 16, 2022",$0.06388,$0.06499,$0.05465,$0.06149,"$165,024","$3,274,739"
"Oct 15, 2022",$0.0574,$0.06549,$0.05398,$0.06388,"$159,834","$3,401,612"
"Oct 14, 2022",$0.06307,$0.06791,$0.05696,$0.0574,"$170,474","$3,056,893"
"Oct 13, 2022",$0.06364,$0.06559,$0.0532,$0.06308,"$170,166","$3,359,368"
"Oct 12, 2022",$0.06237,$0.06648,$0.06,$0.06364,"$174,811","$3,389,015"
"Oct 11, 2022",$0.06561,$0.06561,$0.05851,$0.06236,"$184,365","$3,320,891"
"Oct 10, 2022",$0.06111,$0.06607,$0.05834,$0.06564,"$170,549","$3,495,646"
"Oct 09, 2022",$0.0657,$0.06872,$0.06045,$0.06111,"$187,532","$3,254,492"
"Oct 08, 2022",$0.06717,$0.06819,$0.062,$0.0657,"$180,497","$3,498,807"
"Oct 07, 2022",$0.07223,$0.07236,$0.06233,$0.06717,"$189,141","$3,576,954"
"Oct 06, 2022",$0.0738,$0.07709,$0.06724,$0.07217,"$316,182","$3,843,422"
"Oct 05, 2022",$0.06913,$0.08042,$0.06295,$0.07707,"$394,839","$4,104,163"
"Oct 04, 2022",$0.06559,$0.06905,$0.06322,$0.06904,"$207,338","$3,676,635"
"Oct 03, 2022",$0.06089,$0.06681,$0.06088,$0.06562,"$187,625","$3,494,281"
"Oct 02, 2022",$0.06475,$0.06529,$0.06021,$0.0636,"$163,916","$3,387,006"
"Oct 01, 2022",$0.06152,$0.06573,$0.06007,$0.06475,"$141,337","$3,447,817"
"Sep 30, 2022",$0.06617,$0.06934,$0.06067,$0.06152,"$188,909","$3,276,116"
"Sep 29, 2022",$0.06464,$0.068,$0.05976,$0.06619,"$175,126","$3,524,548"
"Sep 28, 2022",$0.06261,$0.06758,$0.05914,$0.06464,"$223,214","$3,442,023"
"Sep 27, 2022",$0.06572,$0.07145,$0.05965,$0.06265,"$168,076","$3,336,395"
"Sep 26, 2022",$0.06474,$0.06842,$0.06183,$0.06574,"$186,649","$3,500,577"
"Sep 25, 2022",$0.0666,$0.06835,$0.06265,$0.06473,"$182,314","$3,447,151"
"Sep 24, 2022",$0.06733,$0.06838,$0.06476,$0.0666,"$173,130","$3,546,782"
"Sep 23, 2022",$0.06803,$0.06896,$0.06396,$0.06733,"$203,612","$3,585,329"
"Sep 22, 2022",$0.06094,$0.06879,$0.06047,$0.06804,"$195,030","$3,623,295"
"Sep 21, 2022",$0.06715,$0.07004,$0.06036,$0.061,"$190,378","$3,248,270"
"Sep 20, 2022",$0.0653,$0.07008,$0.06122,$0.06714,"$191,398","$3,575,111"
"Sep 19, 2022",$0.06632,$0.0715,$0.05773,$0.06529,"$185,904","$3,476,973"
"Sep 18, 2022",$0.0654,$0.07561,$0.0613,$0.0664,"$202,768","$3,535,801"
"Sep 17, 2022",$0.06666,$0.0773,$0.0654,$0.0654,"$192,684","$3,482,613"
"Sep 16, 2022",$0.07301,$0.07496,$0.06508,$0.06666,"$212,600","$3,549,635"
"Sep 15, 2022",$0.07068,$0.0824,$0.06586,$0.073,"$201,033","$3,887,654"
"Sep 14, 2022",$0.07035,$0.08512,$0.06861,$0.07067,"$198,222","$3,763,527"
"Sep 13, 2022",$0.07806,$0.08558,$0.06774,$0.07788,"$214,416","$4,147,287"
"Sep 12, 2022",$0.09329,$0.1072,$0.07309,$0.07802,"$340,853","$4,154,910"
"Sep 11, 2022",$0.07476,$0.1191,$0.0708,$0.09324,"$307,264","$4,965,386"
"Sep 10, 2022",$0.09392,$0.1002,$0.066,$0.07477,"$184,959","$3,981,725"
"Sep 09, 2022",$0.07763,$0.09624,$0.06389,$0.09393,"$234,753","$5,001,925"
"Sep 08, 2022",$0.07057,$0.0934,$0.0603,$0.07764,"$211,030","$4,134,434"
"Sep 07, 2022",$0.07355,$0.08581,$0.05323,$0.07051,"$215,183","$3,754,961"
"Sep 06, 2022",$0.06896,$0.09253,$0.05705,$0.07358,"$203,996","$3,918,217"
"Sep 05, 2022",$0.07433,$0.09028,$0.05663,$0.06894,"$204,724","$3,671,031"
"Sep 04, 2022",$0.08321,$0.08709,$0.05798,$0.07432,"$200,774","$3,957,791"
"Sep 03, 2022",$0.07794,$0.08747,$0.05921,$0.08321,"$230,364","$4,431,083"
"Sep 02, 2022",$0.07001,$0.08371,$0.06064,$0.07799,"$206,525","$4,152,973"
"Sep 01, 2022",$0.06906,$0.08131,$0.05633,$0.07009,"$314,974","$3,732,591"
"Aug 31, 2022",$0.06338,$0.08184,$0.05687,$0.06909,"$279,681","$3,679,439"
"Aug 30, 2022",$0.06457,$0.08215,$0.0577,$0.06338,"$322,695","$3,375,029"
"Aug 29, 2022",$0.07128,$0.08514,$0.05002,$0.06451,"$404,713","$3,435,211"
"Aug 28, 2022",$0.07864,$0.08751,$0.06465,$0.07112,"$357,573","$3,787,417"
"Aug 27, 2022",$0.08942,$0.09688,$0.07449,$0.07868,"$297,122","$4,189,807"
"Aug 26, 2022",$0.1197,$0.12,$0.08324,$0.08958,"$714,171","$4,770,170"
"Aug 25, 2022",$0.1211,$0.1354,$0.1043,$0.1197,"$252,458","$6,376,450"
"Aug 24, 2022",$0.1253,$0.13,$0.1055,$0.1262,"$211,720","$6,722,922"
"Aug 23, 2022",$0.1116,$0.1332,$0.1039,$0.1252,"$239,201","$6,664,967"
"Aug 22, 2022",$0.1221,$0.1416,$0.1019,$0.1111,"$221,394","$5,916,493"
"Aug 21, 2022",$0.1425,$0.1541,$0.1019,$0.1221,"$233,539","$6,502,660"
"Aug 20, 2022",$0.1201,$0.1586,$0.1077,$0.1426,"$185,568","$7,596,302"
"Aug 19, 2022",$0.1338,$0.2175,$0.1051,$0.1201,"$207,641","$6,397,488"
"Aug 18, 2022",$0.1946,$0.2188,$0.1227,$0.1338,"$202,253","$7,124,649"
"Aug 17, 2022",$0.2158,$0.2212,$0.1231,$0.1947,"$211,930","$10,365,658"
"Aug 16, 2022",$0.1352,$0.2158,$0.1234,$0.2158,"$193,245","$11,490,064"
"Aug 15, 2022",$0.1252,$0.2395,$0.1085,$0.1352,"$224,100","$7,202,138"
"Aug 14, 2022",$0.1188,$0.1375,$0.1106,$0.1252,"$217,471","$6,668,797"
"Aug 13, 2022",$0.1205,$0.1417,$0.1126,$0.1187,"$204,465","$6,321,759"
"Aug 12, 2022",$0.1284,$0.1464,$0.1063,$0.1205,"$201,311","$6,418,532"
"Aug 11, 2022",$0.1261,$0.1515,$0.112,$0.1283,"$209,358","$6,830,278"
"Aug 10, 2022",$0.1122,$0.144,$0.1039,$0.1261,"$268,179","$6,714,907"
"Aug 09, 2022",$0.1342,$0.1498,$0.1088,$0.1122,"$201,079","$5,975,810"
