Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.9774,$1.07,$0.9269,$0.9318,"$944,235","$2,890,986"
"Dec 30, 2022",$0.9339,$1.08,$0.9064,$0.9788,"$1,483,128","$3,036,645"
"Dec 29, 2022",$0.9828,$0.9947,$0.9311,$0.9338,"$503,986","$2,897,289"
"Dec 28, 2022",$1.05,$1.07,$0.9743,$0.9839,"$615,537","$3,052,551"
"Dec 27, 2022",$1.10,$1.11,$1.04,$1.04,"$686,966","$3,235,081"
"Dec 26, 2022",$1.11,$1.13,$1.09,$1.10,"$831,300","$3,415,346"
"Dec 25, 2022",$1.09,$1.17,$1.07,$1.11,"$1,084,663","$3,440,469"
"Dec 24, 2022",$1.11,$1.12,$1.09,$1.09,"$528,621","$3,395,371"
"Dec 23, 2022",$1.14,$1.17,$1.10,$1.11,"$800,852","$3,452,609"
"Dec 22, 2022",$1.12,$1.19,$1.07,$1.14,"$1,487,190","$3,549,048"
"Dec 21, 2022",$1.18,$1.18,$1.09,$1.12,"$918,345","$3,461,754"
"Dec 20, 2022",$1.18,$1.23,$1.15,$1.18,"$787,226","$3,669,140"
"Dec 19, 2022",$1.30,$1.33,$1.17,$1.18,"$1,193,318","$3,662,865"
"Dec 18, 2022",$1.26,$1.41,$1.24,$1.30,"$3,622,524","$4,042,485"
"Dec 17, 2022",$1.35,$1.38,$1.23,$1.26,"$2,175,459","$3,901,565"
"Dec 16, 2022",$1.53,$1.57,$1.34,$1.35,"$1,575,397","$4,196,167"
"Dec 15, 2022",$1.62,$1.63,$1.51,$1.53,"$1,410,395","$4,748,751"
"Dec 14, 2022",$1.64,$1.66,$1.60,$1.62,"$1,932,355","$5,033,911"
"Dec 13, 2022",$1.68,$1.75,$1.57,$1.64,"$4,218,967","$5,093,291"
"Dec 12, 2022",$1.75,$1.80,$1.61,$1.68,"$3,156,983","$5,207,508"
"Dec 11, 2022",$1.82,$1.92,$1.75,$1.75,"$2,318,529","$7,020,945"
"Dec 10, 2022",$2.26,$2.31,$1.72,$1.82,"$5,860,151","$7,293,807"
"Dec 09, 2022",$2.28,$2.31,$2.20,$2.26,"$3,017,794","$9,056,978"
"Dec 08, 2022",$2.39,$2.47,$2.25,$2.28,"$2,397,256","$9,119,304"
"Dec 07, 2022",$2.38,$2.52,$2.19,$2.39,"$4,828,553","$9,568,495"
"Dec 06, 2022",$2.50,$2.56,$2.35,$2.38,"$4,361,488","$9,518,711"
"Dec 05, 2022",$2.57,$2.66,$2.46,$2.50,"$2,718,158","$10,004,177"
"Dec 04, 2022",$2.79,$2.80,$2.57,$2.57,"$2,589,106","$10,289,513"
"Dec 03, 2022",$2.99,$3.02,$2.77,$2.79,"$2,852,409","$11,158,578"
"Dec 02, 2022",$3.00,$3.03,$2.87,$2.99,"$2,979,850","$11,978,706"
"Dec 01, 2022",$3.15,$3.16,$2.97,$3.00,"$2,449,357","$12,013,754"
