Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01298,$0.01298,$0.01239,$0.01252,"$138,728","$1,765,808"
"Dec 30, 2022",$0.01242,$0.01307,$0.0124,$0.01291,"$233,580","$1,820,749"
"Dec 29, 2022",$0.01291,$0.01292,$0.01226,$0.01242,"$317,534","$1,752,308"
"Dec 28, 2022",$0.013,$0.01304,$0.01262,$0.01291,"$227,691","$1,821,168"
"Dec 27, 2022",$0.01291,$0.01302,$0.01279,$0.013,"$15,482","$1,833,566"
"Dec 26, 2022",$0.01234,$0.01295,$0.0122,$0.01292,"$14,255","$1,822,382"
"Dec 25, 2022",$0.01293,$0.013,$0.01039,$0.01234,"$55,127","$1,740,831"
"Dec 24, 2022",$0.01338,$0.01348,$0.01292,$0.01293,"$14,717","$1,824,533"
"Dec 23, 2022",$0.01297,$0.01393,$0.01292,$0.01338,"$22,213","$1,887,575"
"Dec 22, 2022",$0.01266,$0.01312,$0.01261,$0.01297,"$13,954","$1,830,525"
"Dec 21, 2022",$0.01302,$0.01307,$0.01261,$0.01265,"$13,392","$1,785,362"
"Dec 20, 2022",$0.01268,$0.01317,$0.01265,$0.01305,"$14,956","$1,841,791"
"Dec 19, 2022",$0.01298,$0.01312,$0.01265,$0.01268,"$35,262","$1,789,352"
"Dec 18, 2022",$0.01288,$0.01335,$0.0125,$0.01298,"$30,166","$1,831,713"
"Dec 17, 2022",$0.01262,$0.0129,$0.01218,$0.01288,"$62,037","$1,817,476"
"Dec 16, 2022",$0.01347,$0.01367,$0.01242,$0.01262,"$78,096","$1,780,331"
"Dec 15, 2022",$0.01371,$0.01375,$0.01335,$0.01347,"$16,381","$1,900,865"
"Dec 14, 2022",$0.01387,$0.014,$0.01356,$0.0137,"$17,316","$1,933,111"
"Dec 13, 2022",$0.01527,$0.01527,$0.01328,$0.01386,"$25,960","$1,955,369"
"Dec 12, 2022",$0.01489,$0.01544,$0.01423,$0.01524,"$92,320","$2,150,621"
"Dec 11, 2022",$0.01421,$0.01541,$0.01397,$0.01489,"$33,425","$2,100,355"
"Dec 10, 2022",$0.01371,$0.01457,$0.01367,$0.01421,"$26,085","$2,004,559"
"Dec 09, 2022",$0.01368,$0.0139,$0.01354,$0.01371,"$17,478","$1,934,529"
"Dec 08, 2022",$0.01406,$0.01551,$0.01328,$0.01368,"$46,076","$1,929,553"
"Dec 07, 2022",$0.01545,$0.01545,$0.0139,$0.01406,"$20,646","$1,982,995"
"Dec 06, 2022",$0.01486,$0.01545,$0.01457,$0.01544,"$21,419","$2,178,372"
