Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$3.73,$4.25,$3.71,$3.82,"$4,656,431","$62,906,689"
"Dec 30, 2022",$3.94,$3.95,$3.70,$3.73,"$1,762,511","$61,318,833"
"Dec 29, 2022",$4.01,$4.12,$3.90,$3.94,"$2,243,457","$64,753,743"
"Dec 28, 2022",$4.11,$4.12,$4.00,$4.01,"$1,927,068","$65,925,493"
"Dec 27, 2022",$4.11,$4.14,$4.08,$4.12,"$1,846,992","$67,695,746"
"Dec 26, 2022",$4.14,$4.20,$4.09,$4.11,"$1,864,007","$67,567,822"
"Dec 25, 2022",$4.15,$4.26,$4.13,$4.14,"$2,021,410","$68,142,194"
"Dec 24, 2022",$4.15,$4.33,$4.14,$4.15,"$2,450,649","$68,345,991"
"Dec 23, 2022",$4.13,$4.16,$4.08,$4.15,"$1,893,782","$68,240,460"
"Dec 22, 2022",$4.16,$4.17,$4.08,$4.13,"$2,008,475","$67,975,355"
"Dec 21, 2022",$4.21,$4.25,$4.15,$4.16,"$2,034,931","$68,455,639"
"Dec 20, 2022",$4.13,$4.27,$4.13,$4.20,"$1,980,367","$69,161,226"
"Dec 19, 2022",$4.32,$4.33,$4.09,$4.13,"$2,345,386","$67,999,316"
"Dec 18, 2022",$4.34,$4.38,$4.26,$4.32,"$2,100,330","$71,080,516"
"Dec 17, 2022",$4.27,$4.44,$4.17,$4.34,"$3,055,492","$71,359,112"
"Dec 16, 2022",$4.57,$4.61,$4.25,$4.27,"$2,669,152","$70,237,652"
"Dec 15, 2022",$4.70,$4.71,$4.53,$4.57,"$2,233,151","$75,171,470"
"Dec 14, 2022",$4.68,$4.77,$4.62,$4.70,"$2,467,941","$77,359,539"
"Dec 13, 2022",$4.64,$4.71,$4.49,$4.68,"$3,005,115","$76,938,576"
"Dec 12, 2022",$4.58,$4.67,$4.50,$4.64,"$2,931,876","$76,340,356"
"Dec 11, 2022",$4.79,$5.49,$4.58,$4.58,"$7,820,633","$75,366,976"
"Dec 10, 2022",$4.56,$4.93,$4.55,$4.79,"$7,069,768","$78,833,116"
"Dec 09, 2022",$4.54,$4.66,$4.51,$4.56,"$2,263,277","$75,085,950"
"Dec 08, 2022",$4.46,$4.61,$4.45,$4.54,"$2,283,296","$74,728,895"
"Dec 07, 2022",$4.61,$4.63,$4.42,$4.46,"$2,271,609","$73,337,974"
"Dec 06, 2022",$4.62,$5.04,$4.57,$4.61,"$5,912,391","$75,765,174"
"Dec 05, 2022",$4.48,$4.95,$4.44,$4.62,"$9,387,438","$75,957,752"
"Dec 04, 2022",$4.40,$4.70,$4.40,$4.48,"$4,170,985","$73,712,023"
"Dec 03, 2022",$4.42,$4.48,$4.38,$4.40,"$2,097,963","$72,348,858"
"Dec 02, 2022",$4.41,$4.45,$4.36,$4.42,"$2,086,954","$72,754,538"
"Dec 01, 2022",$4.53,$4.57,$4.41,$4.41,"$2,002,347","$72,617,421"
"Nov 30, 2022",$4.37,$4.54,$4.37,$4.53,"$2,580,604","$74,540,249"
"Nov 29, 2022",$4.34,$4.45,$4.32,$4.38,"$2,900,033","$71,979,571"
"Nov 28, 2022",$4.43,$4.80,$4.19,$4.34,"$5,795,575","$71,429,090"
"Nov 27, 2022",$4.36,$4.49,$4.35,$4.43,"$2,200,703","$72,806,077"
"Nov 26, 2022",$4.39,$4.53,$4.28,$4.37,"$3,073,233","$71,867,616"
"Nov 25, 2022",$4.31,$4.69,$4.20,$4.39,"$3,416,414","$72,154,761"
"Nov 24, 2022",$4.24,$4.34,$4.21,$4.31,"$1,917,263","$70,903,166"
"Nov 23, 2022",$4.15,$4.40,$4.14,$4.24,"$1,996,134","$69,808,189"
"Nov 22, 2022",$4.07,$4.17,$4.01,$4.15,"$1,997,603","$68,292,073"
"Nov 21, 2022",$4.35,$4.37,$4.04,$4.07,"$2,530,149","$66,903,661"
"Nov 20, 2022",$4.29,$5.37,$4.29,$4.35,"$16,606,168","$71,535,049"
"Nov 19, 2022",$4.13,$4.51,$4.03,$4.27,"$2,901,733","$70,315,505"
"Nov 18, 2022",$4.20,$4.22,$4.03,$4.13,"$2,200,985","$67,926,286"
"Nov 17, 2022",$4.07,$4.29,$4.00,$4.20,"$1,827,628","$69,011,152"
"Nov 16, 2022",$4.17,$4.27,$4.01,$4.07,"$1,714,266","$66,994,245"
"Nov 15, 2022",$4.15,$4.37,$4.11,$4.17,"$1,646,261","$68,579,066"
"Nov 14, 2022",$4.25,$4.28,$4.04,$4.14,"$1,688,860","$68,169,207"
"Nov 13, 2022",$4.33,$4.44,$4.17,$4.24,"$1,729,708","$69,807,701"
"Nov 12, 2022",$4.50,$4.50,$4.22,$4.33,"$1,610,625","$71,204,710"
"Nov 11, 2022",$4.54,$4.62,$4.30,$4.50,"$1,806,127","$74,068,342"
"Nov 10, 2022",$4.09,$4.68,$4.03,$4.55,"$1,973,535","$74,781,350"
"Nov 09, 2022",$5.06,$5.08,$4.01,$4.09,"$2,281,551","$67,299,727"
"Nov 08, 2022",$5.81,$5.94,$4.80,$5.05,"$3,598,617","$83,154,348"
"Nov 07, 2022",$5.67,$6.10,$5.59,$5.82,"$3,716,109","$95,662,602"
"Nov 06, 2022",$5.81,$5.99,$5.66,$5.68,"$3,306,492","$93,379,441"
"Nov 05, 2022",$5.99,$6.05,$5.79,$5.81,"$3,025,440","$95,528,889"
"Nov 04, 2022",$5.61,$6.05,$5.60,$5.99,"$5,303,589","$98,577,500"
"Nov 03, 2022",$5.48,$5.76,$5.46,$5.61,"$2,788,632","$92,263,994"
"Nov 02, 2022",$5.52,$5.61,$5.42,$5.48,"$2,608,035","$90,065,766"
"Nov 01, 2022",$5.54,$5.57,$5.51,$5.52,"$2,044,075","$90,771,893"
"Oct 31, 2022",$5.55,$5.69,$5.48,$5.54,"$3,017,167","$91,112,883"
"Oct 30, 2022",$5.57,$5.73,$5.54,$5.55,"$2,724,752","$91,325,792"
"Oct 29, 2022",$5.59,$5.65,$5.54,$5.58,"$2,449,887","$91,713,239"
"Oct 28, 2022",$5.48,$5.60,$5.46,$5.59,"$2,285,510","$91,926,035"
"Oct 27, 2022",$5.60,$5.65,$5.48,$5.48,"$2,417,817","$90,183,738"
"Oct 26, 2022",$5.54,$5.67,$5.52,$5.60,"$2,425,681","$92,078,045"
"Oct 25, 2022",$5.49,$5.59,$5.44,$5.54,"$2,583,312","$91,089,098"
"Oct 24, 2022",$5.62,$5.63,$5.47,$5.49,"$2,474,591","$90,339,380"
"Oct 23, 2022",$5.49,$5.68,$5.49,$5.62,"$3,598,448","$92,388,217"
"Oct 22, 2022",$5.43,$5.54,$5.43,$5.49,"$2,597,226","$90,344,098"
"Oct 21, 2022",$5.43,$5.48,$5.33,$5.42,"$2,412,059","$89,212,739"
"Oct 20, 2022",$5.43,$5.59,$5.35,$5.43,"$2,762,079","$89,251,609"
"Oct 19, 2022",$5.47,$5.60,$5.41,$5.43,"$2,568,156","$89,286,140"
"Oct 18, 2022",$5.45,$5.63,$5.43,$5.47,"$2,562,808","$89,928,450"
"Oct 17, 2022",$5.58,$5.72,$5.37,$5.45,"$3,027,825","$89,591,941"
"Oct 16, 2022",$5.49,$5.71,$5.48,$5.58,"$2,524,267","$91,716,001"
"Oct 15, 2022",$5.43,$5.60,$5.40,$5.49,"$2,459,397","$90,233,377"
"Oct 14, 2022",$5.46,$5.75,$5.42,$5.43,"$2,489,921","$89,347,754"
"Oct 13, 2022",$5.46,$5.50,$5.19,$5.46,"$2,666,441","$89,786,322"
"Oct 12, 2022",$5.53,$5.56,$5.41,$5.46,"$5,717,621","$89,865,734"
"Oct 11, 2022",$5.62,$5.68,$5.54,$5.54,"$2,548,733","$91,073,267"
"Oct 10, 2022",$5.76,$5.77,$5.62,$5.62,"$2,490,278","$92,396,307"
"Oct 09, 2022",$5.75,$5.94,$5.72,$5.76,"$2,866,048","$94,774,815"
"Oct 08, 2022",$5.61,$5.91,$5.61,$5.75,"$3,859,586","$94,509,064"
"Oct 07, 2022",$5.68,$5.74,$5.58,$5.61,"$2,603,869","$92,365,653"
"Oct 06, 2022",$5.71,$5.99,$5.65,$5.68,"$3,293,759","$93,452,536"
"Oct 05, 2022",$5.70,$6.18,$5.58,$5.71,"$6,739,135","$93,981,963"
"Oct 04, 2022",$5.57,$5.75,$5.53,$5.70,"$2,754,214","$93,828,719"
"Oct 03, 2022",$5.54,$5.67,$5.49,$5.57,"$2,447,604","$91,651,220"
"Oct 02, 2022",$5.57,$5.61,$5.48,$5.54,"$2,504,440","$91,205,040"
"Oct 01, 2022",$5.72,$5.77,$5.50,$5.57,"$2,929,144","$91,557,862"
"Sep 30, 2022",$5.63,$6.29,$5.49,$5.72,"$12,375,729","$94,109,512"
"Sep 29, 2022",$5.51,$6.01,$5.41,$5.63,"$7,151,500","$92,695,188"
"Sep 28, 2022",$5.36,$5.59,$5.21,$5.49,"$4,341,996","$90,284,043"
"Sep 27, 2022",$5.39,$5.65,$5.34,$5.36,"$2,621,906","$88,247,367"
"Sep 26, 2022",$5.39,$5.49,$5.29,$5.39,"$2,556,091","$88,735,855"
"Sep 25, 2022",$5.53,$5.54,$5.37,$5.39,"$2,211,131","$88,664,152"
"Sep 24, 2022",$5.63,$5.71,$5.53,$5.53,"$2,378,113","$90,966,370"
"Sep 23, 2022",$5.74,$5.80,$5.47,$5.63,"$3,435,022","$92,645,855"
"Sep 22, 2022",$5.48,$5.79,$5.39,$5.74,"$3,046,691","$94,387,489"
"Sep 21, 2022",$5.38,$5.72,$5.33,$5.48,"$3,880,453","$90,183,536"
"Sep 20, 2022",$5.67,$5.73,$5.36,$5.38,"$3,438,010","$88,538,200"
"Sep 19, 2022",$5.68,$5.82,$5.51,$5.67,"$3,695,851","$93,284,730"
